A CHRISTMAS CAROL	クリスマス・カロル
but most of all beware this boy, for on his brow I see that written which is Doom, unless the writing be erased.	が、特にこの男の子に用心するがいい、この子の額には、若しまだその書いたものが消されずにあるとすれば、『滅亡』とありあり書いてあるからね。
Deny it!'	それを否定して見るがいい！」
cried the Spirit, stretching out its hand towards the city.	と、精霊は片手を町の方へ伸ばしながら叫んだ。
`Slander those who tell it ye!	「そして、それを教えてくれる者をそしるがいい。
Admit it for your factious purposes,	それでなければ、お前の道化た目的のためにそれを承認するがいい。
and make it worse.	そして、そしてそれを一層悪いものにするがいい！
And abide the end.'	そして、その結果を待っているがいい！」
`Have they no refuge or resource?'	「彼等は避難所も資力も持たないのですか」
cried Scrooge.	と、スクルージは叫んだ。
`Are there no prisons?'	「監獄はないのかね」
said the Spirit, turning on him for the last time with his own words.	と、精霊は彼自身の云った言葉を繰返しながら、これを最後に彼の方へ振り向いて云った。
`Are there no workhouses?'	「共同授産場はないのかな。」
The bell struck twelve.	鐘は十二時を打った。
Scrooge looked about him for the Ghost, and saw it not.	スクルージは周囲を見廻わしながら精霊を捜したが、見当らなかった。
As the last stroke ceased to vibrate, he remembered the prediction of old Jacob Marley,	最後の鐘の音が鳴り止んだ時、彼は老ジェコブ・マアレイの予言を想い出した。
and lifting up his eyes, beheld a solemn Phantom, draped and hooded, coming, like a mist along the ground, towards him.	そして、眼を挙げながら、地面に沿って霧のように彼の方へやって来る、着物を着流して、頭巾を被った厳かな幻影を見た。
Stave 4:  The Last of the Spirits	第四章　最後の精霊
The Phantom slowly, gravely, silently approached.	幽霊は徐々に、厳かに、黙々として近づいて来た。
When it came, Scrooge bent down upon his knee;	それが彼の傍に近く来た時、スクルージは地に膝を突いた。
for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.	何故ならば、精霊は自分の動いているその空気中へ陰鬱と神秘とを振り撒いているように思われたからである。
It was shrouded in a deep black garment,	精霊は真黒な衣に包まれていた。
which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.	その頭も、顔も、姿もそれに隠されて、前へ差し伸べた片方の手を除いては、何にも眼に見えるものとてなかった、
But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.	この手がなかったら、夜からその姿を見別けることも、それを包囲している暗黒からそれを区別することも困難であったろう。
He felt that it was tall and stately when it came beside him,	彼はそれが自分の傍へ来た時、その精霊の背が高く堂々としていることを感じた。
He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.	そして、そう云う不可思議なものがそこに居ると云うことのために、自分の心が一種厳粛な畏怖の念に充されたのを感じた。
He knew no more,	それ以上は彼も知らなかった。
for the Spirit neither spoke nor moved.	と云うのは、精霊は口も利かなければ、身動きもしなかったから。
`I am in the presence of the Ghost of Christmas Yet To Come,'	「私はこれから来る聖降誕祭の精霊殿のお前に居りますので？」
said Scrooge.	と、スクルージは云った。
The Spirit answered not, but pointed onward with its hand.	精霊は返辞をしないで、その手で前の方を指した。
`You are about to show me shadows of the things that have not happened, but will happen in the time before us,'	「貴方はこれまでは起らなかったが、これから先に起ろおうとしている事柄の幻影を私に見せようとしていらっしゃるので御座いますね」
Scrooge pursued.	と、スクルージは言葉を続けた。
`Is that so, Spirit?'	「そうで御座いますか、精霊殿？」
The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head.	精霊が頭を傾（かし）げでもしたように、その衣の上の方の部分はその襞の中に一瞬間収縮した。
That was the only answer he received.	これが彼の受けた唯一の返辞であった。
Although well used to ghostly company by this time, Scrooge feared the silent shape so much that his legs trembled beneath him,	スクルージもこの頃はもう大分幽霊のお相手に馴れていたとは云え、この押し黙った形像に対しては脚がぶるぶる顫えたほど恐ろしかった。
and he found that he could hardly stand when he prepared to follow it.	そして、いざこれから精霊の後に随いて出て行こうと身構えした時には、どうやら真直（まっすぐ）に立ってさえいられないことを発見した。
The Spirit pauses a moment, as observing his condition, and giving him time to recover.	精霊も彼のこの様子に気が附いて、少し待って落ち着かせて遣ろうとでもするように、一寸立ち停まった。
But Scrooge was all the worse for this.	が、スクルージはこれがためにますます具合が悪くなった。
It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.	自分の方では極力眼を見張って見ても、幽霊の片方の手と一団の大きな黒衣の塊の外に何物をも見ることが出来ないのに、あの薄黒い経帷子の背後では、幽霊の眼が自分をじっと見詰めているのだと思うと、漠然とした、何とも知れない恐怖で身体中がぞっとした。
`Ghost of the Future!'	「未来の精霊殿！」
he exclaimed,	と、彼は叫んだ。
`I fear you more than any spectre I have seen.	「私は今までお目に懸かった幽霊の中で貴方が一番怖ろしゅう御座います。
But as I know your purpose is to do me good, and as I hope to live to be another man from what I was, I am prepared to bear you company, and do it with a thankful heart.	しかし貴方の目的は私のために善い事をして下さるのだと承知して居りますので、また私も今までの私とは違った人間になって生活したいと望んで居りますので、貴方のお附合をする心得で居ります、それも心から有難く思ってするので御座います。
Will you not speak to me?'	どうか私に言葉を懸けて下さいませんでしょうか。」
It gave him no reply.	精霊は何とも彼に返辞をしなかった。
The hand was pointed straight before them.	ただその手は自分達の前に真直に向けられていた。
`Lead on,'	「御案内下さい！」
said Scrooge.	と、スクルージは云った。
`Lead on.	「さあ御案内下さい！
The night is waning fast,	夜はずんずん経ってしまいます。
and it is precious time to me,	そして、私に取っては尊い時間で御座います。
I know.	私は存じています。
Lead on, Spirit!'	御案内下さい、精霊殿！」
The Phantom moved away as it had come towards him.	精霊は前に彼の方へ近づいて来た時と同じように動き出した。
Scrooge followed in the shadow of its dress,	スクルージはその著物の影に包まれて後に随いて行った。
which bore him up, he thought, and carried him along.	彼はその影が自分を持ち上げて、ずんずん運んで行くように思った。
They scarcely seemed to enter the city;	二人は市内へ這入って来たような気がほとんどしなかった、
for the city rather seemed to spring up about them, and encompass them of its own act.	と云うのは、むしろ市の方で二人の周囲に忽然湧き出して、自ら進んで二人を取り捲いたように思われたからである。
But there they were, in the heart of it;	が、（いずれにしても）彼等は市の中心にいた。
on 'Change, amongst the merchants;	すなわち取引所に、商人どもの集っている中にいた。
who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals;	商人どもは忙しそうに往来したり、衣嚢の中で金子をざくざく鳴らせたり、幾群れかになって話しをしたり、時計を眺めたり、何やら考え込みながら自分の持っている大きな黄金の刻印を弄（いじ）ったりしていた。
and so forth, as Scrooge had seen them often.	その他スクルージがそれまでによく見掛たような、いろいろな事をしていた。
The Spirit stopped beside one little knot of business men.	精霊は実業家どもの小さな一群の傍に立った。
Observing that the hand was pointed to them, Scrooge advanced to listen to their talk.	スクルージは例の手が彼等を指差しているのを見て、彼等の談話を聴こうと進み出た。
`No,'	「いや」
said a great fat man with a monstrous chin,	と、恐ろしく頤の大きな肥った大漢が云った。
`I don't know much about it, either way.	「どちらにしても、それについちゃ好くは知りませんがね。
I only know he's dead.'	ただあの男が死んだってことを知っているだけですよ」
`When did he die?'	「いつ死んだのですか」
inquired another.	と、もう一人の男が訊ねた。
`Last night, I believe.'	「昨晩だと思います。」
`Why, what was the matter with him?'	「だって、一体いかがしたと云うのでしょうな？」
asked a third, taking a vast quantity of snuff out of a very large snuff-box.	と、またもう一人の男が非常に大きな嗅煙草の箱から煙草をうんと取り出しながら訊いた。
`I thought he'd never die.'	「あの男ばかりは永劫死にそうもないように思ってましたがね。」
`God knows,'	「そいつは誰にも分りませんね」
said the first, with a yawn.	と、最初の男が欠呻まじりに云った。
`What has he done with his money?'	「一体あの金子はいかがしたのでしょうね？」
asked a red-faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey-cock.	と、鼻の端に雄の七面鳥のえらのような瘤をぶらぶら下げた赤ら顔の紳士が云った。
`I haven't heard,'	「それも聞きませんでしたね」
said the man with the large chin, yawning again.	と、頤の大きな男がまた欠呻をしながら云った、
`Left it to his company, perhaps.	「恐らく同業組合の手にでも渡されるんでしょうよ。
He hasn't left it to me.	（とにかく）私には遺して行きませんでしたね。
That's all I know.'	私の知っているのはこれっきりさ。」
This pleasantry was received with a general laugh.	この冗談で一同はどっと笑った。
`It's likely to be a very cheap funeral,'	「極く安直（あんちょく）なお葬（とむらい）でしょうな」
said the same speaker;	と、同じ男が云った。
`for upon my life I don't know of anybody to go to it.	「何しろ会葬者があると云うことは全然（まるで）聞かないからね。
Suppose we make up a party and volunteer?'	どうです、我々で一団体つくって義勇兵になっては？」
`I don't mind going if a lunch is provided,'	「お弁当が出るなら行っても可いがね」
observed the gentleman with the excrescence on his nose.	と、鼻の端に瘤のある紳士は云った。
`But I must be fed, if I make one!'	「だが、その一人になるなら、喰わせるだけは喰わせて貰わなくっちゃね。」
Another laugh.	一同また大笑いをした。
`Well, I am the most disinterested among you, after all,'	「ふうむ、して見ると、諸君のうちでは結局僕が一番廉潔なんだね」
said the first speaker,	と、最初の話手は云った。
`for I never wear black gloves, and I never eat lunch.	「僕はこれまでまだ一度も黒い手嚢を嵌めたこともなければ、お葬礼の弁当を喫べたこともないからね。
But I'll offer to go, if anybody else will.	しかし誰か行く者がありゃ、僕も行きますよ。
When I come to think of it, I'm not at all sure that I wasn't his most particular friend;	考えて見れば、僕は決してあの人の一番親密な友人でなかったとは云えませんよ。
for we used to stop and speak whenever we met.	途で会えば、いつでも立ち停って話しをしたものですからね。
Bye, bye.'	や、いずれまた。」
Speakers and listeners strolled away,	話手も聴手もぶらぶら歩き出した。
and mixed with other groups.	そして、他の群へ混ってしまった。
Scrooge knew the men,	スクルージはこの人達を知っていた。
and looked towards the Spirit for an explanation.	で、説明を求めるために精霊の方を見遣った。
The Phantom glided on into a street.	幽霊はだんだん進んである街の中へ滑り込んだ。
Its finger pointed to two persons meeting.	幽霊の指は立ち話しをしている二人の人を指した。
Scrooge listened again, thinking that the explanation might lie here.	スクルージは今の説明はこの中にあるのだろうと思って、再び耳を傾けた。
He knew these men, also, perfectly.	彼はこの人達もまたよく知り抜いていた。
They were men of aye business:	彼等は実業家であった。
very wealthy, and of great importance.	大金持で、しかも非常に有力な。
He had made a point always of standing well in their esteem:	彼はこの人達からよく思われようと始終心掛けていた。
in a business point of view, that is; strictly in a business point of view.	つまり商売上の見地から見て、厳密に商売上の見地から見て、よく思われようと云うのである。
`How are you?'	「や、今日は？」
said one.	と、一人が云った。
`How are you?'	「や、今日は？」
returned the other.	と、片方が挨拶した。
`Well,'	「ところで」
said the first.	と、最初の男が云った。
`Old Scratch has got his own at last,	「彼奴もとうとうくたばりましたね、あの地獄行きがさ。
hey?'	ええ？」
`So I am told,'	「そうだそうですね」
returned the second.	と、相手は返辞をした。
`Cold, isn't it?'	「随分お寒いじゃありませんか、ええ？」
`Seasonable for Christmas time.	「聖降誕祭の季節なら、これが順当でしょう。
You're not a skater, I suppose?'	時に貴方は氷滑りをなさいませんでしたかね。」
`No. No.	「いえ、いいえ。
Something else to think of.	まだ他に考えることがありますからね。
Good morning!'	左様なら！」
Not another word.	このほかに一語もなかった。
That was their meeting, their conversation, and their parting.	これがこの二人の会見で、会話で、そして別れであった。
Scrooge was at first inclined to be surprised that the Spirit should attach importance to conversations apparently so trivial;	最初スクルージは精霊が外見上こんな些細な会話に重きを置いているのにあきれかえろうとしていた。
but feeling assured that they must have some hidden purpose, he set himself to consider what it was likely to be.	が、これには何か隠れた目算があるに違いないと気が附いたので、それは多分何であろうかとつくづく考えて見た。
They could scarcely be supposed to have any bearing on the death of Jacob, his old partner, for that was Past, and this Ghost's province was the Future.	あの会話が元の共同者なるジェコブの死に何等かの関係があろうとはどうも想像されない、と云うのは、それは過去のことで、この精霊の領域は未来であるから。
Nor could he think of any one immediately connected with himself, to whom he could apply them.	それかと云って、自分と直接関係のある人で、あの会話の当て嵌まりそうな者は一人も考えられなかった。
But nothing doubting that to whomsoever they applied they had some latent moral for his own improvement, he resolved to treasure up every word he heard, and everything he saw;	しかし何人にそれが当て嵌まろうとも、彼自身の改心のために何か隠れた教訓が含まれていることは少しも疑われないので、彼は自分の聞いたことや見たことは一々大切に記憶えて置こうと決心した。
and especially to observe the shadow of himself when it appeared.	そして、自分の影像が現われたら、特にそれに注意しようと決心した。
For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.	と云うのは、彼の未来の姿の行状が自分の見失った手掛りを与えてくれるだろうし、またこれ等の謎の解決を容易にしてくれるだろうと云う期待を持っていたからである。
He looked about in that very place for his own image;	彼は自分の姿を求めて、その場で四辺を見廻わした、
but another man stood in his accustomed corner,	が、自分の居馴れた片隅には他の男が立っていた。
and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.	そして、時計は自分がいつもそこに出掛けている時刻を指していたけれども、玄関から流れ込んで来る群衆の中に自分に似寄った影も見えなかった。
It gave him little surprise, however;	とは云え、それはさして彼を驚かさなかった。
for he had been revolving in his mind a change of life, and thought and hoped he saw his new-born resolutions carried out in this.	何しろ心の中に生活の一変を考え廻らしていたし、またその変化の中では新たに生れた自分の決心が実現されるものと考えてもいたし、望んでもいたからである。
Quiet and dark, beside him stood the Phantom, with its outstretched hand.	静かに黒く、精霊はその手を差し伸べたまま彼の傍に立っていた。
When he roused himself from his thoughtful quest, he fancied from the turn of the hand, and its situation in reference to himself, that the Unseen Eyes were looking at him keenly.	彼が考えに沈んだ探究から眼を覚ました時、精霊の手の向き具合と自分に対するその位置から推定して、例の見えざる眼は鋭く自分を見詰めているなと思った。
It made him shudder, and feel very cold.	そう思うと、彼はぞっと身顫いが出て、ぞくぞく寒気がして来た。
They left the busy scene, and went into an obscure part of the town,	二人はその繁劇な場面を捨てて、市中の余り人にも知られない方面へ這入り込んで行った。
where Scrooge had never penetrated before, although he recognised its situation, and its bad repute.	スクルージも兼てそこの見当も、またこの好くない噂も聞いてはいたが、今までまだ一度も足を踏み入れたことはなかった。
The ways were foul and narrow;	その往来は不潔で狭かった。
the shops and houses wretched;	店も住宅もみすぼらしいものであった。
the people half-naked, drunken, slipshod, ugly.	人々は半ば裸体で、酔払って、だらしなく、醜くかった。
Alleys and archways, like so many cesspools, disgorged their offences of smell, and dirt, and life, upon the straggling streets;	路地や拱門路からは、それだけの数の下肥溜めがあると同じように、疎らに家の立っている街上へ、胸の悪くなるような臭気と、塵埃と、生物とを吐き出していた。
and the whole quarter reeked with crime, with filth, and misery.	そして、その一廓全体が罪悪と汚臭と不幸とでぷんぷん臭っていた。
Far in this den of infamous resort, there was a low-browed, beetling shop, below a pent-house roof, where iron, old rags, bottles, bones, and greasy offal, were bought.	このいかがわしい罪悪の巣窟の奥の方に、葺卸屋根の下に、軒の低い、廂の出張った店があって、そこでは鉄物や、古襤褸や、空壜、骨類、脂のべとべとした腸屑（わたくず）などを買入れていた。
Upon the floor within, were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.	内部の床の上には、銹ついた鍵だの、釘だの、鎖だの、蝶番いだの、鑪だの、秤皿だの、分銅だの、その他あらゆる種類の鉄の廃物が山の様に積まれてあった。
Secrets that few would like to scrutinise were bred and hidden in mountains of unseemly rags, masses of corrupted fat, and sepulchres of bones.	何人も精査することを好まないような秘密が醜い襤褸の山や、腐った脂身の塊りや、骨の墓場の中に育まれかつ隠されていた。
Sitting in among the wares he dealt in, by a charcoal stove, made of old bricks, was a grey-haired rascal, nearly seventy years of age;	古煉瓦で造った炭煖炉を傍にして、七十歳に近いかとも思われる白髪の悪漢が自分の売買する代物の間に坐り込んでいた。
who had screened himself from the cold air without, by a frousy curtaining of miscellaneous tatters, hung upon a line;	この男は一本の綱の上に懸け渡した種々雑多な襤褸布を穢（むさ）くるしい幕にして、戸外の冷たい風を防いでいた。
and smoked his pipe in all the luxury of calm retirement.	そして、穏やかな隠居所にぬくぬく暖まりながら、呑気に烟草を喫（ふ）かしていた。
Scrooge and the Phantom came into the presence of this man, just as a woman with a heavy bundle slunk into the shop.	スクルージと精霊とがこの男の前に来ると、ちょうどその時一人の女が大きな包みを持って店の中へこそこそと這入り込んで来た。
But she had scarcely entered, when another woman, similarly laden, came in too;	が、その女がまだ這入ったか這入り切らぬうちに、もう一人の女が同じように包みを抱えて這入って来た。
and she was closely followed by a man in faded black,	そして、この女のすぐ後から褪（は）げた黒い服を来た一人の男が随いて這入った。
who was no less startled by the sight of them, than they had been upon the recognition of each other.	二人の女も互に顔見合せて吃驚したものだが、この男は二人を見て同じように吃驚した。
After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.	暫時は、煙管を啣えた老爺までが一緒になって、ぽかんとあきれ返っていたが、やがて三人一緒にどっと笑い出した。
`Let the charwoman alone to be the first!'	「打捨（うっちゃ）って置いても、どうせ日傭い女は一番に来るのだ」
cried she who had entered first.	と、最初に這入って来た女は叫んだ。
`Let the laundress alone to be the second;	「どうせ二番目には洗濯婆さんが来るのだ、
and let the undertaker's man alone to be the third!	それから三番目にはどうせ葬儀屋さんがやって来るのさ。
Look here, old Joe, here's a chance.	ちょっと、老爺さん、これが物の拍子と云うものだよ。
If we haven't all three met here without meaning it.'	ああ三人が揃いも揃って云い合せたようにここで出喰わすとはねえ！」
`You couldn't have met in a better place,'	「お前方は一番好い場所で出会ったのさ」
said old Joe, removing his pipe from his mouth.	と、老ジョーは口から煙管（パイプ）を離しながら云った。
`Come into the parlour.	「さあ居間へ通らっしゃい。
You were made free of it long ago, you know;	お前はもうずっと以前から一々断らないでもそこへ通られるようになっているんだ。
and the other two an't strangers.	それから自余（あと）の二人も満更知らぬ顔ではない。
Stop till I shut the door of the shop.	まあ待て、俺が店の戸を閉めるまでよ。
Ah!	ああ、
How it skreeks.	何と云うきしむ戸だい！
There an't such a rusty bit of metal in the place as its own hinges, I believe;	この店にも店自身に緊着（くっつ）いてるこの蝶番いのように錆びた鉄っ片れは他にありゃしねえよ、本当にさ。
and I'm sure there's no such old bones here, as mine.	それにまた俺の骨ほど古びた骨はここにもないからね。
Ha, ha!	ははは！
We're all suitable to our calling, we're well matched.	俺達は皆この職業（しょうばい）に似合ってるさ、まったく似合いの夫婦と云うものだね。
Come into the parlour.	さあ居間へお這入り。
Come into the parlour.'	さあ居間へ！」
The parlour was the space behind the screen of rags.	居間というのは襤褸の帷幄（カーテン）の背後になっている空間であった。
The old man raked the fire together with an old stair-rod,	その老爺は階段の絨緞を抑えて置く古い鉄棒で火を掻き集めた。
and having trimmed his smoky lamp (for it was night), with the stem of his pipe, put it in his mouth again.	そして、持っていた煙管（パイプ）の羅宇（らう）で燻っている洋灯の心を直しながら（もう夜になっていたので、）再びその煙管を口へ持って行った。
While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool;	彼がこんな事をしている間に、既にもう饒舌ったことのある女は床の上に自分の包みを抛り出して、これ見よがしの様子をしながら床几の上に腰を下ろした
crossing her elbows on her knees, and looking with a bold defiance at the other two.	――両腕を膝の上で組み合せて、他の二人を馬鹿にしたようにしゃあしゃあと見やりながら。
`What odds then?	「で、どうしたと云うんだね！
What odds, Mrs Dilber?'	何がどうしたと云うんだえ、ええディルバアのお主婦さん？」
said the woman.	と、その女は云った。
`Every person has a right to take care of themselves.	「誰だって自分のためを思ってする権利はあるのさ。
He always did.'	あの人なんざ始終そうだったんだよ。」
`That's true, indeed,'	「そりゃそうだとも、実際！」
said the laundress.	と、洗濯婆は云った。
`No man more so.'	「何人（だれ）もあの人以上にそうしたものはないよ。」
`Why then, don't stand staring as if you was afraid, woman;	「じゃ、まあそう可怖（おっかな）そうにきょろきょろ立っていなくとも好う御座んさあね、お婆さん、
who's the wiser?	誰が知ってるもんですか。
We're not going to pick holes in each other's coats, I suppose!'	それに此方（こちとら）だってお互に何も弱点（あら）の拾いっこをしようと云うんじゃないでしょう、そうじゃないかね。」
`No, indeed!'	「そうじゃないともさ！」
said Mrs Dilber and the man together.	と、ディルバーの主婦さんとその男とは一緒に云った。
`We should hope not.'	「もちろんそんな積りはないとも。」
`Very well, then!'	「それなら結構だよ」
cried the woman.	と、その女は呶鳴った。
`That's enough.	「それでもう沢山なのさ。
Who's the worse for the loss of a few things like these?	これ位僅かな物を失くしたとて、誰が困るものかね。
Not a dead man, I suppose!'	まさか死んだ人が困りもしないだろうしねえ。」
`No, indeed,'	「まったくそうだよ」
said Mrs Dilber, laughing.	と、ディルバーの主婦さんは笑いながら云った。
`If he wanted to keep them after he was dead, a wicked old screw,'	「死んでからも、これが身に着けていたかったら、あの因業親爺がさ」
pursued the woman,	と、例の女は言葉を続けた。
`why wasn't he natural in his lifetime?	「生きている時に、何故人間並にしていなかったんだい？
If he had been, he'd have had somebody to look after him when he was struck with Death, instead of lying gasping out his last there, alone by himself.'	人間並にさえしてりゃ、お前、いくら死病に取り憑かれたからとて、誰かあの人の世話位する者はある筈だよ、ああして一人ぽっちであそこに寝たまま、最後の息を引き取らなくたってねえ。」
`It's the truest word that ever was spoke,'	「まったくそりゃ本当の話だよ」
said Mrs Dilber.	と、ディルバーの主婦さんは云った。
`It's a judgment on him!'	「あの人に罰が当ったんだねえ」
`I wish it was a little heavier judgment,'	「もう少し酷い罰が当てて貰いたかったねえ」
replied the woman;	と、例の女は答えた。
`and it should have been, you may depend upon it, if I could have laid my hands on anything else.	「なに、もっと他の品に手が着けられたら、大丈夫お前さん、もう少し酷い罰を当てて遣ったんだよ。
Open that bundle, old Joe,	その包みを解いておくれな、ジョー爺さんや。
and let me know the value of it.	そして、値段をつけて見ておくれな。
Speak out plain.	なに、明白（はっきり）と云うが可いのさ。
I'm not afraid to be the first, nor afraid for them to see it!	私ゃ一番先だって構やしないし、また皆さんに見ていられたって別段怖（こわ）かないんだよ。
We know pretty well that we were helping ourselves, before we met here, I believe.	私達はここで出会わさない前から、お互様に他人（ひと）の物をくすねていたことは好く承知しているんだからねえ。
It's no sin.	別段罪にゃならないやね。
Open the bundle, Joe.'	さあ包みをお開けよ、ジョー。」
But the gallantry of her friends would not allow of this;	が、二人の仲間にも侠気があって、仲々そうはさせて置かなかった。
and the man in faded black, mounting the breach first, produced his plunder.	禿げちょろの黒の服を着けた男が真先駆けに砦の裂目を攀じ登って、自分の分捕品を持ち出した。
It was not extensive.	それは量高（かさだか）の物ではなかった。
A seal or two, a pencil-case, a pair of sleeve-buttons, and a brooch of no great value, were all.	印刻が一つ二つ、鉛筆入れが一個、袖口（カフス）ボタンが一組、それに安物の襟留めと、これだけであった。
They were severally examined and appraised by old Joe,	品物はジョー爺さんの手で一々検められ、値踏みされた。
who chalked the sums he was disposed to give for each, upon the wall,	爺さんはそれぞれの品に対して自分がこれだけなら出してもいいと云う値段を壁の上に白墨で記した。
and added them up into a total when he found there was nothing more to come.	そしていよいよこれだけで、後にはもう何もないと見ると、その総額を締め合せた。
`That's your account,'	「これがお前さんの分だよ」
said Joe,	と、ジョーは云った。
`and I wouldn't give another sixpence, if I was to be boiled for not doing it.	「釜で煮られるからと云っても、この上は六ペンスだって出せないよ。
Who's next?'	さ、お次は誰だい？」
Mrs Dilber was next.	ディルバーの主婦さんがその次であった。
Sheets and towels, a little wearing apparel, two old-fashioned silver teaspoons, a pair of sugar-tongs, and a few boots.	上敷とタウェルの類、少し許りの衣裳、旧式の銀の茶匙二本、一挺の角砂糖挟み、それに長靴二三足。
Her account was stated on the wall in the same manner.	彼女の勘定も前と同じように壁の上に記された。
`I always give too much to ladies.	「俺は婦人にはいつも余計に出し過ぎてね。
It's a weakness of mine,	これが俺の悪い癖さ。
and that's the way I ruin myself,'	またそれがために損ばかりしているのさ」
said old Joe.	と、ジョー老爺は云った。
`That's your account.	「これがお前さんの勘定だよ。
If you asked me for another penny, and made it an open question, I'd repent of being so liberal and knock off half-a-crown.'	この上一文でも増せなどと云って、まだこれを決着しないものにする気なら、俺は折角奮発したのを後悔して、半クラウン位差引く積りだよ。」
`And now undo my bundle, Joe,'	「さあ、今夜は私の荷物をお解きよ、ジョーさん。」
said the first woman.	と、最初の女が云った。
Joe went down on his knees for the greater convenience of opening it, and having unfastened a great many knots, dragged out a large and heavy roll of some dark stuff.	ジョーはその包みを開き好いように両膝を突いて、幾つも幾つもの結び目を解いてからに、大きな重そうな巻き物になった何だか黒っぽい布片（きれ）を引き摺り出した。
`What do you call this?'	「こりゃ何だね？」
said Joe.	と、ジョーは云った。
`Bed-curtains?'	「寝台の帷幄（カーテン）かい。」
`Ah!'	「ああ！」
returned the woman, laughing and leaning forward on her crossed arms.	と、例の女は腕組みをしたまま、前へ屈身（こご）むようにして、笑いながら返辞をした、
`Bed-curtains!'	「寝台の帷幄だよ。」
`You don't mean to say you took them down, rings and all, with him lying there?'	「お前さんもまさかあの人をあそこに寝かしたまま、環ぐるみそっくりこれを引っ外して来たと云う積りじゃなかろうね。」
said Joe.	と、ジョーは云った。
`Yes I do,'	「そうだよ、そう云う積りなんだよ」
replied the woman.	と、その女は答えた。
`Why not?'	「だって、いけないかね。」
`You were born to make your fortune,'	「お前さんは身代造りに生れついてるんだねえ」
said Joe,	と、ジョーは云った。
`and you'll certainly do it!'	「今にきっと一身代造るよ。」
`I certainly shan't hold my hand, when I can get anything in it by reaching it out, for the sake of such a man as he was, I promise you, Joe,'	「そうさ、私も手を伸ばすだけで何がしでもその中に握れるような場合に、あの爺さんのようなあんな奴のためにその手を引っ込めるような、そんな遠慮はしない積りだよ、ジョーさん、お前さんに約束して置いても可いがね」
returned the woman coolly.	と、例の女は冷やかに返答した。
`Don't drop that oil upon the blankets, now.'	「その油を毛布の上へ垂らさないようにしておくれよ。」
`His blankets?'	「あの人の毛布かね」
asked Joe.	と、ジョーは訊ねた。
`Whose else's do you think?'	「あの人のでなけりゃ、誰のだと云うんだよ」
replied the woman.	と、女は答えた。
`He isn't likely to take cold without them, I dare say.'	「あの人も（ああなっては）毛布がなくたって風邪を引きもしまいじゃないか、本当の話がさ。」
`I hope he didn't die of any thing catching!	「まさか伝染病で死んだんじゃあるまいね、
Eh?'	ええ？」
said old Joe, stopping in his work, and looking up.	と、老ジョーは仕事の手を止めて、（相手を）見上げながら云った。
`Don't you be afraid of that,'	「そんな事はびくびくしないでも可いよ」
returned the woman.	と、女は云い返した。
`I an't so fond of his company that I'd loiter about him for such things, if he did.	「そんな事でもありゃ、いくら私だってこんな物のためにいつまでも彼奴の周りをうろついているほど、彼奴のお相手が好きじゃないんだからね。
Ah!	ああ！
you may look through that shirt till your eyes ache;	その襯衣（シャツ）が見たけりゃ、お前さんの眼が痛くなるまで好く御覧なさいだ。
but you won't find a hole in it, nor a threadbare place.	だが、いくら見ても、穴一つ見附ける訳にゃ行かないだろうよ、擦り切れ一つだってさ。
It's the best he had,	これが彼奴の持っていた一番上等のだからね。
and a fine one too.	また実際好い物だよ。
They'd have wasted it, if it hadn't been for me.'	私でもこれを手に入れなかろうものなら、他の奴等はむざむざと打捨（うっちゃ）ってしまうところなんだよ。」
`What do you call wasting of it?'	「打捨（うっちゃ）るってどう云うことなんだい？」
asked old Joe.	と、老ジョーは訊ねた。
`Putting it on him to be buried in, to be sure,'	「彼奴に着せたまま一緒に埋めてやるのに極まってらあね」
replied the woman with a laugh.	と、その女は笑いながら答えた。
`Somebody was fool enough to do it,	「誰か知らんが、そんな真似をする馬鹿野郎があったのさ。
but I took it off again.	でも、（良い按排に）私が（それを見附けて、）もう一度脱がして持って来ちまったんだよ。
If calico an't good enough for such a purpose, it isn't good enough for anything.	そんな目的には（キャリコで沢山さ。）キャリコで間に合わなかったら、キャリコなんてえものは何にだって役に立ちはしないよ。
It's quite as becoming to the body.	死骸には（麻の襯衣）同様しっくり似合うものね。
He can't look uglier than he did in that one.'	彼奴があの（麻の）襯衣を着ていた時見っともなく見えたよりも、見っともなく見える筈はないよ。」
