THE MERMAID DEN LILLE HAVFRUE	人魚のひいさま
We fly to the tropics where mankind is the victim of hot and pestilent winds;	（あたしたちは、あつい国へいきますが、そこは人間なら、むんむとする熱病の毒気で死ぬような所です。
there we bring cooling breezes.	そこへすずしい風をあたしたちはもっていきます。
We diffuse the scent of flowers all around, and bring refreshment and healing in our train.	空のなかに花のにおいをふりまいて、ものをさわやかにまたすこやかにする力をはこびます。
When, for three hundred years, we have laboured to do all the good in our power, we gain an undying soul and take a part in the everlasting joys of mankind.	こうして、三百年のあいだつとめて、あたしたちの力のおよぶかぎりのいい行いをしつくしたあと、死なないたましいをさずかり、人間のながい幸福をわけてもらうことになるのです。
You, poor little mermaid, have with your whole heart struggled for the same thing as we have struggled for.	お気のどくな人魚のひいさま、あなたもやはりあたしたち同様まごころこめて、おなじ道におつとめになったのね。
You have suffered and endured,	よくも苦みをおこらえなさったのね。
raised yourself to the spirit-world of the air,	それで、いま、大空の気息（いき）の世界へ、ごじぶんを引き上げるまでになったのてすよ。
and now, by your own good deeds you may, in the course of three hundred years, work out for yourself an undying soul.'	あと三百年、よい行いのちからで、やがて死ぬことのないたましいがさずかることになるでしょう。」
Then the little mermaid lifted her transparent arms towards God's sun, and for the first time shed tears.	そのとき、人魚のひいさまは、神さまのお日さまにむかって、光る手をさしのべて、生まれてはじめての涙を目にかんじました。
On board ship all was again life and bustle.	――そのとき、船の上は、またもがやがやしはじめました。
She saw the prince with his lovely bride searching for her;	王子と花よめがじぶんをさがしているのを、ひいさまはみました。
they looked sadly at the bubbling foam,	ふたりは、かなしそうに、わき立つ海のあわをながめました。
as if they knew that she had thrown herself into the waves.	ひいさまが海にはいってそれがあわになったことを知っているもののようでした。
Unseen she kissed the bride on her brow, smiled at the prince,	目にはみえないながら、ひいさまは、花よめのひたいにせっぷんをおくって、王子にほほえみかけました。
and rose aloft with the other spirits of the air to the rosy clouds which sailed above.	さて、ほかの大空のむすめたちとともども、そらのなかにながれてくるばら色の雲にまぎれて、たかくのぼって行きました。
'In three hundred years we shall thus float into Paradise.'	「すると、三百年たてば、あたしたち、こうしてただよいながら、やがて神さまのお国までものぼって行けるのね。」
'We might reach it sooner,'	「いいえ、そう待たないでも、いけるかもしれませんの。」
whispered one.	と、大空のむすめのひとりがささやいてくれました。
'Unseen we flit into those homes of men where there are children,	「目にはみえないけれど、あたしたちは、こどもたちのいるところなら、どの人間の家にもただよっています。
and for every day that we find a good child who gives pleasure to its parents and deserves their love God shortens our time of probation.	そこで毎日、その親たちをよろこばせ、その愛（いつく）しみをうけているいい子をみつけるたんびに、そのためしのときがみじかくなります。
The child does not know when we fly through the room,	こどもは、いつ、あたしたちがへやのなかへはとんで行くかしらないのです。
and when we smile with pleasure at it one year of our three hundred is taken away.	でも、あたしたちが、いいこどもをみて、ついよろこんでほほえみかけるとき、三百年が一年へります。
But if we see a naughty or badly disposed child, we cannot help shedding tears of sorrow, and every tear adds a day to the time of our probation.'	けれど、そのかわり、いたずらな、またはいけないこどもをみて、かなしみの涙をながさせられると、そのひとしずくのために、あたしたちのためしのときも、一日だけのびることになるのですよ。」
