SILVER BLAZE	白銀の失踪
``My final shot was, I confess, a very long one.	「正直に申すと、私の最後の断定は極めて大胆でした。
It struck me that so astute a man as Straker would not undertake this delicate tendon-nicking without a little practise.	ストレーカのような狡猾な男が、この難しい腱の手術をするに、少しも練習なしにいきなりやるはずはないと気がついたのです。
What could he practise on?	ではどうしたら練習が出来るでしょう？
My eyes fell upon the sheep, and I asked a question which, rather to my surprise,	その時、私はふと羊のことを思い、訊ねてみると、自分でも驚くほど私の推定が当ってるのを知りました」
showed that my surmise was correct.	「これで何もかも完全に判明しました」
``When I returned to London I called upon the milliner, who had recognized Straker as an excellent customer of the name of Derbyshire, who had a very dashing wife, with a strong partiality for expensive dresses.	「ロンドンへ帰ってから帽飾店へ行ってみますと、ストレーカはダービシャといって、特に高価な服の好きな、見栄坊の妻を持ったその店の上客だということが分りました。
I have no doubt that this woman had plunged him over head and ears in debt, and so led him into this miserable plot.''	この女がストレーカを借財で首のまわらぬまでにし、遂にこの悲惨な結果に終った陰謀を企ませたことは申すまでもありません」
``You have explained all but one thing,''	「すっかり分りましたが、一つだけまだお話し下さらないことがあります。
``Where was the horse?''	馬はいったいどこにいたのですか？」
``Ah, it bolted, and was cared for by one of your neighbours.	「馬ですか、馬は逸走してしまって、あの附近のある人の保護を受けていたのです。
We must have an amnesty in that direction, I think.	その辺のことは大目に見ておかなければなりますまい。
This is Clapham Junction, if I am not mistaken,	ああ、ここはどうやらクラパムの乗換駅ですね？
and we shall be in Victoria in less than ten minutes.	ヴィクトリア・ステーションまではもう十分とかかりません。
If you care to smoke a cigar in our rooms, Colonel,	大佐、私のところへお寄り下すって、葉巻でもおやりになりませんか？
I shall be happy to give you any other details which might interest you.''	この他に何かお訊ねになりたいことでもありましたら、何んなりと喜んでお答えいたします」
