BOTCHAN (MASTER DARLING)	坊っちゃん
I was deeply impressed by his massive strength, and asked him if he could not knock five or six of Red Shirt in a bunch.	おれはあまり感心したから、君そのくらいの腕なら、赤シャツの五人や六人は一度に張り飛ばされるだろうと聞いたら、
"Of course," he said, and as he extended and bent back the arm, the lumpy muscle rolled round and round,	無論さと云いながら、曲げた腕を伸（の）ばしたり、縮ましたりすると、力瘤がぐるりぐるりと皮のなかで廻転（かいてん）する。
which was very amusing.	すこぶる愉快（ゆかい）だ。
According to the statement of Porcupine himself, this muscle, if he bends the arm back with force, would snap a paper-string wound around it twice.	山嵐の証明する所によると、かんじん綯（よ）りを二本より合せて、この力瘤の出る所へ巻きつけて、うんと腕を曲げると、ぷつりと切れるそうだ。
I said I might do the same thing if it were a paper-string, and he challenged me.	かんじんよりなら、おれにも出来そうだと云ったら、
"No, you can't," he said. "See if you can."	出来るものか、出来るならやってみろと来た。
As it would not look well if I failed, I did not try.	切れないと外聞がわるいから、おれは見合せた。
"Say, after you have drunk all you want to-night at the dinner, take a fall out of Red Shirt and Clown, eh?"	君どうだ、今夜の送別会に大いに飲んだあと、赤シャツと野だを撲（なぐ）ってやらないか
I suggested to him for fun.	と面白半分に勧めてみたら、
Porcupine thought for a moment and said, "Not to-night, I guess."	山嵐はそうだなと考えていたが、今夜はまあよそうと云った。
I wanted to know why, and he pointed out that it would be bad for Koga.	なぜと聞くと、今夜は古賀に気の毒だから
"Besides, if I'm going to give it to them at all, I've to get them red handed in their dirty scheme, or all the blame will be on me,"	――それにどうせ撲るくらいなら、あいつらの悪るい所を見届けて現場で撲らなくっちゃ、こっちの落度になるから
he added discretely.	と、分別のありそうな事を附加（つけた）した。
Even Porcupine seems to have wiser judgment than I.	山嵐でもおれよりは考えがあると見える。
"Then make a speech and praise Mr. Koga sky-high.	じゃ演説をして古賀君を大いにほめてやれ、
My speech becomes sort of jumpy, wanting dignity.	おれがすると江戸っ子のぺらぺらになって重みがなくていけない。
And at any formal gathering, I get lumpy in my throat, and can't speak.	そうして、きまった所へ出ると、急に溜飲（りゅういん）が起って咽喉（のど）の所へ、大きな丸（たま）が上がって来て言葉が出ないから、
So I leave it to you," I said.	君に譲（ゆず）るからと云ったら、
"That's a strange disease.	妙な病気だな、
Then you can't speak in the presence of other people?	じゃ君は人中じゃ口は利けないんだね、
It would be awkward, I suppose,"	困るだろう、
he said, and I told him not quite as much awkward as he might think.	と聞くから、何そんなに困りゃしないと答えておいた。
About then, the time for the farewell dinner party arrived, and I went to the hall with Porcupine.	そうこうするうち時間が来たから、山嵐と一所に会場へ行く。
The dinner party was to be held at Kashin-tei which is said to be the leading restaurant in the town, but I had never been in the house before.	会場は花晨亭（かしんてい）といって、当地（ここ）で第一等の料理屋だそうだが、おれは一度も足を入れた事がない。
This restaurant, I understood, was formerly the private residence of the chief retainer of the daimyo of the province, and its condition seemed to confirm the story.	もとの家老とかの屋敷（やしき）を買い入れて、そのまま開業したという話だが、なるほど見懸（みかけ）からして厳（いか）めしい構えだ。
The residence of a chief retainer transformed into a restaurant was like making a saucepan out of warrior's armor.	家老の屋敷が料理屋になるのは、陣羽織（じんばおり）を縫（ぬ）い直して、胴着（どうぎ）にする様なものだ。
When we two came there, about all of the guests were present.	二人が着いた頃（ころ）には、人数（にんず）ももう大概揃（たいがいそろ）って、
They formed two or three groups in the spacious room of fifty mats.	五十畳（じょう）の広間に二つ三つ人間の塊（かたまり）が出来ている。
The alcove in this room, in harmony with its magnificence, was very large.	五十畳だけに床（とこ）は素敵に大きい。
The alcove in the fifteen-mat room which I occupied at Yamashiro-ya made a small showing beside it.	おれが山城屋で占領（せんりょう）した十五畳敷の床とは比較にならない。
I measured it and found it was twelve feet wide.	尺を取ってみたら二間あった。
On the right, in the alcove, there was a seto-ware flower vase, painted with red designs, in which was a large branch of pine tree.	右の方に、赤い模様のある瀬戸物の瓶（かめ）を据（す）えて、その中に松（まつ）の大きな枝（えだ）が挿（さ）してある。
Why the pine twigs, I did not know, except that they are in no danger of withering for many a month to come, and are economical.	松の枝を挿して何にする気か知らないが、何ヶ月立っても散る気遣いがないから、銭が懸らなくって、よかろう。
I asked the teacher of natural history where that seto-ware flower vase is made.	あの瀬戸物はどこで出来るんだと博物の教師に聞いたら、
He told me it was not a seto-ware but an imari.	あれは瀬戸物じゃありません、伊万里（いまり）ですと云った。
Isn't imari seto-ware? I wondered audibly, and the natural history man laughed.	伊万里だって瀬戸物じゃないかと、云ったら、博物はえへへへへと笑っていた。
I heard afterward that we call it a seto-ware because it is made in Seto.	あとで聞いてみたら、瀬戸で出来る焼物だから、瀬戸と云うのだそうだ。
I'm a Yedo kid, and thought all china was seto-wares.	おれは江戸っ子だから、陶器（とうき）の事を瀬戸物というのかと思っていた。
In the center of the alcove was hung a panel on which were written twenty eight letters, each letter as large as my face.	床の真中に大きな懸物があって、おれの顔くらいな大きさな字が二十八字かいてある。
It was poorly written;	どうも下手（へた）なものだ。
so poorly indeed that I enquired of the teacher of Confucius why such a poor work be hung in apparent show of pride.	あんまり不味（まず）いから、漢学の先生に、なぜあんなまずいものを麗々（れいれい）と懸けておくんですと尋（たず）ねたところ、
He explained that it was written by Kaioku a famous artist in the writing, but Kaioku or anyone else,	先生はあれは海屋（かいおく）といって有名な書家のかいた者だと教えてくれた。
I still declare the work poorly done.	海屋だか何だか、おれは今だに下手だと思っている。
By and by, Kawamura, the clerk, requested all to be seated.	やがて書記の川村がどうかお着席をと云うから、
I chose one in front of a pillar so I could lean against it.	柱があって靠（よ）りかかるのに都合のいい所へ坐（すわ）った。
Badger sat in front of the panel of Kaioku in Japanese full dress.	海屋の懸物の前に狸（たぬき）が羽織（はおり）、袴（はかま）で着席すると、
On his left sat Red Shirt similarly dressed,	左に赤シャツが同じく羽織袴で陣取（じんど）った。
and on his right Hubbard Squash, as the guest of honor, in the same kind of dress.	右の方は主人公だというのでうらなり先生、これも日本服で控（ひか）えている。
I was dressed in a European suit, and being unable to sit down, squatted on my legs at once.	おれは洋服だから、かしこまるのが窮屈（きゅうくつ）だったから、すぐ胡坐（あぐら）をかいた。
The teacher of physical culture next to me, though in the same kind of rags as mine, sat squarely in Japanese fashion.	隣（とな）りの体操（たいそう）教師は黒ずぼんで、ちゃんとかしこまっている。
As a teacher of his line he appeared to have well trained himself.	体操の教師だけにいやに修行が積んでいる。
Then the dinner trays were served	やがてお膳（ぜん）が出る。
and the bottles placed beside them.	徳利（とくり）が並（なら）ぶ。
The manager of the day stood up and made a brief opening address.	幹事が立って、一言（いちごん）開会の辞を述べる。
He was followed by Badger	それから狸が立つ。
and Red Shirt.	赤シャツが起（た）つ。
These two made farewell addresses, and dwelt at length on Hubbard Squash being an ideal teacher and gentleman, expressing their regret, saying his departure was a great loss not only to the school but to them in person.	ことごとく送別の辞を述べたが、三人共申し合せたようにうらなり君の、良教師で好人物な事を吹聴（ふいちょう）して、今回去られるのはまことに残念である、学校としてのみならず、個人として大いに惜しむところであるが、
They concluded that it could not be helped, however, since the transfer was due to his own earnest desire and for his own convenience.	ご一身上のご都合で、切に転任をご希望になったのだから致（いた）し方（かた）がないという意味を述べた。
They appeared to be ashamed not in the least by telling such a lie at a farewell dinner.	こんな嘘（うそ）をついて送別会を開いて、それでちっとも恥（はず）かしいとも思っていない。
Particularly, Red Shirt, of these three, praised Hubard Squash in lavish terms.	ことに赤シャツに至って三人のうちで一番うらなり君をほめた。
He went so far as to declare that to lose this true friend was a great personal loss to him.	この良友を失うのは実に自分にとって大なる不幸であるとまで云った。
Moreover, his tone was so impressive in its same old gentle tone that one who listens to him for the first time would be sure to be misled.	しかもそのいい方がいかにも、もっともらしくって、例のやさしい声を一層やさしくして、述べ立てるのだから、始めて聞いたものは、誰でもきっとだまされるに極（きま）ってる。
Probably he won the Madonna by this same trick.	マドンナも大方この手で引掛（ひっか）けたんだろう。
While Red Shirt was uttering his farewell buncomb, Porcupine who sat on the other side across me, winked at me.	赤シャツが送別の辞を述べ立てている最中、向側（むかいがわ）に坐っていた山嵐がおれの顔を見てちょっと稲光（いなびかり）をさした。
As an answer of this, I "snooked" at him.	おれは返電として、人指し指でべっかんこうをして見せた。
No sooner had Red Shirt sat down than Porcupine stood up, and highly rejoiced, I clapped hands.	赤シャツが座に復するのを待ちかねて、山嵐がぬっと立ち上がったから、おれは嬉（うれ）しかったので、思わず手をぱちぱちと拍（う）った。
At this Badger and others glanced at me, and I felt that I blushed a little.	すると狸を始め一同がことごとくおれの方を見たには少々困った。
"Our principal and other gentlemen," he said, "particularly the head teacher, expressed their sincere regret at Mr. Koga's transfer.	山嵐は何を云うかと思うとただ今校長始めことに教頭は古賀君の転任を非常に残念がられたが、
I am of a different opinion, and hope to see him leave the town at the earliest possible moment.	私は少々反対で古賀君が一日（いちじつ）も早く当地を去られるのを希望しております。
Nobeoka is an out-of-the-way, backwoods town, and compared with this town, it may have more material inconveniences,	延岡は僻遠（へきえん）の地で、当地に比べたら物質上の不便はあるだろう。
but according to what I have heard, Nobeoka is said to be a town where the customs are simple and untainted, and the teachers and students still strong in the straightforward characteristics of old days.	が、聞くところによれば風俗のすこぶる淳朴（じゅんぼく）な所で、職員生徒ことごとく上代樸直（じょうだいぼくちょく）の気風を帯びているそうである。
I am convinced that in Nobeoka there is not a single high-collared guy who passes round threadbare remarks, or who with smooth face, entraps innocent people.	心にもないお世辞を振（ふ）り蒔（ま）いたり、美しい顔をして君子を陥（おとしい）れたりするハイカラ野郎は一人もないと信ずるからして、
I am sure that a man like Mr. Koga, gentle and honest, will surely be received with an enthusiastic welcome there.	君のごとき温良篤厚（とっこう）の士は必ずその地方一般の歓迎（かんげい）を受けられるに相違（そうい）ない。
I heartily welcome this transfer for the sake of Mr. Koga.	吾輩（わがはい）は大いに古賀君のためにこの転任を祝するのである。
In concluding, I hope that when he is settled down at Nobeoka, he will find a lady qualified to become his wife, and form a sweet home at an early date and incidentally let the inconstant, unchaste sassy old wench die ashamed ...... a'hum, a'hum!"	終りに臨んで君が延岡に赴任（ふにん）されたら、その地の淑女（しゅくじょ）にして、君子の好逑（こうきゅう）となるべき資格あるものを択（えら）んで一日（いちじつ）も早く円満なる家庭をかたち作って、かの不貞無節なるお転婆（てんば）を事実の上において慚死（ざんし）せしめん事を希望します。
He coughed twice significantly and sat down.	えへんえへんと二つばかり大きな咳払（せきばら）いをして席に着いた。
I thought of clapping my hands again, but as it would draw attention, I refrained.	おれは今度も手を叩（たた）こうと思ったが、またみんながおれの面（かお）を見るといやだから、やめにしておいた。
When Porcupine finished his speech, Hubbard Squash arose politely,	山嵐が坐ると今度はうらなり先生が起った。
slipped out of his seat, went to the furthest end of the room, and having bowed to all in a most respectful manner, acknowledged the compliments in the following way;	先生はご鄭寧（ていねい）に、自席から、座敷の端（はし）の末座まで行って、慇懃（いんぎん）に一同に挨拶（あいさつ）をした上、
"On the occasion of my going to Kyushu for my personal convenience, I am deeply impressed and appreciate the way my friends have honored me with this magnificent dinner	今般は一身上の都合で九州へ参る事になりましたについて、諸先生方が小生のためにこの盛大（せいだい）なる送別会をお開き下さったのは、まことに感銘（かんめい）の至りに堪（た）えぬ次第で
....... The farewell addresses by our principal and other gentlemen will be long held in my fondest recollection.......	――ことにただ今は校長、教頭その他諸君の送別の辞を頂戴（ちょうだい）して、大いに難有（ありがた）く服膺（ふくよう）する訳であります。
I am going far away now, but I hope my name be included in the future as in the past in the list of friends of the gentlemen here to-night."	私はこれから遠方へ参りますが、なにとぞ従前の通りお見捨てなくご愛顧（あいこ）のほどを願います。
Then again bowing, he returned to his seat.	とへえつく張って席に戻（もど）った。
There was no telling how far the "good-naturedness" of Hubbard Squash might go.	うらなり君はどこまで人が好いんだか、ほとんど底が知れない。
He had respectfully thanked the principal and the head teacher who had been fooling him.	自分がこんなに馬鹿にされている校長や、教頭に恭（うやうや）しくお礼を云っている。
And it was not a formal, cut-and-dried reply he made, either;	それも義理一遍（いっぺん）の挨拶ならだが、
by his manner, tone and face, he appeared to have been really grateful from his heart.	あの様子や、あの言葉つきや、あの顔つきから云うと、心（しん）から感謝しているらしい。
Badger and Red Shirt should have blushed when they were addressed so seriously by so good a man as Hubbard Squash, but they only listened with long faces.	こんな聖人に真面目にお礼を云われたら、気の毒になって、赤面しそうなものだが狸も赤シャツも真面目に謹聴（きんちょう）しているばかりだ。
After the exchange of addresses, a sizzling sound was heard here and there,	挨拶が済んだら、あちらでもチュー、こちらでもチュー、という音がする。
and I too tried the soup which tasted like anything but soup.	おれも真似をして汁（しる）を飲んでみたがまずいもんだ。
There was kamaboko in the kuchitori dish, but instead of being snow white as it should be, it looked grayish, and was more like a poorly cooked chikuwa.	口取（くちとり）に蒲鉾（かまぼこ）はついてるが、どす黒くて竹輪の出来損（できそこ）ないである。
The sliced tunny was there, but not having been sliced fine, passed the throat like so many pieces of chopped raw tunny.	刺身（さしみ）も並んでるが、厚くって鮪（まぐろ）の切り身を生で食うと同じ事だ。
Those around me, however, ate with ravenous appetite.	それでも隣（とな）り近所の連中はむしゃむしゃ旨（うま）そうに食っている。
They have not tasted, I guess, the real Yedo dinner.	大方江戸前の料理を食った事がないんだろう。
Meanwhile the bottles began passing round, and all became more or less "jacked up."	そのうち燗徳利（かんどくり）が頻繁（ひんぱん）に往来し始めたら、四方が急に賑（にぎ）やかになった。
Clown proceeded to the front of the principal and submissively drank to his health.	野だ公は恭しく校長の前へ出て盃（さかずき）を頂いてる。
A beastly fellow, this!	いやな奴だ。
Hubbard Squash made a round of all the guests, drinking to their health.	うらなり君は順々に献酬（けんしゅう）をして、一巡周（いちじゅんめぐ）るつもりとみえる。
A very onerous job, indeed.	はなはだご苦労である。
When he came to me and proposed my health, I abandoned the squatting posture and sat up straight.	うらなり君がおれの前へ来て、一つ頂戴致しましょうと袴のひだを正して申し込まれたから、おれも窮屈にズボンのままかしこまって、一盃（ぱい）差し上げた。
"Too bad to see you go away so soon.	せっかく参って、すぐお別れになるのは残念ですね。
When are you going?	ご出立（しゅったつ）はいつです、
I want to see you off at the beach,"	是非浜までお見送りをしましょう
I said.	と云ったら、
"Thank you, Sir. But never mind that. You're busy," he declined.	うらなり君はいえご用多（おお）のところ決してそれには及（およ）びませんと答えた。
He might decline, but I was determined to get excused for the day and give him a rousing send-off.	うらなり君が何と云ったって、おれは学校を休んで送る気でいる。
Within about an hour from this, the room became pretty lively.	それから一時間ほどするうちに席上は大分乱れて来る。
"Hey, have another, hic;	まあ一杯（ぱい）、
ain't goin', hic, have one on me?"	おや僕が飲めと云うのに
One or two already in a pickled state appeared on the scene.	……などと呂律（ろれつ）の巡（まわ）りかねるのも一人二人（ひとりふたり）出来て来た。
I was little tired, and going out to the porch, was looking at the old fashioned garden by the dim star light, when Porcupine came.	少々退屈（たいくつ）したから便所へ行って、昔風な庭を星明りにすかして眺（なが）めていると山嵐が来た。
"How did you like my speech? Wasn't it grand, though!"	どうださっきの演説はうまかったろう。
he remarked in a highly elated tone.	と大分得意である。
I protested that while I approved 99 per cent, of his speech, there was one per cent, that I did not.	大賛成だが一ヶ所気に入らないと抗議（こうぎ）を申し込んだら、
"What's that one per cent?" he asked.	どこが不賛成だと聞いた。
"Well, you said,...... there is not a single high-collared guy who with smooth face entraps innocent people......."	「美しい顔をして人を陥れるようなハイカラ野郎は延岡に居（お）らないから……と君は云ったろう」
"Yes."	「うん」
"A 'high-collared guy' isn't enough."	「ハイカラ野郎だけでは不足だよ」
"Then what should I say?"	「じゃ何と云うんだ」
"Better say,--'a high-collared guy; swindler, bastard, super-swanker, doubleface, bluffer, totempole, spotter, who looks like a dog as he yelps.'"	「ハイカラ野郎の、ペテン師の、イカサマ師の、猫被（ねこっかぶ）りの、香具師（やし）の、モモンガーの、岡っ引きの、わんわん鳴けば犬も同然な奴とでも云うがいい」
"I can't get my tongue to move so fast.	「おれには、そう舌は廻らない。
You're eloquent.	君は能弁だ。
In the first place, you know a great many simple words.	第一単語を大変たくさん知ってる。
Strange that you can't make a speech."	それで演舌（えんぜつ）が出来ないのは不思議だ」
"I reserve these words for use when I chew the rag.	「なにこれは喧嘩（けんか）のときに使おうと思って、用心のために取っておく言葉さ。
If it comes to speech-making, they don't come out so smoothly."	演舌となっちゃ、こうは出ない」
"Is that so?	「そうかな、
But they simply come a-running.	しかしぺらぺら出るぜ。
Repeat that again for me."	もう一遍やって見たまえ」
"As many times as you like.	「何遍でもやるさいいか。
Listen,--a high-collared guy, swindler, bastard, super-swanker ..."	――ハイカラ野郎のペテン師の、イカサマ師の……」
While I was repeating this, two shaky fellows came out of the room hammering the floor.	と云いかけていると、椽側（えんがわ）をどたばた云わして、二人ばかり、よろよろしながら馳（か）け出して来た。
"Hey, you two gents,	「両君そりゃひどい、
if won't do to run away.	――逃げるなんて、
Won't let you off while I'm here. Come and have a drink.	――僕が居るうちは決して逃（にが）さない、さあのみたまえ。
Bastard?	――いかさま師？
That's fine.	――面白い、
Bastardly fine.	いかさま面白い。
Now, come on."	――さあ飲みたまえ」
And they pulled Porcupine and me away.	とおれと山嵐をぐいぐい引っ張って行く。
These two fellows really had come to the lavatory, but soaked as they were, in booze bubbles, they apparently forgot to proceed to their original destination, and were pulling us hard.	実はこの両人共便所に来たのだが、酔（よ）ってるもんだから、便所へはいるのを忘れて、おれ等を引っ張るのだろう。
All booze fighters seem to be attracted by whatever comes directly under their eyes for the moment and forget what they had been proposing to do.	酔っ払いは目の中（あた）る所へ用事を拵えて、前の事はすぐ忘れてしまうんだろう。
"Say, fellows, we've got bastards.	「さあ、諸君、いかさま師を引っ張って来た。
Make them drink.	さあ飲ましてくれたまえ。
Get them loaded.	いかさま師をうんと云うほど、酔わしてくれたまえ。
You gents got to stay here."	君逃げちゃいかん」
And they pushed me who never attempted to escape against the wall.	と逃げもせぬ、おれを壁際（かべぎわ）へ圧（お）し付けた。
Surveying the scene, I found there was no dish in which any edibles were left.	諸方を見廻してみると、膳の上に満足な肴の乗っているのは一つもない。
Some one had eaten all his share, and gone on a foraging expedition.	自分の分を奇麗（きれい）に食い尽（つく）して、五六間先へ遠征（えんせい）に出た奴もいる。
The principal was not there,--I did not know when he left.	校長はいつ帰ったか姿が見えない。
At that time, preceded by a coquetish voice, three or four geishas entered the room.	ところへお座敷はこちら？
I was a bit surprised, but having been pushed against the wall, I had to look on quietly.	おれも少し驚（おど）ろいたが、壁際へ圧し付けられているんだから、じっとしてただ見ていた。
At the instant, Red Shirt who had been leaning against a pillar with the same old amber pipe stuck into his mouth with some pride, suddenly got up and started to leave the room.	すると今まで床柱（とこばしら）へもたれて例の琥珀（こはく）のパイプを自慢（じまん）そうに啣（くわ）えていた、赤シャツが急に起（た）って、座敷を出にかかった。
One of the geishas who was advancing toward him smiled and courtesied at him as she passed by him.	向（むこ）うからはいって来た芸者の一人が、行き違いながら、笑って挨拶をした。
The geisha was the youngest and prettiest of the bunch.	その一人は一番若くて一番奇麗な奴だ。
They were some distance away from me and I could not see very well, but it seemed that she might have said "Good evening."	遠くで聞（きこ）えなかったが、おや今晩はぐらい云ったらしい。
Red Shirt brushed past as if unconscious, and never showed again.	赤シャツは知らん顔をして出て行ったぎり、顔を出さなかった。
Probably he followed the principal.	大方校長のあとを追懸（おいか）けて帰ったんだろう。
The sight of the geishas set the room immediately in a buzz and it became noisy as they all raised howls of welcome.	芸者が来たら座敷中急に陽気になって、一同が鬨（とき）の声を揚（あ）げて歓迎（かんげい）したのかと思うくらい、騒々（そうぞう）しい。
Some started the game of "nanko"	そうしてある奴はなんこを攫（つか）む。
with a force that beat the sword-drawing practice.	その声の大きな事、まるで居合抜（いあいぬき）の稽古（けいこ）のようだ。
Others began playing morra,	こっちでは拳（けん）を打ってる。
and the way they shook their hands, intently absorbed in the game, was a better spectacle than a puppet show.	よっ、はっ、と夢中（むちゅう）で両手を振るところは、ダーク一座の操人形（あやつりにんぎょう）よりよっぽど上手（じょうず）だ。
One in the corner was calling "Hey, serve me here," but shaking the bottle, corrected it to "Hey, fetch me more sake."	向うの隅（すみ）ではおいお酌（しゃく）だ、と徳利を振ってみて、酒だ酒だと言い直している。
The whole room became so infernally noisy that I could scarcely stand it.	どうもやかましくて騒々しくってたまらない。
Amid this orgy, one, like a fish out of water, sat down with his head bowed. It was Hubbard Squash.	そのうちで手持無沙汰（てもちぶさた）に下を向いて考え込んでるのはうらなり君ばかりである。
The reason they have held this farewell dinner party was not in order to bid him a farewell,	自分のために送別会を開いてくれたのは、自分の転任を惜（おし）んでくれるんじゃない。
but because they wanted to have a jolly good time for themselves with John Barleycorn.	みんなが酒を呑（の）んで遊ぶためだ。
He had come to suffer only.	自分独りが手持無沙汰で苦しむためだ。
Such a dinner party would have been better had it not been started at all.	こんな送別会なら、開いてもらわない方がよっぽどましだ。
After a while, they began singing ditties in outlandish voices.	しばらくしたら、めいめい胴間声（どうまごえ）を出して何か唄（うた）い始めた。
One of the geishas came in front of me, and taking up a samisen, asked me to sing something.	おれの前へ来た一人の芸者が、あんた、なんぞ、唄いなはれ、と三味線を抱（かか）えたから、
I told her I didn't sing, but I'd like to hear, and she droned out:	おれは唄わない、貴様唄ってみろと云ったら、金（かね）や太鼓（たいこ）でねえ、迷子の迷子の三太郎と、どんどこ、どんのちゃんちきりん。
"If one can go round and meet the one he wants, banging gongs and drums ...... bang, bang, bang, bang, bing, shouting after wandering Santaro, there is some one I'd like to meet by banging round gongs and drums ...... bang, bang, bang, bang, b-i-n-g."	叩いて廻って逢（あ）われるものならば、わたしなんぞも、金や太鼓でどんどこ、どんのちゃんちきりんと叩いて廻って逢いたい人がある、と二た息にうたって、おおしんどと云った。
She dashed this off in two breaths, and sighed, "O, dear!"	おおしんどなら、
She should have sung something easier.	もっと楽なものをやればいいのに。
Clown who had come near us meanwhile, remarked in his flippant tone: "Hello, dear Miss Su-chan, too bad to see your beau go away so soon."	すると、いつの間にか傍（そば）へ来て坐った、野だが、鈴ちゃん逢いたい人に逢ったと思ったら、すぐお帰りで、お気の毒さまみたようでげすと相変らず噺（はな）し家みたような言葉使いをする。
The geisha pouted, "I don't know."	知りまへんと芸者はつんと済ました。
Clown, regardless, began imitating "gidayu" with a dismal voice, --"What a luck, when she met her sweet heart by a rare chance...."	野だは頓着（とんじゃく）なく、たまたま逢いは逢いながら……と、いやな声を出して義太夫（ぎだゆう）の真似（まね）をやる。
The geisha slapped the lap of Clown with a "Cut that out," and Clown gleefully laughed.	おきなはれやと芸者は平手で野だの膝（ひざ）を叩いたら野だは恐悦（きょうえつ）して笑ってる。
This geisha is the one who made goo-goo eyes[J] at Red Shirt.	この芸者は赤シャツに挨拶をした奴だ。
What a simpleton, to be pleased by the slap of a geisha, this Clown.	芸者に叩かれて笑うなんて、野だもおめでたい者だ。
He said: "Say, Su-chan, strike up the string. I'm going to dance the Kiino-kuni."	鈴ちゃん僕が紀伊（き）の国を踴（おど）るから、一つ弾（ひ）いて頂戴と云い出した。
He seemed yet to dance.	野だはこの上まだ踴る気でいる。
On other side of the room, the old man of Confucius, twisting round his toothless mouth, had finished as far as "...... dear Dembei-san" and is asking a geisha who sat in front of him to couch him for the rest.	向うの方で漢学のお爺（じい）さんが歯のない口を歪（ゆが）めて、そりゃ聞えません伝兵衛（でんべい）さん、お前とわたしのその中は……とまでは無事に済（すま）したが、それから？　と芸者に聞いている。
Old people seem to need polishing up their memorizing system.	爺さんなんて物覚えのわるいものだ。
One geisha is talking to the teacher of natural history:	一人が博物を捕（つら）まえて
"Here's the latest.	近頃（ちかごろ）こないなのが、でけましたぜ、
I'll sing it.	弾いてみまほうか。
Just listen.	よう聞いて、いなはれや
'Margaret, the high-collared head with a white ribbon;	――花月巻（かげつまき）、白いリボンのハイカラ頭、
she rides on a bike, plays a violin, and talks in broken English,--I am glad to see you.'"	乗るは自転車、弾くはヴァイオリン、半可（はんか）の英語でぺらぺらと、I am glad to see you と唄うと、
Natural history appears impressed, and says; "That's an interesting piece. English in it too."	博物はなるほど面白い、英語入りだねと感心している。
Porcupine called "geisha, geisha," in a loud voice, and commanded; "Bang your samisen; I'm going to dance a sword-dance."	山嵐は馬鹿に大きな声を出して、芸者、芸者と呼んで、おれが剣舞（けんぶ）をやるから、三味線を弾けと号令を下した。
His manner was so rough that the geishas were startled and did not answer.	芸者はあまり乱暴な声なので、あっけに取られて返事もしない。
Porcupine, unconcerned, brought out a cane, and began performing the sword-dance in the center of the room.	山嵐は委細構わず、ステッキを持って来て、踏破千山万岳烟（ふみやぶるせんざんばんがくのけむり）と真中（まんなか）へ出て独りで隠（かく）し芸を演じている。
Then Clown, having danced the Kii-no-kuni, the Kap-pore[K] and the Durhma-san on the Shelf, almost stark-naked, with a palm-fibre broom, began turkey-trotting about the room, shouting "The Sino-Japanese negotiations came to a break......."	ところへ野だがすでに紀伊（き）の国を済まして、かっぽれを済まして、棚（たな）の達磨（だるま）さんを済して丸裸（まるはだか）の越中褌（えっちゅうふんどし）一つになって、棕梠箒（しゅろぼうき）を小脇に抱（か）い込んで、日清談判破裂（はれつ）して……と座敷中練りあるき出した。
The whole was a crazy sight.	まるで気違（きちが）いだ。
I had been feeling sorry for Hubbard Squash, who up to this time had sat up straight in his full dress.	おれはさっきから苦しそうに袴も脱（ぬ）がず控えているうらなり君が気の毒でたまらなかったが、
Even were this a farewell dinner held in his honor, I thought he was under no obligation to look patiently in a formal dress at the naked dance.	なんぼ自分の送別会だって、越中褌の裸踴（はだかおどり）まで羽織袴で我慢（がまん）してみている必要はあるまいと思ったから、
So I went to him and persuaded him with "Say, Koga-san, let's go home."	そばへ行って、古賀さんもう帰りましょうと退去を勧めてみた。
Hubbard Squash said the dinner was in his honor, and it would be improper for him to leave the room before the guests.	するとうらなり君は今日は私の送別会だから、私が先へ帰っては失礼です、どうぞご遠慮（えんりょ）なく
He seemed to be determined to remain.	と動く景色もない。
"What do you care!" I said,	なに構うもんですか、
"If this is a farewell dinner, make it like one.	送別会なら、送別会らしくするがいいです、
Look at those fellows;	あの様をご覧なさい。
they're just like the inmates of a lunatic asylum.	気狂会（きちがいかい）です。
Let's go."	さあ行きましょう
And having forced hesitating Hubbard Squash to his feet, we were just leaving the room, when Clown, marching past, brandishing the broom, saw us.	と、進まないのを無理に勧めて、座敷を出かかるところへ、野だが箒を振り振り進行して来て、
"This won't do for the guest of honor to leave before us," he hollered,	やご主人が先へ帰るとはひどい。
"this is the Sino-Japanese negotiations.	日清談判だ。
Can't let you off."	帰せない
He enforced his declaration by holding the broom across our way.	と箒を横にして行く手を塞（ふさ）いだ。
My temper had been pretty well aroused for some time, and I felt impatient.	おれはさっきから肝癪（かんしゃく）が起っているところだから、
"The Sino-Japanese negotiation, eh?	日清談判なら
Then you're a Chink,"	貴様はちゃんちゃんだろう
and I whacked his head with a knotty fist.	と、いきなり拳骨（げんこつ）で、野だの頭をぽかりと喰（く）わしてやった。
This sudden blow left Clown staring blankly speechless for a second or two;	野だは二三秒の間毒気を抜かれた体（てい）で、
then he stammered out:	ぼんやりしていたが、
"This is going some!	おやこれはひどい。
Mighty pity to knock my head.	お撲（ぶ）ちになったのは情ない。
What a blow on this Yoshikawa!	この吉川をご打擲（ちょうちゃく）とは恐れ入った。
This makes the Sino-Japanese negotiations the sure stuff."	いよいよもって日清談判だ。
While Clown was mumbling these incoherent remarks, Porcupine, believing some kind of row had been started, ceased his sword-dance and came running toward us.	とわからぬ事をならべているところへ、うしろから山嵐が何か騒動（そうどう）が始まったと見てとって、剣舞をやめて、飛んできたが、
On seeing us, he grabbed the neck of Clown and pulled him back.	このていたらくを見て、いきなり頸筋（くびすじ）をうんと攫（つか）んで引き戻（もど）した。
......ouch!	……いたい。
......ouch!	いたい。
This is outrageous,"	どうもこれは乱暴だ
