Cracking DES	DESをクラック
until our court case succeeds in having this research censorship law overturned.	このためには、われわれの法廷闘争で、研究に対する検閲を認める法律が却下されなくてはならない。
Publishing a paper book's exact same information electronically is seriously illegal in the United States, if it contains cryptographic software.	アメリカでは、暗号ソフトが入った本とまったくおなじ情報を電子的に公開すると、深刻な非合法行為となってしまう。
Even communicating it privately to a friend or colleague, who happens to not live in the United States, is considered by the government to be illegal in electronic form.	それを個人的に、友だちや同僚に教えるだけでも、それが電子的に行われる場合でその相手がアメリカに住んでいない場合には、政府に非合法であるとされてしまう。
The U.S. Department of Commerce has officially stated that publishing a World Wide Web page containing links to foreign locations which contain cryptographic software "is not an export that is subject to the Export Administration Regulations (EAR)."*	アメリカ商務省は、暗号ソフトのある外国のロケーションへのリンクを含んだWorld Wide Web ページを公開しても、それは「輸出監督規制（Export Administration Regulations, EAR）の対象となる輸出にはならない」と公式に発表している。*
This makes sense to us	これはわれわれにも納得がいく
--a quick reductio ad absurdum shows that to make a ban on links effective, they would also have to ban the mere mention of foreign Universal Resource Locators.	――ちょっと「極論にまで誇張」reductio ad absurdum 式の思考実験をしてみれば、リンク禁止が実質的に意味を持つためには、外国の Universal Resource Locatorsを表示すること自体を禁止しなくてはならないことがわかる。
URLs are simple strings of characters,	URL というのはただの文字が並んでいるだけだ。
like http://www.eff.org;	たとえば http://www.eff.orgのように。
it's unlikely that any American court would uphold a ban on the mere naming of a location where some piece of information can be found.	アメリカの法廷が、どこか情報がみつかる場所の名前を挙げるだけの行為を禁止するようなことは、おそらくあり得ないだろう。
Therefore, the Electronic Frontier Foundation is free to publish links to where electronic copies of this book might exist in free countries.	したがって、Electronic Frontier Foundation は自由な国でこの本の電子的なコピーが存在するところへのリンクを公開するのは自由である。
If we ever find out about such an overseas electronic version, we will publish such a link to it from the page at http://www.eff.org/pub/Privacy/Crypto_misc/DESCracker/.	もしそうした本書の電子バージョンが海外にあることがわかれば、それに対するリンクを http://www.eff.org/pub/Privacy/Crypto_misc/DESCracker/のページで公開する。
* In the letter at http://samsara.law.cwru.edu/comp_law/jvd/pdj-bxa-gjs070397.htm,	* これは、 http://samsara.law.cwru.edu/comp_law/jvd/pdj-bxa-gjs070397.htmに含まれている。
which is part of Professor Peter Junger's First Amendment lawsuit over the crypto export control regulations.	これは、Peter Junger教授の暗号輸出制限規制に対する修正第一条訴訟の一部である。
Scanning	スキャン
When printing this book, we used tools from Pretty Good Privacy, Inc	この本を印刷するときには、Pretty Good Privacy, Inc のツールを使った。
(which has since been merged into Network Associates, Inc.).	(同社は後に、Network Associates, Incに統合された。)
They built a pretty good set of tools for scanning source code, and for printing source code for scanning.	PGPは、ソースコードをスキャンし、さらにスキャン用にソースコードを印刷するための、なかなかすぐれたツール群をつくっている。
The easiest way to handle the documents we are publishing in this book is to use their tools and scanning instructions.	本書で公開しているドキュメントを扱ういちばん簡単な方法は、かれらのツールと、スキャン上の指示を利用することだ。
PGP published the tools in a book, naturally,	PGP は、もちろんこうしたツールを本の形で公開している。
called "Tools for Publishing Source Code via OCR", by Colin Plumb, Mark H. Weaver, and Philip R. Zimmermann, ISBN # 1-891064-02-9.	"Tools for Publishing Source Code via OCR", by Colin Plumb, Mark H. Weaver, and Philip R. Zimmermann, ISBN # 1-891064-02-9 だ。
The book was printed in 1997, and is sold by Printers Inc. Bookstore, 301 Castro St, Mountain View, California 94041 USA; phone +1650 961 8500; http://www.pibooks.com.	この本は1997年に発行されて、 Printers Inc. Bookstore, 301 Castro St, Mountain View, California 94041 USA; phone +1650 961 8500; http://www.pibooks.comが販売している。
The tools and instructions from the OCR Tools book are now available on the Internet as well as in PGP's book.	OCRツール本におさめられたツールや指示は、PGPの本だけでなく、インターネット上でも入手できる。
If that doesn't work because the pages have been moved or rearranged, try working your way down from the International PGP page, http://www.pgpi.com.	ページが移動したり、構成が変わったりしてこれではうまくいかない場合には、International PGP ページ http://www.pgpi.comからさがしていってほしい。
PGP's tools produce per-line and per-page checksums, and make normally invisible characters like tabs and multiple spaces explicit.	PGP のツールは、行ごととページごとにチェックサムを出してくれるし、ふつうは目に見えない、tabや複数の空白といった文字もはっきりわかるようにしてある。
Once you obtain these tools, we strongly suggest reading the textual material in the book, or the equivalent README file in the online tool distribution.	このツールを入手したら、その本にある説明文を読むか、あるいはオンラインで配布されているREADMEファイルを読むことを強く推奨する。
It contains very detailed instructions for scanning and proofreading listings like those in this book.	本書などのようなプログラムリストをスキャンして構成するための、とても詳しい指示が書いてある。
The instructions that follow in this chapter are a very abbreviated version.	本書でこの先に書いた指示は、それをごくごく簡略化したものだ。
The first two parts of converting these listings to electronic form is	このプログラムリストを電子化する手順は2つある。
to scan in images of the pages, then convert the images into an approximation of the text on the pages.	まず最初に、ページの画像をスキャンすること、そしてその画像を、ページ上のテキストに近いものに変換することだ。
The first part is done by a mechanical scanner;	さいしょの部分は機械的なスキャナで行われる。
the second is done by an Optical Character Recognition (OCR) program.	二番目の部分は、光学式文字認識（Optical Character Recognition, OCR) プログラムで行う。
You can sometimes rent time at a local "copy shop" on a computer that has both a scanner and an OCR program.	ちかくの「コピー屋」などで、スキャナとOCRソフトがついているコンピュータを借りられることもある。
When scanning the sources, we suggest "training" your OCR program	ソースをスキャンするときには、まずOCRソフトを「訓練」してやろう。
by scanning the test-file pages that follow, and some of the listings, and correcting the OCR program's idea of what the text actually said.	まず、以下のテストファイルのページやプログラムの一部をスキャンして、OCRがそれぞれのテキストをどう判断するかをいろいろ手直ししてやればいい。
The details of how to do this will depend on your particular OCR program.	これをどうやるかは、使うOCRソフトにもよる。
But if you straighten it out first about the shapes of the particular characters and symbols that we're using, the process of correcting the errors in the rest of the pages will be much easier.	でも、われわれの使っているそれぞれの文字や記号の形についてきちんと識別できるように教え込んでおけば、その後のページをスキャンして修正するときの手間はずっと省けるようになる。
Some unique characters are used in the listings;	プログラムリストには、独特な文字がいくつか使われている。
train the OCR program to convert them as follows:	OCRソフトに、それぞれつぎのように変換しろと教えておこう。
Right pointing triangle (used for tabs) - currency symbol (byte value octal 244)	右向き三角形（タブとして使用）：通貨記号（バイト値は8進で244）
Tiny centered triangle "dot" (used for multiple spaces) - center dot or bullet (byte value octal 267)	小さなまん中の三角形「ドット」（複数スペースとして使用）：ナカグロ (バイト値は8進で 267)
Form feed - yen (byte value octal 245)	フォームフィード：円記号（バイト値は8進で 245)
Big black square (used for line continuation) - pilcrow or paragraph symbol (byte value octal 266).	大きな黒い四角形（行が続くことを示す）： pilcrow または paragraph symbol (バイト値は8進で266).
Once you've scanned and OCR'd the pages, you can run them through PGP's tools to detect and correct errors, and to produce clean online copies.	ページのスキャンとOCR処理がすんだら、それをPGPのツールにかけて、まちがいをみつけて訂正すれば、きれいなオンラインのコピーをつくれる。
Bootstrapping	ブートストラップ
By the courtesy of Philip R. Zimmermann and Network Associates, to help people who don't have the PGP OCR tools, we have included PGP's bootstrap and bootstrap2 pages.	Philip R. Zimmermann と Network Associates の好意により、PGP OCRツールをもっていない人たちを支援するために、ここにPGPのbootstrapとbootstrap2ページを載せておこう。
(The word bootstrap refers to the concept of "pulling yourself up by your bootstraps",	（「ブートストラップ」ということばは、「自分のブーツのひもをもって自分を引っ張り上げる」という話から出ている。
i.e. getting something started without any outside help.)	つまり、外からの助けを借りずに自分を起動する、という意味で使われている）
If you can scan and OCR the pages in some sort of reasonable way, you can then extract the corrected files using just this book and a Perl interpreter.	まともなかたちで以下のページをスキャンしてOCRにかければ、この本とPerlさえあれば、修正済みのファイルを抽出できる。
It takes more manual work than if you used the full set of PGP tools.	ただしこれは、PGPツールを使ったときよりも手作業が増える。
The first bootstrap program is one page of fairly easy to read Perl code.	さいしょのブートストラッププログラムは、そこそこ読みやすいPerlのコードが1ページほどだ。
Scan in this page, as carefully as you can:	このページをできるだけ慎重にスキャンすること。
you'll have to correct it by hand.	校正は手作業でやらなくてはならない。
Make a copy of the file that results from the OCR, and manually delete the checksums, so that it will run as a Perl script.	OCRから出てきた結果をファイルに保存して、手でチェックサムを取り除いてやれば、Perlスクリプトとして実行できるようになる。
Then run this Perl script with the OCR result (with checksums) as the argument.	そうしたら、このPerlスクリプトを、OCR結果（チェックサムつきのもの）を引数にして実行しよう。
If you've corrected it properly, it will run and produce a clean copy of itself, in a file called bootstrap.	もし手作業の校正がうまくいっていれば、きちんと実行されて、自分自身のきれいなコピーが「bootstrap」というファイルになってできるはずだ。
(Make sure none of your files have that name.)	（ほかにそういうファイル名のファイルがないことを事前に確認しておくこと）。
If you haven't corrected it properly, the perl script will die somehow and you'll have to compare it to the printed text to see what you missed.	もし校正がちゃんとしていなければ、Perlスクリプトは途中で死ぬので、印刷されたものと比べて、見逃したところがないか確かめることになる。
When the bootstrap script runs, it checks the checksum on each line of its input file.	ブートストラップのスクリプトを実行すると、入力ファイルの行ごとにチェックサムを調べる。
For any line that is incorrect, the script drops you into a text editor	チェックサムがあわない行があるごとに、スクリプトはエディタをたちあげて停止する。
(set by the EDITOR environment variable)	（エディタは環境変数EDITORで指定しておく）。
so you can fix that line.	エディタで問題の行をなおそう。
When you exit the editor, it starts over again.	エディタをとじると、またスクリプトの実行が再開する。
Once the bootstrap script has produced a clean version of itself, you can run it against the scanned and OCR'd copy of the bootstrap2 page.	ブートストラップのスクリプトが、自分自身をきれいに再現してくれたら、bootstrap2のページをスキャンしてOCRにかけて、それをこのbootsrtapにかけてやろう。
Correct it the same way, line by line until bootstrap doesn't complain.	同じように一行ずつ校正していって、bootstrapスクリプトが文句をいわないようになるまでつづける。
This should leave you with a clean copy of bootstrap2.	これでbootstrap2がきれいに再現できるはずだ。
The bootstrap2 script is what you'll use to scan in the rest of the book.	bootstrap2 スクリプトを使って、この本の残りの部分をスキャンしよう。
It works like the bootstrap script, but it can detect more errors by using the page checksum.	はたらきはbootstrapスクリプトと似ているけれど、ページチェックサムも使うので、もっとまちがいをたくさん発見できる。
Again, it won't correct most errors itself, but will drop you into an editor to correct them manually.	これも、自分でまちがいをなおしてはくれないけれど、手動でまちがいをなおせるようにエディタをたちあげてくれる。
(If you want automatic error correction, you have to get the PGP book.)	（自動エラー訂正がほしければ、PGPの本やツールを入手すること。）
All the scannable listings in this book are in the public domain,	この本にある、スキャン可能なプログラムリストは、すべてパブリック・ドメインに属している。
except the test-file, bootstrap, and bootstrap2 pages, which are copyrighted, but which Network Associates permits you to freely copy.	テストファイル、ブートストラップ、ブートストラップ2は著作権があるが、（著作権保持者の）Network Associatesはそれを自由に複製していいと認めているので、
So none of the authors have put restrictions on your right to copy their listings for friends, reprint them, scan them in, publish them, use them in products, etc.	著者たちはあなたがこのプログラムリストを友だちにコピーしてあげたり、なにかに採録したり、スキャンしたり、出版したり、製品で使ったりすることについて、一切の制限をつけていない。
However, if you live in an unfree country, there may be restrictions on what you can do with the listings or information once you have them.	しかしながら、もしあなたが自由でない国に住んでいる場合には、こうした情報を入手してからそれを使ってなにができるかについては、制限がかけられているかもしれない。
Check with your local thought police.	これについては、現地の思考警察に確認すること。
pp. 4-7 to 4-14 in preparation:	pp. 4-7 to 4-14 はまだ準備中:
Six pages of test files, 1 page of bootstrap, 1 page of bootstrap2.	内容は、テストファイルが6ページ、ブートストラップが1ページ、ブートストラップ2が1ページ。
[Note: see bootstrap and bootstrap 2 as part of OCR tools,	[Note: ブートストラップの1と2は、OCRツールのなかにも含まれている。
Software Source Code	ソフトのソースコード
Chip Source Code	チップのソースコード
Chip Simulator Source Code	チップシミュレータのソースコード
Hardware Board Schematics	ハードウェア基板の回路
Breaking One Million DES Keys by Yvo Desmedt	百万DES鍵を破る：Yvo Desmedt著
Architectural Considerations for Cryptanalytic Hardware	暗号解析ハードウェアのアーキテクチャ考察
Efficient DES Key Search An Update by Michael J. Wiener	効率のよいDES鍵の探索：アップデート：Michael J. Wiener著
In this chapter:	本章の内容:
Advancing Technology	技術の進歩
Programmable Hardware	プログラマブル・ハードウェア
An exciting moment in the history of DES was reached in June 1997 when a group coordinated by Rocke Verser solved RSA Data Security's DES challenge by exhaustive key search on a large number of computers.	1997年6月にRocke Verserの率いるグループがRSA Data Security社の DES challengeを、多数のコンピュータによるしらみつぶし式鍵探索方式で解決した。
This result was useful because it served to underscore in a public way how vulnerable DES has become.	この結果が有用なのは、それがDESがどれほど弱くなったかを、公開された形で実証することができたからだ。
However, it may also have left the false impression that one cannot do much better than attacking DES in software with a large distributed effort.	でも一方で、これはDESを攻撃するのに大規模な分散型の攻撃以上の手はないというまちがった印象を与えるおそれがある。
The design of DES is such that it is fairly slow in software, but is compact and fast when implemented in hardware.	DESの設計は、ソフトで攻撃するにはかなり時間がかかるが、ハードで実装すればコンパクトで高速になるようになっている。
This applies not only to DES, but also to most other block ciphers, attacks on hash functions, and attacks on elliptic curve cryptosystems.	これはDESだけでなく、ブロック式暗号（block cypher）やハッシュ関数攻撃、楕円曲線暗号システムへの攻撃のほとんどすべてにあてはまる。
Avoiding efficient hardware-based attacks requires the use of algorithms with sufficiently long keys,	ハードウェアを使った効率的な攻撃に対抗するには、じゅうぶんに鍵のながいアルゴリズムを使う必要がある。
such as triple-DES, 128-bit RC5,* and CAST-128.+	たとえば、トリプルDES 128-bit RC5,* CAST-128+などだ。
In this article we assess the cost of DES key search using hardware methods and examine the effectiveness of some proposed methods for thwarting attacks on [?] Michael J. Wiener, Entrust Technologies, 750 Heron Road, Suite E08, Ottawa, Ontario, Canada K1V 1A7 Michael J. Wiener, Entrust Technologies, 750 Heron Road, Suite E08, Ottawa, Ontario, Canada K1V 1A7	この論文では、ハードウェア手法を使ったDES鍵探索のコストを推定し、またDESへの攻撃をかわすための手段として提案されているいくつかの手法について、その有効性を検討する。
This article first appeared in RSA Laboratories' Autumn 1997 Cryptobytes newsletter;	この論文はRSA Laboratoriesの1997年秋Cryptobytes newsletterに掲載された。
it is reprinted with permission from the author and RSA Data Security, Inc.	著者とRSA Data Security, Inc.の許可を得て掲載している。
Also available as "The CAST-128 Encryption Algorithm", RFC 2144, May 1997.	また、"The CAST-128 Encryption Algorithm", RFC 2144, May 1997.としても入手可能。
Advancing Technology	技術の進歩
The best known way to attack DES is to simply try all of the possible 56-bit keys until the correct key is found.	DESを攻撃する方法として知られているもののうち、いちばんいいのは56ビットの鍵をすべて試していって、正しいのが見つかるまでつづける、という方法だ。
On average, one expects to go through about half of the key space.	平均では、鍵空間の半分くらいを試せば正しい鍵が見つかることになる。
In 1993, a design for an exhaustive DES key search machine including a detailed chip design was published.*	1993年に、しらみつぶし方式のDES鍵探索マシンの設計が、詳細なチップ設計を含めて公開された。*
A $1 million version of this machine used 57600 key search chips, each capable of testing 50 million keys per second.	このマシンの100万ドル版は、鍵探索チップを57600個使っていて、そのチップそれぞれが、毎秒5000万鍵をテストできる。
Overall, the machine could find a DES key in, on average, three and a half hours.	全体としてこのマシンは、DES鍵を平均で3.5時間で見つけることができる。
About four and a half years have passed since this design was completed,	この設計が完了して4年半がたった。
and according to Moore's Law, processing speeds should have doubled three times in that period.	そしてムーアの法則によれば、この間に処理速度は倍の倍の倍になったはずだ。
Of course, estimating in this fashion is a poor substitute for the careful analysis and design effort that went into the earlier design.	もちろん、このような形で推測を行うのは、かつての設計で採用した慎重な分析と設計努力に比べれば、あまりよいやりかたとはいえない。
The original chip design was done in a 0.8 micron CMOS process, and with the geometries available today, it is possible to fit four instances of the original design into the same silicon area.	もとのチップ設計は0.8 ミクロン CMOS プロセスで行われており、現在使える密度からいえば、同じシリコン面積にかつての設計を4個分つめこむことが可能になる。
In keeping with the conservative approach to estimates in the 1993 paper, we assume here that the updated key search chip's clock speed would increase to only 75 MHz from the original 50 MHz,	1993年の推測での控えめな推定という方針を踏襲して、探索チップの速度は、もとの50MHzから75MHzまでしかあがらないと想定している。
making the modern version of the chip six times faster for the same cost.	このため、現在版のチップは、同じコストで6倍の速度となる。
It is interesting to note that just 21 of these chips would give the same key searching power as the entire set of computers used by the team who solved the DES challenge.	おもしろいことに、このチップを21個使えば、DES challengeを解決したチームの使ったコンピュータすべてに匹敵するだけの探索パワーが得られることになる。
Today's version of the $1 million machine could find a DES key in, on average, about 35 minutes (one-sixth of 3.5 hours).	現代版の100万ドルマシンは、DES鍵を平均で35分ほどで見つけることができる（3.5時間の1/6)。
This time scales linearly with the amount of money spent as shown in the following table.	この時間は、以下の表に示すように、かけた金額と線形に比例する。
Key Search Machine Cost Expected Search Time	鍵探索マシンコスト期待探索時間
$10,000    2.5 days	$10,000    2.5 日
$100,000    6 hours	$100,000    6 時間
$1,000,000    35 minutes	$1,000,000    35 分
$10,000,000    3.5 minutes	$10,000,000    3.5 分
Note that the costs listed in the table do not include the cost to design the chip and boards for the machine.	なお、表中のコストは、チップや基板の設計コストは含んでいない。
Because the one-time costs could be as high as half a million dollars, it does not make much sense to build the cheaper versions of the machine, unless several are built for different customers.	こうした最初の一回だけのコストは、50万ドルはすると思われるため、多数のマシンを複数の顧客用につくるのでない限り、100万ドル以下のマシンをつくろうとするのは、無駄が多いことになる
This key search engine is designed to recover a DES key given a plaintext-ciphertext pair for the standard electronic-codebook (ECB) mode of DES.	この鍵探索エンジンは、DESの標準電子コードブック(ECB）モードを使った平文・暗号文対が与えられているときに、DES鍵を回復するように設計されている。
However, the machine can also handle the following modes without modification: cipher-block chaining (CBC), 64-bit cipher feedback (CFB), and 64- bit output feedback (OFB).	しかし、このっマシンは変更を加えなくても、以下のモードも扱える：暗号ブロック連鎖（cipher-block chaining, CBC)、64ビット暗号フィードバック（cipher feedback, CFB)、64ビット出力フィードバック（output feedback, OFB)。
* Wiener, "Efficient DES Key Search", presented at the Rump session of Crypto '93.	* Wiener, "Efficient DES Key Search", Crypto '93のRump sessionにて発表。
Reprinted in Practical Cryptography for Data Internetworks, W. Stallings, editor, IEEE Computer Society Press, pp. 31-79 (1996).	Practical Cryptography for Data Internetworks, W. Stallings, editor, IEEE Computer Society Press, pp. 31-79 (1996) に再録。
Currently available at ftp://ripem.msu.edu/pub/crypt/docs/des-keysearch.ps.	現在は以下で入手可能： ftp://ripem.msu.edu/pub/crypt/docs/des-keysearch.ps。
In the case of OFB, two consecutive plaintexts are needed.	OFB の場合、連続した平文が2つ必要になる。
The chip design can be modified to handle two other popular modes of DES, 1-bit and 8-bit CFB, at the cost of a slightly more expensive chip.	チップ設計を変更すれば、よく使われるDESのモードをほかに2つ（1 ビットと 8 ビット CFB）扱えるようになるが、コストは多少高くなる。
Fewer chips could be purchased for a $1 million machine causing the expected key search time to go up to 40 minutes for all modes,	100万ドルで買えるチップが少なくなるので、すべてのモードでの探索時間は平均40分にまであがる。
except 1-bit CFB, which would take 80 minutes, on average.	ただし 1 ビット CFB の場合は、これが平均で80分になる。
Programmable Hardware	プログラマブル・ハードウェア
The costs associated with chip design can present a significant barrier to smalltime attackers and hobbyists.	チップ設計に必要なコストは、小者の攻撃者やホビイストにとっては、大きな障壁となる。
An alternative which has much lower start-up costs is the use of programmable hardware.	初期投資がずっと少なくてすむ代替案としては、プログラマブル・ハードウェアを使うことだ。
One such type of technology is the Field Programmable Gate Array (FPGA).	こうしたテクノロジーの一種としては、現場プログラミング可能ゲートアレイ（Field Programmable Gate Array, FPGA) がある。
One can design a circuit on a PC and download it to a board holding FPGAs for execution.	PC上で回路を設計して、それをFPGAの載った基板にダウンロードして実行させればいい。
In a report in early 1996,* it was estimated that $50000 worth of FPGAs could recover a DES key in, on average, four months.	1996年初期の報告では、FPGA 5万ドル分あれば、DES鍵を平均で4ヶ月で回復できると推定されている。
This is considerably slower than what can be achieved with a chip design, but is much more accessible to those who are not well funded.	これはチップ設計を行った場合に比べればずいぶん遅いけれど、資金の乏しい者にはずっと手が出しやすい。
Another promising form of programmable hardware is the Complex Programmable Logic Device (CPLD).	別の有望なプログラマブル・ハードウェアは、複合プログラマブル・論理デバイス（Complex Programmable Logic Device, CPLD) である。
CPLDs offer less design freedom and tend to be cheaper than FPGAs,	CPLD はFPGAよりは設計の自由度が低いが、その分、値段も低い。
but the nature of key search designs seems to make them suitable for CPLDs.	鍵探索は、その性格上、CPLDにむいていると思われる。
Further research is needed to assess whether CPLDs are useful for DES key search.	CPLDがDES鍵探索に使えるかどうかを評価するには、さらなる研究が必要となる。
Avoiding Known Plaintext	既知の平文を避ける
The designs described to this point have relied on the attacker having some known plaintext.	以上で説明してきた設計は、攻撃者がなんらかの平文を知っているものという想定に依存している。
Usually, a single 8-byte block is sufficient.	ふつうは、8バイトのブロックが一つあれば十分だ。
One method of preventing attacks that has been suggested is to avoid having any known plaintext.	攻撃をさけるための手法として提案されているものとしては、既知の平文をすべて避ける、というものがある。
This can be quite difficult to achieve.	これはなかなかむずかしいだろう。
Frequently, data begins with fixed headers.	データは、固定ヘッダではじまることが多いからだ。
For example, each version of Microsoft Word seems to have a fixed string of bytes that each file begins with.	たとえばMicrosoft Wordのすべてのバージョンでは、作成したファイルの先頭には固定バイト長の文字列がついてくる。
For those cases where a full block of known plaintext is not available, it is possible to adapt the key search design.	また既知の平文が完全にはわかっていない場合でも、キー探索の設計をわかっている部分にあわせて変えることができる。
Suppose that information about plaintext is available	仮に、平文についてある程度の情報がわかっているとしよう
(e.g., ASCII character coding is used),	（たとえば、ASCII文字コーディングが使われている、とする）。
but no full block is known.	でも、テキストの全文はわかっていない。
Then instead of repeatedly encrypting a known plaintext and comparing the result to a ciphertext, we repeatedly decrypt the ciphertext and test the candidate plaintexts against our expectations.	そうしたら、わかっている平文を何度も暗号化して結果を暗号文と比較するかわりに、暗号文のほうを何度も復号してみて、でてきた平文の候補をこちらの期待と比較してみればいい。
In the example where we expect 7-bit ASCII plaintext, only about 1 in 256 keys will give a plaintext which has the correct form.	たとえば期待されるのが7ビットのASCIIの平文なら、正しい形式を持った平文を与えてくれる鍵は256個に1つしかない。
These keys would have to be tried on another ciphertext block.	この鍵を別の暗号文ブロックに試してみる必要がある。
The added logic to handle this would add just 10 to 20% to the cost of a key search chip.	これを扱うための論理回路は、鍵探索チップのコストを10-20%ほど増やすだけだ。
currently available at http://www.bsa.org/policy/encryption/cryptographers.html.	現在は以下で入手可能： http://www.bsa.org/policy/encryption/cryptographers.html
Even if we only know a single bit of redundancy in each block of plaintext, this is enough to cut the number of possible keys in half.	平文ブロックの中に、同じビットが1カ所繰り返し出てくるのがわかっただけでも、可能な鍵の数は半減する。
About 56 such blocks are needed to uniquely identify the correct key.	こうしたブロックが56個あれば、正しい鍵を一意的に同定することができる。
This does not mean that the run-time is 56 times greater than the known-plaintext case.	しかしこれでも、実行時間が平文のわかっているときに比べて56倍になるということではない。
Taking into account the cost of the added logic required makes the expected run-time for a $1 million machine about 2 hours in this case.	追加の論理回路のコストを考慮すれば、100万ドルのマシンでの実行時間は、この場合には2時間になる。
Frequent Key Changes	ひんぱんに鍵を変える
A commonly suggested way to avoid key search attacks is to change the DES key frequently.	鍵探索攻撃をかわすためによく提案されるのが、DES鍵をしょっちゅう変えることだ。
The assumption here is that the encrypted information is no longer useful after the key is changed, which is often an inappropriate assumption.	ここでの想定では、暗号化された情報は鍵が変更されたあとではもう役に立たない、ということだが、これはあまり適切な想定ではない場合が多い。
If it takes 35 minutes to find a DES key, why not change keys every 5 minutes?	もしDES鍵を見つけるのに35分かかるなら、鍵を5分ごとに変えたらどうなるだろう？
The problem with this reasoning is that it does not take exactly 35 minutes to find a key.	この理屈の問題点は、鍵を見つけるのにかかる時間は正確に35分というわけではない、ということだ。
The actual time is uniformly distributed between 0 and 70 minutes.	実際にかかる時間は、0分から70分の間に均等に分布している。
We could get lucky and find the key almost right away, or we could be unlucky and take nearly 70 minutes.	運がよければ、鍵はすぐに見つかるし、運が悪ければ、70分近くかかってしまう。
The attacker's probability of success in the 5-minute window is 5/70 = 1/14.	攻撃者が、鍵の変わる5分以内に鍵を見つける確率は 5/70 = 1/14 だ。
If after each key change the attacker gives up and starts on the next key, we expect success after 14 key changes or 70 minutes.	もし鍵が変わるごとに攻撃者があきらめてつぎの鍵探しをはじめたら、鍵が14回変更されるうちに（つまりは70分以内に）成功するものと期待できる。
In general, frequent key changes cost the attacker just a factor of two in expected run-time, and are a poor substitute for simply using a strong encryption algorithm with longer keys.	一般に、ひんぱんな鍵の変更は、攻撃者にとって期待実行時間を2倍ほどにするだけであり、単純にもっとながい鍵をもった強力な暗号を使うのに比べれば、代案としては大いに劣っている。
Using current technology, a DES key can be recovered with a custom-designed $1 million machine in just 35 minutes.	現在の技術を使うと、コスト100万ドルのカスタムデザインのマシンを使えば、DES鍵は35分で回復できる。
For attackers who lack the resources to design a chip and build such a machine, there are programmable forms of hardware such as FPGAs and CPLDs which can search the DES key space much faster than is possible using software on PCs and workstations.	チップを設計してこうしたマシンをつくるだけのリソースがない攻撃者の場合にも、FPGAやCPLDなどのプログラム可能なハードウェアを使えば、PCやワークステーション上のソフトでやるよりもDES鍵空間をずっと高速に探索できる。
Attempts to thwart key search attacks by avoiding known plaintext and changing keys frequently are largely ineffective.	鍵探索攻撃をかわすために、既知の平文を避けたり、鍵をひんぱんに変えたりしても、ほとんど役にはたたない。
The best course of action is to use a strong encryption algorithm with longer keys, such as triple-DES, 128-bit RC5, or CAST-128.	いちばんいいのは、トリプルDES、128ビットRC5、CAST-128 +など、もっとながい鍵をもった強力な暗号アルゴリズムを使うことである。
Authors	著者紹介
In this chapter:	本章の内容:
The Electronic Frontier Foundation (EFF) is a nonprofit public-interest organization protecting rights and promoting liberty online.	The Electronic Frontier Foundation (EFF) は、非営利の公益組織で、オンラインの権利を保護し、自由を推進している。
It was founded in 1990 by Mitchell Kapor, John Perry Barlow, and John Gilmore.	1990年にミッチェル・ケイパー、ジョン・ペリー・バーロウ、ジョン・ギルモアが創設した。
The Foundation seeks to educate individuals, organizations, companies, and governments about the issues that arise when computer and communications technologies change the world out from under the existing legal and social matrix.	EFFは、個人や組織、企業や政府にたいして、コンピュータと通信技術が世界を既存の法的社会的マトリックスから大きく変えてしまうときに生じる問題について、教育しようとしている。
The Foundation has been working on cryptography policy for many years.	EFFは、暗号政策について長年にわたり活動を展開してきた。
It was a significant force in preventing the adoption of the "Clipper chip" and its follow-on "key escrow" proposals, and continues to advocate for wide public availability and use of uncompromised and unbreakable encryption technology.	「クリッパーチップ」とそれに続く「キーエスクロウ」提案の採用を止めるにあたっては大きな役割を果たし、小細工のない、解読不可能な暗号技術の広範な流通と使用を推進している。
EFF is backing the lawsuit in which Professor Daniel Bernstein seeks to overturn the United States export laws and regulations on cryptography,	EFF は、Daniel Bernstein教授がアメリカの暗号に対する輸出法規制をひっくり返そうとする訴訟を支援している。
arguing that the First Amendment to the US Constitution protects his right to publish his cryptography research results online without first seeking government permission.	教授は、アメリカ合州国憲法の修正第一条が、自分の暗号研究の成果を自由に発表する権利を保護しており、いちいち政府の許可を得たりする必要はないはずだ、と主張している。
EFF's research effort in creating this first publicly announced DES Cracker, and the publication of its full technical details, are part of EFF's ongoing campaign to understand, and educate the public about, the social and technical implications of cryptographic technology.	この初の公表されたDESクラッカーを作成し、その技術的な詳細を公開するという研究活動は、暗号技術の社会的・技術的ない意義について一般市民に理解してもらい、啓蒙しようというEFFの努力の一環だ。
EFF encourages you to join us in exploring how our society can best respond to today's rapid technological change.	EFF は、みなさんに、社会が今日の急速な技術的変化にいちばんいい形で対応するにはどうしたらいいかをわれわれと検討してほしいと願っている。
Please become an EFF member;	EFFの会員になろう。
see http://www.eff.org/join/John Gilmore	詳しくは、以下を参照：http://www.eff.org/join/John Gilmore
John Gilmore is an entrepreneur and civil libertarian.	John Gilmore は、起業家で市民リバータリアンである。
