STORY OF THE DOOR	ドアにまつわる話
relentless like a man of stone.	石でできた男のように冷酷だった。
Henry Jekyll stood at times aghast before the acts of Edward Hyde;	ヘンリー・ジキルは、エドワード・ハイドの行為の前ではあっけにとられ立ちすくむこともしばしばだったが、
but the situation was apart from ordinary laws, and insidiously relaxed the grasp of conscience.	普通の法律ではどうにできるものでもなく、知らず知らずのうちに良心の手綱をゆるめることとなるのだった。
It was Hyde, after all, and Hyde alone, that was guilty.	結局悪いのはハイドであり、ハイドだけだった。
Jekyll was no worse;	ジキルは悪くなったわけではなく、
he woke again to his good qualities seemingly unimpaired;	朝起きるときはちっとも悪くなっていないような善良な性質を取り戻しているのだった。
he would even make haste, where it was possible, to undo the evil done by Hyde.	可能なときには、ハイドが犯した罪を急いで償いさえした。
And thus his conscience slumbered.	ただこうしてジキルの良心は眠りつづけたのだ。
Into the details of the infamy at which I thus connived (for even now I can scarce grant that I committed it) I have no design of entering;	私が見て見ぬふりをしてきた恥ずべき行為の詳細については（今でさえ私はそれを私がやったことだと認めたくはないが）踏み入るつもりはない。
I mean but to point out the warnings and the successive steps with which my chastisement approached.	ただ罰せられるときが近づいているという警告と、それにひきつづくことについて触れておくにとどめておこう。
I met with one accident which, as it brought on no consequence, I shall no more than mention.	大したことにはならなかったが、ある事件に遭遇したことがあり、それについても簡単に述べておこう。
An act of cruelty to a child aroused against me the anger of a passer-by,	子供に対する残虐なふるまいが、通りすがりの人を憤慨させたことがあった。
whom I recognised the other day in the person of your kinsman;	私は別の機会にそれが君の親戚だと知ったのだが、
the doctor and the child's family joined him;	医者や子供の家族も加勢して、
there were moments when I feared for my life;	命の危険さえ感じるほどだった。
and at last, in order to pacify their too just resentment, Edward Hyde had to bring them to the door, and pay them in a cheque drawn in the name of Henry Jekyll.	そして最後には、あまりに正当な憤慨をなだめるために、エドワード・ハイドはあのドアのところまでみんなをつれていき、ヘンリー・ジキルの名で振り出した小切手で償うことにしたのである。
But this danger was easily eliminated from the future, by opening an account at another bank in the name of Edward Hyde himself;	しかしその後は、別の銀行にエドワード・ハイド自身の名前で口座を開設したため、その危険には難なく終止符をうつことができた。
and when, by sloping my own hand backward, I had supplied my double with a signature, I thought I sat beyond the reach of fate.	そして自分の筆跡を傾けてそれをハイドのサインとし、自分は全く安全なところにいると思っていたのだ。
Some two months before the murder of Sir Danvers, I had been out for one of my adventures, had returned at a late hour,	ダンバース卿殺人事件の２ヶ月ほど前に、私はいつもの冒険の一つにでかけ、夜もふけてから帰ってきた。
and woke the next day in bed with somewhat odd sensations.	次の日はなんだか奇妙な胸騒ぎのうちに目をさまし、
It was in vain I looked about me;	あたりをみまわしたがなんということはなかった。
in vain I saw the decent furniture and tall proportions of my room in the square;	高級な家具や自分の家の広い部屋が目に入ったが、なんということはなかった。
in vain that I recognised the pattern of the bed-curtains and the design of the mahogany frame;	ベッドのカーテンの柄やマホガニーのベッド枠の作りも見回したが、なんということはなかった。
something still kept insisting that I was not where I was,	なにか自分のいる場所にいないような違和感がつきまとったのだ。
that I had not wakened where I seemed to be, but in the little room in Soho where I was accustomed to sleep in the body of Edward Hyde.	自分がいると思っているところで目をさましていない、エドワード・ハイドの体で寝ているソーホーの小さい部屋にいるんだという感じがしたのである。
I smiled to myself, and, in my psychological way began lazily to inquire into the elements of this illusion, occasionally,	私は微笑み、心をおちつけるようにゆったりとこの錯覚をもたらす一つ一つを検討しはじめた。
even as I did so, dropping back into a comfortable morning doze.	そうしながらも、朝のまどろみのなかに沈みがちだったが。
I was still so engaged when, in one of my more wakeful moments, my eyes fell upon my hand.	そうこうしているうちに、視界がはっきりしてきて、ふと自分の手をみた。
Now the hand of Henry Jekyll (as you have often remarked) was professional in shape and size: it was large, firm, white, and comely.	ヘンリー・ジキルの手は（君もつねづねよく知っているように）形も大きさも職業柄、おおきくて、がっしりして、白く美しい手だった。
But the hand which I now saw, clearly enough, in the yellow light of a mid-London morning, lying half shut on the bed-clothes, was lean, corded, knuckly, of a dusky pallor and thickly shaded with a swart growth of hair.	しかし私がベッドに半分くるまりながら、ロンドンの中心街での朝の光のなかでみた手は、明らかに、貧弱な筋ばった、ごつごつとした肌の色が黒い、毛むくじゃらの手で、
It was the hand of Edward Hyde.	それはエドワード・ハイドの手だった。
I must have stared upon it for near half a minute,	私は、３０秒あまりもその手を見つめていたに違いない。
sunk as I was in the mere stupidity of wonder, before terror woke up in my breast as sudden and startling as the crash of cymbals;	私はただ呆然としてしまったが、シンバルでも叩かれたように急におどろいて恐怖が胸にこみあげてきた。
and bounding from my bed, I rushed to the mirror.	そしてベッドからはねおきると、鏡の前へと突進した。
At the sight that met my eyes, my blood was changed into something exquisitely thin and icy.	そこで自分の目で見たときに、全身の血がさっと引き凍りついた。
Yes, I had gone to bed Henry Jekyll, I had awakened Edward Hyde.	そう、私はヘンリー・ジキルとしてベッドに入ったのに、エドワード・ハイドとして目覚めたのだ。
How was this to be explained?	これはどう説明がつくというのだろうか？
I asked myself,	私は自問自答した。
and then, with another bound of terror -- how was it to be remedied?	それから、新たな恐怖がこみあげてきた、どうやって元の姿に戻ったらいいのだろうか？
It was well on in the morning;	もうすっかり朝になっていて、
the servants were up;	召使たちも起きていた。
all my drugs were in the cabinet	薬はすべて書斎にある。
-- a long journey down two pairs of stairs, through the back passage, across the open court and through the anatomical theatre, from where I was then standing horror-struck.	この恐怖で立ちすくんでいる場所からは遠いところだ。
It might indeed be possible to cover my face;	確かに、顔は隠せるかもしれない。
but of what use was that, when I was unable to conceal the alteration in my stature?	でも背丈の変化はどうやっても隠すことはできそうにない。
And then with an overpowering sweetness of relief, it came back upon my mind that the servants were already used to the coming and going of my second self.	ただそのとき、召使たちはすでにハイドの姿で出入りするのに慣れていることを思い起こして、ほっと胸をなでおろした。
I had soon dressed, as well as I was able, in clothes of my own size: had soon passed through the house, where Bradshaw stared and drew back at seeing Mr. Hyde at such an hour and in such a strange array;	できるかぎり早くジキルの背丈にあう服に着替えると、家をぬけていったが、ブラッドショーがこんな時間にそんな場所でそんな奇妙な服装のハイドをみて驚いて隠れてしまった。
and ten minutes later, Dr. Jekyll had returned to his own shape and was sitting down, with a darkened brow, to make a feint of breakfasting.	そして１０分後には、ジキル博士の元の姿にもどって、眉をひそめ、朝食をたべるふりをしながら椅子にこしかけていた。
Small indeed was my appetite.	じっさい食欲はほとんどなかった。
This inexplicable incident, this reversal of my previous experience, seemed, like the Babylonian finger on the wall, to be spelling out the letters of my judgment;	この説明のつかないできごとは、今までの経験をうらぎるもので、バビロンの人が壁に指で書いたように、私の審判をつづっているようにも思われた。
and I began to reflect more seriously than ever before on the issues and possibilities of my double existence.	そして私はこの二つの姿がもたらす問題と可能性について、以前よりずっと真剣に検討しはじめた。
That part of me which I had the power of projecting, had lately been much exercised and nourished;	自分が作り出したこの姿は、最近とみに鍛えられ、よく育つようになった。
it had seemed to me of late	最近私はこう感じるようになった。
as though the body of Edward Hyde had grown in stature, as though (when I wore that form) I were conscious of a more generous tide of blood;	まるでエドワード・ハイドの背丈がのび、血の流れも豊かになっているのを（ハイドの姿をかりているときに）自分で意識しているように思われたのだ。
and I began to spy a danger that, if this were much prolonged, the balance of my nature might be permanently overthrown, the power of voluntary change be forfeited, and the character of Edward Hyde become irrevocably mine.	そして私は、もしこのようなことを続けていれば、二人のバランスは永遠にくずれてしまって、自由に姿を変える力もなくなり、エドワード・ハイドがすっかり私になってしまうのではないかという危険をうすうすと感じ始めていた。
The power of the drug had not been always equally displayed.	薬の効き目もいつも同じと言うわけでもなかった。
Once, very early in my career, it had totally failed me;	つかいはじめてすぐの頃でさえ、一回姿が替わらないこともあった。
since then I had been obliged on more than one occasion to double,	それからというもの、私は一回ならずと薬を２倍飲まなければならなかった。
and once, with infinite risk of death, to treble the amount;	あるときは、死の危険を冒してまでも、３倍の量を飲んだこともあった。
and these rare uncertainties had cast hitherto the sole shadow on my contentment.	従って、こうした薬の効き目がはっきりしないことだけが、私の満足感に一つの影を投げかけていた。
Now, however, and in the light of that morning's accident, I was led to remark that whereas, in the beginning, the difficulty had been to throw off the body of Jekyll, it had of late gradually but decidedly transferred itself to the other side.	しかしながら今や、この朝の光のなかでのできごとから、私は初めのうちはジキルの姿を捨て去るのが難しかったにも関わらず、最近はだんだんハイドの姿を捨てるのが難しくなってきたという結論に達した。
All things therefore seemed to point to this:	ということは、全てはこの点に帰着しているように思われた。
that I was slowly losing hold of my original and better self, and becoming slowly incorporated with my second and worse.	つまり私は徐々にだが、私自身をつまり善の部分を失いつつあり、だんだんもう一人の悪の姿になっていっているということを。
Between these two, I now felt I had to choose.	この二つの姿のはざまで、私は選択しなければならなかった。
My two natures had memory in common,	私の二つの姿において、記憶は共有されていた。
but all other faculties were most unequally shared between them.	しかし他のすべての能力はまったくばらばらに分かたれていた。
Jekyll (who was composite) now with the most sensitive apprehensions, now with a greedy gusto, projected and shared in the pleasures and adventures of Hyde;	ジキル（善と悪の混合体だが）は、心配しすぎるほど心配するかと思えば、貪欲に楽しみを求め、ハイドの楽しみや冒険を計画したり、分かち合うのだった。
but Hyde was indifferent to Jekyll,	しかしハイドはジキルには無関心だった。
or but remembered him as the mountain bandit remembers the cavern in which he conceals himself from pursuit.	というか、山賊が自分を隠してくれる洞窟を思うくらいにしか、ジキルのことを思っていなかった。
Jekyll had more than a father's interest;	ジキルは父親以上に関心をはらっていたが、
Hyde had more than a son's indifference.	ハイドは息子以上に無関心だった。
To cast in my lot with Jekyll, was to die to those appetites which I had long secretly indulged and had of late begun to pamper.	ジキルと運命をともにすることは、私が長いあいだひそやかに楽しんで、最近は十分に満足していた欲望をあきらめることだった。
To cast it in with Hyde, was to die to a thousand interests and aspirations, and to become, at a blow and for ever, despised and friendless.	ハイドと運命をともにするのは、多くの利益や大志をあきらめ、一挙にそして永遠に見下され、友達を失うということだった。
The bargain might appear unequal;	この取引は一見不つりあいに思えるかもしれないが、
but there was still another consideration in the scales;	ここにはさらに考えなければならないことがあったのである。
for while Jekyll would suffer smartingly in the fires of abstinence, Hyde would be not even conscious of all that he had lost.	ジキルがひどく禁欲の炎にあぶられているというのに、ハイドはといえば自分が失ったものに気づきさえしないのである。
Strange as my circumstances were, the terms of this debate are as old and commonplace as man;	私の置かれた状況は奇妙なものだったが、この論争の題材は人類にとっては古く、どこにでもあるような問題だった。
much the same inducements and alarms cast the die for any tempted and trembling sinner;	これと同じ誘惑と警告が、誘惑に負けて罪におののく罪人の運命を決めるのである。
and it fell out with me, as it falls with so vast a majority of my fellows,	そして私の場合も、たまたまその他多くの人と同じことになってしまった。
that I chose the better part and was found wanting in the strength to keep to it.	つまり善を選び、それを守り通していく力が不足していたのだ。
Yes, I preferred the elderly and discontented doctor, surrounded by friends and cherishing honest hopes;	たしかに、私は友達に囲まれ、正しい希望を胸にいだいて、年老いて不満をもっている医者になることを選んだ。
and bade a resolute farewell to the liberty, the comparative youth, the light step, leaping impulses and secret pleasures, that I had enjoyed in the disguise of Hyde.	つまりハイドの姿をかりて享受した自由に、私より若くなることに、軽やかな足取りに、そして高鳴る胸の鼓動に、秘密の喜びに決別したのだ。
I made this choice perhaps with some unconscious reservation,	こうした選択をしながら、無意識のうちに留保していたのかもしれない。
for I neither gave up the house in Soho, nor destroyed the clothes of Edward Hyde,	私はソーホーの家を引き払ったり、エドワード・ハイドの服を捨てたりはしなかった。
which still lay ready in my cabinet.	服は書斎にしまいこんでいたのである。
For two months, however, I was true to my determination;	しかしながら２ヶ月のあいだ、私は決断に忠実だった。
for two months I led a life of such severity as I had never before attained to, and enjoyed the compensations of an approving conscience.	２ヶ月のあいだ、私は以前にもまして厳格な生活を送り、良心が満足するという報酬を得たのだ。
But time began at last to obliterate the freshness of my alarm;	しかし時がたつにつれ、警戒心もうすれてきた。
the praises of conscience began to grow into a thing of course;	良心の賛辞も当たり前のものとなりはじめていた。
I began to be tortured with throes and longings, as of Hyde struggling after freedom;	私は、まるでハイドが自由を求めているように、苦痛と渇望に苦しむようになっていた。
and at last, in an hour of moral weakness, I once again compounded and swallowed the transforming draught.	そしてとうとう、モラルが弱くなったときに、私は再び姿をかえる薬を調合して飲みほしたのだ。
I do not suppose that, when a drunkard reasons with himself upon his vice, he is once out of five hundred times affected by the dangers that he runs through his brutish, physical insensibility;	酔っ払いが自分の飲酒を正当化するときに、獣のように肉体がまひしてしまい、自分の犯す危険を５００回に一回も気にするとは思わない。
neither had I, long as I had considered my position, made enough allowance for the complete moral insensibility and insensate readiness to evil,	自分の置かれている立場を十分に考慮したとはいえ、私も完全にモラルがまひして、悪へ即座にはしってしまうことを十分に考慮したとは思わない。
which were the leading characters of Edward Hyde.	それこそが、エドワード・ハイドの性格の主たるものだったにもかかわらずだ。
Yet it was by these that I was punished.	しかしながら、そのために私は罰せられたのだった。
My devil had been long caged, he came out roaring.	私の悪魔はあまりに長く檻に閉じ込められていたので、叫び声をあげながらでてきた。
I was conscious, even when I took the draught, of a more unbridled, a more furious propensity to ill.	薬をのんだときでさえ、私は束縛からのがれたいという、怒りにみちた悪へ悪へと走る性向を感じていた。
It must have been this, I suppose, that stirred in my soul that tempest of impatience with which I listened to the civilities of my unhappy victim;	私が思うに、不幸な被害者の丁寧な言葉を聞いているときに、私の魂の中でいよいよ我慢できなかったのもこのために違いない。
I declare, at least, before God, no man morally sane could have been guilty of that crime upon so pitiful a provocation;	私は少なくとも、神を前にして断言できるが、モラルがある正常な人間ならほんの少し腹をたてたくらいで、あれほどの犯罪を犯せるはずがないということである。
and that I struck in no more reasonable spirit than that in which a sick child may break a plaything.	つまり私は、病気の子供がおもちゃを壊したのと同じくらいの何でもないことで、殴ったのだということだ。
But I had voluntarily stripped myself of all those balancing instincts by which even the worst of us continues to walk with some degree of steadiness among temptations;	しかし私は、どんな悪党でも持っている誘惑のあいだをしっかりと歩きつづけるバランスをとる本能を、すべて自らなくしてしまった。
and in my case, to be tempted, however slightly, was to fall.	だから私はどんなにささやかな誘惑でも、それに負けてしまったのである。
Instantly the spirit of hell awoke in me and raged.	すぐに悪魔の魂が目をさまし、怒り狂った。
With a transport of glee, I mauled the unresisting body, tasting delight from every blow;	喜びにわれを忘れて、私は無抵抗の体を打ちつけ、一発なぐるたびに喜びを感じた。
and it was not till weariness had begun to succeed, that I was suddenly, in the top fit of my delirium, struck through the heart by a cold thrill of terror.	そして疲れを感じるようになってはじめて、歓喜の発作の頂点で、私の胸に恐怖の戦慄が走った。
A mist dispersed;	霧がはれ、
I saw my life to be forfeit;	私は命を失うことがわかった。
and fled from the scene of these excesses, at once glorying and trembling, my lust of evil gratified and stimulated, my love of life screwed to the topmost peg.	そして暴行の場面から逃げ出し、勝ち誇ると同時に打ち震えながら、悪の欲望が満足させられ刺激されることで、生を愛する気持ちが最高潮に高まった。
I ran to the house in Soho, and (to make assurance doubly sure) destroyed my papers;	私はソーホーの家へと急いだ、そして（二重の保証をかけて）書類を破棄した。
thence I set out through the lamplit streets,	それから街灯に照らされた街へと出て行った。
in the same divided ecstasy of mind, gloating on my crime, light-headedly devising others in the future, and yet still hastening and still hearkening in my wake for the steps of the avenger.	心は分裂しながらも興奮し、自分の犯罪をほくそえみながら、考えなしに次におこす犯罪をもくろんだりする一方で、追っ手がかからないかと足をはやめ、どきどきもしていた。
Hyde had a song upon his lips as he compounded the draught, and as he drank it, pledged the dead man.	ハイドは薬を調合するときも鼻歌まじりで、飲むときには、死者に乾杯までした。
The pangs of transformation had not done tearing him, before Henry Jekyll, with streaming tears of gratitude and remorse, had fallen upon his knees and lifted his clasped hands to God.	姿を変えるさいの煩悶にまだ苦しんでいるときから、ヘンリー・ジキルは悔恨と良心がとがめ涙にくれていて、ひざまずき、神に祈って組んだ両手をさしのべた。
The veil of self-indulgence was rent from head to foot, I saw my life as a whole:	私を包んでいた気ままなベールが、頭からつま先まで引き裂かれ、私は自分の人生全てを振り返った。
I followed it up from the days of childhood, when I had walked with my father's hand, and through the self-denying toils of my professional life, to arrive again and again, with the same sense of unreality, at the damned horrors of the evening.	父親と散歩をした子供のころから、仕事をしているときのこつこつとした働きぶりを、そして何回も何回も、まるで現実のことではないように、あの夜ののろわれた惨事へと行き着くのだった。
I could have screamed aloud;	できることなら泣き叫びたかった。
I sought with tears and prayers to smother down the crowd of hideous images and sounds with which my memory swarmed against me;	私は、記憶が私にあびせかけてくる膨大なイメージと音に圧倒され、涙にくれ、神に祈った。
and still, between the petitions, the ugly face of my iniquity stared into my soul.	そしてまだ嘆願しているあいだにも、私のなかの悪の醜い顔がじっと私の魂をみつめるのだった。
As the acuteness of this remorse began to die away, it was succeeded by a sense of joy.	この激しい悔恨の情が消えてなくなると、続いて喜びの感情が湧いてきた。
The problem of my conduct was solved.	私の行動における問題は、解決されたのだ。
Hyde was thenceforth impossible;	つまりハイドは二度と現れることはない。
whether I would or not, I was now confined to the better part of my existence;	私が望もうと望むまいと、私は今や私の中の善に閉じ込められたのだ。
and oh, how I rejoiced to think it!	あぁ、そう考えるのはどれほどうれしかったことだろう！
with what willing humility, I embraced anew the restrictions of natural life!	どれほど自らの謙虚な気持ちで、私は再び人生に課された制約を甘受したことだろう！
with what sincere renunciation, I locked the door by which I had so often gone and come, and ground the key under my heel!	どれほど心から断念して、あれほど出入りしていたドアを閉め、かかとで鍵を踏みにじったことだろう！
The next day, came the news that the murder had been overlooked,	次の日には、殺人者が目撃されたというニュースが耳に入った。
that the guilt of Hyde was patent to the world, and that the victim was a man high in public estimation.	ハイドの犯罪は世間に知れわたり、被害者の公的な地位は高かった。
It was not only a crime, it had been a tragic folly.	犯罪というだけではなく、痛ましい愚行であるということだった。
I think I was glad to know it;	私は、それを知りうれしく思った。
I think I was glad to have my better impulses thus buttressed and guarded by the terrors of the scaffold.	自分の中の善への衝動が、絞首刑の恐怖によって支えられ、守られるのをうれしく思ったのだ。
Jekyll was now my city of refuge;	ジキルはいまや隠れ場所だった。
let but Hyde peep out an instant, and the hands of all men would be raised to take and slay him.	ハイドが少しでも顔を覗かせるようなことがあれば、あらゆる人がよってたかって手をふりあげ、殺してしまうだろう。
I resolved in my future conduct to redeem the past;	私は、これからの行動をもって過去を償おうとした。
and I can say with honesty that my resolve was fruitful of some good.	そして正直に、私の償いがいくぶんはいい結果をもたらしたということを言い切れる。
You know yourself how earnestly in the last months of last year,	君も、昨年の数ヶ月は私がどんなに熱心だったかを知っているだろう。
I laboured to relieve suffering;	私は苦しみを和らげるために骨折った。
you know that much was done for others,	私が人のために多くを為したことを君も知っているだろう。
and that the days passed quietly, almost happily for myself.	そして日々は平穏にすぎ、私自身も幸せだった。
Nor can I truly say that I wearied of this beneficent and innocent life;	確かに私は、この善をほどこす汚れなき生活にうんざりすることはなかった。
I think instead that I daily enjoyed it more completely;	それどころか、心の底からその生活を楽しんだくらいである。
but I was still cursed with my duality of purpose;	ただ私はまだ意思が二つに分かれていることに苦しんでいた。
and as the first edge of my penitence wore off, the lower side of me, so long indulged, so recently chained down, began to growl for licence.	最初の悔恨のするどい痛みが薄れてくると、私の中の下劣な部分が、あまりに長く野放しにしておいて、最近束縛したものが、自由をもとめて唸り声を発しはじめたのである。
Not that I dreamed of resuscitating Hyde;	私は、ハイドの復活は夢にも思わなかった。
the bare idea of that would startle me to frenzy:	そんなことを考えただけで、驚いて頭に血がのぼってしまっただろう。
no, it was in my own person, that I was once more tempted to trifle with my conscience;	私の中で、良心をかるがるしく扱うように再び誘惑されたのだ。
and it was as an ordinary secret sinner, that I at last fell before the assaults of temptation.	普通の隠れた犯罪者のように、私はついに誘惑に屈してしまったのだ。
There comes an end to all things;	全てのことには終わりがある。
the most capacious measure is filled at last;	大きなはかりもついには一杯になる。
and this brief condescension to evil finally destroyed the balance of my soul.	そして悪へと少し気を許したために、とうとう魂のバランスが崩れてしまったのだ。
And yet I was not alarmed;	しかも私はそれに気づきもしなかった。
the fall seemed natural, like a return to the old days before I had made discovery.	堕落も、発見をする前の当時にもどっただけで、自然のようなことに思われたのだ。
It was a fine, clear, January day, wet under foot where the frost had melted, but cloudless overhead;	快晴の、一月のある日のことで、足元は霜がとけてぬれていた。
and the Regent's Park was full of winter chirrupings and sweet with spring odours.	しかし頭上には雲ひとつなく、リージェント公園はあたり一面、冬の鳥がさえずり、春の甘い香りがした。
I sat in the sun on a bench;	私は日光がさんさんと注ぐベンチに座り、
the animal within me licking the chops of memory;	私のなかの獣は思い出に舌なめずりをしていた。
the spiritual side a little, drowsed, promising subsequent penitence, but not yet moved to begin.	精神的な面では、その後には後悔する事がわかっていながら、まだまどろみ動きだしていなかった。
After all, I reflected, I was like my neighbours;	結局、私は他の人と同じなんだと思った。
and then I smiled, comparing myself with other men, comparing my active goodwill with the lazy cruelty of their neglect.	それから、自分のことを他の人たちと、善意をもって活動している自分と、無関心で怠けて残酷な人をくらべて微笑んだ。
And at the very moment of that vain-glorious thought, a qualm came over me, a horrid nausea and the most deadly shuddering.	こんなおごりたかぶった考えにひたっていたちょうどその時、胸がむかつきだし、へどがでるほどの嫌悪感とたえられないほどの震えにおそわれた。
These passed away, and left me faint;	それが終ると、私は気をうしなった。
and then as in its turn the faintness subsided, I began to be aware of a change in the temper of my thoughts, a greater boldness, a contempt of danger, a solution of the bonds of obligation.	それから正気に帰ると、考え方に変化がみられ、より大胆になり危険を軽視し、義務を無視しはじめたことに気づいた。
I looked down;	私は目を下ろした。
my clothes hung formlessly on my shrunken limbs;	すると手足では服がだらんとぶらさがり、
the hand that lay on my knee was corded and hairy.	手は膝の上だったが、筋ばって毛むくじゃらだった。
I was once more Edward Hyde.	私は再びエドワード・ハイドになっていたのだ。
A moment before I had been safe of all men's respect, wealthy, beloved	少し前までは私は問題なく世間の尊敬をうけ、豊かで、敬愛をうけていて、
-- the cloth laying for me in the dining-room at home;	家の食堂では私用にテーブルクロスが用意されていたのだ。
and now I was the common quarry of mankind, hunted, houseless, a known murderer, thrall to the gallows.	それなのに今や、私はみんなに狙われ、追跡され、家もなく、お尋ね者の殺人者で、絞首台にしばりつけられているのだ。
My reason wavered, but it did not fail me utterly.	私の理性は揺れ動いたが、かといって全くなくなってしまったわけではない。
I have more than once observed that, in my second character, my faculties seemed sharpened to a point and my spirits more tensely elastic;	私は一度ならず、ハイドの姿になっているときは、私の能力がとぎすまされ、精神はより張りつめながらも柔軟さを保つのであった。
thus it came about that, where Jekyll perhaps might have succumbed, Hyde rose to the importance of the moment.	したがってたぶんジキルが屈服するようなときでも、ハイドはその重大なときに臨機応変に対処できるのだった。
My drugs were in one of the presses of my cabinet;	薬は書斎の棚の一つにあった。
how was I to reach them?	どうやってそれを手に入れればいいのだろうか？
That was the problem that (crushing my temples in my hands) I set myself to solve.	それこそ私自身で解決しなければならない（頭がわれんばかりにこめかみに両手をあてた）問題だった。
The laboratory door I had closed. If I sought to enter by the house, my own servants would consign me to the gallows.	もし私がこっそり家にしのびこもうとしても、私の家の召使たちが私を絞首刑にするだろう。
I saw I must employ another hand,	他の手段を講じなければならないのは明らかだった。
and thought of Lanyon.	そしてラニョンのことを思いついた。
How was he to be reached?	どうやってラニョンのところまで行けばいいのだろうか？
how persuaded?	どうやって説得すればいいだろう？
Supposing that I escaped capture in the streets, how was I to make my way into his presence?	仮に街なかで捕まることは避けえたとしても、どうやって彼と会ったらいいのだろうか？
and how should I, an unknown and displeasing visitor, prevail on the famous physician to rifle the study of his colleague, Dr. Jekyll?	そしてどうやって私が、面識のない不快な訪問者が、著名な医者にその同僚であるジキル博士の書斎を探ることを説き伏せることができるだろうか？
Then I remembered that of my original character, one part remained to me:	それから自分本来の人格が、一つだけ、私に残されているかを思い出した。
I could write my own hand;	私には筆跡があったのだ。
and once I had conceived that kindling spark, the way that I must follow became lighted up from end to end.	そしてぱっとひらめいて、次にとるべき道が何から何まで明らかになった。
Thereupon, I arranged my clothes as best I could, and summoning a passing hansom, drove to an hotel in Portland Street,	そこで、できるだけ服装をきちんとすると、馬車をよんで、ポートランド街のホテルまでやってもらった。
the name of which I chanced to remember.	そのホテルの名前をたまたま覚えていたのだ。
At my appearance (which was indeed comical enough, however tragic a fate these garments covered) the driver could not conceal his mirth.	私の姿をみると（それは十分こっけいなものだったが、その下にはどれほど悲劇的な運命が隠されていたことだろう）御者は笑いを隠そうともしなかった。
I gnashed my teeth upon him with a gust of devilish fury;	私は悪魔のような怒りにとっさにおそわれ、歯ぎしりしたが、
and the smile withered from his face -- happily for him -- yet more happily for myself,	微笑が御者の顔から消え、それは御者にとって幸運だったのと同時に、私にとってはさらに幸運なことだった。
for in another instant I had certainly dragged him from his perch.	私はもう少しのところで、確実にその男を御者台からひきずりおろしただろうから。
At the inn, as I entered, I looked about me with so black a countenance as made the attendants tremble;	ホテルに入って行き、従業員がふるえあがるようなすごい形相であたりを見回したので、
not a look did they exchange in my presence;	彼らは私とは視線を交わそうとはしなかった。
but obsequiously took my orders, led me to a private room, and brought me wherewithal to write.	しかし私の注文をこびへつらうように聞くと、部屋へと案内し、書き物に必要なものを持ってきてくれた。
Hyde in danger of his life was a creature new to me;	ハイドは生命の危機がせまっていると、人がかわったようになった。
shaken with inordinate anger, strung to the pitch of murder, lusting to inflict pain.	これまでにないような怒りにうちふるえ、はりつめて人殺しも辞さないようで、苦痛を与えることを切望していた。
Yet the creature was astute;	しかしながら抜け目もなかった。
mastered his fury with a great effort of the will;	強い意志の力で怒りをおさえ、
composed his two important letters, one to Lanyon and one to Poole;	二通の手紙を、一通はラニョンに、一通はプールへと書き上げた。
and that he might receive actual evidence of their being posted, sent them out with directions that they should be registered.	そしてきちんと配達されたことがわかるように、書留でだすようにしたのである。
Thenceforward, he sat all day over the fire in the private room, gnawing his nails;	それ以降は、一日中部屋の暖炉のそばに腰をおろし、つめをかんでいた。
there he dined, sitting alone with his fears, the waiter visibly quailing before his eye;	夕食も一人きりで、恐怖にうちふるえながら部屋でとり、給仕も見るからにハイドの前ではおじけづいていた。
and thence, when the night was fully come, he set forth in the corner of a closed cab, and was driven to and fro about the streets of the city.	それからすっかり夜になると、宿をでて、閉めきった馬車の片隅に身をよせ、街をあちらへこちらへと流した。
He, I say -- I cannot say, I.	彼は、と私はいいたい、私は、とはとてもいえない。
That child of Hell had nothing human;	悪魔の申し子は人間ではなかった。
nothing lived in him but fear and hatred.	その男にあるのは、恐れと憎悪だけだった。
And when at last, thinking the driver had begun to grow suspicious, he discharged the cab and ventured on foot,	そしてついに、御者があやしみはじめたと考えると、馬車をおりて歩くことにした。
attired in his misfitting clothes, an object marked out for observation, into the midst of the nocturnal passengers, these two base passions raged within him like a tempest.	寸法のあわない服をきて、目立つこともおそれずに雑踏の中にまぎれこんでいったが、彼の中では二つの感情が嵐のように吹き荒れていた。
He walked fast, hunted by his fears, chattering to himself, skulking through the less-frequented thoroughfares, counting the minutes that still divided him from midnight.	足早に歩いたが、恐れに駆り立てられ、ぶつぶつ何事かをつぶやき、より人通りの少ない通りをこそこそと、真夜中までの時間を確認しながら歩いた。
Once a woman spoke to him, offering, I think, a box of lights.	一度一人の女が彼にはなしかけてきた。私が思うには、マッチ箱でも売りつけようとしたのだろうが、
He smote her in the face, and she fled.	彼は女の顔を殴りつけ、女はすぐに逃げていった。
When I came to myself at Lanyon's, the horror of my old friend perhaps affected me somewhat:	ラニョンのところで自分をとりもどしたときに、たぶん友人の恐怖を思ってなにかを感じたはずだが、
I do not know;	私は覚えていない。
it was at least but a drop in the sea to the abhorrence with which I looked back upon these hours.	しかしその恐怖は、その前の時間を振り返るときの私の嫌悪とくらべれば、少なくとも大海に一滴をたらすようなものであった。
A change had come over me.	私の心は一変した。
It was no longer the fear of the gallows, it was the horror of being Hyde that racked me.	私をかりたてるのは、もはや絞首台の恐怖ではなく、ハイドになることの恐怖だった。
I received Lanyon's condemnation partly in a dream;	ラニョンの非難も夢心地だったし、
