Homesteading the Noosphere	ノウアスフィアの開墾
and not having to rediscover basic principles over and over again.	これにより、同じ基本原理をなんども発表しなおさずにすむ。
Some have gone so far as to suggest that hacker customs are merely a reflection of the research community's folkways and have actually (in most cases) been acquired there by individual hackers.	ある人はこの議論を極端にすすめて、ハッカー慣習は単に研究コミュニティの民俗的な慣習の反映にすぎず、実は（ほとんどが）そこで獲得されたものだ、とまで主張する。
This probably overstates the case,	これはたぶん話を誇張させすぎているだろう。
if only because hacker custom seems to be readily acquired by intelligent high-schoolers!	ハッカー慣習は頭のいい高校生でもすぐに獲得できてしまうという一点だけでもそれは明らかだと思う。
There is a more interesting possibility here.	ここにはもっとおもしろい可能性がある。
I suspect academia and the hacker culture share adaptive patterns not because they're genetically related, but because they've both evolved the one most optimal social organization for what they're trying to do, given the laws of nature and the instinctive wiring of human beings.	ぼくの憶測だけれど、学問の世界とハッカー文化が同じ適応パターンを示すのは、それが出自の点で親戚だからではなく、物理法則と人間の本能の仕組みを千手としたときに、それぞれ自分たちがやろうとしていたことを実現するための、唯一最適な社会組織を発達させたんじゃないだろうか。
The verdict of history seems to be that free-market capitalism is the globally optimal way to cooperate for economic efficiency;	歴史的にみて、自由市場資本主義こそが経済効率を求めて協力するための世界的に最適な方法だという審判はくだったようだ。
perhaps, in a similar way, the reputation-game gift culture is the globally optimal way to cooperate for generating (and checking!) high-quality creative work.	ひょっとして同じように、評判ゲームに基づく贈与文化は、高品質の創造的作業を産み出し（そしてチェックする！）ために協力するにあたって、世界的に最適な方法なのかもしれない。
This suggests from a slightly different angle one of the speculations in The Cathedral And The Bazaar;	それは『伽藍とバザール』（邦訳、原文)での考察を、ちょっと別の角度からも論証しなおしたものとなる。
that, ultimately, the industrial/factory mode of software production was doomed to be outcompeted from the moment capitalism began to create enough of a wealth surplus that many programmers could live in a post-scarcity gift culture.	つまり多くのプログラマがポスト稀少性時代の贈与文化の中で生きられるだけの富の余剰を資本主義が作り出せるようになった瞬間から、最終的にはソフト生産の産業資本主義様式は競争に負けるべく運命づけられているのだ、という考察だ。
Conclusion: From Custom to Customary Law	19　結論：慣習から慣習法へ
We have examined the customs which regulate the ownership and control of open-source software.	これまでオープンソース・ソフトの所有権とコントロールを支配する慣習をみてきた。
We have seen how they imply an underlying theory of property rights homologous to the Lockean theory of land tenure.	その根底にある理論が、ロック式の土地所有権理論と似た所有権概念であることもみた。
We have related that to an analysis of the hacker culture as a `gift culture' in which participants compete for prestige by giving time, energy, and creativity away.	それと結びつけて、参加者が時間とエネルギーと創造性をあげてしまうことで名声を競う「贈与文化」としてハッカー文化を分析してみた。
We have examined the implications of this analysis for conflict resolution in the culture.	そしてその分析が、文化内の紛争解決にとって持つ意味について検討してみた。
The next logical question to ask is "Why does this matter?"	論理的に考えて次にたずねるべき質問は「それがどうしたの？」というものだ。
Hackers developed these customs without conscious analysis and (up to now) have followed them without conscious analysis.	ハッカーは意識的な分析なしにこうした慣習を発展させてきたし、（いままでは）意識的な分析なしにそれにしたがってきた。
It's not immediately clear that conscious analysis has gained us anything practical	それを意識的に分析してみたところで、なにか実用性のある成果が得られたかどうかは、すぐにははっきりしない
?unless, perhaps, we can move from description to prescription and deduce ways to improve the functioning of these customs.	――ただし、これによって記述から処方へと歩みを進めて、こういう習慣の機能を改良する方法が抽出できるなら話は別だろう。
We have found a close logical analogy for hacker customs in the theory of land tenure under the Anglo-American common-law tradition.	英米慣習法の伝統の土地所有権理論が、ハッカー慣習と論理的にとても近い関係にあることを見てきた。
Historically [Miller], the European tribal cultures that invented this tradition improved their dispute-resolution systems by moving from a system of unarticulated, semi-conscious custom to a body of explicit customary law memorized by tribal wisemen ?and eventually, written down.	歴史的にみて [Miller]、これを発明したヨーロッパの部族文化は、明文化もはっきり意識化もされない慣習から部族の賢者たちが記憶するはっきりした慣習法体系に移行し、やがてはそれを成文化することで、紛争解決システムを向上させていった。
Perhaps, as our population rises and acculturation of all new members becomes more difficult, it is time for the hacker culture to do something analogous	たぶん、人数がふえてきて新メンバー全員の文化順応を行うのがだんだん難しくなってくるにつれて、ハッカー文化もなにかそれと似たようなことをする時期がきているんだろう
?to develop written codes of good practice for resolving the various sorts of disputes that can arise in connection with open-source projects, and a tradition of arbitration in which senior members of the community may be asked to mediate disputes.	――オープンソース・プロジェクトとのかかわりで生じる可能性のあるさまざまな紛争を解決するためのよい方法を、明文化したコードとして開発し、コミュニティの長老メンバーが紛争調停を行うような、仲裁の伝統をつくりあげることだ。
The analysis in this essay suggests the outlines of what such a code might look like, making explicit that which was previously implicit.	この論文での分析から、これまで内在的だったものを明文化するようなそういうコードの概略が、どんなものになるべきかが示唆される。
No such codes could be imposed from above;	こういうコードは決して上から押しつけられるものではあり得ない。
they would have to be voluntarily adopted by the founders or owners of individual projects.	個別プロジェクトの創始者や所有者が、自主的に採用するものでなくてはならない。
Nor could they be completely rigid,	そしてそれは完全に硬直したものでもありえない。
as the pressures on the culture are likely to change over time.	文化にかかる圧力はだんだん変わるはずだからだ。
Finally, for enforcement of such codes to work, they would have to reflect a broad consensus of the hacker tribe.	最後に、こういうコードが実行上うまく機能するには、ハッカー部族の幅広い合意を反映したものでなくてはならない。
I have begun work on such a code, tentatively titled the "Malvern Protocol" after the little town where I live.	ぼくはそういうコードを書く作業を始めていて、ぼくが住んでいる小さな町の名前をとってそれを仮に「マルヴァーン綱領」と名付けている。
If the general analysis in this paper becomes sufficiently widely accepted, I will make the Malvern Protocol publicly available as a model code for dispute resolution.	もしこの論文の一般的な分析がそれなりに広く受け入れられたら、マルヴァーン綱領を紛争解決コードの見本として公開する。
Parties interested in critiquing and developing this code, or just offering feedback on whether they think it's a good idea or not, are invited to contact me by email.	このコードの批評や開発に興味のある向きや、単にそれがいいか悪いかフィードバックをくれたい人は、電子メールでぼくにコンタクトしてほしい。
Questions for Further Research	20　これからの研究の課題
The culture's (and my own) understanding of large projects that don't follow a benevolent-dictator model is weak.	ハッカー文化（そしてぼく）は、優しい独裁者モデルに従わない大規模プロジェクトについてあまりよく理解できていない。
Most such projects fail.	そういうプロジェクトの多くは失敗する。
A few become spectacularly successful and important (Perl, Apache, KDE).	でも少数はものすごい大成功をおさめて重要になる（Perl、Apache、KDE）。
Nobody really understands where the difference lies.	ちがいがどこにあるのか、だれにもわかっていない。
There's a vague sense abroad that each such project is sui generis and stands or falls on the group dynamic of its particular members, but is this true or are there replicable strategies that a group can follow?	（そういうプロジェクトはそれぞれsui generis（まったく独自のもの）であり、たまたまそのメンバーのグループ力学に基づいて成功したりしなかったりするのだというのが、漠然とただよう理解だけれど、でもこれって本当なんだろうか、それともある集団がとるべき複製可能な戦略があるんだろうか？）
A fascinating study of Icelandic folkmoot law,	アイスランドの民会法についてのすばらしい研究。
which both illuminates the ancestry of the Lockean theory of property and describes the later stages of a historical process by which custom passed into customary law and thence to written law.	ロック式所有権理論がどれほど古いかを明らかにするとともに、慣習が慣習法へとひきつがれ、そして成文法になる歴史的なプロセスの後半を描いている。
There is much enlightening silliness to be found in Discordianism.	すごく軽い冗談口てんこもりだけれど、
Amidst it, the `SNAFU principle' provides a rather trenchant analysis of why command hierarchies don't scale well.	そのなかの「SNAFU 原理」なる代物は、上意下達方式がなぜスケーラビリティが低いのかについて、なかなか深遠な分析を提供している。
There's a browseable HTML version.	ブラウズ可能な HTML 版あり。
An excellent introduction to evolutionary psychology.	進化心理学へのすぐれた入門書。
Some of the papers bear directly on the three cultural types I discuss (command/exchange/gift), suggesting that these patterns are wired into the human psyche fairly deep.	論文のいくつかは、ぼくが論じている3種類の文化タイプ（上意下達、交換、贈与）と直接かかわるもので、こういうパターンが人間の心理のかなり深いところにまで食い込んでいるらしいことを示唆している。
I discovered this paper after my version 1.7.	この論文はバージョン 1.7 のあとで発見した。
It has obvious flaws (Goldhaber's argument for the inapplicability of economic reasoning to attention does not bear close examination),	一目でわかる欠点もある（Goldhaber は、関心というものには経済的な理由づけが適用できないと論じているけれど、この議論はよく読むと成り立たない）
but Goldhaber nevertheless has funny and perceptive things to say about the role of attention-seeking in organizing behavior.	けれど、それでも Goldhaber は組織行動における関心集めの役割についておもしろくて鋭いことを言っている。
The prestige or peer repute I have discussed can fruitfully be viewed as a particular case of attention in his sense.	ぼくが論じた名声や仲間内の評判は、かれが言う意味での関心の特殊例として見ると有益。
[HH] I have summarized the history of the hacker culture in A Brief History Of Hackerdom.	[HH] ハッカー社会（hackerdom）の歴史については、ここにまとめてみた（邦訳はこちら）。
The book that will explain it really well remains to be written, probably not by me.	これをほんとうにきちんと説明してくれる本は未だに書かれていないし、それを書くのはたぶんぼくではないと思う。
[N] The term `noosphere' is an obscure term of art in philosophy.	[N]「ノウアスフィア（noosphere）」は哲学特有の専門用語で、
It is pronounced KNOW-uh-sfee (two o-sounds, one long and stressed, one short and unstressed tending towards schwa).	「ノウ・ア・スフィア」が正しい発音
If one is being excruciatingly correct about one's orthography, the term is properly spelled with a diaeresis over the second `o' to mark it as a separate vowel.	表記について死ぬほど厳密でありたいなら、正しくは二番目の o の上に点々がつく。
In more detail;	もっと詳しく言えば：
this term for ``the sphere of human thought'' derives from the Greek `noos' meaning `mind', `intelligence', or `perception'.	この「人間の思考の圏域」を表す用語は、ギリシャ語の「nous」、つまり精神や意志、息などを指す単語から生まれている。
It was invented by E. LeRoy in Les origines humaines et l'evolution de l'intelligence (Paris 1928).	E. LeRoy が Les origines humaines et l'evolution de l'intelligence (Paris 1928)で発明したことばだ。
It was popularized first by the Russian biologist and pioneering ecologist Vladimir Ivanovich Vernadsky, (1863?1945), then by the Jesuit paleontologist/philosopher Pierre Teilhard de Chardin (1881?1955).	これはさらに、ロシアの生物学者にして先駆的なエコロジスト Vladimir Ivanovich Vernadsky (1863-1945)によって広められ、さらにはイエズス会の古生物学者兼哲学者ピエール・ティヤール・ド・シャルダン Pierre Teilhard de Chardin (1881-1955)がこれを広めた。
It is with Teilhard de Chardin's theory of future human evolution to a form of pure mind culminating in union with the Godhead that the term is now primarily associated.	いまではこの用語は主に、人間が将来純粋な精神体へと進化して神様と融合するというかれの理論と結びついて考えられている。
[DF] David Friedman, one of the most lucid and accessible thinkers in contemporary economics, has written an excellent outline of the history and logic of intellectual-property law.	[DF]現代経済学で最も雄弁かつわかりやすい論者デビッド・フリードマンは、知的財産法の歴史と論理について見事な概論を書いている。
I recommend it as a starting point to anyone interested in these issues.	この問題に関心ある人すべての出発点としておすすめする。
[BSD] One interesting difference between the Linux and BSD worlds is that the Linux kernel (and associated OS core utilities) have never forked, but BSD's has, at least three times.	[SP]　Linux と BSD の世界とのおもしろいちがいの一つは、Linux のカーネル（および関連する OS の中心的なユーティリティ）は一度も分裂していないけれど、BSD は少なくとも 3 回は分裂しているということだ。
What makes this interesting is that the social structure of the BSD groups is centralized in a way intended to define clear lines of authority and to prevent forking, while the decentralized and amorphous Linux community takes no such measures.	これがおもしろいのは、BSD グループの社会構造は中央集権化されていて、権限をはっきりと線引きすることで分裂を防ぐようになっているのに、中央集権化されていなくて不定型なLinuxコミュニティは分裂を防ぐような手段をまったく講じていないからだ。
It appears that the projects which open up development the most actually have the least tendency to fork!	開発をなるべく開放したほうが、いちばん分裂しにくくなるとしか思えない！
Henry Spencer <henry@spsystems.net> suggests that, in general, the stability of a political system is inversely proportional to the height of the entry barriers to its political process.	Henry Spencer <henry@spsystems.net> の考えによれば、一般に政治的なシステムの安定性は、その政治プロセスへの参入障壁の高さに反比例するのではないか、とのこと。
His analysis is worth quoting here:	かれの分析は、ここで引用するだけの価値がある：
One major strength of a relatively open democracy is that most potential revolutionaries find it easier to make progress toward their objectives by working via the system rather by attacking it.	「比較的オープンな民主主義の大きな強みの一つは、ほとんどの潜在的革命家は自分の目的を達成するのに、システムを利用したほうがシステムを攻撃するよりも簡単だと判断する、ということだ。
This strength is easily undermined if established parties act together to `raise the bar', making it more difficult for small dissatisfied groups to see some progress made toward their goals.	各種組織が協力して「敷居を上げて」、不満を持った小集団が自分の目標を多少なりとも達成するのをむずかしくすると、この強みはすぐに消えてしまう。
(A similar principle can be found in economics.	（同じような原理は経済でも見られる。
Open markets have the strongest competition, and generally the best and cheapest products.	開放市場では競合がいちばん激しく、さらに最高で最低価格の製品が得られるのがふつうだ。
Because of this, it's very much in the best interests of established companies to make market entry more difficult	このため、既存企業としては、新規参入をなるべくむずかしくするのがいちばん利益になる
?for example, by convincing governments to require elaborate RFI testing on computers, or by creating `consensus' standards which are so complex that they cannot be implemented effectively from scratch without large resources.	――たとえば政府に対し、コンピュータに入念な RFI テストを義務づけさせたり、ポケットが深くない限り、複雑すぎて1から実装するのが実質的に不可能な「合意に基づく」規格を作ったりするわけだ。
The markets with the strongest entry barriers are the ones that come under the strongest attack from revolutionaries, e.g. the Internet and the Justice Dept. vs. the Bell System.)	参入障壁がいちばん強力な市場は、革命家、たとえばインターネットや、司法省対ベルシステムの独禁法裁判などからいちばん攻撃を受けやすい市場でもある。）
An open process with low entry barriers encourages participation rather than secession,	参入障壁の低いオープンなプロセスは、分離させるより、むしろ参加をうながす。
because one can get results without the high overheads of secession.	分離による高いオーバーヘッドなしに成果が得られるからだ。
The results may not be as impressive as what could be achieved by seceding, but they come at a lower price, and most people will consider that an acceptable tradeoff.	その成果は、分離したら達成できるものほどはすごくないかもしれないけれど、必要コストは低いし、多くの人はこれをがまんできる範囲のトレードオフだと判断する。
(When the Spanish government revoked Franco's anti-Basque laws and offered the Basque provinces their own schools and limited local autonomy, most of the Basque Separatist movement evaporated almost overnight.	（スペイン政府がフランコの反バスク法を廃止して、バスク地方に独自の学校と一定の自治権を与えたら、バスク独立運動のほとんどは一瞬で消えた。
Only the hard-core Marxists insisted that it wasn't good enough.)	それでは不十分だと固執したのは、ゴリゴリのマルクス主義者だけだった。）」
[RP] There are some subtleties about rogue patches.	[RP]非公式パッチについてはいくつか細かい点がある。
One can divide them into `friendly' and `unfriendly' types.	まずこれは、「友好的なもの」と「敵対するもの」に分類できる。
A `friendly' patch is designed to be merged back into the project's main-line sources under the maintainer's control	「友好的」なパッチは管理者のコントロール下で、プロジェクトのソースコードの主流に織り込まれるように設計されている
(whether or not that merge actually happens);	（それが実際に織り込まれるかはまた別の話）。
an `unfriendly' one is intended to yank the project in a direction the maintainer doesn't approve.	「敵対」パッチは、管理者の認めない方向にプロジェクトをねじまげようとするものだ。
Some projects (notably the Linux kernel itself) are pretty relaxed about friendly patches and even encourage independent distribution of them as part of their beta-test phase.	一部のプロジェクト（とくに Linux カーネルそのもの）は友好パッチにはすごく甘くて、むしろベータテストの段階では、独自のパッケージを推奨したりさえする。
An unfriendly patch, on the other hand, represents a decision to compete with the original and is a serious matter.	一方の敵対パッチはオリジナルと張り合おうという決断を示すもので、深刻な事態となる。
Maintaining a whole raft of unfriendly patches tends to lead to forking.	敵対パッチを大量に管理するようになると、プロジェクトはやがて分裂に向かうことが多い。
[LW] I am indebted to Michael Funk <mwfunk@uncc.campus.mci.net> for pointing out how instructive a contrast with hackers the pirate culture is.	[LW]ハッカーと海賊ソフト文化との対比がいかに示唆的かを指摘してくれた点で、Michael Funk <mwfunk@uncc.campus.mci.net>には感謝したい。
Linus Walleij has posted an analysis of their cultural dynamics that differs from mine	Linus Wallejは、かれらの文化力学についてぼくとは異なる分析をポストしている
(describing them as a scarcity culture)	（かれらを希少性文化として描いている。
in A Comment on `Warez D00dz' Culture.	これは A Comment on `Warez D00dz' Culture (http://www.df.lth.se/‾triad/papers/Raymond_D00dz.htmlを参照。
The contrast may not last.	この対比は、長続きしないかもしれない。
Former cracker Andrej Brandt <andy@pilgrim.cs.net.pl> reports that he believes the cracker/warez d00dz culture is now withering away, with its brightest people and leaders assimilating to the open-source world.	もとクラッカーのAndrej Brandt <andy@pilgrim.cs.net.pl> の見解によると、cracker/warez d00dz 文化は現在しぼみつつあって、いちばん優れた人材やリーダーたちは、オープンソースの世界に取り込まれているという。
Independent evidence for this view may be provided by a precedent-breaking July 1999 action of the cracker group calling itself `Cult of the Dead Cow'.	この視点について独立した証拠としては、「Cult of the Dead Cow」というクラッカー集団が 1999 年 6 月に行った、前例のない行動がある。
They have released their `Back Orifice 2000' for breaking Microsoft Windows security tools under the GPL.	かれらは、Microsoft Windows のセキュリティを破るためのツールである「Back Orifice 2000」を GPL のもとで公開した。
[HT] In evolutionary terms, the craftsman's urge itself may (like internalized ethics) be a result of the high risk and cost of deception.	[HT] 進化論的にいえば、職人の衝動自体が（内面化された倫理と同じく）裏切りの高リスクとコストの結果かもしれない。
Evolutionary psychologists have collected experimental evidence [BCT] that human beings have brain logic specialized for detecting social deceptions,	進化心理学者たちは、人間が社会的なだましを検出するのに特化した脳論理回路を持っているという証拠を得ている[BCT]。
and it is fairly easy to see why our ancestors should have been selected for ability to detect cheating.	そして、われわれの先祖がインチキを検出する能力を持ったために選別されたのはなぜか、理解するのは容易だろう。
Therefore, if one wishes to have a reputation for personality traits that confer advantage but are risky or costly, it may actually be better tactics to actually have these traits than to fake them.	だから、もしリスクもコストも高いけれど、メリットももたらすような性格の持ち主だという評判を得たければ、そういう性質があるふりをしてごまかすよりも、実際にそういう性質を身につけるほうが戦術的に優れているかも知れない
(``Honesty is the best policy'')	（「正直がいちばん」というやつだ）。
Evolutionary psychologists have suggested that this explains behavior like barroom fights.	進化心理学者たちは、これで酒場のけんかのような行動も説明できるのでは、と言う。
Among younger adult male humans, having a reputation for toughness is both socially and (even in today's feminist-influenced climate) sexually useful.	若い大人の男性の間では、「タフだ」という評判は社会的にも（そして現在のフェミニズムの栄養が強い風土にあってなお）性的にも有用なのだ。
Faking toughness, however, is extremely risky;	「タフさ」を詐称するのは、非常にリスクが高い。
the negative result of being found out leaves one in a worse position than never having claimed the trait.	それがばれたときのマイナスの影響は、それを主張しなかった場合に比べてもっと悪い立場にその人物を追いやってしまう。
The cost of deception is so high that it is sometimes better minimaxing to internalize toughness and risk serious injury in a fight to prove it.	この詐欺のコストはあまりに高いので、「タフさ」を内面化して、けんかで無理にそれを証明するために深刻なけがのリスクを負うほうが、最小効用の最大化（ミニマックス化）のためには有効なことさえある。
Parallel observations have been made about less controversial traits like honesty.	もっと議論にならない「正直さ」のような性向についても、似たような観察がなされている。
Though the primary meditation-like rewards of creative work should not be underestimated, the craftsman's urge is probably at least in part just such an internalization	創造的な仕事の、主に瞑想にも似た見返りは過小評価してはならないけれど、職人の衝動というのは、おそらく部分的にはまさにこうした内面化からくるものなのだろう
(where the base trait is `capacity for painstaking work' or something similar).	（そこでは基本的な性向は、「面倒な仕事をこなす能力」といったようなものになる）。
[MH] A concise summary of Maslow's hierarchy and related theories is available on the Web at Maslow's Hierarchy of Needs	[MH] マスローのヒエラルキーと関連理論についての簡潔なまとめは、web上で読める。
[DC] However, demanding humility from leaders may be a more general characteristic of gift or abundance cultures.	[DC] しかしながら、リーダーに謙虚さを求めるというのは、贈与文化、過剰文化のもっと一般的な性質なのかもしれない。
David Christie <dc@netscape.com> reports on a trip through the outer islands of Fiji:	David Christie <dc@netscape.com> は、フィジーの周辺部の島を旅したときについてこう書いている:
In Fijian village chiefs, we observed the same sort of self-deprecating, low-key leadership style that you attribute to open source project leaders.	「フィジーの村長にも、あなたがオープンソースのリーダーについて述べたのと同じように、卑下する腰の低いリーダーシップのスタイルが観察されました。
[...] Though accorded great respect and of course all of whatever actual power there is in Fiji, the chiefs we met demonstrated genuine humility and often a saint-like acceptance of their duty.	[中略] 大いなる尊敬を集め、そしてフィジーにある限りの現実の力をすべて持っているのに、われわれが会った村長たちは本物の謙虚さを示し、しばしば自分たちの任務を聖人のように受け入れていました。
This is particularly interesting given that being chief is a hereditary role,	これは、村長というのが世襲だということを考えるとなおさら興味深いものです。
not an elected position or a popularity contest.	選出されるわけでもないし、人気投票で決まるのでもありません。
Somehow they are trained to it by the culture itself, although they are born to it, not chosen by their peers.''	どういうわけか、生まれついてのことで仲間に選ばれたわけでもないのに、文化そのものによって訓練されているらしいのです。」
He goes on to emphasize that he believes the characteristic style of Fijian chiefs springs from the difficulty of compelling cooperation:	かれはさらに、このフィジーの村長に特有のスタイルは、協力を強制するのがむずかしいという事実からくるのだと思っていることを強調している。
a chief has ``no big carrot or big stick''.	村長は「大きなニンジンも、大きな棒も持っていない」わけだ。
[NO] As a matter of observable fact, people who found successful projects gather more prestige than people who do arguably equal amounts of work debugging and assisting with successful projects.	[NO] 見ればすぐにわかることだが、うまくいったプロジェクトを創始した人のほうが、成功したプロジェクトのデバッグや援助で同じくらいの仕事をした人にくらべて、高い評判を獲得する。
An earlier version of this paper asked	この論文のかつてのバージョンでは、次のような疑問を提示していた：
``Is this a rational valuation of comparative effort, or is it a second-order effect of the unconscious territorial model we have adduced here?''	「これは比較できる作業の価値評価として合理的なものだろうか、それともぼくたちがここで示してきた無意識の領土モデルからくる二次的な副産物なんだろうか？」
Several respondents suggested persuasive and essentially equivalent theories.	何人かのコメントは、説得力ある、基本的には同じ理論を示唆してくれている。
The following analysis by Ryan Waldron <rew@erebor.com> puts the case well:	以下の Ryan Waldron <rew@erebor.com> の分析がこの論点をうまく表現している：
In the context of the Lockean land theory, one who establishes a new and successful project has essentially discovered or opened up new territory on which others can homestead.	「ロック式土地理論の文脈では、新しい成功したプロジェクトを確立した人物は、本質的に新しい領土を開拓して、そこをほかの人たちが入植できるようにしたことになる。
For most successful projects, there is a pattern of declining returns, so that after a while, the credit for contributions to a project has become so diffuse that it is hard for significant reputation to accrete to a late participant,	ほとんどの成功したプロジェクトでは、収益はだんだん減るというパターンがあるので、しばらくすると、プロジェクトへの貢献のクレジットは実に間が空いたものになってきて、後からの参加者には、十分な評価が蓄積しにくくなってしまう。
regardless of the quality of his work.	その人がどんなに高質な仕事をしようとも。
For instance, how good a job would I have to do making modifications to the perl code to have even a fraction of the recognition for my participation that Larry, Tom, Randall, and others have achieved?	たとえば、ぼくがこれからPerlを改善して、Larry や Tom や Randall などが達成した認知のごく一部でも獲得しようと思ったら、本当にすさまじくいい仕事をしなくてはならないだろう。
However, if a new project is founded [by someone else] tomorrow, and I am an early and frequent participant in it, my ability to share in the respect generated by such a successful project is greatly enhanced by my early participation therein	でも、新しいプロジェクトが [だれか別の人によって] 明日にでも創始されたら、そしてぼくが初期の熱心な参加者になったら、そのうまくいったプロジェクトによって生じた尊敬の分け前をもらう能力は、早めに参加していたということによって大きく拡大する
(assuming similar quality of contributions).	（貢献の中身が同程度だったとしても）。
I reckon it to be similar to those who invest in Microoft stock early and those who invest in it later.	たぶん、早めに Micro$oft 株を買った人と、後で投資した人の差に近いと思う。
Everyone may profit, but early participants profit more.	みんな儲かるけれど、早めに買った人はもっと儲かる。
Therefore, at some point I will be more interested in a new and successful IPO than I will be in participating in the continual increase of an existing body of corporate stock.	だからどこかの時点で、ぼくは既存の企業の株が絶えず値上がりするのに加わるよりは、新しい成功する IPO のほうに興味をおぼえるようになるはずだ。」
Ryan Waldron's analogy can be extended.	Ryan Waldron のアナロジーはもっと拡張できる。
The project founder has to do a missionary sell of a new idea that may or may not be acceptable or of use to others.	プロジェクトの創始者は、他の人に受け入れられるか、つかいものになるかもわからない新しいアイデアを、伝道師のように売り込まなくてはならない。
Thus the founder incurs something analogous to an IPO risk	だから創始者は IPO リスクと似たよなものを負担することになる
(of possible damage to their reputation),	（自分の評判へのダメージの可能性として）。
more so than others who assist with a project that has already garnered some acceptance by their peers.	これは、仲間内である程度受け入れられたプロジェクトを手伝った人よりも、負担するリスクが大きい。
The founder's reward is consistent despite the fact that the assistants may be putting in more work in real terms.	創始者の見返りは、実際問題として助手たちが仕事をたくさんつぎ込んでいても、一定だ。
This is easily seen as analogous to the relationship between risk and rewards in an exchange economy.	これは交換経済におけるリスクと見返りの関係として楽に理解できる。
Other respondents have observed that our nervous system is tuned to perceive differences, not steady state.	他の評者たちの見解では、われわれの神経システムは、ちがいを認識するように調整されていて、安定状態には敏感ではない。
The revolutionary change evidenced by the creation of a new project is therefore much more noticeable than the cumulative effect of constant incremental improvement.	新しいプロジェクトの創造によって目的される革命的な変化は、したがってたえまない段階的な改善の集積効果より、ずっと認知されやすい。
Thus Linus is revered as the father of Linux,	だから Linus は Linux の父として尊敬される。
although the net effect of improvements by thousands of other contributors have done more to contribute to the success of the OS than one man's work ever could.	その他何千という貢献者たちによる貢献の純粋量は、Linus 一人の仕事なんかでは絶対に不可能なほど、OS の成功に貢献してはいても。
[HD] The phrase ``de-commoditizing'' is a reference to the Halloween Documents	[HD] 「脱・共有化」（de-commoditizing）ということばは、「ハロウィーン文書」への言及。
in which Microsoft used ``de-commoditize'' quite frankly to refer to their most effective long-term strategy for maintaining an exploitative monopoly lock on customers.	この文書でマイクロソフトは、顧客を収奪できるような独占的囲い込みを維持するための、いちばん有効な長期戦略として、この「脱共有化」を何のためらいもなく提案している。
[GNU] The Free Software Foundation's main website carries an article that summarizes the results of many of these studies.	[GNU]　フリーソフトウェア財団 (Free Software Foundation) の主ウェブサイトは、こうした研究の結果をまとめた記事を載せている。
The quotes in this essay are excerpted from there.	本論での引用はそこから抜粋したものだ。
Acknowledgements	22　謝辞
Robert Lanphier <robla@real.com> contributed much to the discussion of egoless behavior.	Robert Lanphiir <robla@real.com> はエゴのない行動についての議論に大きく貢献してくれた。
Eric Kidd <eric.kidd@pobox.com> highlighted the role of valuing humility in preventing cults of personality.	Eric Kidd <eric.kidd@pobox.com> は、個人崇拝を避ける意味で謙虚さが大事であるという点を明確にしてくれた。
The section on global effects was inspired by comments from Daniel Burn <daniel@tsathoggua.lab.usyd.edu.au>.	全世界的な影響についての章は、Daniel Burn <daniel@tsathoggua.lab.usyd.edu.au> からのコメントに触発された。
Mike Whitaker <mrw@entropic.co.uk> inspired the main thread in the section on acculturation.	Mike Whitaker <mrw@entropic.co.uk> は文化への順応に関する議論の大筋の発想を与えてくれた。
Chris Phoenix <cphoenix@best.com> pointed out the importance of the fact that hackers cannot gain reputation by doing other hackers down.	Chris Phoenix <cphoenix@best.com> は、ハッカーたちは他のハッカーを追い落としても評判を高めることはできないという事実の重要性を指摘してくれた。
Revision 1.210 April 1998esr First published on the Web.	[1998年4月10日] Web上でバージョン1.2を公開。
Revision 1.312 April 1998esr	[1998年4月12日] バージョン1.3。
Typo fixes and responses to first round of public comments.	誤植の訂正と、最初の一般コメント群への対応。
First four items in bibliography.	書誌の最初の4点。
An anonymously contributed observation about reputation incentives operating even when the craftsman is unaware of them.	匿名で寄せられた、評判インセンティブが職人自身も気づかないうちに機能しているという見解を加筆。
Added instructive contrasts with warez d00dz, material on the `software should speak for itself' premise, and observations on avoiding personality cults.	warez d00dzとの示唆的な対照性について加筆、「ソフトは自ら語るべきだ」との考えについての部分加筆、個人崇拝の回避に関する考えを加筆。
As a result of all these changes, the section on `The Problem of Ego' grew and fissioned.	こうした変更の結果、「エゴの問題」の章が拡大して分裂。
Revision 1.716 April 1998esr	[1998年4月16日] バージョン1.7。
New section on `Global implications'	「分野全体としての意義」についての章を追加。
discusses historical tends in the colonization of the noosphere, and examines the `category-killer' phenomenon.	ノウアスフィアの植民地化に関する歴史的トレンドを論じ、「カテゴリーキラー」現象について検討。
Added another research question.	今後の研究課題を追加。
Revision 1.827 April 1998esr	[1998年4月27日] バージョン1.8。
Added Goldhaber to the bibliography.	書誌にGoldhaberを追加。
This is the version that will go in the Linux Expo proceedings.	Linux Expo予稿集に載るのはこのバージョン。
Revision 1.926 May 1998esr	[1998年5月26日] バージョン 1.9。
Incorporated RMS's assertion that he is not anticommercial.	RMSの、自分は反商業主義ではないという主張を追加。
New section on acculturation and academia (thanks to Ross J. Reedstrom, Eran Tromer, Allan McInnes, Mike Whitaker, and others).	「文化適応とアカデミズム」についての章を追加（Ross J. Reedstrom、Eran Tromer、Allen MacInnes 他に感謝）。
