Alice's Adventures in Wonderland	不思議の国のアリス
however, the moment they saw her, they hurried back to the game,	でも、すがたが見えたとたんに、あわてて試合にもどりました。
the Queen merely remarking that a moment's delay would cost them their lives.	女王さまが、一刻でもおくれたらいのちはないよ、ともうしわたしただけなのに。
All the time they were playing the Queen never left off quarrelling with the other players, and shouting `Off with his head!' or `Off with her head!'	みんなの試合中、女王さまはずっとほかのプレーヤーたちといいあらそってばかりいて、「あやつの首をちょん切れ！」だの「こやつの首をちょん切れ！」だのとどなっています。
Those whom she sentenced were taken into custody by the soldiers, who of course had to leave off being arches to do this, so that by the end of half an hour or so there were no arches left, and all the players, except the King, the Queen, and Alice, were in custody and under sentence of execution.	女王さまに死刑せんこくされた人たちは、兵隊さんたちに連行（れんこう）されるのですが、するとその兵隊さんは、ゲート役をやめなくてはならず、そしてプレーヤーたちも王さまと女王さま、そしてアリス以外はみんな連行（れんこう）されて、死刑の宣告をうけていたのでした。
Then the Queen left off, quite out of breath, and said to Alice,	すると女王さまは、かなり息をきらして試合の手をとめて、アリスにこう申しました。
`Have you seen the Mock Turtle yet?'	「おまえ、にせウミガメには会ったかえ？」
`No,' said Alice.	「いいえ。
`I don't even know what a Mock Turtle is.'	にせウミガメってなんなのかも知りません」
`It's the thing Mock Turtle Soup is made from,'	「にせウミガメスープの材料になるものじゃ」
said the Queen.	と女王さま。
`I never saw one, or heard of one,'	「見たことも、きいたこともございません」
said Alice.	とアリス。
`Come on, then,' said the Queen,	「ではおいで。
`and he shall tell you his history,'	あやつが身の上話をしてくれるであろう」
As they walked off together, Alice heard the King say in a low voice, to the company generally,	二人がつれだって歩き出すと、王さまが小さな声でそこにいた全員にむかって、こうもうしわたすのが聞こえました。
`You are all pardoned.'	「みなの者、刑（けい）は免除（めんじょ）してつかわす」
`Come, THAT'S a good thing!'	「わーい、それはすてき！」
she said to herself,	とアリスは思いました。
for she had felt quite unhappy at the number of executions the Queen had ordered.	女王さまが命じた処刑（しょけい）が多すぎて、ずいぶんいやーな気持ちだったからです」
They very soon came upon a Gryphon,	まもなく、二人はグリフォンに出くわしました。
lying fast asleep in the sun.	ひなたぼっこをしながら、ぐっすりねむっています
(IF you don't know what a Gryphon is, look at the picture.)	（もしグリフォンってなんだか知らなかったら、イラストを見てね。)
`Up, lazy thing!'	起きんか、このぐうたらめが！」
said the Queen,	と女王はもうします。
`and take this young lady to see the Mock Turtle, and to hear his history.	「このわかいご婦人をつれて、にせウミガメのところであやつの身の上話をきかせてやるのじゃ。
I must go back and see after some executions I have ordered';	わしはもどって、めいじた処刑（しょけい）をいくつか監督せねばならんのでな」
and she walked off, leaving Alice alone with the Gryphon.	そして歩みさって、アリスとグリフォンは二人きりになりました。
Alice did not quite like the look of the creature, but on the whole she thought it would be quite as safe to stay with it as to go after that savage Queen: so she waited.	アリスは、この生き物のようすがあんまり気に入りませんでしたが、いろいろ考えても、あの荒（あら）っぽい女王さまについてくよりは、グリフォンといっしょのほうが安全だろうと思いました。
The Gryphon sat up and rubbed its eyes:	リフォンはおきあがって、目をこすりました。
then it watched the Queen till she was out of sight:	それから女王さまがみえなくなるまでながめて、
then it chuckled.	それからくすくすわらいます。
`What fun!' said the Gryphon, half to itself, half to Alice.	そして「たのしいねえ」と、半分自分に、半分アリスにいいました。
`What IS the fun?'	「たのしいって、なにが？」
said Alice.	とアリス。
`Why, SHE,' said the Gryphon.	「え、女王さんだよ。
`It's all her fancy, that:	あれってみんな、女王さんの『ごっこ』なのね。
they never executes nobody, you know.	だれも処刑（しょけい）なんかされないんだよ。
Come on!'	おいで！」
`Everybody says "come on!" here,'	「ここじゃみんな、『おいで！』ばっかり。
thought Alice, as she went slowly after it:	こんなに命令ばっかされたことってないわ、いちども！」
`I never was so ordered about in all my life, never!'	そう思いながらも、アリスはゆっくりついていきました。
They had not gone far before they saw the Mock Turtle in the distance,	ほどなく、にせウミガメが遠くに見えてきました。
sitting sad and lonely on a little ledge of rock,	いわのちょっとしたふちのところに、かなしくさびしそうにすわっています。
and, as they came nearer, Alice could hear him sighing as if his heart would break.	近くにくると、それがむねのはりさけそうなため息をついているのがきこえます。
She pitied him deeply.	まあほんとうにかわいそう、とアリスは思いました。
`What is his sorrow?'	「なにがあんなにかなしいの？」
she asked the Gryphon, and the Gryphon answered, very nearly in the same words as before,	とアリスがグリフォンにたずねますと、グリフォンはほとんどさっきと同じせりふでこたえました。
`It's all his fancy, that:	「あれってみんな、あいつの『ごっこ』なのね。
he hasn't got no sorrow, you know.	あいつはぜんぜんかなしくなんかないんだよ。
Come on!'	おいで！」
So they went up to the Mock Turtle,	そこで二人はにせウミガメにところにやってきました。
who looked at them with large eyes full of tears, but said nothing.	にせウミガメは、おっきな目に涙をいっぱいうかべてこっちを見ましたが、なんにも言いません。
`This here young lady,' said the Gryphon, `she wants for to know your history, she do.'	「このおじょうちゃんがさ、おまえの身の上話をききたいって、とかなんとか」
`I'll tell it her,'	「話してあげるわよ」
said the Mock Turtle in a deep, hollow tone:	とにせウミガメは、ふかくうつろな声でいいました。
`sit down, both of you,	「二人とも、おすわんなさい。
and don't speak a word till I've finished.'	ぼくが話しおえるまで、ひとことも口きくんじゃないよ」
So they sat down, and nobody spoke for some minutes.	そこで二人はすわり、しばらくはだれもなにも言いませんでした。
Alice thought to herself,	アリスは思いました。
`I don't see how he can EVEN finish, if he doesn't begin.'	「話しはじめなかったら、いつまでたっても話しおえるわけないのに」
But she waited patiently.	でも、おとなしく待ちました。
`Once,' said the Mock Turtle at last, with a deep sigh, `I was a real Turtle.'	「むかしは、ぼくもほんもののウミガメでしたのさ」にせウミガメはやっと口をひらきました。
These words were followed by a very long silence,	このことばのあとには、とってもながーいだんまりがつづきました。
broken only by an occasional exclamation of `Hjckrrh!' from the Gryphon, and the constant heavy sobbing of the Mock Turtle.	それをやぶるのは、ときどきグリフォンのたてる「ヒジュクルル！」とかいうしゃっくりと、にせウミガメがずっとたててる、めそめそしたすすり泣きだけでした。
Alice was very nearly getting up and saying, `Thank you, sir, for your interesting story,'	アリスはほとんどたちあがって「ありがとうございました、とってもおもしろいお話でした」と言うところでしたが、
but she could not help thinking there MUST be more to come, so she sat still and said nothing.	ぜったいにあれだけってはずはないと思ったので、じっとすわってなにも言いませんでした。
`When we were little,' the Mock Turtle went on at last, more calmly, though still sobbing a little now and then,	やっとこさ、にせウミガメが先を話しはじめました。
`we went to school in the sea.	海中学校に行ったんですよぅ。
The master was an old Turtle	校長先生は、おばあさんガメで
--we used to call him Tortoise--'	――ぼくたちは、オスガメってよんでけど――」
`Why did you call him Tortoise, if he wasn't one?'	「どうしてメスなのにオスガメなの？」
Alice asked.	とアリス。
`We called him Tortoise because he taught us,'	「すが目だったからに決まってるではないの、だからおすがめ」
said the Mock Turtle angrily:	とにせウミガメは怒ったように言いました。
`really you are very dull!'	「あんたバカァ？(C)ガイナックス」
`You ought to be ashamed of yourself for asking such a simple question,'	「まったくそんなかんたんなこときいたりして、恥ずかしくないのかよ」
added the Gryphon;	とグリフォンがつけたして、
and then they both sat silent and looked at poor Alice, who felt ready to sink into the earth.	二匹ともだまってすわったまま、かわいそうなアリスを見つめましたので、アリスはこのまま地面にしずんで消えてしまいたい気分でした。
At last the Gryphon said to the Mock Turtle,	ようやくグリフォンがにせウミガメに申しました。
`Drive on, old fellow!	「つづけろよ、だんな。
Don't be all day about it!'	日がくれちまうぜ」
and he went on in these words:	そこでにせウミガメはこうつづけました。
`Yes, we went to school in the sea, though you mayn't believe it--'	「うん、ぼくらは、海の中の学校にいったのよ、信じないでしょうけど――」
`I never said I didn't!'	「信じないなんて言ってないでしょう！」
interrupted Alice.	とアリスが口をはさみます。
`You did,'	「言ったね」
said the Mock Turtle.	とにせウミガメ。
`Hold your tongue!'	「いいからだまって！」
added the Gryphon, before Alice could speak again.	アリスが言いかえすより先に、グリフォンがわりこみました。
The Mock Turtle went on.	にせウミガメがつづけます。
`We had the best of educations--in fact, we went to school every day--'	「最高の教育をうけてねぇ――もうまいにち学校にかよったくらいで――」
`I'VE been to a day-school, too,' said Alice;	「あたしだって学校くらいかよったわ。
`you needn't be so proud as all that.'	そんなにじまんすることでもないでしょ」
`With extras?'	「追加で選べる科目もあった？」
asked the Mock Turtle a little anxiously.	とにせウミガメはちょっと不安そうにききます。
`Yes,' said Alice,	「ええ。
`we learned French and music.'	フランス語と音楽」
`And washing?'	「せんたくも？」
said the Mock Turtle.	とにせウミガメ。
`Certainly not!'	「あるわけないでしょう！」
said Alice indignantly.	アリスはプンプンして言いました。
`Ah! then yours wasn't a really good school,'	「ああ、じゃああなたのは、ほんとのいい学校じゃなかったのよ」
said the Mock Turtle in a tone of great relief.	とにせウミガメは、すごくほっとしたような口ぶりです。
`Now at OURS they had at the end of the bill, "French, music, AND WASHING--extra."'	「だってうちの学校では、請求書の最後んとこに『フランス語、音楽、およびせんたく――追加』ってあったもの」
`You couldn't have wanted it much,' said Alice;	「でもおせんたくなんてあんまりいらないでしょう。
`living at the bottom of the sea.'	だって海のそこに住んでるんだもん」
`I couldn't afford to learn it.' said the Mock Turtle with a sigh. `I only took the regular course.'	「だから選べたのよ、これがホントのせんたく科目。
`What was that?'	「ふつう科目って？」
inquired Alice.	とアリス。
`Reeling and Writhing, of course, to begin with,'	「もちろんまずは、獄語と惨数ね」
the Mock Turtle replied;	とにせウミガメ。
`and then the different branches of Arithmetic--Ambition, Distraction, Uglification, and Derision.'	「惨数もいろいろで、打算とか、安産とか、あと美化（りか）に醜怪化（しゃかいか）もね」
`I never heard of "Uglification,"' Alice ventured to say.  `What is it?'	「『醜怪化』ってきいたことないけど、なんなの？」
The Gryphon lifted up both its paws in surprise.	グリフォンは、びっくりして両まえ足をあげました。
`What!	「なんだと！
Never heard of uglifying!' it exclaimed.	『醜怪』をきいたことがないだと！
`You know what to beautify is, I suppose?'	おまえ、さすがに『美化』のほうくらいはわかるよな？」
`Yes,'	「ええ」
said Alice doubtfully:	とアリスは、自信なさそうにこたえました。
`it means--to--make--anything--prettier.'	「それは――つまり――いろんなものを――その――きれいに？――すること？」
`Well, then,' the Gryphon went on,	「ふん、それがわかってるんなら、
`if you don't know what to uglify is, you ARE a simpleton.'	それで醜怪化（しゃかいか）がわかんないんなら、おまえってホンっトの大バカもんだぞ」
Alice did not feel encouraged to ask any more questions about it, so she turned to the Mock Turtle, and said	それ以上はきかないほうがいいぞと思ったので、アリスはにせウミガメに言いました。
`What else had you to learn?'	「ほかにはどんなお勉強をしたの？」
`Well, there was Mystery,'	「えーと、溺死（れきし）でしょ」
the Mock Turtle replied, counting off the subjects on his flappers,	とにせウミガメは、ひれで科目をかんじょうしていきます。
`--Mystery, ancient and modern, with Seaography:	「――溺死、古代死と現代死ね。
then Drawling--the Drawling-master was an old conger-eel, that used to come once a week:	それと、致死学、それから頭蓋絞殺（ずがこうさく）――絞殺の先生は、年寄りのヤツメウナギで、週に一度だけくんの。
HE taught us Drawling, Stretching,	この先生は、アリバイ工作に上告（ちょうこく）がとくいだったのよぅ。
and Fainting in Coils.'	出血がホントにきびしくてねぇ」
`What was THAT like?'	「ちゃんと出たんですか？」
said Alice.	とアリス。
`Well, I can't show it you myself,' the Mock Turtle said:	「ぼくはあんまり。
`I'm too stiff.	ウロコが硬くて血が出にくいもん。
And the Gryphon never learnt it.'	それにグリフォンはとってないし」
`Hadn't time,' said the Gryphon:	「時間がなくてよ。
`I went to the Classics master, though.	でもおれ、惨数の上級はとったぜ。
He was an old crab,	先公がすんごいタコおやじ。
HE was.'	いやまったく」とグリフォンが言います。
`I never went to him,'	「ぼくはその先生には教わってないけど」
the Mock Turtle said with a sigh:	とにせウミガメがため息をつきました。
`he taught Laughing and Grief, they used to say.'	「でも話によると、教えてたのが悲っ惨（ひきざん）だってねぇ」
`So he did, so he did,'	「ああそのとおり、そのとおり」
said the Gryphon, sighing in his turn;	とグリフォンもためいきをついて、
and both creatures hid their faces in their paws.	生き物は両方とも顔を前足でおおってしまいました。
`And how many hours a day did you do lessons?'	「じゃあどういう時間割（じかんわり）になってたの？」
said Alice, in a hurry to change the subject.	アリスはあわてて話題を変えようとしました。
`Ten hours the first day,'	「最初の日は十コマあるのよ」
said the Mock Turtle:	とにせウミガメ。
`nine the next, and so on.'	「つぎの日が五コマ、そのつぎは三コマってぐあい」
`What a curious plan!' exclaimed Alice.	アリスはびっくりしてしまいました。
`That's the reason they're called lessons,'	「え、そのまんまじゃん。
the Gryphon remarked:	時間を割ってるんだよ。
`because they lessen from day to day.'	日ごとに割ってくわけ」とグリフォン。
This was quite a new idea to Alice, and she thought it over a little before she made her next remark.	これはアリスにしてみれば、なかなか目新しいアイデアでしたので、口をひらくまえに、よっく考えてみました。
`Then the eleventh day must have been a holiday?'	「じゃあ、十日目には一コマだけだったはずね？」
`Of course it was,'	「もちろんそのとおりよ」
said the Mock Turtle.	とにせウミガメ。
`And how did you manage on the twelfth?'	「じゃあ、十一日目からあとはどうしたの？」
Alice went on eagerly.	アリスはねっしんにつづけます。
`That's enough about lessons,' the Gryphon interrupted in a very decided tone:	でもグリフォンがきっぱりといいました。
`tell her something about the games now.'	「時間割（じかんわり）はもうたくさん。
CHAPTER X  The Lobster Quadrille	10. ロブスターのカドリーユおどり
The Mock Turtle sighed deeply, and drew the back of one flapper across his eyes.	にせウミガメはふかいためいきをついて、ひれの一つで目をおおいました。
He looked at Alice, and tried to speak, but for a minute or two sobs choked his voice.	そしてアリスを見て話そうとするのですが、そのたびにすすり泣きがでて、一分かそこらは声がでません。
`Same as if he had a bone in his throat,' said the Gryphon:	「のどに骨がつかえたときといっしょだよ」
and it set to work shaking him and punching him in the back.	とグリフォンは、にせウミガメをゆすったり、背中をたたいたりしはじめました。
At last the Mock Turtle recovered his voice, and, with tears running down his cheeks, he went on again:--	やっとにせウミガメは声が出るようになって、ほっぺに涙をながしながら、またつづけました。
`You may not have lived much under the sea--'	「あなた、海のそこにはあんまり住んだことがないかもしれないし――」
(`I haven't,'	（「ないわ」
said Alice)--	とアリス）――
`and perhaps you were never even introduced to a lobster--'	「あとロブスターに紹介されたこともないようねぇ――」
(Alice began to say `I once tasted--'	（アリスは「まえに食べたことは――」と言いかけて、
but checked herself hastily, and said `No, never')	すぐに気がついて、「いいえ一度も」ともうしました）
`--so you can have no idea what a delightful thing a Lobster Quadrille is!'	「――だから、ロブスターのカドリーユおどりがどんなにすてきか、もう見当もつくわけないわね！」
`No, indeed,' said Alice.	「ええ、ぜんぜん。
`What sort of a dance is it?'	どういうおどりなんですか？」とアリス。
`Why,' said the Gryphon,	グリフォンがいいました。
`you first form into a line along the sea-shore--'	「まず海岸にそって、一列になるだろ――」
`Two lines!'	「二列よ！」
cried the Mock Turtle.	とにせウミガメ。
`Seals, turtles, salmon, and so on;	「アザラシ、ウミガメ、シャケなんか。
then, when you've cleared all the jelly-fish out of the way--'	それでクラゲをぜんぶどかしてから――」
`THAT generally takes some time,'	「これがえらく時間をくうんだ」
interrupted the Gryphon.	とグリフォンが口をはさみます。
`--you advance twice--'	「――二回すすんで――」
`Each with a lobster as a partner!'	「それぞれロブスターがパートナーね！」
cried the Gryphon.	とグリフォンもわめきます。
`Of course,' the Mock Turtle said:	「もちろん。
`advance twice, set to partners--'	二回すすんで、パートナーについて――」
`--change lobsters, and retire in same order,'	「――ロブスターを替えて、同じように下がる」
continued the Gryphon.	とグリフォンがつづけます。
`Then, you know,' the Mock Turtle went on, `you throw the--'	そしてにせウミガメ。
`The lobsters!'	「ほうりなげる！」
shouted the Gryphon, with a bound into the air.	とグリフォンがどなって、宙にとびあがりました。
`--as far out to sea as you can--'	「――沖へおもいっきり――」
`Swim after them!'	「あとを追っかけて泳いで！」
screamed the Gryphon.	とグリフォンぜっきょう。
`Turn a somersault in the sea!'	「海の中でとんぼがえり！」
cried the Mock Turtle, capering wildly about.	とにせウミガメ、こうふんしてぴょんぴょんはねてます。
`Change lobster's again!'	「またロブスターを替える！」
yelled the Gryphon at the top of its voice.	グリフォン、ほとんどかなきり声。
`Back to land again, and that's all the first figure,'	「陸にもどって最初の位置にもどるのねぇ」
said the Mock Turtle, suddenly dropping his voice;	とにせウミガメが、いきなり声をおとしました。
and the two creatures, who had been jumping about like mad things all this time, sat down again very sadly and quietly, and looked at Alice.	そして生き物二匹は、さっきまで狂ったみたいにはねまわってたのに、またとってもかなしそうにしずかにすわって、アリスを見ました。
`It must be a very pretty dance,'	「とってもきれいなおどりみたいね」
said Alice timidly.	アリスはおずおずと言いました。
`Would you like to see a little of it?'	「ちょっと見てみたい？」
said the Mock Turtle.	とにせウミガメ。
`Very much indeed,' said Alice.	「ええ、ぜひ」
`Come, let's try the first figure!'	「よーし、じゃあ最初のところ、やってみましょうか」
said the Mock Turtle to the Gryphon.	にせウミガメがグリフォンにいいました。
`We can do without lobsters, you know.	「ロブスターなしでもなんとかなるわね。
Which shall sing?'	どっちがうたう？」
`Oh, YOU sing,' said the Gryphon.	「ああ、おまえがうたってくれよ。
`I've forgotten the words.'	おれ、歌詞（かし）わすれちゃった」
So they began solemnly dancing round and round Alice, every now and then treading on her toes when they passed too close, and waving their forepaws to mark the time, while the Mock Turtle sang this, very slowly and sadly:--	そこで二匹は、まじめくさってアリスのまわりをおどりだし、ときどき近くにきすぎてアリスのつま先をふんずけて、ひょうしをとるのに前足をふって、そしてにせウミガメはこんな歌を、とってもゆっくりかなしそうにうたったのでした：
`"Will you walk a little faster?"	「『もっとさっさと歩いてよ』
said a whiting to a snail.	とスケソウダラがウミウシに。
"There's a porpoise close behind us, and he's treading on my  tail.	『ヤリイカうしろにせまってて、ぼくのしっぽをふんでるの。
See how eagerly the lobsters and the turtles all advance!	ロブスターとウミガメが、あんなにいそいそ進んでる！
They are waiting on the shingle	みんな砂利浜で待ってるし
--will you come and join the dance?	――あなたもおどりに入ろうよ！
Will you, won't you, will you, won't you, will you join the dance?	入ろう、おどろう、入ろう、おどろう、入ろう、おどろう、ぼくらのおどり
Will you, won't you, will you, won't you, won't you join the dance?	入ろう、おどろう、入ろう、おどろう、入ろう、おどろう、ぼくらのおどり
"You can really have no notion how delightful it will be When they take us up and throw us, with the lobsters, out to sea!"	みんながぼくらをつかまえて、ロブスターと海へ投げ出す！
But the snail replied "Too far, too far!" and gave a look askance--	なのにウミウシ横目でにらみ、『遠すぎ、遠すぎ！』と申します――
Said he thanked the whiting kindly, but he would not join the dance.	スケソウダラさんありがとさん、だけどおどりにゃ入りません
Would not, could not, would not, could not, would not join the dance.	入らん、入れん、入らん、入れん、入らん、入れん、おどりには
Would not, could not, would not, could not, could not join the dance.	入らん、入れん、入らん、入れん、入らん、入れん、おどりには
`"What matters it how far we go?"	『遠くたっていいじゃない！』
his scaly friend replied.	と、うろこの友だちこたえます。
"There is another shore, you know,	『世界は浜辺に満ちている。
upon the other side.	こちらじゃなければあちらにも
The further off from England the nearer is to France--	イギリス浜からはなれるごとに、フランス浜辺に近くなる――
Then turn not pale, beloved snail, but come and join the dance.	だからいとしいウミウシさん、青ざめないでおどろうよ。
Will you, won't you, will you, won't you, will you join the dance?	入ろう、おどろう、入ろう、おどろう、入ろう、おどろう、ぼくらのおどり
Will you, won't you, will you, won't you, won't you join the dance?"'	入ろう、おどろう、入ろう、おどろう、入ろう、おどろう、ぼくらのおどり』」
`Thank you, it's a very interesting dance to watch,'	「どうもありがとう、見ててとってもおもしろいおどりでした」
said Alice, feeling very glad that it was over at last:	アリスはそれがやっと終わってくれて、じつにホッとしました。
`and I do so like that curious song about the whiting!'	「それにあの、スケソウダラのふうがわりな歌も、すごく気に入りました！」
`Oh, as to the whiting,' said the Mock Turtle,	「ああ、スケソウダラといえば、
`they--you've seen them, of course?'	もちろん見たことあるのよねぇ」とにせウミガメ。
`Yes,' said Alice,	「ええ、
`I've often seen them at dinn--'	しょっちゅう出てくるもの、ばんご――」
she checked herself hastily.	アリスはあわてて口を閉じました。
`I don't know where Dinn may be,' said the Mock Turtle,	「バンゴってどこだか知らないけど、
`but if you've seen them so often, of course you know what they're like.'	そんなによく見かけてるなら、どんなかっこうかも知ってるわよねぇ」とにせウミガメ。
`I believe so,'	「ええたぶん。
Alice replied thoughtfully.	しっぽを口にくわえてて――それでパン粉まみれ」
`They have their tails in their mouths--and they're all over crumbs.'	アリスは考えこんでいいました。
`You're wrong about the crumbs,' said the Mock Turtle:	「パン粉はちがうわぁ。
`crumbs would all wash off in the sea.	パン粉は海で洗い流されちゃうでしょ。
But they HAVE their tails in their mouths;	でもたしかに、しっぽは口にくわえてるよね。
and the reason is--'	なぜかというと――」
here the Mock Turtle yawned and shut his eyes.	ここでにせウミガメはあくびをして目をとじた。
--`Tell her about the reason and all that,'	――「この子に理由とか、説明してやんなさいよぅ」
he said to the Gryphon.	とグリフォンをせっつきます。
`The reason is,' said the Gryphon,	「理由はだねえ、
`that they WOULD go with the lobsters to the dance.	やつら、ロブスターとホントにおどりにいくんよ。
So they got thrown out to sea.	それで海にほうりなげられるだろ。
So they had to fall a long way.	だからずいぶん落っこちるわけね。
So they got their tails fast	それでもうしっぽをまいちゃうわけ。
in their mouths.	するとそれが口に入る。
So they couldn't get them out again.	するともう、それが出てこなくなる。
That's all.'	おしまい」
`Thank you,' said Alice,	「ありがと。
`it's very interesting.	それはおもしろいわね。
I never knew so much about a whiting before.'	スケソウダラのこと、こんなにはじめて知ったわ」
`I can tell you more than that, if you like,' said the Gryphon.	グリフォンが言いました。
`Do you know why it's called a whiting?'	なんでスケソウダラっていうか知ってる？」
`I never thought about it,'	「考えたことない。
said Alice.  `Why?'	どうしてなの？」
`IT DOES THE BOOTS AND SHOES.'	「せんたくするんだよぉ」
the Gryphon replied very solemnly.	とグリフォンは、とってもおもおもしい返事をします。
Alice was thoroughly puzzled.	アリスはまるっきりわけがわかりません。
`Does the boots and shoes!'	「おせんたく、をする！」
she repeated in a wondering tone.	と不思議そうにくりかえすばかり。
`Why, what are YOUR shoes done with?' said the Gryphon.	「しょうがねえなあ、じゃああんたの服はどうあらうの？
`I mean, what makes them so shiny?'	どうやってそんな、まっ白きれいになるの？」
Alice looked down at them, and considered a little before she gave her answer.	アリスは自分の服を見おろして、ちょっと考えてから口をひらきました。
`They're done with blacking, I believe.'	「洗剤、だと思うけど。
`Boots and shoes under the sea,' the Gryphon went on in a deep voice,	「海のそこのせんたくは、スケソウダラがやんの。
`are done with a whiting.	『きれいすぎて、すけそうダラ（だわ）！』ってね。
Now you know.'	これで一つ、かしこくなったろう」
`And what are they made of?'	「でもどこでかわかすの？」
Alice asked in a tone of great curiosity.	アリスはすごく不思議におもってききました。
`Soles and eels, of course,'	「たたみいわしの上だよう、きまってるじゃん。
the Gryphon replied rather impatiently:	そこらのエビでもそんくらいは知ってるぜ」
`any shrimp could have told you that.'	グリフォンはいささかあきれたようです。
`If I'd been the whiting,' said Alice, whose thoughts were still running on the song,	アリスはまださっきの歌のことを考えてました。
`I'd have said to the porpoise, "Keep back, please:	『下がってくれませんか？
we don't want YOU with us!"'	あなたにはついてきてほしくありませんの！』」
`They were obliged to have him with them,'	「うんたしかにヤリイカなんかぜったいにつれてかないわよねぇ」
the Mock Turtle said:	とにせウミガメ。
`no wise fish would go anywhere without a porpoise.'	「まともなさかななら、ヤリイカとつきあったりはしないもの」
`Wouldn't it really?'	「あら、そういうものなの？」
said Alice in a tone of great surprise.	アリスはとってもおどろいていいました。
`Of course not,' said the Mock Turtle:	「あたりまえだよ。
`why, if a fish came to ME, and told me he was going a journey, I should say	もしぼくがおでかけするときに、どっかのさかながきて『おでかけですか』なんてきいたら、ぼく言っちゃうよ。
"With what porpoise?"'	『うるせーな、ヤリィカ！』って！
`Don't you mean "purpose"?'	「……それって『わりぃか』ってこと？」
said Alice.	とアリス。
`I mean what I say,'	「ぼくがそうだと言ったらそうなのよ」
the Mock Turtle replied in an offended tone.	とにせウミガメは、ちょっとむっとした口ぶりで言いました。
And the Gryphon added	そしてグリフォンがつづけます。
`Come, let's hear some of YOUR adventures.'	「さあ、あんたの冒険をちょっときかせてもらおうじゃないの」
`I could tell you my adventures	「あたしの冒険っていうと
--beginning from this morning,'	――けさからのなら話してあげられるけど」
said Alice a little timidly:	アリスはちょっとおずおずと言いました。
`but it's no use going back to yesterday, because I was a different person then.'	「でもきのうまでもどってもしかたないわ、だってそのころはあたし、別の人だったから」
`Explain all that,'	「いまの、なんのこったか説明しなさい」
said the Mock Turtle.	とにせウミガメ。
`No, no!  The adventures first,' said the Gryphon in an impatient tone:	グリフォンがうずうずして言います。
`explanations take such a dreadful time.'	説明ってのは、ありゃえらく時間がかかるんだ」
So Alice began telling them her adventures from the time when she first saw the White Rabbit.	そこでアリスは、白うさぎを見たところから自分の冒険の話をはじめました。
She was a little nervous about it just at first,	最初はちょっと不安でした。
the two creatures got so close to her, one on each side, and opened their eyes and mouths so VERY wide,	だって二匹の生き物がすっごく近くによってきて、アリスの左右について、お目目とお口をすんごくひらいていたからです。
but she gained courage as she went on.	でも、先にすすむうちに、勇気が出てきました。
Her listeners were perfectly quiet till she got to the part about her repeating `YOU ARE OLD, FATHER WILLIAM,' to the Caterpillar, and the words all coming different, and then the Mock Turtle drew a long breath, and said	きき手はずっとなにも言いませんでしたが、いもむしに『ウィリアム父さんお歳をめして』を暗唱して、ことばがぜんぶちがって出てきたところにくると、にせウミガメが思いっきり息をすいこんで言いました。
`That's very curious.'	「それはじつにおもしろいわぁ」
`It's all about as curious as it can be,'	「うん、なにもかもすっごくおもしろい」
said the Gryphon.	とグリフォン。
`It all came different!'	「ぜんぶちがって出てきたのねぇ」
the Mock Turtle repeated thoughtfully.	とにせウミガメは考えこんでくりかえします。
`I should like to hear her try and repeat something now.	「ぼく、この子がここでなにか暗唱するのをきいてみたいわ。
Tell her to begin.'	やれって言ってやってよ」
He looked at the Gryphon	とにせウミガメはグリフォンのほうを見ました。
as if he thought it had some kind of authority over Alice.	まるでグリフォンがアリスに命令する力があるとでも思ってるみたいです。
`Stand up and repeat "'TIS THE VOICE OF THE SLUGGARD,"'	「立って『不精者（ぶしょうもの）の宣言』を復唱するんだ」
said the Gryphon.	とグリフォン。
`How the creatures order one about, and make one repeat lessons!' thought Alice;	「まったくここの生き物って、人に命令してばかりで、お勉強の復習ばかりさせるんだから。
`I might as well be at school at once.'	いますぐ学校にもどったほうがましかも」
However, she got up, and began to repeat it,	でもアリスは立ちあがって復唱をはじめました。
but her head was so full of the Lobster Quadrille, that she hardly knew what she was saying, and the words came very queer indeed:--	でも頭がロブスターのカドリーユおどりでいっぱいだったので、自分がなにを言ってるのかまるでわからず、おかげでことばもずいぶんへんてこになっちゃったのです。
`'Tis the voice of the Lobster; I heard him declare,	「ロブスターの宣言を、わたしが聞いたところでは
"You have baked me too brown, I must sugar my hair."	『わしはこんがり焼かれすぎ、髪に砂糖をまぶさなきゃ』
As a duck with its eyelids, so he with his nose	アヒルがまぶたでするように、ロブスターは鼻ヅラで
Trims his belt and his buttons, and turns out his toes.'	ベルトとボタンを整えて、つま先そとに向けまする」
When the sands are all dry,	「砂がすっかりかわいたら、
he is gay as a lark,	ヒバリまがいに大ごきげん
And will talk in contemptuous tones of the Shark,	サメを小ばかにしてまわる
But, when the tide rises and sharks are around,	でも潮がみちてサメがくりゃ
His voice has a timid and tremulous sound.]	声はおびえてふるえます。」
`That's different from what I used to say when I was a child,'	「おれが子どものころに暗唱したのとは、ちがってるなあ」
said the Gryphon.	とグリフォン。
`Well, I never heard it before,'	「うん、ぼくははじめてきくけど、
said the Mock Turtle;	でもわけわからないデタラメにしかきこえないわよ」
`but it sounds uncommon nonsense.'	とにせウミガメ。
Alice said nothing;	アリスはなにも言いませんでした。
