Aesop's Fables	タウンゼント版イソップ寓話集
On this the rustic produced the little pig from his cloak	と、その時、田舎者はマントをぱっと脱ぎ去った。
and showed by the most positive proof the greatness of their mistake.	するとそこから本物の子豚が出てきた。
"Look here,"	そして田舎者は群衆に向かってこう言った。
he said,	「これをみておくれ。
"this shows what sort of judges you are."	あんたたちが、どんな審査員かこいつが教えているよ」
The Crow and the Serpent	２７７．カラスとヘビ
A CROW in great want of food saw a Serpent asleep in a sunny nook, and flying down, greedily seized him.	飢えて餌を欲していたカラスが、日溜まりで眠っているヘビを見つけ、舞い降りて行ってひっつかまえた。
The Serpent, turning about, bit the Crow with a mortal wound.	するとヘビはくるっと向きをかえると、噛みついてカラスに深手を負わせた。
In the agony of death, the bird exclaimed:	カラスは、死の苦しみの中でこう叫んだ。
"O unhappy me!	「ああ、なんて不幸なんだろう！
who have found in that which I deemed a happy windfall the source of my destruction."	こいつを見つけて、勿怪の幸いと思ったのに、そいつが私を破滅させるとは……」
The Hunter and the Horseman	２７８．猟師とウマ乗り
A CERTAIN HUNTER, having snared a hare, placed it upon his shoulders and set out homewards.	ある猟師が、罠に掛けたウサギを肩に担いで家に帰ろうとしていた。
On his way he met a man on horseback	道すがら、ウマに乗った男に出合った。
who begged the hare of him, under the pretense of purchasing it.	男は買うような素振りをして、ウサギを見せてくれと頼んだ。
However, when the Horseman got the hare, he rode off as fast as he could.	ところが男はウサギを受け取ると、ウマを駆って走って行ってしまった。
The Hunter ran after him,	猟師は、ウマを追い掛けた。
but the Horseman increased more and more the distance between them.	しかし、ウマとの距離はますます開くばかりだった。
The Hunter, sorely against his will, called out to him and said,	すると猟師は、大声で叫ぶと、全く心にもないことを言った。
"Get along with you!	「さあ、行った行った。
for I will now make you a present of the hare."	そのウサギは、君に上げようと思っていた所なんだよ」
The King's Son and the Painted Lion	２７９．王子と絵のライオン
A KING, whose only son was fond of martial exercises, had a dream	狩りの好きな王子を持つ王様が夢でお告げを聞いた。
in which he was warned that his son would be killed by a lion.	それは、息子がライオンに殺されるというものだった。
Afraid the dream should prove true, he built for his son a pleasant palace and adorned its walls for his amusement with all kinds of life-sized animals,	その夢が正夢になるのを怖れて、王様は王子のために、愉快な宮殿を建て、壁は動物の等身大の絵で装飾した。
among which was the picture of a lion.	その中にライオンの絵もあった。
When the young Prince saw this, his grief at being thus confined burst out afresh,	若い王子はこの絵を見ると、このように閉じ込められたことへの、憤りが爆発するのだった。
and, standing near the lion, he said:	そして、ライオンの近くに立ってこう言った。
"O you most detestable of animals!	「この忌々しい獣め！
through a lying dream of my father's, which he saw in his sleep, I am shut up on your account in this palace as if I had been a girl:	父の眠りに現れた偽りの夢のせいで、私は女の子のように、この宮殿に閉じ込められているのだ。
what shall I now do to you?'	お前をどうしてくれようか」
With these words he stretched out his hands toward a thorn-tree, meaning to cut a stick from its branches	王子はこう言うと、枝を折って鞭にしようと、棘のある木に手をのばした。
so that he might beat the lion.	そして、ライオンを打ちのめした。
But one of the tree's prickles pierced his finger	ところが、その棘の一つが王子の指に刺さった。
and caused great pain and inflammation, so that the young Prince fell down in a fainting fit.	指に激痛が走り、王子はけいれんして崩れ落ちた。
A violent fever suddenly set in, from which he died not many days later.	王子は突然の高熱に苛まれ、数日で死んでしまった。
We had better bear our troubles bravely than try to escape them.	困難から逃げようとするよりも、勇気をもって困難に立ち向かった方がよい。
The Cat and Venus	２８０．ネコとヴィーナス
A CAT fell in love with a handsome young man,	ネコが若い素敵な男性に恋をした。
and entreated Venus to change her into the form of a woman.	そこで、ヴィーナスに自分を人間の女に変えてくれるようにとお願いした。
Venus consented to her request and transformed her into a beautiful damsel,	ヴィーナスはその願いを承知すると、彼女を美しい娘に変えてやった。
so that the youth saw her and loved her, and took her home as his bride.	こうして若者は、娘に一目惚れすると、彼女を家に連れ帰ってお嫁さんにした。
While the two were reclining in their chamber, Venus wishing to discover if the Cat in her change of shape had also altered her habits of life, let down a mouse in the middle of the room.	ヴィーナスは姿を変えたネコが、性質も変えたかどうか知ろうとして、二人が寝室で横になっていると、ネズミを放した。
The Cat, quite forgetting her present condition, started up from the couch and pursued the mouse, wishing to eat it.	今の自分をすっかり忘れてしまったネコは、ネズミを食べようと、寝椅子から跳ね起きネズミを追い掛けた。
Venus was much disappointed and again caused her to return to her former shape.	ヴィーナスはこの様子に大変失望して、彼女をもとの姿に戻した。
The She-Goats and Their Beards	２８１．牝ヤギたちのあご髭
THE SHE-GOATS having obtained a beard by request to Jupiter,	牝ヤギたちは、ジュピター神にお願いをして、あご髭を手に入れた。
the He-Goats were sorely displeased and made complaint that the females equaled them in dignity.	牡ヤギたちは、女たちに男と同等の威厳が与えられたことが腹立たしく、不満を申し立てた。
"Allow them,"	「まあ、よいではないか」
said Jupiter,	ジュピター神がそう言った。
"to enjoy an empty honor and to assume the badge of your nobler sex, so long as they are not your equals in strength or courage."	「女たちは、力、勇気においてはお前たちには及ばない。
It matters little if those who are inferior to us in merit should be like us in outside appearances.	いくら外見が似ていようとも、中味が劣る者ならば、それを相手にする必要はない。
The Camel and the Arab	２８２．ラクダとアラブ人
AN ARAB CAMEL-DRIVER, after completing the loading of his Camel, asked him which he would like best, to go up hill or down.	アラブ人が、ラクダに荷物を積み終わると、丘を上って行くのと下るのではどちらがよいかとラクダに尋ねた。
The poor beast replied, not without a touch of reason:	哀れなラクダは、とっさにこう答えた。
"Why do you ask me?	「なんでそんなことを聞くのです？
Is it that the level way through the desert is closed?"	平らな砂漠の路は通行止めですか？」
The Miller, His Son, and Their Ass	２８３．粉屋と息子とロバ
A MILLER and his son were driving their Ass to a neighboring fair to sell him.	粉屋と彼の息子が、隣町の市でロバを売るためにロバを曳いて行った。
They had not gone far when they met with a troop of women collected round a well, talking and laughing.	歩き出してからすぐ、彼らは、井戸端会議をしている女将さんたちに出合った。
"Look there,"	「ほらみてごらん」
cried one of them,	一人が叫んだ。
"did you ever see such fellows, to be trudging along the road on foot when they might ride?'	「あの人たちときたら、ロバに乗らずに、とぼとぼ歩いているよ。
The old man hearing this, quickly made his son mount the Ass,	粉屋はこれを聞くと、すぐさま息子をロバに乗せた。
and continued to walk along merrily by his side.	そうして、自分はその脇をさも楽し気に歩き続けた。
Presently they came up to a group of old men in earnest debate.	それからまたしばらく行くと、老人たちが熱心に議論しているところへやってきた。
"There,"	「あれを見なさい」
said one of them,	その中の一人が言った。
"it proves what I was a-saying.	「ほら、わしの言うとおりじゃろう。
What respect is shown to old age in these days?	近頃では、年寄りにどんな敬意が払われているのだ？
Do you see that idle lad riding while his old father has to walk?	年老いた父親が歩いていると言うのに、怠け者の息子はロバに乗っておる。
Get down, you young scapegrace,	やくざな若者よ下りるのだ。
and let the old man rest his weary limbs."	そして、年老いた父親を休ませてやりなさい」
Upon this the old man made his son dismount, and got up himself.	こうして、父親は息子をロバから下ろすと、自分がロバにまたがった。
In this manner they had not proceeded far when they met a company of women and children:	こうして歩いていると、またすぐに、彼らは母親と子供たちの一団に出くわした。
"Why, you lazy old fellow,"	「あんたときたら、なんて、いけずな年寄りなんだい」
cried several tongues at once,	数人が粉屋を非難した。
"how can you ride upon the beast, while that poor little lad there can hardly keep pace by the side of you?'	「可哀想に小さな息子は、あんたの脇を、やっとの思いでついて行っているというのに、よく自分はロバに乗って、平気でいられね」
The good-natured Miller immediately took up his son behind him.	気のよい粉屋は、すぐさま息子を自分の後ろに乗せた。
They had now almost reached the town.	こうして、彼らは町の入口にさしかかった。
"Pray, honest friend,"	「おお、正直な我が友よ」
said a citizen,	ある市民が言った。
"is that Ass your own?'	「これはあなた方のロバですか？」
"Yes,"	「その通りですよ」
replied the old man.	年老いた父親がこう答えた。
"O,	「本当ですか？
one would not have thought so,"	あんた方二人がロバに乗っているのでは、誰もそうとは思わないですよ」
said the other,	男はそう言うと更に続けた。
Why, you two fellows are better able to carry the poor beast than he you."	「ロバに乗るよりも、自分たちでロバを運んだ方がよいのに、なぜそうしないんですか？」
"Anything to please you," said the old man; "we can but try."	「あなたの言うとおりですね、とにかくそうしてみます」
So, alighting with his son, they tied the legs of the Ass together	こうして、粉屋は息子と共にロバから下りると、ロバの脚を束ねた。
and with the help of a pole endeavored to carry him on their shoulders over a bridge near the entrance to the town.	そして棒を使って肩に担ぐと、町の入口の橋までロバを運んで行った。
This entertaining sight brought the people in crowds to laugh at it,	この様子を見ようと人だかりができ、人々は笑い転げた。
till the Ass, not liking the noise nor the strange handling that he was subject to, broke the cords that bound him and, tumbling off the pole,	ロバはうるさいのが嫌いなのに、その上、へんてこりんな扱いを受けたので、縛っている縄を破ろうと、棒を揺さぶった。
fell into the river.	そして川に落ちてしまった。
Upon this, the old man, vexed and ashamed, made the best of his way home again,	苦い思いをして、恥ずかしくなった粉屋は、家に引き返すしかなかった。
convinced that by endeavoring to please everybody he had pleased nobody, and lost his Ass in the bargain.	こうして粉屋が得たものは、全てを喜ばせようとすることは、結局誰も喜ばせないことであり、そのうえロバまで失うというということであった。
The Crow and the Sheep	２８４．カラスとヒツジ
A TROUBLESOME CROW seated herself on the back of a Sheep.	意地悪なカラスがヒツジの背中に乗っかった。
The Sheep, much against his will, carried her backward and forward for a long time,	ヒツジは嫌々ながらも、あちこちとカラスを運んだ。
and at last said,	そしてしまいにこう言った。
"If you had treated a dog in this way, you would have had your deserts from his sharp teeth."	「もし、イヌを相手にこんなことをしたら、鋭い歯でお返しされるだろうに」
To this the Crow replied,	これに対してカラスはこう答えた。
"I despise the weak and yield to the strong.	「私はね、弱い者は蔑み、強い者にはへつらうんですよ。
I know whom I may bully and whom I must flatter;	誰をいじめればよいか、そして誰に媚びればよいかちゃんと分かっているのです。
and I thus prolong my life to a good old age."	だからこそ、天寿を全うできるのです」
The Fox and the Bramble	２８５．キツネとイバラ
A FOX was mounting a hedge when he lost his footing and caught hold of a Bramble to save himself.	垣根に登っていたキツネが、足場を失ってイバラに掴まって難を逃れようとした。
Having pricked and grievously tom the soles of his feet,	ところが、足の裏に棘がさってひどい怪我をした。
he accused the Bramble because, when he had fled to her for assistance, she had used him worse than the hedge itself.	助けを求めたのに、イバラが垣根以上にひどい仕打ちをしとキツネは非難した。
The Bramble, interrupting him, said,	するとイバラがこう言った。
"But you really must have been out of your senses to fasten yourself on me,	「私を掴もうなんざ、正気の沙汰ではない。
who am myself always accustomed to fasten upon others."	人を掴むのが私の生業なのだからね」
The Wolf and the Lion	２８６．オオカミとライオン
A WOLF, having stolen a lamb from a fold, was carrying him off to his lair.	オオカミが、仔ヒツジを囲の中から盗んで巣穴に運んでいた。
A Lion met him in the path, and seizing the lamb, took it from him.	その帰り道のことである。
Standing at a safe distance, the Wolf exclaimed,	オオカミは安全な場所に立って叫んだ。
"You have unrighteously taken that which was mine from me!"	「私の獲物を奪うとは、なんてひどい奴なんだ」
To which the Lion jeeringly replied,	すると、ライオンがからかうようにこう言った。
"It was righteously yours, eh?	「これは、お前のものなのか？
The gift of a friend?'	友達にもらったとでも言うのか？」
The Dog and the Oyster	２８７．イヌとハマグリ
A DOG, used to eating eggs, saw an Oyster and, opening his mouth to its widest extent, swallowed it down with the utmost relish, supposing it to be an egg.	卵を食べる習慣のあるイヌが、ハマグリを見て、それを卵だと思って、めいいっぱい口を開くと、ごくりと呑み込んだ。
Soon afterwards suffering great pain in his stomach, he said,	しかし、すぐに腹が猛烈に痛みだし、犬はこう言った。
"I deserve all this torment,	「こんなに苦しむのも当然だ。
for my folly in thinking that everything round must be an egg."	間抜けにも、丸い物は皆、卵だと思ったのだからな」
They who act without sufficient thought, will often fall into unsuspected danger.	熟考せずに行動する人は、しょっちゅう、思いも寄らぬ危険に見舞われるものだ。
The Ant and the Dove	２８８．アリとハト
AN ANT went to the bank of a river to quench its thirst, and being carried away by the rush of the stream, was on the point of drowning.	アリが喉の渇きを癒そうと、川の土手へ行ったのだが、激流にさらわれ溺れて死にそうになった。
A Dove sitting on a tree overhanging the water plucked a leaf and let it fall into the stream close to her.	すると、川面に突き出た枝に止まっていたハトが、葉をむしり、アリのすぐそばに落としてやった。
The Ant climbed onto it and floated in safety to the bank.	アリは葉に這い上がって流れに浮いて、無事に土手まで辿り着いた。
Shortly afterwards a birdcatcher came and stood under the tree, and laid his lime-twigs for the Dove, which sat in the branches.	それから幾日もたたないある日、鳥刺しが、枝に止まっていたハトに、鳥黐竿を差し伸べた。
The Ant, perceiving his design, stung him in the foot.	男のたくらみに気付いたアリは、彼の足を刺した。
In pain the birdcatcher threw down the twigs,	鳥刺しは痛みに耐えかねて、竿を放り出した。
and the noise made the Dovetake wing.	その音でハトは飛んでいった。
The Partridge and the Fowler	２８９．ウズラと鳥刺し
A FOWLER caught a Partridge and was about to kill it.	鳥刺しが、ウズラを捕まえてそして殺そうとした。
The Partridge earnestly begged him to spare his life, saying,	ウズラはどうか助けてくれるようにと懸命に命乞いをした。
"Pray, master, permit me to live	「お願いです、どうか私を生かしておいて下さい。
and I will entice many Partridges to you in recompense for your mercy to me."	生かしておいて下さるならば、私は、たくさんのウズラをおびき寄せて、あなたの慈悲に報います」
The Fowler replied,	すると、鳥刺しがこう答えた。
"I shall now with less scruple take your life,	「お前の命を奪うのにためらう必要がなくなった。
because you are willing to save it at the cost of betraying your friends and relations."	お前は、自分の友達や身内を裏切って、助かろうとするのだからな」
The Flea and the Man	２９０．ノミと人
A MAN, very much annoyed with a Flea, caught him at last, and said,	ノミにひどく悩まされた男が、ついにノミを捕まえてこう言った。
"Who are you who dare to feed on my limbs, and to cost me so much trouble in catching you?'	「俺様の手足を食った奴め、捕まえるのに手間取らせやがって、お前は何者だ？」
The Flea replied,	するとノミが答えた。
"O my dear sir, pray spare my life,	「おお、親愛なる我が君よ、どうか命ばかりはお助け下さい。
and destroy me not,	どうか殺さないで下さい。
for I cannot possibly do you much harm."	だって、私は迷惑をかけると言っても、大したことはできないのですから」
The Man, laughing, replied,	すると男が笑って答えた。
"Now you shall certainly die by mine own hands,	「駄目だ、お前は俺の手で握りつぶされるのだ。
for no evil, whether it be small or large, ought to be tolerated."	悪は大小に係わらず、決して許されるものではないのだ！」
The Thieves and the Cock	２９１．盗賊とオンドリ
SOME THIEVES broke into a house and found nothing but a Cock, whom they stole,	賊が家に押し入ったが、何も発見できなかったので、オンドリを盗んだ。
and got off as fast as they could.	そして一目散に逃げ去った。
Upon arriving at home they prepared to kill the Cock,	盗賊たちはアジトにつくとすぐに、オンドリを殺そうとした。
who thus pleaded for his life:	するとオンドリは、命を助けともらおうとしてこう言った。
"Pray spare me;	「お願いです。
I am very serviceable to men.	私はとても人の役にたつのですよ。
I wake them up in the night to their work."	夜が明けるのを知らせて、人々を起こしてあげるのです」
"That is the very reason why we must the more kill you,"	すると、盗賊たちがこう言った。
they replied;	「お前が隣近所の人たちを起こしたりしたら、我々の商売はあがったりだ」
The safeguards of virtue are hateful to those with evil intentions.	悪人は、美徳を守ろうとする者たちを嫌悪する。
The Dog and the Cook	２９２．イヌと料理人
A RICH MAN gave a great feast, to which he invited many friends and acquaintances.	ある金持ちが宴を催し、多くの友人や知人を招待した。
His Dog availed himself of the occasion to invite a stranger Dog, a friend of his, saying,	すると彼の飼いイヌも便乗しようと、友達のイヌを招待してこう言った。
"My master gives a feast, and there is always much food remaining;	「主人が宴を催すと、いつもたくさんの残飯が出るので、
come and sup with me tonight."	今夜、お相伴に預からないかい」
The Dog thus invited went at the hour appointed, and seeing the preparations for so grand an entertainment, said in the joy of his heart,	こうして、招待されたイヌは、約束の時間に出掛けて行き、大宴会の準備をしているのを見て、胸をわくわくさせてこう言った。
"How glad I am that I came!	「こんな素晴らしい宴会に出席できてとても嬉しいよ。
I do not often get such a chance as this.	こんなチャンスは希だからね。
I will take care and eat enough to last me both today and tomorrow."	明日の分まで、たらふく食べることにするよ」
While he was congratulating himself and wagging his tail to convey his pleasure to his friend,	イヌは、嬉しさを友人に伝えようと尻尾を振った。
the Cook saw him moving about among his dishes and, seizing him by his fore and hind paws, bundled him without ceremony out of the window.	すると、料理人が、皿の周りで動いている尻尾を見つけ、彼の前足と後ろ足をひっつかむと、窓から宴会場の外へと投げ飛ばした。
He fell with force upon the ground and limped away, howling dreadfully.	イヌは力一杯地面に叩きつけられ、すさまじい叫び声を上げて、ふらふらと逃げて行った。
His yelling soon attracted other street dogs, who came up to him and inquired how he had enjoyed his supper.	彼の叫び声を聞いて、通りにいたイヌたちがやってきて、夕食は楽しかったか？
He replied,	すると彼は、こんな風に答えた。
"Why,	「どうだったかだって？
to tell you the truth, I drank so much wine that I remember nothing.	実を言えば、ワインを飲み過ぎて、なにも覚えてないんだよ。
I do not know how I got out of the house."	家からどうやって出てきたのかも覚えてないのさ」
The Travelers and the Plane-Tree	２９３．旅人とプラタナス
TWO TRAVELERS, worn out by the heat of the summer's sun, laid themselves down at noon under the widespreading branches of a Plane-Tree.	ある昼下がり、二人の旅人が、夏の照りつける太陽にあてられて、広く枝を張ったプラタナス木の下に横になった。
As they rested under its shade, one of the Travelers said to the other,	二人が影で休んでいると、一方が言った。
"What a singularly useless tree is the Plane!	「プラタナスって、本当に役に立たない木だな。
It bears no fruit, and is not of the least service to man."	実はつけないし、人にちっとも恩恵をもたらさない」
The Plane-Tree, interrupting him, said,	すると、プラタナスの木がこう言った。
"You ungrateful fellows!	「この恩知らずめ！
Do you, while receiving benefits from me and resting under my shade, dare to describe me as useless, and unprofitable?'	私の木陰で休んで恩恵を享受しているくせに、無駄で役立たずなどよく言えたものだな」
Some men underrate their best blessings.	大変な恩恵を受けているのに、それに気付かない人がいるものだ。
The Hares and the Frogs	２９４．ウサギたちとカエルたち
THE HARES, oppressed by their own exceeding timidity and weary of the perpetual alarm to which they were exposed, with one accord determined to put an end to themselves and their troubles by jumping from a lofty precipice into a deep lake below.	ウサギたちは、自分たちが並外れて臆病で、絶えずなにかに驚いてばかりいることに嫌気がさし、切り立った岸壁から深い湖に飛び込んでしまおうと決心した。
As they scampered off in large numbers to carry out their resolve,	こうして、ウサギたちは、大挙して湖へと跳ねていった。
the Frogs lying on the banks of the lake heard the noise of their feet and rushed helter-skelter to the deep water for safety.	すると、湖の土手にいたカエルたちが、ウサギたちの足音を聞いて、慌てて深い水の中へ潜り込んだ。
On seeing the rapid disappearance of the Frogs, one of the Hares cried out to his companions:	カエルたちが慌てて水の中へ消える様子を見て、一羽のウサがが仲間に叫んだ。
"Stay, my friends,	「みんな、ちょっと待って。
do not do as you intended;	死んだりしてはいけない。
for you now see	皆も今見ただろう。
that there are creatures who are still more timid than ourselves."	我々よりももっと臆病な動物がいることを……」
The Lion, Jupiter, and the Elephant	２９５．ライオンとジュピター神とゾウ
THE LION wearied Jupiter with his frequent complaints.	ライオンは、しきりに不満を申し立てジュピター神をうんざりさせていた。
"It is true, O Jupiter!" he said,	「ジュピター神よ。
"that I am gigantic in strength, handsome in shape, and powerful in attack. I have jaws well provided with teeth, and feet furnished with claws,	私は大変な力があり、姿形も素晴らしく、鋭い牙も鉤爪も持っています。
and I lord it over all the beasts of the forest,	私は森に棲む全ての動物の支配者なのです。
and what a disgrace it is, that being such as I am, I should be frightened by the crowing of a cock."	しかし、その私が、オンドリのトキの声に恐怖しなければならぬとは、なんと不名誉なことでしょうか」
Jupiter replied,	するとジュピター神がこう言った。
"Why do you blame me without a cause?	「故無く責め立てるではない。
I have given you all the attributes which I possess myself,	お前には、私と同じ性質を全て与えてやった。
and your courage never fails you except in this one instance."	その一つの例を除いては、お前の勇気は決して挫かれることはないのだ」
On hearing this the Lion groaned and lamented very much and, reproaching himself with his cowardice, wished that he might die.	この話を聞いて、ライオンは悲嘆して一声唸ると、臆病な自分に憤り死んでしまいたいと願った。
As these thoughts passed through his mind, he met an Elephant	このような考えを思いめぐらせていると、ゾウに出合った。
and came close to hold a conversation with him.	ライオンはゾウと話をしようと近づいていった。
After a time he observed that the Elephant shook his ears very often, and he inquired what was the matter and why his ears moved with such a tremor every now and then.	すると、ライオンは、ゾウが耳をバタバタさせているのを見て、どうしてそんなにしょっちゅう、耳をバタつかせるのかと尋ねた。
Just at that moment a Gnat settled on the head of the Elephant,	と、その時、蚊がゾウの頭の上にとまった。
and he replied,	するとゾウがこう言った。
"Do you see that little buzzing insect?	「プーンと唸って飛ぶ、このちっぽけな虫が見えますか？
If it enters my ear, my fate is sealed. I should die presently."	こいつが耳に入ったならば、私は一巻の終わりなのです」
The Lion said,	するとライオンが言った。
"Well, since so huge a beast is afraid of a tiny gnat, I will no more complain,	「こんなに巨大な動物が、ちっぽけな蚊を怖がるとは････、私ももう不平は言うまい。
nor wish myself dead.	そして死にたいなどと考えるのもよそう。
I find myself, even as I am, better off than the Elephant."	ゾウに比べればまだましだ」
The Lamb and the Wolf	２９６．仔ヒツジとオオカミ
A WOLF pursued a Lamb, which fled for refuge to a certain Temple.	オオカミに追いかけられた仔ヒツジが、ある神殿に逃げ込んだ。
The Wolf called out to him and said,	オオカミは仔ヒツジに大声でよびかけてこう言った。
"The Priest will slay you in sacrifice, if he should catch you."	「神官に捕まったら、生贄にされてしまうよ」
On which the Lamb replied,	すると仔ヒツジがこう答えた。
"It would be better for me to be sacrificed in the Temple than to be eaten by you."	「お前に食われるくらいなら、神殿で生贄になった方がましだよ」
The Rich Man and the Tanner	２９７．金持ちと皮なめし屋
A RICH MAN lived near a Tanner, and not being able to bear the unpleasant smell of the tan-yard,	金持ちの男が、皮なめし屋の近くに住んでいたのだが、皮なめしの作業場の悪臭がどうにも我慢ならなかった。
he pressed his neighbor to go away.	男は隣人に引っ越してくれるようにと迫まった。
The Tanner put off his departure from time to time, saying that he would leave soon.	皮なめし屋は、その都度、すぐに出て行くと言っては、出て行かずにごまかしていた。
But as he still continued to stay, as time went on, the rich man became accustomed to the smell, and feeling no manner of inconvenience, made no further complaints.	しかし、こうして、長いこと、皮なめし屋がそこに居座っていると、金持ちの男は、臭いに慣れてしまい、全く不快に思わなくなり、もう不満を言うことはなくなった。
The Shipwrecked Man and the Sea	２９８．難破した男と海
A SHIPWRECKED MAN, having been cast upon a certain shore, slept after his buffetings with the deep.	船が難破して、男は、波に翻弄され、浜辺へ打ち上げられると深い眠りに落ちた。
After a while he awoke, and looking upon the Sea, loaded it with reproaches.	しばらくして男は目を覚ますと、海を見つめさんざんに罵った。
He argued that it enticed men with the calmness of its looks, but when it had induced them to plow its waters, it grew rough and destroyed them.	お前は、穏やかな表情で人々を誘い込み、我々が海に乗り出すと、荒れ狂って皆を破滅させる。
The Sea, assuming the form of a woman, replied to him:	すると、海が女性の姿となって、彼にこう言った。
"Blame not me, my good sir, but the winds,	「私を咎め立てしないで、風を責めて下さい。
for I am by my own nature as calm	私は、穏やかなのです。
and firm even as this earth;	そして、大地と同様に急変したりしないのが本来の姿なのです。
but the winds suddenly falling on me create these waves, and lash me into fury."	でも、突然吹き付ける風が、波立たせ、そして私を暴れさせるのです」
The Mules and the Robbers	２９９．二匹のラバと盗賊
TWO MULES well-laden with packs were trudging along.	たくさんの荷物を背負った二匹のラバが歩いていた。
One carried panniers filled with money, the other sacks weighted with grain.	一匹は、お金のいっぱい入った篭を運び、もう一方は、穀物の袋を荷なわされていた。
The Mule carrying the treasure walked with head erect, as if conscious of the value of his burden, and tossed up and down the clear-toned bells fastened to his neck.	お金を運んでいるラバは、その荷物の価値が分かっているかのように、頭を立て、そして、首につけられた、よく響く鈴を上下に揺らして歩いた。
His companion followed with quiet and easy step.	仲間のラバは、静かにそしてゆっくりと後に続いた。
All of a sudden Robbers rushed upon them from their hiding-places,	と、突然、盗賊たちが、物陰から一斉に押し寄せてきた。
and in the scuffle with their owners, wounded with a sword the Mule carrying the treasure, which they greedily seized while taking no notice of the grain.	そして、ラバの主たちと乱闘となり、お金を運んでいたラバを剣で傷つけ、金を奪い取った。
The Mule which had been robbed and wounded bewailed his misfortunes.	掠奪され傷ついたラバは、身の不幸を嘆き悲しんだ。
The other replied,	すると相方がこう言った。
"I am indeed glad that I was thought so little of, for I have lost nothing, nor am I hurt with any wound."	「僕は穀物を運んでいたので、何も失わなかったし、怪我を負わされることもなかった。
The Viper and the File	３００．マムシと鑢
A LION, entering the workshop of a smith, sought from the tools the means of satisfying his hunger.	マムシが鍛冶屋の仕事場へ入っていって、道具たちから腹の足しになるものを求めた。
He more particularly addressed himself to a File, and asked of him the favor of a meal.	マムシは特に鑢にしつこく食べ物をねだった。
The File replied,	すると鑢はこう答えた。
"You must indeed be a simple-minded fellow if you expect to get anything from me,	「私から何かもらおうなどと考えているならば、あなたは、馬鹿者にちがいない。
who am accustomed to take from everyone, and never to give anything in return."	私は皆からもらうのが生業で、与えることなど決してしないのですからね」
The Lion and the Shepherd	３０１．ライオンとヒツジ飼
A LION, roaming through a forest, trod upon a thorn.	森を歩き回っていたライオンが、棘を踏み抜いてしまった。
Soon afterward he came up to a Shepherd and fawned upon him, wagging his tail as if to say,	そこで、ライオンはヒツジ飼のところへいって、じゃれついて、まるで
"I am a suppliant, and seek your aid."	「私はあなたの助けが必要です」
The Shepherd boldly examined the beast, discovered the thorn, and placing his paw upon his lap, pulled it out;	ヒツジ飼は剛胆にもこの野獣を調べてやり、棘を見つけると、ライオンの前足を自分の膝の上に乗せて抜いてやった。
thus relieved of his pain, the Lion returned into the forest.	こうして痛みが治ったライオンは、森へと帰って行った。
Some time after,	それからしばらく過ぎた日のことである。
the Shepherd, being imprisoned on a false accusation, was condemned "to be cast to the Lions" as the punishment for his imputed crime.	ヒツジ飼は無実の罪で投獄され、「ライオンに投げ与えよ」という刑罰が宣告された。
But when the Lion was released from his cage, he recognized the Shepherd as the man who healed him, and instead of attacking him, approached and placed his foot upon his lap.	しかし、檻から放たれたライオンは、彼が自分を癒してくれたヒツジ飼であることに気づき、襲いかかるどころか、近づいて行って、前足を彼の膝に置いた。
The King, as soon as he heard the tale, ordered the Lion to be set free again in the forest, and the Shepherd to be pardoned and restored to his friends.	王様はこの話を耳にするとすぐに、ライオンを解き放ち森に返してやり、ヒツジ飼も無罪放免にして、友だちの許へ返すようにと命じた。
The Camel and Jupiter	３０２．ラクダとジュピター神
THE CAMEL, when he saw the Bull adorned with horns, envied him and wished that he himself could obtain the same honors.	ラクダは、雄ウシが角を戴いているのを見て羨ましく思い、自分も同じような角が欲しくなり、
He went to Jupiter, and besought him to give him horns.	ジュピター神の許へと行って、角を与えくれるようにと懇願した。
Jupiter, vexed at his request because he was not satisfied with his size and strength of body, and desired yet more, not only refused to give him horns, but even deprived him of a portion of his ears.	ジュピター神は、駱駝は身体が大きくて強いにもかかわらず、更に角を欲したことに腹を立て、角を与えなかったばかりか、耳の一部を奪い取った。
The Panther and the Shepherds	３０３．ヒョウとヒツジ飼たち
A PANTHER, by some mischance, fell into a pit.	ヒョウが運悪く穴の中に落ちた。
The Shepherds discovered him, and some threw sticks at him and pelted him with stones,	ヒツジ飼たちはヒョウを見つけると、幾人かは棒で打ち据えて石を投げつけた。
while others, moved with compassion towards one about to die even though no one should hurt him, threw in some food to prolong his life.	一方、別な者たちは、殴ったりしなくても死んでしまうだろうと、ヒョウを哀れんで、餌を与えて生き長らえさせようとした。
At night they returned home, not dreaming of any danger, but supposing that on the morrow they would find him dead.	夜になると、ヒツジ飼たちは、ヒョウは翌日には死んでしまい、危険はないだろうと思って、家に帰って行った。
The Panther, however, when he had recruited his feeble strength, freed himself with a sudden bound from the pit, and hastened to his den with rapid steps.	ところが、ヒョウは、最後の力を振り絞って、跳び上がると穴から抜け出し、全速力で自分の巣穴へと駆けて行った。
After a few days he came forth and slaughtered the cattle, and, killing the Shepherds who had attacked him, raged with angry fury.	それから数日後、ヒョウがやってきて、家畜を殺し、この前彼を打ち据えたヒツジ飼たちを猛り狂って引き裂いた。
