The Wizard of Oz	オズの魔法使い
This did not hurt the Scarecrow, but it surprised him, and he looked rather dizzy when Dorothy picked him up.	かかしはけがはしませんでしたが、びっくりはしまして、ドロシーが助け起こしたときにもちょっと目を回している様子でした。
"Here is another space between the trees,"	「木のすきまならこっちにもあるぞ」
called the Lion.	とライオン。
"Let me try it first,"	「まずはぼくが試そう」
said the Scarecrow,	とかかしが言いました。
"for it doesn't hurt me to get thrown about."	「ぼくは投げられても痛くないから」
He walked up to another tree, as he spoke, but its branches immediately seized him and tossed him back again.	そう言いながら別の木のほうに歩きましたが、その枝もすぐにかかしをつかまえて、また投げ戻します。
"This is strange,"	「変ねえ。
exclaimed Dorothy.	どうしましょう」
"What shall we do?"	とドロシー。
"The trees seem to have made up their minds to fight us, and stop our journey,"	「木はわれわれと戦って、旅をじゃまするつもりらしいぞ」
remarked the Lion.	とライオン。
"I believe I will try it myself,"	「ではわたしが試してみよう」
said the Woodman, and shouldering his axe, he marched up to the first tree that had handled the Scarecrow so roughly.	と木こりは斧をかついで、かかしを手荒に扱った最初の木のところに向かいました。
When a big branch bent down to seize him the Woodman chopped at it so fiercely that he cut it in two.	大きな枝が曲がってくると、木こりは思いっきり斧で斬りつけてまっぷたつにしてしまいました。
At once the tree began shaking all its branches as if in pain, and the Tin Woodman passed safely under it.	すぐに木は、痛がっているかのように枝をぜんぶふるわせだし、ブリキの木こりはその下を安全に通り抜けたのです。
"Come on!"	「おいで、急いで！」
he shouted to the others.	と木こりは他のみんなにどなりました。
They all ran forward and passed under the tree without injury, except Toto, who was caught by a small branch and shaken until he howled.	みんな走ってけがもせずに木の下を通り抜けましたが、トトだけは小さな枝につかまって、遠吠えするまでゆすぶられました。
But the Woodman promptly chopped off the branch and set the little dog free.	でも木こりはすぐにその枝を切り落とし、子犬を自由にしてあげました。
The other trees of the forest did nothing to keep them back, so they made up their minds that only the first row of trees could bend down their branches,	森の他の木は何もじゃまするようなことはしませんでしたので、枝を曲げられるのは最初の列の木だけなんだと思いました。
and that probably these were the policemen of the forest, and given this wonderful power in order to keep strangers out of it.	たぶんあれは森のおまわりさんで、よそものを閉め出すためにあのような不思議な力を与えられているのでしょう。
The four travelers walked with ease through the trees until they came to the farther edge of the wood.	旅人四人は楽々と木の間を歩きましたが、やがて森の向こう端にたどりつきました。
Then, to their surprise, they found before them a high wall which seemed to be made of white china.	すると驚いたことに、そこには高い壁があって、どうも白いせとものでできているようです。
It was smooth, like the surface of a dish, and higher than their heads.	お皿の表面のようにつるつるで、みんなの頭よりも高い壁でした。
"What shall we do now?"	「さあどうしましょう？」
asked Dorothy.	とドロシー。
"I will make a ladder,"	「はしごを作るよ。
said the Tin Woodman,	これはどうしても壁を越えるしかないもの」
"for we certainly must climb over the wall."	とブリキの木こり。
20.  The Dainty China Country	20　優美なせとものの国
While the Woodman was making a ladder from wood which he found in the forest Dorothy lay down and slept, for she was tired by the long walk.	木こりが森で見つけた木ではしごを作っている間、ドロシーは歩きっぱなしで疲れていたので横になって眠りました。
The Lion also curled himself up to sleep and Toto lay beside him.	ライオンもまた丸まって眠り、トトはその横に寝ていました。
The Scarecrow watched the Woodman while he worked, and said to him:	かかしは働く木こりをながめながら、こう話しかけました。
"I cannot think why this wall is here, nor what it is made of."	「どうしてこの壁がここにあるのか、何でできているのか、さっぱりわからないよ」
"Rest your brains and do not worry about the wall,"	木こりは言いました。
replied the Woodman.	「頭をやすめて壁のことは心配するなって。
"When we have climbed over it, we shall know what is on the other side."	のりこえたら、向こう側に何があるかわかるんだから」
After a time the ladder was finished.	しばらくしてはしごが完成しました。
It looked clumsy, but the Tin Woodman was sure it was strong and would answer their purpose.	見栄えはしませんでしたが、ブリキの木こりはそれがしっかりしていて、目的には十分だと確信していました。
The Scarecrow waked Dorothy and the Lion and Toto, and told them that the ladder was ready.	かかしはドロシーとライオンとトトを起こして、はしごができたと告げました。
The Scarecrow climbed up the ladder first, but he was so awkward that Dorothy had to follow close behind and keep him from falling off.	かかしが最初にはしごをのぼりましたが、とてもぶきっちょだったので、ドロシーがすぐ後ろからのぼって、かかしが落ちないようにしてやらなくてはなりませんでした。
When he got his head over the top of the wall the Scarecrow said,	壁のてっぺんから頭を出したところで、かかしは
"Oh, my!"	「あらまあ！」
"Go on,"	「止まらないでよ！」
exclaimed Dorothy.	とドロシーがうながします。
So the Scarecrow climbed farther up and sat down on the top of the wall, and Dorothy put her head over	そこでかかしはさらにのぼって、壁のてっぺんにすわり、ドロシーもまた壁の上に頭を出して、
and cried, "Oh, my!" just as the Scarecrow had done.	かかしと同じように「あらまあ！」と叫びました。
Then Toto came up, and immediately began to bark, but Dorothy made him be still.	そしてトトがあがってきて、すぐに吠えはじめましたが、ドロシーがそれをじっとさせました。
The Lion climbed the ladder next, and the Tin Woodman came last;	次にライオンがはしごにのぼりまして、ブリキの木こりが最後でした。
but both of them cried,	でも二人とも壁の向こうを見たとたんに
"Oh, my!"	「あらまあ！」
as soon as they looked over the wall.	と叫びました。
When they were all sitting in a row on the top of the wall, they looked down and saw a strange sight.	壁のてっぺんで一列にすわり、見下ろしていたのはとても不思議な光景だったのです。
Before them was a great stretch of country having a floor as smooth and shining and white as the bottom of a big platter.	目の前には、広い国が広がっていましたが、そこには大きなお皿の底みたいにすべすべで輝く白い床がありました。
Scattered around were many houses made entirely of china and painted in the brightest colors.	全部せとものでできた家がそこらじゅうにあって、実に明るい色で塗られています。
These houses were quite small, the biggest of them reaching only as high as Dorothy's waist.	とても小さな家で、最大のものでもドロシーの腰ほどしかありません。
There were also pretty little barns, with china fences around them;	それにきれいな納屋もあって、せとものの柵で囲ってあります。
and many cows and sheep and horses and pigs and chickens, all made of china, were standing about in groups.	そしてウシやヒツジやウマやブタやニワトリもたくさんいて、みんなせともの製で、群れになって立っているのです。
But the strangest of all were the people who lived in this queer country.	でもいちばん奇妙なのは、この変わった国に住む人々でした。
There were milkmaids and shepherdesses, with brightly colored bodices and golden spots all over their gowns;	乳しぼりの娘や羊飼いの娘たちがいて、明るい色のコルセットをつけて、上着のそこらじゅうに金の斑点がついています。
and princesses with most gorgeous frocks of silver and gold and purple;	そして実に豪華な銀や金やむらさきのフロックを着たお姫さまたち。
and shepherds dressed in knee breeches with pink and yellow and blue stripes down them,	そして羊飼いたちはひざまでの半ズボンをはき、そこにピンクと黄色と青のしまが縦に走っていました。
and golden buckles on their shoes;	くつの留め金は金色です。
and princes with jeweled crowns upon their heads, wearing ermine robes and satin doublets;	そして頭に宝石のついた冠をのせた王子様たちもいまして、アーミン毛皮のローブとサテンのダブレットを着ています。
and funny clowns in ruffled gowns, with round red spots upon their cheeks and tall, pointed caps.	そしてしわくちゃの外とうを着たおもしろい道化師たちは、ほっぺたに丸い赤い斑点をつけて、背の高いトンガリ帽をかぶっています。
And, strangest of all, these people were all made of china, even to their clothes,	そして何よりも不思議だったのは、これらの人はみんな、服もなにも全部せとものでできていて。
and were so small that the tallest of them was no higher than Dorothy's knee.	とても小さくていちばん背の高い人でもドロシーのひざほどしかないということです。
No one did so much as look at the travelers at first,	だれも最初は旅人たちに見向きもしません。
except one little purple china dog with an extra-large head, which came to the wall and barked at them in a tiny voice, afterwards running away again.	ただとても大きな頭をした小さいむらさきのせともの犬が壁のところにやってきて、小さな声で吠えていましたが、その後でまた駆け去ってしまいました。
"How shall we get down?"	「どうやっておりましょうか？」
asked Dorothy.	とドロシーがたずねました。
They found the ladder so heavy they could not pull it up, so the Scarecrow fell off the wall and the others jumped down upon him so that the hard floor would not hurt their feet.	はしごは重すぎて引っ張り上げられませんでしたので、かかしが壁からころげおちて、みんなはかかしの上に飛び降りて、硬い床で足をけがしないようにしました。
Of course they took pains not to light on his head and get the pins in their feet.	もちろんみんな、かかしの頭の上に着地して針が足にささらないよう苦心はしました。
When all were safely down they picked up the Scarecrow, whose body was quite flattened out, and patted his straw into shape again.	みんなが安全に降りてから、みんなは胴体がかなりぺしゃんこになったかかしを助け上げて、わらをたたいて元通りの形にしてあげました。
"We must cross this strange place in order to get to the other side,"	「反対側に出るには、この不思議な場所を横切るしかないわ。
said Dorothy,	まっすぐ南に向かう道以外をいくのは賢明でないものね」
"for it would be unwise for us to go any other way except due South."	とドロシー。
They began walking through the country of the china people, and the first thing they came to was a china milkmaid milking a china cow.	みんなはこのせともの人たちの国を歩きだしまして、最初に出会ったのはせとものの乳しぼり娘がせともののウシの乳をしぼっているところでした。
As they drew near, the cow suddenly gave a kick and kicked over the stool, the pail, and even the milkmaid herself, and all fell on the china ground with a great clatter.	近づいてみると、ウソはいきなり蹴りつけて、椅子とバケツと当の乳しぼり娘をけたおしまして、それがみんなせとものの地面に落ちてがちゃがちゃ大きな音をたてました。
Dorothy was shocked to see that the cow had broken her leg off, and that the pail was lying in several small pieces,	ウシの脚が折れてしまい、バケツもいくつもの小さなかけらになって転がっていたので、ドロシーはそれを見てショックを受けました。
while the poor milkmaid had a nick in her left elbow.	かわいそうな乳しぼり娘も左のひじに傷がついていました。
"There!"	「ちょっと！」
cried the milkmaid angrily.	と乳しぼりの娘は怒っていいました。
"See what you have done!	「何してくれたのよ！
My cow has broken her leg, and I must take her to the mender's shop and have it glued on again.	ウシの脚が折れちゃったから、修理屋にいってのり付けしてもらわなきゃじゃないの。
What do you mean by coming here and frightening my cow?"	ここにきてうちのウシをおどかすなんて、どういうつもりよ！」
"I'm very sorry,"	「本当にごめんなさい。
returned Dorothy.	許してね」
"Please forgive us."	とドロシーは答えました。
But the pretty milkmaid was much too vexed to make any answer.	でもきれいな乳しぼりの娘は、カンカンで返事もしません。
She picked up the leg sulkily and led her cow away, the poor animal limping on three legs.	むっつりと脚をひろいあげるとウシを追い立てて、そのあわれな動物は三本脚でひょこひょこと歩いていきます。
As she left them the milkmaid cast many reproachful glances over her shoulder at the clumsy strangers, holding her nicked elbow close to her side.	離れながらも、乳しぼりの娘は肩越しになんども恨めしげな視線をぶきっちょなよそ者に向けて、傷ついたひじをわきにしっかり抑えていました。
Dorothy was quite grieved at this mishap.	ドロシーはこの事故を大いに悲しく思いました。
"We must be very careful here,"	「ここではとても気をつけないと」
said the kind-hearted Woodman,	と心の優しい木こりがいいました。
"or we may hurt these pretty little people so they will never get over it."	「このきれいな人々を傷つけたら立ち直れなくなるぞ」
A little farther on Dorothy met a most beautifully dressed young Princess, who stopped short as she saw the strangers and started to run away.	ちょっと先には実にきれいな衣装のお姫さまがいましたが、よそ者たちを見ると手前で立ち止まり、逃げだしました。
Dorothy wanted to see more of the Princess, so she ran after her.	ドロシーはもっと王女さまを見たかったので、走って追いかけました。
But the china girl cried out:	でもせとものの女の子はこう叫びました。
"Don't chase me!	「追いかけないで！
Don't chase me!"	追いかけないで！」
She had such a frightened little voice that Dorothy stopped and said,	その声は実におびえた小さな声だったので、ドロシーは立ち止まってききました。
"Why not?"	「どうして？」
"Because,"	「どうしてって」
answered the Princess, also stopping, a safe distance away,	と王女さまも、安全なだけ離れたところで立ち止まってこたえました。
"if I run I may fall down and break myself."	「走ったら転んで壊れるかもしれないでしょう」
"But could you not be mended?"	「でも修理できないの？」
asked the girl.	と少女。
"Oh, yes;	「そりゃできますとも。
but one is never so pretty after being mended, you know,"	でも修理の後では前ほどきれいじゃなくなりますから」
replied the Princess.	と王女さまは答えました。
"I suppose not,"	「それもそうね」
said Dorothy.	とドロシー。
"Now there is Mr. Joker,	「ほら、あそこにジョーカーさんがいるわ。
one of our clowns,"	うちの道化師の一人よ」
continued the china lady,	とせとものの婦人は続けました。
"who is always trying to stand upon his head.	「いつもさかだちしようとしているのよ。
He has broken himself so often that he is mended in a hundred places, and doesn't look at all pretty.	もう何度もこわれすぎて百カ所くらい修理されたから、ちっともきれいじゃないでしょう。
Here he comes now,	ほらきた。
so you can see for yourself."	ご自分の目でごらんなさいな」
Indeed, a jolly little clown came walking toward them, and Dorothy could see that in spite of his pretty clothes of red and yellow and green he was completely covered with cracks, running every which way and showing plainly that he had been mended in many places.	確かに、陽気で小さな道化師が二人のほうに歩いてきまして、赤と黄色と緑のきれいな服をきてはいても、そこらじゅうひびわれだらけで、それが前後左右あらゆる方向に走り、いろんな場所を修理されていることをはっきり示していました。
The Clown put his hands in his pockets, and after puffing out his cheeks and nodding his head at them saucily, he said:	道化師はポケットに手を入れて、ほっぺたをふくらませて生意気そうにうなずいてみせたあとで、こう言いました
"My lady fair,	「きれいなおじょうさん
Why do you stare	なぜこのあわれな老ジョーカーさんを
At poor old Mr. Joker?	じろじろごらんになるんだね？
You're quite as stiff	しかもまるで身動きもせず
And prim as if	妙にすましかえって
You'd eaten up a poker!"	火かき棒でも飲み込んだかね？」
"Be quiet, sir!"	「おだまりなさい！
"Can't you see these are strangers, and should be treated with respect?"	この人たちはよそものなんだから、敬意をもって扱うべきなのよ！」
"Well, that's respect, I expect,"	「なるほどこれが敬意でごぜーい」
declared the Clown, and immediately stood upon his head.	と道化師はきっぱり言って、すぐにさかだちしました。
"Don't mind Mr. Joker,"	「ジョーカーさんは気にしないでね」
said the Princess to Dorothy.	とお姫さまはドロシーに言いました。
"He is considerably cracked in his head, and that makes him foolish."	「頭にひどくひびが入っていて、そのせいでバカになってるのよ」
"Oh, I don't mind him a bit,"	「あら、あたしはちっとも気にしないわ。
"But you are so beautiful,"	でもあなたはとっても美しいわね」
she continued,	とドロシーは続けました。
"that I am sure I could love you dearly.	「とってもだいじにしてあげられると思うの。
Won't you let me carry you back to Kansas, and stand you on Aunt Em's mantel?	カンザスに持って帰って、エムおばさんの暖炉の上に置かせてもらえませんか？
I could carry you in my basket."	バスケットに入れて運んであげられるわ」
"That would make me very unhappy,"	「そうしたらあたしはとても不幸せになるわ」
answered the china Princess.	とせとものの王女さまは答えました。
"You see, here in our country we live contentedly, and can talk and move around as we please.	「というのも、この国にいれば思いのままに暮らせて、好き勝手にしゃべったり動いたりできるわ。
But whenever any of us are taken away our joints at once stiffen, and we can only stand straight and look pretty.	でもあたしたちがここから連れ去られると、関節がすぐにカチカチになって、まっすぐ立ってきれいに見えることしかできなくなるの。
Of course that is all that is expected of us when we are on mantels and cabinets and drawing-room tables, but our lives are much pleasanter here in our own country."	もちろん、暖炉やたなや居間のテーブルに置かれているときにはそれ以上のことは期待されてないのだけれど、でもこの自分たちの国にいたほうがずっと快適に暮らせるわ」
"I would not make you unhappy for all the world!"	「あなたを不幸せにするなんて死んでもできないわ！」
exclaimed Dorothy.	とドロシーは叫びました。
"So I'll just say good-bye."	「だからさようならと言うだけにします」
"Good-bye,"	「さようなら」
replied the Princess.	と王女さまが答えました。
They walked carefully through the china country.	みんなは注意してせとものの国を通り抜けました。
The little animals and all the people scampered out of their way, fearing the strangers would break them,	小動物や人々もみんな、よそ者にこわされるのをおそれて、われさきに道をあけます。
and after an hour or so the travelers reached the other side of the country and came to another china wall.	そして一時間かそこらで、旅人たちは国の反対側について、またせとものの壁につきあたりました。
It was not so high as the first, however, and by standing upon the Lion's back they all managed to scramble to the top.	でも最初のものほどは高くなかったので、ライオンの背中に立つとみんななんとかてっぺんによじ登れました。
Then the Lion gathered his legs under him and jumped on the wall;	それからラインがうんとしゃがんで、壁にとびのりました。
but just as he jumped, he upset a china church with his tail and smashed it all to pieces.	でもちょうど飛んだところで、しっぽでせとものの教会をひっくり返し、こなごなに砕いてしまいました。
"That was too bad,"	「あらあら」
said Dorothy,	とドロシー。
"but really I think we were lucky in not doing these little people more harm than breaking a cow's leg and a church.	「でも本当のところ、ウシの脚を折って教会をつぶしだけで被害がすんだのは運がよかったと思うわ。
They are all so brittle!"	みんなとってももろいんだもの！」
"They are, indeed,"	かかしも言いました。
said the Scarecrow,	「確かにそうだね。
"and I am thankful I am made of straw and cannot be easily damaged.	じぶんがわら製で簡単にはこわれなくてありがたいよ。
There are worse things in the world than being a Scarecrow."	世の中にはかかしでいるよりひどいことってのがあるんだなあ」
21.  The Lion Becomes the King of Beasts	21　ライオン、獣たちの王に
After climbing down from the china wall the travelers found themselves in a disagreeable country, full of bogs and marshes and covered with tall, rank grass.	せとものの壁からおりた旅人たちは、沼や湿地だらけで、背の高い不愉快な草におおわれた、あまり気持ちのよくない国にやってきました。
It was difficult to walk without falling into muddy holes,	歩くとすぐに泥だらけの穴にはまってしまいます。
for the grass was so thick that it hid them from sight.	草がおいしげっているので、穴が見えないからです。
However, by carefully picking their way, they got safely along until they reached solid ground.	でも、注意深く道を探すことで、みんな安全に動き続けてしっかりした地面にまでやってきました。
But here the country seemed wilder than ever, and after a long and tiresome walk through the underbrush they entered another forest, where the trees were bigger and older than any they had ever seen.	でもそこは前にもまして荒れていて、下草の中を長いことくたくたになりながら歩いたあとで、みんなはまた森にやってきましたが、そこの木はこれまで見たどれよりも大きくて古いのでした。
"This forest is perfectly delightful,"	「この森は実にすばらしい」
declared the Lion, looking around him with joy.	とライオンはうれしそうにあたりを見回してきっぱり言いました。
"Never have I seen a more beautiful place."	「これほど美しいところは見たことがない」
"It seems gloomy,"	「陰気に見えるけど」
said the Scarecrow.	とかかし。
"Not a bit of it,"	ライオンは答えました。
answered the Lion.	「そんなことはぜんぜんない。
"I should like to live here all my life.	ここでずっと暮らせたらなあ。
See how soft the dried leaves are under your feet and how rich and green the moss is that clings to these old trees.	足の下の落ち葉もやわらかいし、古い木にくっついたコケも深くて緑だろう。
Surely no wild beast could wish a pleasanter home."	野生の獣としてはこれ以上に快適なうちは望めないよ」
"Perhaps there are wild beasts in the forest now,"	「いまもこの森に野生の獣がいるかも」
said Dorothy.	とドロシー。
"I suppose there are,"	「いるだろうね。
returned the Lion,	でも一匹も見あたらない」
"but I do not see any of them about."	とライオンは答えます。
They walked through the forest until it became too dark to go any farther.	暗くて前に進めなくなるまで、一行は森の中を歩いてゆきました。
Dorothy and Toto and the Lion lay down to sleep, while the Woodman and the Scarecrow kept watch over them as usual.	ドロシーとトトとライオンは横になって眠り、木こりとかかしはいつも通り見張りをしました。
When morning came, they started again.	朝になると、また出発です。
Before they had gone far they heard a low rumble,	さほと行かないうちに、低いざわめきが聞こえます。
as of the growling of many wild animals.	野生の動物がたくさんうなっているかのようです。
Toto whimpered a little, but none of the others was frightened, and they kept along the well-trodden path until they came to an opening in the wood, in which were gathered hundreds of beasts of every variety.	トトはちょっと鳴き声をあげましたが、他のみんなはだれもこわがりませんで、踏み固められた道をたどるうちに、森の中の広場にやってきましたが、そこでは何百匹ものありとあらゆる種類の獣が集まっておりました。
There were tigers and elephants and bears and wolves and foxes and all the others in the natural history, and for a moment Dorothy was afraid.	トラやゾウやクマやオオカミやキツネや自然の中のあらゆる動物がいて、一瞬だけドロシーはおびえました。
But the Lion explained that the animals were holding a meeting, and he judged by their snarling and growling that they were in great trouble.	でもライオンは、動物たちが集会を開いているのだと説明しまして、みんなのうなり声やうめき方からみて、みんなずいぶん困っているなと言います。
As he spoke several of the beasts caught sight of him, and at once the great assemblage hushed as if by magic.	ライオンが話していると、獣たちのいちぶがそれを目にして、大集会は魔法のようにすぐに静まりかえりました。
The biggest of the tigers came up to the Lion and bowed, saying:	いちばん大きなトラがライオンのところにきて、おじぎをしてこう言います。
"Welcome, O King of Beasts!	「百獣の王よ、ようこそ！
You have come in good time to fight our enemy and bring peace to all the animals of the forest once more."	われらの敵と戦って、森の動物に再び平和を取り戻していただくのに、実によいときにおいでくださいました」
"What is your trouble?"	「何を困っているのかね」
asked the Lion quietly.	とライオンは静かにいいます。
"We are all threatened,"	トラは答えました。
answered the tiger,	「われわれみんな、最近この森にやってきた兇暴な敵におびやかされているのです。
It is a most tremendous monster, like a great spider, with a body as big as an elephant and legs as long as a tree trunk.	実に巨大な化け物で、大きなクモのようで、胴体はゾウのように大きく、脚は木の幹のように長いのです。
It has eight of these long legs, and as the monster crawls through the forest he seizes an animal with a leg and drags it to his mouth, where he eats it as a spider does a fly.	その長い足を八本持つこの怪物は、森の中を這いまわって、脚で動物をつかまえて口元に運び、クモがハエを食べるように食べてしまうのです。
Not one of us is safe while this fierce creature is alive, and we had called a meeting to decide how to take care of ourselves when you came among us."	この兇暴な生き物が生きているうちは、われわれだれも安全ではありませんので、どうやって身を守ろうかと集会を開いたときに、あなたが通りかかったのです」
The Lion thought for a moment.	ライオンはちょっと考えました。
"Are there any other lions in this forest?"	「この森にはほかにライオンはいるのか？」
he asked.	とたずねます。
"No;	「いいえ。
there were some, but the monster has eaten them all.	前はいましたが、化け物がみんな食べてしまいました。
And, besides, they were none of them nearly so large and brave as you."	それに、そのどれも大きさといい勇敢さといいあなたにはかないません」
"If I put an end to your enemy, will you bow down to me and obey me as King of the Forest?"	「わたしがその敵を始末したら、みんなわたしにひざまづいて、森の王者として言うことをきくか？」
inquired the Lion.	とライオンはたずねました。
"We will do that gladly,"	「よろこんでそうしましょう」
returned the tiger;	とトラは答えました。
and all the other beasts roared with a mighty roar:	そして他の獣たちもすさまじい声をあげました。
"We will!"	「そうしましょう！」
"Where is this great spider of yours now?"	「このでかいクモとやらは、いまどこにいる？」
asked the Lion.	とライオンはたずねました。
"Yonder, among the oak trees,"	「あちらの、カシの木の向こうです」
said the tiger, pointing with his forefoot.	とトラは前足で方向を示しました。
"Take good care of these friends of mine,"	「このわたしの友人たちの面倒をみておいてくれ。
said the Lion,	わたしはすぐにこの化け物と戦いにいこう」
"and I will go at once to fight the monster."	とライオンは言いました。
He bade his comrades good-bye and marched proudly away to do battle with the enemy.	仲間にさよならを言うと、敵と戦うためにほこらしげにでかけていったのでした。
The great spider was lying asleep when the Lion found him,	大グモは、ライオンが見つけたときには横になって寝ていました。
and it looked so ugly that its foe turned up his nose in disgust.	実に醜い姿だったので、その対戦相手は気持ち悪くて鼻をそむけたほどです。
Its legs were quite as long as the tiger had said, and its body covered with coarse black hair.	脚はトラが言う通り長いものでしたし、からだはゴワゴワの黒い毛でおおわれています。
It had a great mouth, with a row of sharp teeth a foot long;	大きな口には、長さ30センチもある鋭い歯が並んでいます。
but its head was joined to the pudgy body by a neck as slender as a wasp's waist.	でもその頭とふくれた胴体とをつないでいる首は、ハチのウェストくらいの細さしかないのです。
This gave the Lion a hint of the best way to attack the creature, and as he knew it was easier to fight it asleep than awake, he gave a great spring and landed directly upon the monster's back.	これを見て、ライオンはこの生き物を攻撃するいちばんいい方法を思いつきまして、目をさました相手よりは寝ている相手のほうが戦いやすいと承知していたので、大きくジャンプするとすぐに化け物の背中に着地しました。
Then, with one blow of his heavy paw, all armed with sharp claws, he knocked the spider's head from its body.	そしてその鋭い爪をむきだした、重い前足をひとふりして、クモの頭を胴体からたたき落としてしまいました。
Jumping down, he watched it until the long legs stopped wiggling, when he knew it was quite dead.	そして飛び降りてから、その長い脚がうごめかなくなるまで眺め、ちゃんと死んだことを確かめたのです。
The Lion went back to the opening where the beasts of the forest were waiting for him and said proudly:	ライオンは、森の獣たちが待っている広場に戻ると、誇らしげに言いました。
"You need fear your enemy no longer."	「もう敵をおそれる必要はないぞ」
Then the beasts bowed down to the Lion as their King, and he promised to come back and rule over them as soon as Dorothy was safely on her way to Kansas.	すると獣たちはライオンに王として頭を下げまして、ライオンはドロシーが無事にカンザスに向かったらすぐに戻ってきて君臨することを約束しました。
22.  The Country of the Quadlings	22　カドリングたちの国
The four travelers passed through the rest of the forest in safety, and when they came out from its gloom saw before them a steep hill, covered from top to bottom with great pieces of rock.	旅人たち四人は森の残りを安全にぬけて、暗い中から抜け出して見ると、目の前には急な丘があって、てっぺんからふもとまで大きな岩だらけです。
"That will be a hard climb,"	「これはのぼるのがむずかしそうだ。
said the Scarecrow,	でもこの丘をこえるしかないなあ」
"but we must get over the hill, nevertheless."	とかかし。
So he led the way and the others followed.	そこでかかしが先にたち、ほかのみんなが後に続きます。
They had nearly reached the first rock when they heard a rough voice cry out,	最初の岩にたどりつきかけたとき、荒っぽい声が叫びました。
"Keep back!"	「下がれ！」
"Who are you?"	「きみはだれ？」
asked the Scarecrow.	とかかしがききました。
Then a head showed itself over the rock and the same voice said,	すると岩の上から頭がのぞいて、さっきの声がいいました。
"This hill belongs to us, and we don't allow anyone to cross it."	「この丘はおれたちのもんだ、だれにも通らせないぞ」
"But we must cross it,"	「でもどうしても通らないと。
said the Scarecrow.	カドリングたちの国にいくんだよ」
"We're going to the country of the Quadlings."	とかかし。
"But you shall not!"	「いかせはしないぞ」
replied the voice, and there stepped from behind the rock the strangest man the travelers had ever seen.	と声は答え、岩のうしろから出てきたのは、旅人たちが見たこともないほどヘンテコな人でした。
He was quite short and stout and had a big head, which was flat at the top and supported by a thick neck full of wrinkles.	とても背が低くてどっしりしていて、大きな頭をもち、そのてっぺんは平らで、しわだらけの太い首がついています。
But he had no arms at all, and, seeing this, the Scarecrow did not fear that so helpless a creature could prevent them from climbing the hill.	でも腕はなくて、これを見たかかしは、こんな手も足も出せないような生き物ならみんなが丘にのぼるのを止めることはできないだろうと思いました。
So he said,	そこで
"I'm sorry not to do as you wish, but we must pass over your hill whether you like it or not,"	「ご希望にそえないのは残念だけれど、きみたちがどう思おうと、ぼくたちはこの丘をこえなきゃならないだよ」
and he walked boldly forward.	と言うと、大胆に前進しました。
As quick as lightning the man's head shot forward and his neck stretched out until the top of the head, where it was flat, struckthe Scarecrow in the middle and sent him tumbling, over and over, down the hill.	電光石火、男の頭が跳びだして、首がのび、平らな頭のてっぺんがかかしの胴体にぶちあたりまして、かかしはごろごろと丘を転がり落ちてしまいました。
Almost as quickly as it came the head went back to the body, and the man laughed harshly as he said,	跳びだしてきたのと同じくらいすばやく頭は胴体に戻り、男はおそろしげに笑っていいました。
"It isn't as easy as you think!"	「思ったほどかんたんじゃないぞ！」
A chorus of boisterous laughter came from the other rocks, and Dorothy saw hundreds of the armless Hammer-Heads upon the hillside, one behind every rock.	騒々しい笑い声がほかの岩から聞こえまして、ドロシーがみまわすと、何百人もの腕なしトンカチ頭たちが、どの岩のかげにも一人ずついるのでした。
The Lion became quite angry at the laughter caused by the Scarecrow's mishap, and giving a loud roar that echoed like thunder, he dashed up the hill.	ライオンはかかしの不幸で生じた笑いに腹をたてまして、雷のようにとどろく大きな吠え声をたてると、丘をかけあがりました。
Again a head shot swiftly out, and the great Lion went rolling down the hill as if he had been struck by a cannon ball.	またもや頭がすごい勢いでとびだしてきて、大きなライオンは、大砲の弾で撃たれたかのように丘を転げ落ちてしまいました。
Dorothy ran down and helped the Scarecrow to his feet,	ドロシーはかけおりて、かかしを助け起こしました。
and the Lion came up to her, feeling rather bruised and sore,	ライオンも、かなりボロボロで疲れた感じでそこにやってまいりまして
and said,	「頭の飛び出す連中と戦っても無駄だよ。
"It is useless to fight people with shooting heads; no one can withstand them."	だれにも耐えられない」
"What can we do, then?"	「じゃあどうしましょう？」
she asked.	とドロシー。
"Call the Winged Monkeys,"	「翼ザルを呼ぼう。
suggested the Tin Woodman.	あと一回だけ命令できるんだから」
"You have still the right to command them once more."	とブリキの木こりが提案しました。
"Very well,"	「そうね」
she answered, and putting on the Golden Cap she uttered the magic words.	とドロシーは菌の帽子をかぶって魔法の呪文をとなえます。
The Monkeys were as prompt as ever, and in a few moments the entire band stood before her.	サルたちはいつもながらすばやく、すぐさま群れのみんながドロシーの前に立っていました。
"What are your commands?"	「ご命令は？」
inquired the King of the Monkeys, bowing low.	と翼ザルの王さまが低くおじぎをしました。
"Carry us over the hill to the country of the Quadlings,"	「丘をこえてカドリングの国まで運んで」
answered the girl.	と少女は答えます。
"It shall be done,"	「おおせのままに」
said the King, and at once the Winged Monkeys caught the four travelers and Toto up in their arms and flew away with them.	と王さまはいって、すぐに翼ザルたちは四人の旅人とトトを腕にかかえ、いっしょに飛び去りました。
