TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
"I make it a point of honour not to lose a man for King George (God bless him!) and the gallows."	「私の名誉にかけて、ジョージ国王“国王ばんざい！”と絞首台にかけるのに、一人として欠かすわけにはいかんからな」
The rogues looked at each other but swallowed the home-thrust in silence.	悪党どもは互いに顔を見合わせたが、この強烈なあてこすりを静かに受け止めるだけだった。
"Dick don't feel well, sir,"	「ディックの調子がわるいみたいです、先生」
said one.	と一人が口を開いた。
"Don't he?"	「どれどれ？」
replied the doctor.	先生は答えた。
"Well, step up here, Dick,	「さぁ、ここにこい、ディック。
and let me see your tongue.	舌をみせてごらん。
No, I should be surprised if he did!	いいやもし気分がよかったら驚くぞ！
The man's tongue is fit to frighten the French.	この男の舌はフランス人を驚かすにはばっちりだな、
Another fever."	もう一人熱病だ」
"Ah, there,"	「あぁ、そうだ」
said Morgan,	モーガンが言った。
"that comed of sp'iling Bibles."	「聖書を破いたりするからだぞ」
"That comes--as you call it--of being arrant asses,"	「おまえの言い方を借りれば、このうえないほどばか者だからだ」
retorted the doctor,	先生が答えた。
"and not having sense enough to know honest air from poison, and the dry land from a vile, pestiferous slough.	「いい空気と毒だらけの空気の区別もつかんのか、乾燥した土地と、ひどい伝染病が蔓延している沼地との区別がな。
I think it most probable	私が思うにはありそうなことだが、
--though of course it's only an opinion	あくまで一つの意見だがな、
--that you'll all have the deuce to pay before you get that malaria out of your systems.	おまえさんたちにはみな、マラリアにかからないようにしようって考えはないのかい。
Camp in a bog, would you?	沼地でキャンプだって？
Silver, I'm surprised at you.	シルバー、おまえには驚きだよ。
You're less of a fool than many, take you all round;	ここにいる他のやつらよりは、少しはかしこいと思ったがな。
but you don't appear to me to have the rudiments of a notion of the rules of health.	健康については基礎の基礎もしらんとはまったく」
"Well,"	「よし」
he added after he had dosed them round and they had taken his prescriptions, with really laughable humility, more like charity schoolchildren than blood-guilty mutineers and pirates	先生はひととおり薬をだして、みんなが薬をのむと、それは本当にいかにもおかしいといった風で、血をながした犯罪者の海賊や反逆者というよりは慈善学校みたいなものだった。
--"well, that's done for today.	「よし、これでおしまいだ。
And now I should wish to have a talk with that boy, please."	それじゃあ、あのぼうやと話をさせてもらおうか」
And he nodded his head in my direction carelessly.	そして頭でかるく僕の方を示した。
George Merry was at the door, spitting and spluttering over some bad-tasted medicine;	ジョージ・メリーはドアのところにいて、なにかひどい味の薬でものんだみたいにつばをはいたり、ぶつぶつこぼしていた。
but at the first word of the doctor's proposal he swung round with a deep flush	でも先生の申し出の最初の一言を聞くなり、ひどく興奮してドアをあけると、
and cried "No!" and swore.	「だめだ！」とどなって悪態をついた。
Silver struck the barrel with his open hand.	シルバーは、空いてる方の手で樽をたたいた。
"Si-lence!"	「静かにしやがれ！」
he roared and looked about him positively like a lion.	シルバーは一声ほえると、ライオンのように自信をもってジョージの方を睨みつけた。
"Doctor,"	「先生」
he went on in his usual tones,	と声の調子をふつうにして続けた。
"I was a-thinking of that, knowing as how you had a fancy for the boy.	「ちょっと考えさせてくだせぇ、先生がこの坊やを気に入ってるのは分かってますからな。
We're all humbly grateful for your kindness, and as you see, puts faith in you and takes the drugs down like that much grog.	先生の親切には十分感謝してますとも、知ってるように、先生を信頼してますし、食事と同じように薬ものんでます。
And I take it I've found a way as'll suit all.	そんで全部おさまりがいいような方法をとりたいんでさぁ。
Hawkins, will you give me your word of honour as a young gentleman	ホーキンズ、おまえの紳士の名誉に誓って、
--for a young gentleman you are, although poor born	おまえさんは紳士なんだろ、生まれはいやしくともな、
--your word of honour not to slip your cable?"	誓って逃げないといえるか」
I readily gave the pledge required.	僕は、すぐに言われた通り約束した。
"Then, doctor,"	「それなら、先生」
said Silver,	シルバーは言った。
"you just step outside o' that stockade, and once you're there I'll bring the boy down on the inside,	「柵の外にでてくだせぇ、そこにいったなら、わしがこのぼうやを柵の内側までつれて行きまさぁ。
and I reckon you can yarn through the spars.	柵ごしに話はできるでしょうや。
Good day to you, sir,	いいんじゃないですか、先生。
and all our dooties to the squire and Cap'n Smollett."	大地主さんやスモレット船長にはわしらみんな、恩があるからなぁ」
The explosion of disapproval, which nothing but Silver's black looks had restrained, broke out immediately the doctor had left the house.	反対の大合唱がすぐにでもおこりそうで、シルバーの鋭い目でのにらみつけがそれを押さえていたが、先生はすぐに丸太小屋を離れた。
Silver was roundly accused of playing double	シルバーは、両天秤をかけているのを徹底的に非難されていた。
--of trying to make a separate peace for himself, of sacrificing the interests of his accomplices and victims, and, in one word, of the identical, exact thing that he was doing.	自分のためにそれぞれにいい顔をしていて、自分の側の仲間や人質の利益を犠牲にしていたことを非難されていたわけで、ある意味では、それはまさにシルバーがしていたことそのものだった。
It seemed to me so obvious, in this case, that I could not imagine how he was to turn their anger.	僕にはあまりにそのことが明白だったので、今回はどうやってやつらの怒りをおさめるのか想像もできなかった。
But he was twice the man the rest were,	でもシルバーは、残りのほかのやつを足して２倍くらいはすごいやつだった。
and his last night's victory had given him a huge preponderance on their minds.	昨晩の勝利がシルバーに有利に働いていたのである。
He called them all the fools and dolts you can imagine, said it was necessary I should talk to the doctor, fluttered the chart in their faces,	シルバーは、みんなにおまえらは考えられるかぎりのうすらぼけやろうだと言い、そして僕が先生とはなすことは必要なんだと、やつらの目の前で地図をひらひらさせながら言った。
asked them if they could afford to break the treaty the very day they were bound a-treasure-hunting.	そしてまさに宝さがしをするその日に、約束をやぶるつもりじゃねぇだろうなと尋ねたのだ。
"No, by thunder!"	「いいや、そんなことはさせねぇ！」
he cried.	シルバーは叫んだ。
"It's us must break the treaty when the time comes;	「時期がきたら約束をやぶるとも、
and till then I'll gammon that doctor,	でもそれまでは、先生をだまくらかしてやる。
if I have to ile his boots with brandy."	もしやつのブーツを、ブランデーでみがくはめになってもな」
And then he bade them get the fire lit, and stalked out upon his crutch, with his hand on my shoulder, leaving them in a disarray, and silenced by his volubility rather than convinced.	それからシルバーは、やつらに暖炉に火をつけるように命令して、ゆっくりと松葉杖をもちだして、片手を僕の方におき、さわいでいるやつらを置いて、じっくり説得するというよりは弁舌さわやかにごまかして静かにさせた。
"Slow, lad, slow,"	「ゆっくりだ、ぼうや、ゆっくり」
he said.	シルバーは言った。
"They might round upon us in a twinkle of an eye if we was seen to hurry."	「やつらはわしらが急いでいるとみたら、ぎらぎらした目でわしらをとりかこむだろうよ」
Very deliberately, then, did we advance across the sand to where the doctor awaited us on the other side of the stockade,	それで僕らはとてもゆっくりと砂地を、先生が柵の向こうがわで待っているところまで歩いて行った。
and as soon as we were within easy speaking distance Silver stopped.	そして十分に話ができるところまでくると、シルバーは立ち止まった。
"You'll make a note of this here also, doctor,"	「ここまでつれてきたこともよく覚えといてくだせぇ、先生」
says he,	シルバーは言った。
"and the boy'll tell you how I saved his life,	「そんでこのぼうやが話すでしょうが、どうやってこいつの命を救ったかもね。
and were deposed for it too, and you may lay to that.	あとそのために罷免されたことも、覚えといてくだせぇ。
Doctor, when a man's steering as near the wind as me--playing chuck-farthing with the last breath in his body,	先生、わしほど危ない目にあったら、いわば命をなげだしてですぜ。
like--you wouldn't think it too much, mayhap, to give him one good word?	やさしい言葉のひとつをかけてもいいとは思いませんかな？
You'll please bear in mind it's not my life only now--it's that boy's into the bargain;	今じゃわしの命だけでなく、ぼうやの命も取引に入っていることも憶えておいてくだせぇ。
and you'll speak me fair, doctor, and give me a bit o' hope to go on, for the sake of mercy."	そんでわしに正直に話してもらって、先生、お願げぇですから、少しでも希望のもてることをお願いしますぜ」
Silver was a changed man once he was out there and had his back to his friends and the block house;	シルバーはいったん外にでて、味方と丸太小屋に背をむけると人が変わったようだった。
his cheeks seemed to have fallen in, his voice trembled;	ほおはくぼみ、声はふるえ、
never was a soul more dead in earnest.	まるでこれほど真摯な人はいないくらいのものだった。
"Why, John, you're not afraid?"	「どうしたんだ、ジョン、何が怖いんだ？」
asked Dr. Livesey.	リバシー先生はたずねた。
"Doctor, I'm no coward;	「先生、わしは臆病ものじゃねぇ、
no, not I--not SO much!"	決してそんなことはねぇ！」
and he snapped his fingers.	そういってシルバーは指をならした。
"If I was I wouldn't say it.	「臆病ものなら、こんなことは言わねぇからな。
But I'll own up fairly, I've the shakes upon me for the gallows.	でも正直にいえば、わしは絞首台が怖いんでさぁ。
You're a good man and a true;	あんたはいい人で正直だ。
I never seen a better man!	わしはあんたみたいにいい人はみたことねぇ！
And you'll not forget what I done good, not any more than you'll forget the bad, I know.	そんでわしがやったいいことを忘れねぇでくだせぇ、悪いことも忘れはしないでしょうが。
And I step aside--see here--and leave you and Jim alone.	わしは脇へよけてますよ、あなたとジムだけにしますや。
And you'll put that down for me too, for it's a long stretch, is that!"	このことも憶えておいてくだせぇ、できるかぎりのことですぜ、そうですとも！」
So saying, he stepped back a little way, till he was out of earshot,	そういって、シルバーは少し後ろにさがった、その位置ではシルバーは何も聞くことは出来まい。
and there sat down upon a tree-stump and began to whistle,	そして切り株にこしをかけて、口笛をふきはじめた。
spinning round now and again upon his seat so as to command a sight, sometimes of me and the doctor and sometimes of his unruly ruffians	そしてときどき僕や先生の方をみたり、不従順な部下の方をみるためにくるりと座りなおしていた。
as they went to and fro in the sand between the fire--which they were busy rekindling--and the house, from which they brought forth pork and bread to make the breakfast.	部下たちは砂地のところを丸太小屋とたきびの間で、豚肉やパンで朝食をつくるために行ったり、来たりしていた。
"So, Jim,"	「さぁ、ジム」
said the doctor sadly,	先生は悲しげにいった。
"here you are.	「君はここにいたのか。
As you have brewed, so shall you drink, my boy.	自分で酒を醸造して、自分で飲むようなもんだ。
Heaven knows, I cannot find it in my heart to blame you, but this much I will say, be it kind or unkind:	確かに私は君を責めるつもりはないよ、でもあえていっておきたい、親切か不親切かは別としてもね。
when Captain Smollett was well, you dared not have gone off;	スモレット船長が元気だったときは、君は逃げ出そうとはしなかった。
and when he was ill and couldn't help it, by George, it was downright cowardly!"	船長がけがをしてどうにもならなくなったら逃げ出すなんて、本当に、あまりに卑怯じゃないか！」
I will own that I here began to weep.	僕はこれを聞いて、そこで泣き出してしまった。
"Doctor,"	「先生」
I said,	僕は行った。
"you might spare me.	「許してください。
I have blamed myself enough;	十分に自分を責めてます。
my life's forfeit anyway,	どちらにせよ僕の命はないも同然です。
and I should have been dead by now if Silver hadn't stood for me;	シルバーが僕の味方になってくれなかったら、僕はいまごろ死んでただろうし。
and doctor, believe this,	先生、でもこれだけは信じてください。
I can die	僕は死んでもかまいません。
--and I dare say I deserve it	僕はそうするのがお似合いだといってもいいくらいなんです。
--but what I fear is torture.	でも怖いのは拷問なんです。
If they come to torture me--"	もし僕を拷問すると、」
"Jim,"	「ジム」
the doctor interrupted,	先生は口をはさんだ。
and his voice was quite changed,	その声の調子は変わっていた。
"Jim, I can't have this.	「ジム、そんなことには耐えられん。
Whip over, and we'll run for it."	抜け出そう、抜け出して逃げて行こう」
"Doctor,"	「先生」
said I,	僕は言った。
"I passed my word."	「僕は約束しました」
"I know, I know,"	「わかってる、わかってる」
he cried.	先生はさけんだ。
"We can't help that, Jim, now.	「どうしようもないんだ、今はね。
I'll take it on my shoulders, holus bolus, blame and shame, my boy;	いっさいがっさい私のせいにしてくれていい、非難も恥もね。
but stay here, I cannot let you.	でもこのままここには置いておけないよ。
Jump!	飛び越えるんだ！
One jump, and you're out,	ひとっとびで、外に出れるんだ。
and we'll run for it like antelopes."	さぁ、かもしかみたいに逃げ出すんだ」
"No,"	「いいえ」
I replied;	僕は答えた。
"you know right well you wouldn't do the thing yourself	「先生だってご自分ではそんなことをしないのは、知っておられるじゃないですか。
--neither you nor squire nor captain;	先生も大地主さんも船長もそうはしない、
and no more will I.	僕だってそんなことはできません。
Silver trusted me;	シルバーは僕を信頼してくれてるんです。
I passed my word, and back I go.	僕は約束しました、もどります。
But, doctor, you did not let me finish.	でも、先生、まだ話は終わりじゃないんです。
If they come to torture me, I might let slip a word of where the ship is,	もしやつらが僕を拷問にかけたら、船がどこにあるかをもらすかもしれないんです。
for I got the ship,	僕は船を手に入れたんです。
part by luck and part by risking, and she lies in North Inlet, on the southern beach, and just below high water.	幸運だったし、危険もおかしたけれど、船は北浦の南浜にあって、高潮線のすぐ下です。
At half tide she must be high and dry."	半潮ならぜんぜん水にはつかっていないと思います」
"The ship!"	「船だって！」
exclaimed the doctor.	先生はさけんだ。
Rapidly I described to him my adventures, and he heard me out in silence.	僕は急いで先生に僕の冒険を話し、先生は黙って僕の話を聞いていた。
"There is a kind of fate in this,"	「運命みたいなものがあるな」
he observed when I had done.	僕が話し終わると先生はもらした。
"Every step, it's you that saves our lives;	「事態がすすむごとに、私たちの命を救ってくれるのは君なんだから。
and do you suppose by any chance that we are going to let you lose yours?	それなのにひょっとして、私たちが君を見殺しにするなんて思ってるんじゃないだろうね。
That would be a poor return, my boy.	それじゃああまりに割にあわないだろう。
You found out the plot;	君は水先案内人、
you found Ben Gunn	そうベン・ガンを見つけた。
--the best deed that ever you did, or will do,	君が今までしたことの中では、一番いいことだったよ、いやいいことになるだろうよ。
though you live to ninety.	たとえ９０才まで生きることになってもね。
Oh, by Jupiter,	そう、神にかけて。
and talking of Ben Gunn!	ベン・ガンについて言っとこう！
Why, this is the mischief in person.	まったく本当にすごいやつだよ。
Silver!"	シルバー」
he cried.	先生はさけんだ。
"Silver!	「シルバー！
I'll give you a piece of advice,"	私は一つ忠告させてもらうよ」
he continued as the cook drew near again;	先生は、料理番が近づいてくると話をつづけた。
"don't you be in any great hurry after that treasure."	「宝さがしはあまり急いでやらない方がいいぞ」
"Why, sir, I do my possible, which that ain't,"	「どうしてですかい、できるかぎりはしてみますが、難しいですな」
said Silver.	シルバーは言った。
"I can only, asking your pardon, save my life and the boy's by seeking for that treasure;	「お言葉ですが、わしには宝さがしでしか、わしとぼうやの命を救えないんですよ。
and you may lay to that."	わかってくださるでしょう」
"Well, Silver,"	「そうだな、シルバー」
replied the doctor,	先生は答えた。
"if that is so, I'll go one step further:	「もしそうなら、もう少し言っておこう。
look out for squalls when you find it."	宝物を見つけたときには、危険にそなえるんだな」
"Sir,"	「先生」
said Silver,	シルバーは言った。
"as between man and man, that's too much and too little.	「男と男のあいだの話としたら、わけがわかりませんよ。
What you're after, why you left the block house, why you given me that there chart, I don't know, now, do I?	あなた方が何を目的としてるのか、なぜ丸太小屋を離れたのか、なぜ地図をわしに渡したのか、わしにはわからんのです。
And yet I done your bidding with my eyes shut and never a word of hope!	でもわしは目をつぶらされて希望の言葉の一つもなしに、あんたがたの言うとおりにしたんですからな。
But no, this here's too much.	でももうたくさんです。
If you won't tell me what you mean plain out, just say so	もしあんたがたがどうしようと思ってるか素直にいってくれないなら、そういってください。
and I'll leave the helm."	わしもかじを離しますぜ」
"No,"	「いいや」
said the doctor musingly;	先生はじっくり考えながら言った。
"I've no right to say more;	「これ以上私にはいえないんだよ。
it's not my secret, you see, Silver,	それは私の秘密じゃないんだ、わかるだろシルバー。
or, I give you my word, I'd tell it you.	でも言える事は言っとくよ。
But I'll go as far with you as I dare go, and a step beyond,	でも思い切って言える分だけだよ、ほんの少しだ。
for I'll have my wig sorted by the captain or I'm mistaken!	船長に怒られるからな！
And first, I'll give you a bit of hope;	第一にすこしばかり希望の光をやろう。
Silver, if we both get alive out of this wolf-trap, I'll do my best to save you, short of perjury."	シルバー、もし私たちが２人ともこのおおかみの罠から逃げ出せたら、おまえを救うためにも全力を尽くしてやるよ、もちろん偽証はできないがな」
Silver's face was radiant.	シルバーの顔は明るくなった。
"You couldn't say more,	「それ以上いわないでくだせぇ。
I'm sure, sir, not if you was my mother,"	わかりますぜ、わしの母親でもそれ以上いえないでしょうよ」
he cried.	シルバーはさけんだ。
"Well, that's my first concession,"	「さて、それが最初の譲歩だ」
added the doctor.	先生はつけくわえた。
"My second is a piece of advice:	「第二に一言、忠告だ。
keep the boy close beside you,	そのぼうやをいつも手近においとくんだ。
and when you need help, halloo.	助けが必要なら、大声をだせ、
I'm off to seek it for you,	すぐに駆けつけるから。
and that itself will show you if I speak at random.	私がいいかげんなことを言っているかは、それでわかるだろうよ、
Good-bye, Jim."	じゃあな、ジム」
And Dr. Livesey shook hands with me through the stockade, nodded to Silver, and set off at a brisk pace into the wood.	そしてリバシー先生は僕と柵ごしに握手して、シルバーにはうなずいて、森へ足早に消えていった。
31  The Treasure-hunt--Flint's Pointer	31. 宝さがし　フリントの地図
"JIM,"	「ジム」
said Silver when we were alone,	シルバーは僕らだけになったときに言った。
"if I saved your life, you saved mine;	「もしわしがおまえの命を救ったなら、今度はおまえがわしの命を救ったわけだな。
and I'll not forget it.	わしはそのことを忘れねぇ。
I seen the doctor waving you to run for it	わしは先生がおまえに逃げようと言ってるのが見えたんだ、
--with the tail of my eye, I did;	目の端でね。
and I seen you say no, as plain as hearing.	わしはおまえが断ってるのも、聞こえるくらいはっきり見えたんだ。
Jim, that's one to you.	ジム、おまえに一ついっておきてぇ。
This is the first glint of hope I had since the attack failed, and I owe it you.	これが最初の希望の光だよ、攻撃に失敗して以来はじめてのな、おまえのおかげだ。
And now, Jim, we're to go in for this here treasure-hunting,	そんで、ジム、わしらはさしあたって宝さがしに行かなきゃならねぇ。
with sealed orders too, and I don't like it;	封緘命令みたいなもんだ、わしには気にいらねぇが。
and you and me must stick close, back to back like,	おまえとわしは一緒にいなきゃいけない、背中合わせみたいなもんだよ。
and we'll save our necks in spite o' fate and fortune."	そんでわしらはお互いの首を、どんなことがあろうが守ろうじゃないか」
Just then a man hailed us from the fire that breakfast was ready,	ちょうどそのとき一人の男が、たきびのところから朝食の準備ができたと声をかけた。
and we were soon seated here and there about the sand over biscuit and fried junk.	僕たちはすぐに砂地のそこらに腰かけ、ビスケットや揚げたなんやかんやを食べた。
They had lit a fire fit to roast an ox,	やつらは雄牛を丸焼きにするくらいの火をおこしていた。
and it was now grown so hot that they could only approach it from the windward, and even there not without precaution.	そしてあまりに熱くて、風上からしか近づけないくらいで、風上から近づくときも用心しなければならなかった。
In the same wasteful spirit, they had cooked,	まったく同じような無駄が、料理するときにもみられた。
I suppose, three times more than we could eat;	僕が思うに食べられる３倍の量は調理されていたのだ。
and one of them, with an empty laugh, threw what was left into the fire,	するとそのうちの一人が、乾いた笑いをうかべ、残ったものを火の中にくべた。
which blazed and roared again over this unusual fuel.	ふつうと違うものがくべられて、ふたたび火はもえあがり炎をあげた。
I never in my life saw men so careless of the morrow;	僕は生きててこれほど明日のことを考えない男たちは見たことがなかった。
hand to mouth is the only word that can describe their way of doing;	やつらのやり方を説明すれば、その日暮らしとしかいいようがない。
and what with wasted food and sleeping sentries, though they were bold enough for a brush and be done with it, I could see their entire unfitness for anything like a prolonged campaign.	食べ物は無駄にするは、見張りは寝ているで、こぜりあいは大胆でやってのけるけど、こんなようすじゃキャンプが長く続くようなことにはやつらは全く向かないことは僕にはよくわかった。
Even Silver, eating away, with Captain Flint upon his shoulder, had not a word of blame for their recklessness.	シルバーでさえ、食べ散らかして、肩にはフリント船長をとまらせ、やつらのむとんちゃくには一言も文句をいわなかった。
And this the more surprised me, for I thought he had never shown himself so cunning as he did then.	そして同じくらい驚いたのは、このときシルバーが示した態度がいままで見たこともないほどずるいものだということだった。
"Aye, mates,"	「ほら、おまえら」
said he,	シルバーは言った。
"it's lucky you have Barbecue to think for you with this here head.	「バーベキューがおまえらのためにこの頭で考えてやるなんて、おまえらは幸運だぞ。
I got what I wanted, I did.	わしはわしが欲しいものを手に入れるんだ。
Sure enough, they have the ship.	絶対、やつらは船を持っている。
Where they have it, I don't know yet;	どこにあるのか、わしには分からん。
but once we hit the treasure, we'll have to jump about and find out.	でもわしらが宝物を手に入れたら、船を飛び回って探し当てればいい。
And then, mates, us that has the boats, I reckon, has the upper hand."	それから、おまえら、わしらはボートを持ってる分有利だろ」
Thus he kept running on, with his mouth full of the hot bacon;	そしてシルバーは、口の中を熱いベーコンでいっぱいにして続けた。
thus he restored their hope and confidence,	シルバーは、やつらの希望と自信をとりもどした。
and, I more than suspect, repaired his own at the same time.	そして僕が思うに、同時に自分の希望と自信をもとりもどしたのだ。
"As for hostage,"	「人質についてはな」
he continued,	シルバーは続けた。
"that's his last talk, I guess, with them he loves so dear.	「このぼうずが好きなやつらと話すのも、あれが最後じゃねぇか。
I've got my piece o' news, and thanky to him for that;	わしは少しばかり知ってることもあるんだ、このぼうずに感謝しないとな。
but it's over and done.	でももう終わりだし、終ったんだ。
I'll take him in a line when we go treasure-hunting,	宝さがしに行くときには、このぼうずをロープでつないで行こう。
for we'll keep him like so much gold, in case of accidents, you mark, and in the meantime.	なんでかって、なんかあったときに、憶えとけよ、そのときにはこのぼうずも金みたいなもんだからな。
Once we got the ship and treasure both and off to sea like jolly companions, why then we'll talk Mr. Hawkins over, we will, and we'll give him his share, to be sure, for all his kindness."	船や宝ものを両方手にいれて、楽しい仲間と海にでさえすれば、ホーキンズ君も説き伏せてみて、そうしよう、わしらは確かに親切にやつにも分け前を分けてやろう」
It was no wonder the men were in a good humour now.	男どもが上機嫌なのには、なんの不思議もなかった。
For my part, I was horribly cast down.	僕についていえば、恐ろしくて下を向いていた。
Should the scheme he had now sketched prove feasible, Silver, already doubly a traitor, would not hesitate to adopt it.	シルバーが今言ったような計画が可能なことがわかれば、二重の裏切り者なのだから、その計画を採用するのになんのためらいもなかっただろう。
He had still a foot in either camp,	両方の陣営にまだ足をかけていたのだった。
and there was no doubt he would prefer wealth and freedom with the pirates to a bare escape from hanging, which was the best he had to hope on our side.	そしてせいぜいが単にはだか一貫で首吊りから逃げ出すわれわれの陣営より、宝物と自由がある海賊たちの陣営の方を選ぶことは、疑いもなかった。
Nay, and even if things so fell out that he was forced to keep his faith with Dr. Livesey, even then what danger lay before us!	いや、たとえリバシー先生との約束を守らなければならないはめにおちいったとしても、僕らにも大変な危険があるわけだ！
What a moment that would be when the suspicions of his followers turned to certainty and he and I should have to fight for dear life	シルバーの部下の疑惑が確かなものとなって、シルバーと僕が命をかけて戦わなければならないとしたら、どんなことになるのだろう！
--he a cripple and I a boy	シルバーは片足だし、僕は子供で、
--against five strong and active seamen!	あの５人の屈強なすばしっこい海の男たちと戦わなければならないのだ。
Add to this double apprehension the mystery that still hung over the behaviour of my friends,	この二重の不安にくわえて、味方の行動も依然として謎だらけだった。
their unexplained desertion of the stockade, their inexplicable cession of the chart, or harder still to understand, the doctor's last warning to Silver, "Look out for squalls when you find it,"	柵をでていったことも、海図の件も説明がつかないし、先生のシルバーへ最後の警告「宝物をみつけたときには、危険にそなえるんだな」も全く理解できなかった。
and you will readily believe how little taste I found in my breakfast and with how uneasy a heart I set forth behind my captors on the quest for treasure.	そして僕が朝ご飯を食べていてもろくろく味もせず、どんな不安な気持ちをいだいて宝さがしに出かけたのか、すぐにわかってもらえるだろう。
We made a curious figure, had anyone been there to see us	だれかがそこにいて僕らの姿をみたら、とても奇妙に見えたことだろう。
--all in soiled sailor clothes and all but me armed to the teeth.	全員薄汚れた船員服を着て、僕以外のみんなは完全武装していた。
Silver had two guns slung about him--one before and one behind--besides the great cutlass at his waist and a pistol in each pocket of his square-tailed coat.	シルバーは二丁の鉄砲を、一丁は前に一丁は後ろにつけ、大きな短剣を腰に、四角いすその上着の一つのポケットに一つのピストルをいれていた。
To complete his strange appearance, Captain Flint sat perched upon his shoulder and gabbling odds and ends of purposeless sea-talk.	その奇妙な格好の仕上げとしては、フリント船長が肩にとまって、なんやかんやと意味のない船乗り言葉をしゃべくりちらかしていた。
I had a line about my waist and followed obediently after the sea-cook,	僕は腰にロープをつけて素直に料理番のあとをついていった。
who held the loose end of the rope, now in his free hand, now between his powerful teeth.	料理番はロープの端を空いてる手か、強く口でくわえてるかしていた。
For all the world, I was led like a dancing bear.	まったく、僕は踊るクマの見せ物といった風だった。
The other men were variously burthened,	他の男たちはいろいろな荷物を背負っていた。
some carrying picks and shovelsw	何人かはつるはしやショベル、
--for that had been the very first necessary they brought ashore from the HISPANIOLA--	というのもそれがやつらがヒスパニオーラ号から持ち出したまさに必需品だったのだから。
others laden with pork, bread, and brandy	他には昼食に豚肉、パン、ブランデーをもっていた。
for the midday meal.  All the stores, I observed, came from our stock, and I could see the truth of Silver's words the night before.	僕がみるところではそれらの貯蔵物は、みんな僕らの貯蔵物だったもので、前の晩にシルバーが言ったことは本当であることがわかった。
Had he not struck a bargain with the doctor, he and his mutineers, deserted by the ship, must have been driven to subsist on clear water and the proceeds of their hunting.	もしシルバーが先生と取引をしなかったなら、反逆者たちは、船もなくなってしまったので、清水をのみ、狩りをして生き延びるほか仕方がなかったにちがいない。
Water would have been little to their taste;	水はやつらの口にはあわなかった。
a sailor is not usually a good shot;	船員というものは、たいてい射撃も上手くないものだ。
and besides all that, when they were so short of eatables, it was not likely they would be very flush of powder.	それにもまして、食べ物がこんなに不足しているのに、火薬がどっさりあるということもありそうにはないことだったが。
Well, thus equipped, we all set out	このように装備をして、僕らは出発した。
--even the fellow with the broken head, who should certainly have kept in shadow--and straggled, one after another, to the beach, where the two gigs awaited us.	頭にけがをしたものまで、日陰にいなければならないはずなのに一緒に来て、ばらばらに一人一人浜まで、２つのボートがあるところまでやってきた。
Even these bore trace of the drunken folly of the pirates, one in a broken thwart, and both in their muddy and unbailed condition.	このボートをみても海賊たちがよっぱらってばか騒ぎをしたあとがあり、１つは腰をかける横木が壊れていて、両方ともどろが中に入っており、水もかいだしてなかった。
Both were to be carried along with us for the sake of safety;	安全のために二艘とも持っていくこととなり、
and so, with our numbers divided between them, we set forth upon the bosom of the anchorage.	二手にわかれて僕らは停泊所の水面にこぎだした。
As we pulled over, there was some discussion on the chart.	ボートを岸によせると、地図の見かたで多少議論が起こった。
The red cross was, of course, far too large to nbe a guide;	赤い十字はもちろん案内の印としては大きすぎたのだ。
and the terms of the note on the back, as you will hear, admitted of some ambiguity.	そして裏に書かれている言葉は、次に示すように、いくぶんあいまいなところがあった。
They ran, the reader may remember, thus:	憶えているだろうか、こう書かれていた。
Tall tree, Spy-glass shoulder, bearing a point to the N. of N.N.E.	北北東より１ポイント北の、望遠鏡の丘の肩の部分、高い木
Skeleton Island E.S.E. and by E. Ten feet.	どくろの島の東南東より東10フィート
A tall tree was thus the principal mark.	高い木が目立つ目標だった。
Now, right before us the anchorage was bounded by a plateau from two to three hundred feet high, adjoining on the north the sloping southern shoulder of the Spy-glass	そして僕らの正面では、停泊所が２００から３００フィートの高さの高原に接していて、北のほうには望遠鏡山の南の肩の傾斜につながっていた。
and rising again towards the south into the rough, cliffy eminence called the Mizzen-mast Hill.	そして南の方へはのぼっていて、荒地でけわしい高地、そこは後マスト山とよばれている場所だった。
The top of the plateau was dotted thickly with pine-trees of varying height.	この高原の頂上には、点々とまばらにさまざまな高さの松の木が生えていた。
Every here and there, one of a different species rose forty or fifty feet clear above its neighbours, and which of these was the particular "tall tree" of Captain Flint could only be decided on the spot, and by the readings of the compass.	あちらこちらに、異なった種類の木が４０から５０フィートも他の木よりもたかくそびえているので、そのどれがフリント船長のいうあの「高い木」なのか、その場所に行って、コンパスをみてみるしかなかった。
Yet, although that was the case, every man on board the boats had picked a favourite of his own ere we were half-way over,	ただそんな事情だったのだが、船に乗って、半分も行かないうちからそれぞれで自分で好きな木を選んでる始末だった。
Long John alone shrugging his shoulders and bidding them wait till they were there.	ロング・ジョンだけが肩をすくめて、行くまで待てと命令をくだした。
We pulled easily, by Silver's directions, not to weary the hands prematurely,	僕らはシルバーの命令で漕ぎ手をつかれさせないように、ゆっくりこいだ。
and after quite a long passage, landed at the mouth of the second river--that which runs down a woody cleft of the Spy-glass.	そしてずいぶん長い間こいだあと、２本目の川の河口に、望遠鏡山の森の割れ目をくだってくる川の河口に上陸した。
Thence, bending to our left, we began to ascend the slope towards the plateau.	そこから、左へとまがって、僕らは高原への坂を登りはじめた。
