PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
She knew at once that he must be Peter Pan.	マイミーは、すぐにピーターパンにちがいないと分かりました。
Lock-out Time	４章　閉門の時間
It is frightfully difficult to know much about the fairies,	妖精について詳しくなろうとすることは、恐ろしく難しいことです。
and almost the only thing known for certain is that there are fairies wherever there are children.	ただ一つはっきりしていることは、子供がいるところには妖精がいるということです。
Long ago children were forbidden the Gardens,	ずっと昔、子供はケンジントン公園にはいることを禁じられていました。
and at that time there was not a fairy in the place;	そのとき、公園に妖精は一人もいませんでした。
then the children were admitted, and the fairies came trooping in that very evening.	子供が公園に入ることを許されると、まさにその晩に妖精たちもぞろぞろ集まってきました。
They can't resist following the children,	妖精たちは我慢できず、子供たちのあとをついて行ってしまうのです。
but you seldom see them, partly because they live in the daytime behind the railings, where you are not allowed to go, and also partly because they are so cunning.	ただあなたがめったに妖精を目にすることがないのは、一つには、昼間、妖精たちは子供が行くのを禁じられている垣根の裏に住んでいるからですし、もう一つには妖精たちがずるがしこいからでした。
They are not a bit cunning after Lock-out,	妖精たちは、閉門後はこれっぽちもずるがしこいということはありません。
but until Lock-out, my word!	でも閉門までといったら、言葉にしがたいほどです！
When you were a bird you knew the fairies pretty well,	あなたが鳥だったときは、妖精たちのことをとてもよく知っています。
and you remember a good deal about them in your babyhood, which it is a great pity you can't write down,	そしてあなたがあかんぼうのときは、妖精について多くのことを覚えていますが、ただそれを書き記すことができないのは、とても残念なことです。
for gradually you forget,	だんだんあなたは忘れて行きます。
and I have heard of children who declared that they had never once seen a fairy.	妖精なんて一人もみたことないや、と言いはる子供のことをわたしは耳にしたことがあります。
Very likely if they said this in the Kensington Gardens, they were standing looking at a fairy all the time.	とてもありそうなことですが、もしケンジントン公園でそういったなら、始終妖精を目にしながらそこに立っていることになるのです。
The reason they were cheated was that she pretended to be something else.	子供たちがだまされてしまうのは、妖精がなにか別のもののふりをしているからです。
This is one of their best tricks.	これが妖精のよくつかう手口のひとつで、
They usually pretend to be flowers,	妖精はふつう花のふりをします。
because the court sits in the Fairies' Basin,	なぜならその場所は、妖精の溜まり場に位置していましたから。
and there are so many flowers there, and all along the Baby Walk, that a flower is the thing least likely to attract attention.	そして赤ん坊の道沿いにはたくさんの花があったので、一本の花ではまったく興味をひかないのです。
They dress exactly like flowers, and change with the seasons, putting on white when lilies are in and blue for blue-bells, and so on.	妖精たちはまさに花のように着飾り、ゆりがさいているときは白く、ツリガネスイセンが咲いているときは青くといった具合に季節によって装いをかえました。
They like crocus and hyacinth time best of all, as they are partial to a bit of colour,	妖精たちはクロッカスとヒヤシンスの色が大好きで、その季節が一番お気に入りでした。
but tulips (except white ones, which are the fairy-cradles) they consider garish, and they sometimes put off dressing like tulips for days,	でもチューリップ（白以外です、白いチューリップは妖精のゆりかごです）は派手すぎると妖精たちは思っていたので、時々チューリップみたいに着飾ることを何日も先延ばしにしました。
so that the beginning of the tulip weeks is almost the best time to catch them.	なので、だいたいチューリップが咲き始める最初の数週間が、妖精たちを見つける一番いい季節だったりします。
When they think you are not looking they skip along pretty lively,	妖精たちは、あなたが見ていないと思っているときは、とてもいきいきとスキップをしています。
but if you look and they fear there is no time to hide, they stand quite still, pretending to be flowers.	しかしあなたが目をやって、隠れるひまがないと、妖精は花のふりをしてぴくりとも動きません。
Then, after you have passed without knowing that they were fairies, they rush home and tell their mothers they have had such an adventure.	そしてあなたが妖精たちだとは気づかずに通り過ぎると、いそいで家に帰ってお母さんにこんな大冒険をしたんだよと報告するのでした。
The Fairy Basin, you remember, is all covered with ground-ivy (from which they make their castor-oil),	覚えてらっしゃるでしょうか、妖精の溜まり場はツタで覆われていて、妖精たちはツタからヒマシ油を作りました。
with flowers growing in it here and there.	そのあちらこちらに花が育っていました。
Most of them really are flowers, but some of them are fairies.	花のほとんどは本当の花でしたが、いくらかは妖精でした。
You never can be sure of them, but a good plan is	あなたは、どれが妖精か決してはっきりとはわからないでしょう、でもよい方法があります。
to walk by looking the other way, and then turn round sharply.	別の方を見ながら歩いていて、突然振り返るのです。
Another good plan, which David and I sometimes follow, is to stare them down.	もう一つのよい方法は、デビットとわたしが時々やった方法ですが、じっと見つめることです。
After a long time they can't help winking,	ずっと見つめていると、妖精たちはまばたきしてしまいます。
and then you know for certain that they are fairies.	そうすれば、確かにそれが妖精だということがわかるでしょう。
There are also numbers of them along the Baby Walk,	赤ん坊の道沿いにも何人もの妖精がいます。
which is a famous gentle place, as spots frequented by fairies are called.	赤ん坊の道は有名な場所で、妖精たちがよく訪れるところといわれています。
Once twenty-four of them had an extraordinary adventure.	かつて２４人の妖精が、そこで大冒険をくりひろげました。
They were a girls' school out for a walk with the governess,	妖精たちは、女教師といっしょに女学校から散歩に出かけました。
and all wearing hyacinth gowns,	みんなヒヤシンスのガウンを着ていました。
when she suddenly put her finger to her mouth, and then they all stood still on an empty bed and pretended to be hyacinths.	突然教師が口に指をあてると、全員花壇の空いているところに立って、ヒヤシンスのふりをしました。
Unfortunately, what the governess had heard was two gardeners coming to plant new flowers in that very bed.	ついていないことに、教師がききつけたのは、２人の庭師がまさにその花壇の空いている所に花を植えにきた音でした。
They were wheeling a handcart with flowers in it,	かれらは手押し車に花をのせてやってきました。
and were quite surprised to find the bed occupied.	そしてその場所に花が植えられているのをみてとても驚きました。
"Pity to lift them hyacinths,"	「ヒヤシンスを抜くのはかわいそうだなぁ」
said the one man.	一人がいいましたが
"Duke's orders,"	「公爵の命令だからな」
replied the other,	ともう一人が応えました。
and, having emptied the cart, they dug up the boarding-school and put the poor, terrified things in it in five rows.	そして手押し車から花を下ろすと、その寄宿学校を掘り起こして、とてもかわいそうなことに妖精たちを５列にして手押し車にのせました。
Of course, neither the governess nor the girls dare let on that they were fairies,	もちろん教師も生徒もあえて自分たちが妖精だとばらすものはいません。
so they were carted far away to a potting-shed, out of which they escaped in the night without their shoes,	そして遠くの小屋まで運ばれていきましたが、夜のうちに、そこからくつもはかずに逃げ出しました。
but there was a great row about it among the parents, and the school was ruined.	でも親たちの間ではそのことで大さわぎになり、学校はつぶれてしまいました。
As for their houses, it is no use looking for them,	妖精たちの家を探しても無駄なことです。
because they are the exact opposite of our houses.	なぜならわたしたちの家とは似ても似つかないものだからです。
You can see our houses by day but you can't see them by dark.	わたしたちの家は、昼間はみえますが、暗くなるとみることができません。
Well, you can see their houses by dark,	でも妖精たちの家は、暗くなると見えるものなのです。
but you can't see them by day,	でも昼間はみることができません。
for they are the colour of night,	妖精たちの家は、夜の色なのです。
and I never heard of anyone yet who could see night in the daytime.	昼間に夜を見たことがある人の話は聞いたことがないでしょう。
This does not mean that they are black,	妖精たちの色が黒というわけではありません。
for night has its colours just as day has, but ever so much brighter.	夜にも昼とおなじように色があるのです、ただ昼の方がはるかに明るいだけなんです。
Their blues and reds and greens are like ours with a light behind them.	妖精たちの青や赤や緑は、わたしたちのものと同じようなもので、背後から光でてらされているのです。
The palace is entirely built of many-coloured glasses, and is quite the loveliest of all royal residences,	妖精の宮殿はあたり一面がいろいろな色のガラスで作られていて、どんな王族の住居と比べてもひけをとらないものです。
but the queen sometimes complains because the common people will peep in to see what she is doing.	でも女王は自分が何をしているか一般の人が覗いていると、ときどき文句をいいました。
They are very inquisitive folk, and press quite hard against the glass,	妖精たちはとても知りたがりやだったので、ガラスに強く顔を押しつけるのでした。
and that is why their noses are mostly snubby.	それが妖精たちの鼻が、たいがいしし鼻である理由だったりします。
The streets are miles long and very twisty,	宮殿の道は何マイルも続いていて、とても曲がりくねっています。
and have paths on each side made of bright worsted.	両側には、はなやかな毛糸でつくられた小道がありました。
The birds used to steal the worsted for their nests, but a policeman has been appointed to hold on at the other end.	鳥たちは毛糸を自分たちの巣をつくるために盗んでいったので、警官が一人、一方の端をきちんとつかんでいるように任命されたぐらいです。
One of the great differences between the fairies and us is that they never do anything useful.	妖精たちとわたしたちの大きく違うところの一つは、妖精たちは役にたつことはなにもしないということです。
When the first baby laughed for the first time, his laugh broke into a million pieces, and they all went skipping about.	最初のあかんぼうが生まれて最初に微笑むとき、その笑いが無数の破片になって、とびはねます。
That was the beginning of fairies.	それこそが、妖精の生まれるところです。
They look tremendously busy, you know,	あなたも知ってるように、妖精たちはいつもとても忙しそうに見えました。
as if they had not a moment to spare,	まるで余分な時間は少しもないといった具合です。
but if you were to ask them what they are doing, they could not tell you in the least.	でももし妖精たちに何をしているのかを尋ねたら、何一つ説明できなかったでしょう。
They are frightfully ignorant,	妖精たちはびっくりするほど無知です。
and everything they do is make-believe.	そしてやっていることといったら、してるふりだけなのです。
They have a postman,	妖精たちには郵便屋がいます。
but he never calls except at Christmas with his little box,	でもクリスマスのとき小さな箱を持ってくる以外は、やってくることはまずありません。
and though they have beautiful schools, nothing is taught in them;	すてきな学校がありましたが、そこではなにも教えていないのです。
the youngest child being chief person is always elected mistress,	もっとも幼い子供がいつも教師として選ばれました。
and when she has called the roll, they all go out for a walk and never come back.	でも教師が出席をとると、生徒は外に歩きに出かけてしまい、戻ってこないのです。
It is a very noticeable thing that, in fairy families, the youngest is always chief person, and usually becomes a prince or princess,	妖精の家族ではもっとも年が若い者が必ず主人であり、たいてい王子や王女になることはとても注目すべきことです。
and children remember this, and think it must be so among humans also,	子供はそのことを覚えているので、人間の世界でもそうに違いないと考えるのです。
and that is why they are often made uneasy when they come upon their mother furtively putting new frills on the basinette.	そしてそれがお母さんにひそかにゆりかごに新しいフリルをつけているのを見ると、不機嫌になる理由でしょう。
You have probably observed that your baby-sister wants to do all sorts of things that your mother and her nurse want her not to do:	あなたはたぶん、あなたのあかんぼうの妹がお母さんや乳母がしてほしくないと思うことなら何でもしたがることに気づいていることでしょう。
to stand up at sitting-down time, and to sit down at standing-up time, for instance, or to wake up when she should fall asleep, or to crawl on the floor when she is wearing her best frock, and so on,	座っていなければならないときに立ち上がり、立ち上がるときには座り込み、寝なければならないときには目を覚まし、一番いい服をきているときに床をはいまわったりといった具合です。
and perhaps you put this down to naughtiness.	たぶんあなたは、それをやんちゃなせいにするかもしれません。
But it is not;	でもそうではないのです。
it simply means that she is doing as she has seen the fairies do;	それは単に、妖精たちがしていることをみたままに真似しているだけです。
she begins by following their ways, and it takes about two years to get her into the human ways.	生まれたては妖精のやり方を真似して、人間のやり方になれるまでにはだいたい２年ぐらいかかるものです。
Her fits of passion, which are awful to behold, and are usually called teething, are no such thing;	あかんぼうのかんしゃくのけいれんは、見ているのは恐ろしいもので、しばしば歯が生えてくるからと言われていますが、ぜんぜんそんな理由ではありません。
they are her natural exasperation,	それはあかんぼうにとってごく自然な怒りのしるしなのです。
because we don't understand her, though she is talking an intelligible language.	とてもわかりやすい言葉だというのに、わたしたちが理解できないから、怒っているのです。
She is talking fairy.	子供は話す妖精です。
The reason mothers and nurses know what her remarks mean, before other people know, as that "Guch" means "Give it to me at once," while "Wa" is "Why do you wear such a funny hat?" is because, mixing so much with babies, they have picked up a little of the fairy language.	他の人が気づく前に母親や乳母があかんぼうの言ってること、たとえば“ちょ”が“わたしにすぐそれをちょうだい”とか“なっ”が“なぜそんなにおかしな帽子をかぶっているの”に気づくのは、あかんぼうとふれあっているので、妖精のことばをすこしばかり理解しているということなのです。
Of late David has been thinking back hard about the fairy tongue, with his hands clutching his temples,	最近、デビットは、両手でこめかみを強く押さえて昔を振り返り、妖精の言葉を思い出そうとしました。
and he has remembered a number of their phrases which I shall tell you some day if I don't forget.	そしてわたしが忘れなければ、いつかお話しできるいくつかの言い回しを思い出しました。
He had heard them in the days when he was a thrush,	デビットは、自分がつぐみだったときにその言い回しを聞いたということです。
and though I suggested to him that perhaps it is really bird language he is remembering, he says not,	わたしが、たぶんそれは鳥の言葉じゃないかなとほのめかしたときも、彼はそうじゃないといいはりました。
for these phrases are about fun and adventures, and the birds talked of nothing but nest-building.	そしてその言い回しは、おもしろいことと冒険のことだということ、そして鳥たちは巣作りのこと以外はなにも話さないということを思い出しました。
He distinctly remembers	デビットははっきり思い出しました。
that the birds used to go from spot to spot like ladies at shop-windows,	鳥たちが、店のウィンドウからウィンドウへと歩き回る女性のように
looking at the different nests and saying, "Not my colour, my dear," and "How would that do with a soft lining?" and "But will it wear?" and "What hideous trimming!" and so on.	「この巣は色が気に入らない」、「中がこんなにやわらかいんじゃ」とか「でも着てみようかしら」とか「なんてひどい具合なの！」といいながら別の巣を探して、ある場所から別の場所へと落ち着かないものであることを。
The fairies are exquisite dancers,	妖精たちは、見事な踊り手でした。
and that is why one of the first things the baby does is to sign to you to dance to him and then to cry when you do it.	それが、あかんぼうが生まれて最初にすることの一つが、あなたに自分にあわせてダンスするようにと合図して、あなたがそうしたときに泣き声をあげることである理由です。
They hold their great balls in the open air,	妖精たちは戸外で大舞踏会を行いました。
in what is called a fairy-ring.	それは妖精のリングと呼ばれています。
For weeks afterward you can see the ring on the grass.	そのあと何週間もの間、芝生でそのリングをみることができるでしょう。
It is not there when they begin,	妖精たちが踊りはじめたときには、リングはありません。
but they make it by waltzing round and round.	でも妖精たちがくるくるまわりながら踊ることでリングが形作られるのでした。
Sometimes you will find mushrooms inside the ring,	リングのなかにマッシュルームを見つけるかもしれません。
and these are fairy chairs that the servants have forgotten to clear away.	それは、妖精の召使たちが片付け忘れた妖精のいすでした。
The chairs and the rings are the only tell-tale marks these little people leave behind them,	いすとリングが、妖精たちがあとに残して行く唯一の秘密をばらすものでした。
and they would remove even these were they not so fond of dancing that they toe it till the very moment of the opening of the gates.	もし妖精たちが、門が開くぎりぎりまで爪先立って踊るほどダンスが好きでなければ、いすやリングは片付けたでしょう。
David and I once found a fairy-ring quite warm.	デビットとわたしは、一度妖精のリングがきわめてあたたかかったことに気づいたものです。
But there is also a way of finding out about the ball before it takes place.	でも、舞踏会がとりおこなわれることを事前に知るｋ方法は他にもあります。
You know the boards which tell at what time the Gardens are to close to-day.	公園が今日何時に閉まるかを知らせる掲示はごぞんじでしょう。
Well, these tricky fairies sometimes slyly change the board on a ball night,	さて、ずるがしこい妖精たちは、ときどき茶目っ気たっぷりに舞踏会の夜は掲示を変えてしまうのです。
so that it says the Gardens are to close at six-thirty for instance, instead of at seven.	つまりたとえば掲示が公園は７：００に閉まるとなっている代わりに、６：３０に閉まるとしてしまうのです。
This enables them to get begun half an hour earlier.	そうすることで、妖精たちは３０分早く舞踏会を始めることができました。
If on such a night we could remain behind in the Gardens, as the famous Maimie Mannering did, we might see delicious sights,	もしそんな夜に、あの有名なマイミー・マナリングがしたようにわたしたちが公園に残っていたとすれば、すばらしい光景をみることができるでしょう。
hundreds of lovely fairies hastening to the ball, the married ones wearing their wedding-rings round their waists, the gentlemen, all in uniform, holding up the ladies' trains,	何百もの美しい妖精たちが舞踏会に急ぎ、結婚している妖精は腰に結婚指輪をして、男の人は全員正装で、 女性のすそを持ち上げていました。
and linkmen running in front carrying winter cherries,	そしてたいまつ持ちたちは先頭を走って、妖精のたいまつである冬のさくらんぼを運んでいました。
which are the fairy-lanterns, the cloakroom where they put on their silver slippers and get a ticket for their wraps,	クロークでは 銀のスリッパにはきかえて、オーバーを預け、引換券をうけとります。
the flowers streaming up from the Baby Walk to look on, and always welcome	花たちは赤ん坊の道から見物するために押しよせてきて、いつも歓迎されました。
because they can lend a pin,	なぜなら花たちはピンをかしてくれたからです。
the supper-table, with Queen Mab at the head of it, and behind her chair the Lord Chamberlain, who carries a dandelion on which he blows when Her Majesty wants to know the time.	夕食用のテーブルは上席にマブ女王がすわり、女王の椅子の後ろには王室長官がつづき、たんぽぽをもって女王陛下が時間を知りたいときは、それを吹くのでした。
The table-cloth varies according to the seasons,	テーブルクロスも季節によってかわります。
and in May it is made of chestnut-blossom.	５月には栗の花から作ります。
The way the fairy-servants do is this:	妖精の召使はこうやってテーブルクロスを作ります。
The men, scores of them, climb up the trees and shake the branches, and the blossom falls like snow.	召使の２０人ほどが木にのぼり、枝をゆらすと、花が雪のように落ちてきます。
Then the lady servants sweep it together by whisking their skirts until it is exactly like a table-cloth,	そして女性の召使がスカートを払うことで花をはき集めて、ちょうどテーブルクロスになるようにするのでした。
and that is how they get their table-cloth.	それが妖精たちのテーブルクロスを手に入れる方法です。
They have real glasses and real wine of three kinds,	妖精たちは、本物のグラスと３種類のワインを持っていました。
namely, blackthorn wine, berberris wine, and cowslip wine,	つまり黒い棘のワインとバーバリーのワイン、プリムローズのワインです。
and the Queen pours out, but the bottles are so heavy that she just pretends to pour out.	そして女王が注ぐのがきまりですが、ボトルがあまりに重いので女王は注ぐふりをするだけでした。
There is bread and butter to begin with, of the size of a threepenny bit;	はじめは、３ペンスばっかりの大きさのパンとバターがあり、
and cakes to end with,	最後にはケーキがでてきました。
and they are so small that they have no crumbs.	ただそれはとても小さいので、かけらもでないくらいでした。
The fairies sit round on mushrooms, and at first they are very well-behaved and always cough off the table, and so on,	妖精たちはマッシュルームの上に丸く座って、最初はとても礼儀正しくて、テーブルを外して咳きこみます。
but after a bit they are not so well-behaved and stick their fingers into the butter, which is got from the roots of old trees,	しかししばらくすると、それほど礼儀正しくなくなって、古い木の根っこから取ってきたバターに指を突っ込む始末です。
and the really horrid ones crawl over the table-cloth chasing sugar or other delicacies with their tongues.	そしてひどい妖精になるとテーブルクロスの上にあがりこむと、砂糖や他のおいしいものをなめたりしました。
When the Queen sees them doing this she signs to the servants to wash up and put away,	女王はそんな様子を目にすると、召使にさっさとかたづけなさいと合図するのでした。
and then everybody adjourns to the dance, the Queen walking in front	そしてみんながダンスするために立ち上がり、女王が先頭を歩きます。
while the Lord Chamberlain walks behind her, carrying two little pots,	王室長官が後に従い、２つの小さな壺を運んでいました。
one of which contains the juice of wall-flower and the other the juice of Solomon's Seals.	壺のひとつには、ニオイアラセイトウのジュースが、もうひとつにはユリのジュースが入っています。
Wall-flower juice is good for reviving dancers who fall to the ground in a fit, and Solomon's Seals juice is for bruises.	ニオイアラセイトウのジュースは、気を失ってたおれこんだ踊り子を気づかせるのに、ユリのジュースはうち傷にききます。
They bruise very easily	妖精たちはすぐにうち傷を作ってしまいます。
and when Peter plays faster and faster they foot it till they fall down in fits.	ピーターが笛を早くふけばふくほど、妖精たちは気を失ってたおれるまで踊りました。
For, as you know without my telling you, Peter Pan is the fairies' orchestra.	わたしが言うまでもなくおわかりでしょうが、ピーターパンは妖精たちのオーケストラでした。
He sits in the middle of the ring, and they would never dream of having a smart dance nowadays without him.	ピーターは妖精のリングの中心に腰をおろして、ピーターなしではすてきなダンスをするなんて思いもよらないことです。
"P. P." is written on the corner of the invitation-cards sent out by all really good families.	本当にいい家からの招待状の隅にはかならず、「Ｐ．Ｐ」（ピーターパン）とかかれていました。
They are grateful little people, too, and at the princess's coming-of-age ball (they come of age on their second birthday and have a birthday every month) they gave him the wish of his heart.	妖精たちは、また感謝の心をもっていて、王女の舞踏会へのデビューのときには（妖精は２才の誕生日にデビューします、そして誕生日は毎月あります）ピーターの望みをかなえてくれるのでした。
The way it was done was this.	その様子はこのようでした。
The Queen ordered him to kneel, and then said that for playing so beautifully she would give him the wish of his heart.	女王がピーターにひざまずくように命じて、それからとてもきれいな笛をふいてくれるなら、なんでもほしいものをあげようといいます。
Then they all gathered round Peter to hear what was the wish of his heart,	妖精たちはみんなピーターのまわりに、何がほしいのか聞くために集まりました。
but for a long time he hesitated,	しかしピーターは長い間迷っていました。
not being certain what it was himself.	自分でも何がほしいのかはっきりしていなかったのです。
"If I chose to go back to mother,"	「もしぼくがおかあさんのところにもどりたいとしたら、」
he asked at last,	とうとうピーターはこうたずねました。
"could you give me that wish?"	「ぼくのお願いをかなえてくれますか？」
Now this question vexed them,	さあ、この質問にはみんな頭を抱えてしまいました。
for were he to return to his mother they should lose his music,	もしピーターがおかあさんの所に帰ってしまったらもう笛の音を聞くことはできませんから。
so the Queen tilted her nose contemptuously and said,	そして女王が鼻をばかにしたようにつんと上を向けると、こういいました。
"Pooh, ask for a much bigger wish than that."	「やれやれ、もっとましなお願いができないものかね」
"Is that quite a little wish?"	「これはほんのささやかなお願いですか？」
he inquired.	ピーターは尋ねました
"As little as this,"	「これくらいささやかだね」
the Queen answered, putting her hands near each other.	女王は両手を近づけて、その小ささを示しながら答えました。
"What size is a big wish?"	「どれくらいの大きさなら、大きな願いといえるんですか？」
he asked.	とピーターが尋ねると、
She measured it off on her skirt	女王はスカートの上でその大きさを示しました。
and it was a very handsome length.	それはとても大きいものでした。
Then Peter reflected and said,	そしてピーターはよく考えて、言いました。
"Well, then, I think I shall have two little wishes instead of one big one."	「ええ、じゃあ、１つ大きなお願いをする代わりに２つのささやかなお願いをしたいと思うのですが」
Of course, the fairies had to agree, though his cleverness rather shocked them,	妖精たちはピーターがかしこいのにかなりびっくりはしましたが、もちろん承知せざるをえません。
and he said	そしてピーターは続けました。
that his first wish was to go to his mother,	最初のお願いはおかあさんのところにいくことです。
but with the right to return to the Gardens if he found her disappointing. His second wish he would hold in reserve.	でもおかあさんに会ってがっかりしたときに、公園に帰ってくることを許してもらう２つ目のお願いはしばらく言わないことにしました。
They tried to dissuade him, and even put obstacles in the way.	妖精たちはピーターを思いとどまらせようとして、いろいろ邪魔をしようとさえしました。
"I can give you the power to fly to her house,"	「わたしはおまえに家まで飛んでいく力を与えよう」
the Queen said,	女王は言いました。
"but I can't open the door for you."	「でもドアは開けてやらないよ」
"The window I flew out at will be open,"	「出てきた窓が開いてるでしょう」
Peter said confidently.	ピーターは自信をもって言いました。
"Mother always keeps it open in the hope that I may fly back.	「おかあさんはぼくが戻ってくると思って、窓をいつも開けておいてくれるんだ」
"How do you know?"	「どうしてそんなことがわかるんだい？」
they asked, quite surprised,	妖精たちは、とても驚いてたずねました。
and, really, Peter could not explain how he knew.	そして実際ピーターにも、どうしてわかるのかは説明できませんでした。
"I just do know,"	「わかるんだい」
he said.	ピーターはいいはりました。
So as he persisted in his wish, they had to grant it.	そしてピーターは自分の願いもいいはったので、願いを聞かないわけにはいきません。
The way they gave him power to fly was this:	飛ぶ力を与える方法は、
They all tickled him on the shoulder,	妖精がピーターの肩のあたりをくすぐることでした。
and soon he felt a funny itching in that part and then up he rose higher and higher	そしてピーターが肩の辺りにむずむずするものを感じると、だんだん空高く飛び上がりました。
and flew away out of the Gardens and over the house-tops.	そして公園から飛び出して家の屋根を越えていきました。
It was so delicious that instead of flying straight to his old home he skimmed away over St. Paul's to the Crystal Palace and back by the river and Regent's Park,	自分の家までまっすぐ飛んでいくのではなく、セント・ポールをかすめて飛び越えて、クリスタルパレスへ行って、川へもどり、リージェント公園へ飛んで行くのは楽しいことでした。
and by the time he reached his mother's window he had quite made up his mind that his second wish should be to become a bird.	ピーターがおかあさんの窓のところまでたどりついた時には、２つ目のお願いは鳥になることとすっかり決めていたぐらいでした。
The window was wide open,	窓は大きく外に開かれていました。
just as he knew it would be,	まさにピーターがそう思った通りです。
and in he fluttered, and there was his mother lying asleep.	そしてピーターは羽ばたいて中に入り、そこではおかあさんがねむっていました。
Peter alighted softly on the wooden rail at the foot of the bed and had a good look at her.	ピーターはベッドの足の方の木製の枠の上にゆっくり降り立つと、おかあさんにやさしく目をやりました。
She lay with her head on her hand, and the hollow in the pillow was like a nest lined with her brown wavy hair.	おかあさんは腕にあたまをのせて、まくらのへこんだところは鳥の巣みたいで、おかあさんのブラウンの波打った髪で縁取られていました。
He remembered, though he had long forgotten it, that she always gave her hair a holiday at night.	ピーターは、長い間忘れていましたが、おかあさんが夜はいつも髪をしばらないのを思い出しました。
How sweet the frills of her night-gown were.	おかあさんのナイトガウンのフリルは、なんてすばらしいんでしょう。
He was very glad she was such a pretty mother.	ピーターは、自分のおかあさんがこんなに素敵なおかあさんであることをとても喜びました。
But she looked sad,	でもおかあさんは悲しげにみえました。
and he knew why she looked sad.	ピーターには、どうしておかあさんが悲しげにみえるのか分かっていました。
One of her arms moved as if it wanted to go round something,	片腕がまるで何かを抱くように動きました。
and he knew what it wanted to go round.	ピーターには、何を抱こうとしているのか分かっていました。
"Oh, mother,"	「あぁ、おかあさん」
said Peter to himself,	ピーターはつぶやきました。
"if you just knew who is sitting on the rail at the foot of the bed."	「もしベッドの足の枠のところに座っているのが、だれかわかりさえすればねぇ」
Very gently he patted the little mound that her feet made,	ピーターは、おかあさんの足の少し盛り上がっているところをとてもやさしくなでました。
and he could see by her face that she liked it.	そしておかあさんがそれを喜んでいることが顔をみていてわかりました。
He knew he had but to say "Mother" ever so softly, and she would wake up.	でも「おかあさん」と声に出していうのは、いくらやさしく言ってもおかあさんが起きてしまうのでいけないと思っていました。
They always wake up at once if it is you that says their name.	おかあさんというものは子供に名前を呼ばれれば、いつもすぐに目をさますものですから。
Then she would give such a joyous cry and squeeze him tight.	そしてよろこびのあまりさけんで、きつくピーターをだきしめたことでしょう。
How nice that would be to him,	そうであればピーターにとってもどんなによかったことでしょう。
but oh, how exquisitely delicious it would be to her.	そしておかあさんにとっては、どれほどうれしいことだったでしょう。
That I am afraid is how Peter regarded it.	わたしが心配なのは、ピーターがそれくらいそのことを分かっていたかということでした。
In returning to his mother he never doubted that he was giving her the greatest treat a woman can have.	おかあさんのところに戻るにあたっても、ピーターは自分がおかあさんに女の人としての最大限の喜びを与えているんだということを疑ってみもしませんでした。
Nothing can be more splendid, he thought, than to have a little boy of your own.	ピーターは、自分の子供をもつほどすばらしいことはないと思っていたのでした。
How proud of him they are;	おかあさんというものは、どれほど子供をほこりに思うことでしょう。
and very right and proper, too.	それはたしかに正しいし、当たり前のことでもあるのです。
But why does Peter sit so long on the rail, why does he not tell his mother that he has come back?	でもピーターはなぜそれほど長い間ベッドの枠に座っていたのでしょう、なぜおかあさんに帰ってきたよと声をかけなかったのでしょう？
I quite shrink from the truth,	わたしは、本当のことを言うのはとても気が引けます。
which is that he sat there in two minds.	つまりピーターは、２つのことを考えてそこに座っていたのでした。
Sometimes he looked longingly at his mother, and sometimes he looked longingly at the window.	おかあさんをなつかしげにみている一方で、窓の方もあきらめきれないようにみていたのでした。
Certainly it would be pleasant to be her boy again,	たしかにおかあさんの子供に再び戻るのは、楽しいことに違いありません。
but, on the other hand, what times those had been in the Gardens!	でもその一方で、公園もどれほど楽しかったことでしょう！
Was he so sure that he would enjoy wearing clothes again?	また服をきてもたしかに楽しいかどうか自信がもてませんでした。
He popped off the bed and opened some drawers to have a look at his old garments.	ピーターはベッドを急に離れると、自分の昔の服をみるためにいくつか引出しをあけてみました。
They were still there, but he could not remember how you put them on.	自分の服はまだそこにありましたが、どうやって着るのかはもう思い出せません。
The socks, for instance, were they worn on the hands or on the feet?	たとえば靴下は、手にはめるのかな、足にはくのかなといった具合です。
He was about to try one of them on his hand,	靴下の片方を手にはめようとしていたときです。
when he had a great adventure.	ピーターはびっくりしました。
Perhaps the drawer had creaked;	たぶん引出しが音を立てたのでしょう。
at any rate, his mother woke up,	とにかくおかあさんが起きてしまいました。
for he heard her say "Peter,"	おかあさんが「ピーター」というのが聞こえます。
as if it was the most lovely word in the language.	言葉の中でも一番美しい単語です。
He remained sitting on the floor and held his breath,	ピーターは床にすわりこんだまま、かたずをのんでいました。
wondering how she knew that he had come back.	ピーターはどうして自分がもどってきたことがわかったのか不思議に思っていました。
If she said "Peter" again, he meant to cry "Mother" and run to her.	もしおかあさんが再び「ピーター」と呼んだなら、自分もおかあさんとさけんでおかあさんのところにかけていくつもりでした。
But she spoke no more, she made little moans only,	でもおかあさんはそれ以上ひとこともしゃべらず、ただうめき声をあげただけでした。
and when next he peeped at her she was once more asleep, with tears on her face.	ピーターがのぞきこんだときは、おかあさんはまたねむりこんでいましたが、その顔にはなみだが流れていました。
It made Peter very miserable, and what do you think was the first thing he did?	ピーターはとてもみじめな気持ちになり、そしてどうしたと思います？
