What the Moon Saw	絵のない絵本
"and my beams caused the dark pines to throw long shadows upon the rocks.	「私のひかりが黒い松の長い影を岩々の上になげかけました。
I looked at the pictures of St. Christopher carrying the Infant Jesus that are painted there upon the walls of the houses,	私は、子供のキリストをつれている聖クリストファーの絵が家々のかべに描かれているのをみました。
colossal figures reaching from the ground to the roof.	姿は大きく、地面から屋根までとどくくらいありました。
St. Florian was represented pouring water on the burning house,	絵の中では、聖フロリアンは燃えている家に水をかけてけしていました。
and the Lord hung bleeding on the great cross by the wayside.	キリストは路傍の十字架で血を流しています。
To the present generation these are old pictures, but I saw when they were put up, and marked how one followed the other.	今の時代の人たちには、これは古い絵ですが、わたしはそれらが出来るときから観ているわけです、一軒一軒できていくのを。
On the brow of the mountain yonder is perched, like a swallow's nest, a lonely convent of nuns.	向こうの山のがけの上に、修道尼の修道院が一軒、ツバメの巣のように建っていました。
Two of the sisters stood up in the tower tolling the bell;	尼僧が二人、鐘をならす塔にいました、
they were both young, and therefore their glances flew over the mountain out into the world.	二人ともまだ若く、二人の視線は山を越え町のほうへと流れていきました。
A travelling coach passed by below,	一台の旅馬車が眼下を通り過ぎていきます。
the postillion wound his horn, and the poor nuns looked after the carriage for a moment with a mournful glance,	御者がつのぶえを響き渡らせ、その刹那二人は悲しみにみちた目で馬車を追いました。
and a tear gleamed in the eyes of the younger one.	とくに若い尼僧の両目には涙が光っています。
And the horn sounded faint and more faintly, and the convent bell drowned its expiring echoes."	つのぶえの音はだんだん小さくなり、修道院の鐘がそのひびきを打ち消しました」
TWENTY-THIRD EVENING	第二十三夜
Hear what the Moon told me.	これがお月さまがわたしに話してくれたことです。
"Some years ago, here in Copenhagen, I looked through the window of a mean little room.	「数年前、ここコペンハーゲンで私はみすぼらしい小さな部屋の窓から中をのぞきこんでいました。
The father and mother slept, but the little son was not asleep.	両親は眠りについていましたが、小さな息子は眠っていません。
I saw the flowered cotton curtains of the bed move, and the child peep forth.	ベットの側の綿のカーテンがうごき、子供の顔がのぞきました。
At first I thought he was looking at the great clock,	最初その子が大きな時計を見ているのかと思いました。
which was gaily painted in red and green.	赤と緑にはでに彩られた時計です。
At the top sat a cuckoo, below hung the heavy leaden weights,	上にはカッコーが乗っていますし、下にはとても重い錘がぶら下がっています。
and the pendulum with the polished disc of metal went to and fro, and said 'tick, tick.'	そして金属製の光沢のある丸い振り子が左右にゆれ、『チクタク』と時をきざんでいました。
But no, he was not looking at the clock, but at his mother's spinning wheel, that stood just underneath it.	でも子供がみていたのは時計ではなく、ちょうどその下にあるお母さんの紡ぎ車でした。
That was the boy's favourite piece of furniture,	男の子はそれが大のお気に入りだったのです。
but he dared not touch it,	でもさわる勇気はありませんでした。
for if he meddled with it he got a rap on the knuckles.	なんせちょっとでも触れようとしたら、手を叩かれるのですから。
For hours together, when his mother was spinning, he would sit quietly by her side, watching the murmuring spindle and the revolving wheel,	何時間ものあいだお母さんが糸を紡いでいると、男の子もそのそばで一緒にしずかに座って、糸がつむがれ、車が回るのをみているのでした。
and as he sat he thought of many things.	男の子はすわっていてもいろんなことを考えていました。
Oh, if he might only turn the wheel himself!	えぇ、自分でも糸を紡ぐことができたらとか！
Father and mother were asleep;	両親は寝ていました。
he looked at them, and looked at the spinning wheel,	男の子は両親をみて、そして紡ぎ車をみました。
and presently a little naked foot peered out of the bed,	小さなはだしの足がベットから顔をのぞかせました。
and then a second foot, and then two little white legs.	そしてもう一つの足も、それから二本の白い足がみえました。
There he stood.	立ち上がり、
He looked round once more, to see if father and mother were still asleep	もう一回両親がまだ寝ているかあたりを見回しました。
- yes, they slept;	えぇ寝ています。
and now he crept softly, softly, in his short little nightgown, to the spinning wheel, and began to spin.	それからしずかにしずかに歩をすすめ、丈のみじかい寝巻きのままで、紡ぎ車のところまでやってきました。
The thread flew from the wheel, and the wheel whirled faster and faster.	糸が紡ぎ車からでてきて、紡ぎ車は勢いよくまわりました。
I kissed his fair hair and his blue eyes,	私は男の子の金髪の髪と青い目にくちづけをしました。
it was such a pretty picture.	それはまるで絵のような光景でした」
"At that moment the mother awoke.	「そのとき母親が目をさましました。
The curtain shook, she looked forth,	カーテンがゆれ、彼女はそこをみました。
and fancied she saw a gnome or some other kind of little spectre.	地の精やなにかそういったお化けでもみたのかと思ったのです。
'In Heaven's name!'	『おぉ、神様』
she cried, and aroused her husband in a frightened way.	母親はさけび、父親も驚いて目をさましました。
He opened his eyes, rubbed them with his hands, and looked at the brisk little lad.	目を眠そうにこすって、元気いっぱいの小さな坊やを目にしました。
'Why, that is Bertel,' said he.	『どうしたんだ、ベルテルじゃないか』。
And my eye quitted the poor room,	そして私の目はその部屋から離れました。
for I have so much to see.	というのも私にはみるべきものがたくさんあるわけですから。
At the same moment I looked at the halls of the Vatican, where the marble gods are enthroned.	そしてバチカンの半分あまりを目にしたとき、そこでは大理石の神々があがめられていました。
I shone upon the group of the Laocoon;	私の光がラオコーンの一団をてらしたとき、
the stone seemed to sigh.	その石像はためいきをもらしたかのようでした。
I pressed a silent kiss on the lips of the Muses,	わたしはミューズの唇にかるく口づけをしました。
and they seemed to stir and move.	石像たちは今にも動き出しそうでした。
But my rays lingered longest about the Nile group with the colossal god.	しかし私の光がいちばん長くとどまっていたのは巨大な神々のナイルの一団のところでした。
Leaning against the Sphinx, he lies there thoughtful and meditative,	スフィンクスにもたれかかり、物思いにふけり、瞑想しているかのように横たわっていました。
as if he were thinking on the rolling centuries;	その姿はまるですぎさった月日に想いをはせているかのようです。
and little love-gods sport with him and with the crocodiles.	小さな愛らしい神々がたわむれ、ワニたちもそこで遊んでいました。
In the horn of plenty sat with folded arms a little tiny love-god,	豊穣の角笛の中には、両腕をくんだほんとうに小さな愛らしい神が一人すわっていました。
contemplating the great solemn river	まじめに荘厳な川の神をみていたのです。
-god, a true picture of the boy at the spinning wheel - the features were exactly the same.	その姿は、紡ぎ車をまわしていたあの少年に生き写しでした。
Charming and life-like stood the little marble form,	その小さな大理石の姿は、チャーミングでまるで生きてるかのようでした。
and yet the wheel of the year has turned more than a thousand times since the time when it sprang forth from the stone.	それなのに石から神が飛び出したときから、時の歯車は千回以上もまわっているのです。
Just as often as the boy in the little room turned the spinning wheel had the great wheel murmured,	あの小さな部屋の男の子が紡ぎ車をまわすのと同じだけ、時の歯車も音をたてたのです。
before the age could again call forth marble gods equal to those he afterwards formed.	それも時がのちと同じようなこの石像を再びつくりあげるまで」
"Years have passed since all this happened,"	「こういったことから何年も後のことです」
the Moon went on to say.	お月さまは続けました
"Yesterday I looked upon a bay on the eastern coast of Denmark.	「昨晩、私はデンマークの東岸の湾の上から見下ろしていました。
Glorious woods are there, and high trees, an old knightly castle with red walls, swans floating in the ponds, and in the background appears, among orchards, a little town with a church.	みごとな森、高い木々、赤い壁の古い騎士の城、池の白鳥、背景には果樹園のあいだに教会のある小さな町。
Many boats, the crews all furnished with torches, glided over the silent expanse	多くの舟、舟に乗っている人達はみなたいまつを持っていて、静かな水面をすべっていきました。
- but these fires had not been kindled for catching fish,	しかしこうした火は魚を捕まえるためのものではありません。
for everything had a festive look.	なぜなら全てはお祭りのようでしたから。
Music sounded, a song was sung, and in one of the boats the man stood erect	音楽がなりひびき、歌がきこえ、そうした船の一つに一人の男がすくっと立ち上がっていました。
to whom homage was paid by the rest,	全員が彼に敬意をはらっていました。
a tall sturdy man, wrapped in a cloak.	背の高いたくましい男で、外套に身を包んでいます。
He had blue eyes and long white hair.	青い目をして長い白い髪をなびかせていました。
I knew him,	私はこの男を知っています。
and thought of the Vatican, and of the group of the Nile, and the old marble gods.	バチカンやナイルの一団のこと、そして古き大理石の神々を思い浮かべました。
I thought of the simple little room where little Bertel sat in his night-shirt by the spinning wheel.	小さなベルテルが寝巻きをきて、紡ぎ車の側にすわっていたさっぱりとした小さな部屋を思い浮かべました。
The wheel of time has turned, and new gods have come forth from the stone.	時の歯車がまわって、新しい神々が石から飛び出してきました。
From the boats there arose a shout:	舟からは声があがります
'Hurrah, hurrah for Bertel Thorwaldsen!'"	『ばんざい、ベルテル・トルヴァルセン、ばんざい』」
TWENTY-FOURTH EVENING	第二十四夜
"I will now give you a picture from Frankfort,"	「フランクフルトの絵を見せてあげましょう」
said the Moon.	とお月さま。
"I especially noticed one building there.	「私は一つの建物に特に注意をひきつけられました。
It was not the house in which Goethe was born, nor the old Council House, through whose grated windows peered the horns of the oxen that were roasted and given to the people when the emperors were crowned.	それはゲーテの生まれた家でも、古い議会でもありませんが、その格子窓からは皇帝が王位についたときに人々に与えられる焼かれた雄牛の角がみてとれました。
No, it was a private house,	そうではなく、そこは個人の家でした。
plain in appearance, and painted green.	外見は質素で、緑に塗られていて、
It stood near the old Jews' Street.	ジュー通りにたっています。
It was Rothschild's house.	そこはロスチャイルドの家でした」
"I looked through the open door.	「開いた扉から家の中をみると、
The staircase was brilliantly lighted:	階段のところが明るく照らされていました。
servants carrying wax candles in massive silver candlesticks stood there, and bowed low before an old woman,	召使たちは大きな銀の燭台にろうそくを立て、そこに立って、老婦人の前で低く頭をたれていました。
who was being brought downstairs in a litter.	その老婦人は、籠で階下にはこばれるところでした。
The proprietor of the house stood bare-headed, and respectfully imprinted a kiss on the hand of the old woman.	この家の主人は帽子をぬいでそこに立っており、老婦人の手をとりうやうやしく口づけしました。
She was his mother.	老婦人は母親だったのです。
She nodded in a friendly manner to him and to the servants, and they carried her into the dark narrow street, into a little house,	母親は親しげに主人と召使たちにうなずくと、召使たちは暗くせまい通りへと運び出し、小さな家へ運び込みました。
that was her dwelling.	そこが彼女の住居でした。
Here her children had been born, from hence the fortune of the family had arisen.	そこが子供たちが生まれた場所であり、ここから一家の富が生まれたのです。
If she deserted the despised street and the little house, fortune would also desert her children.	もし老婦人がこのうらぶれた通りと小さな家を見捨てたとしたら、富もまた彼女の子供たちを見捨てたことでしょう。
That was her firm belief."	それが彼女の固い信念でした」
The Moon told me no more;	お月さまはそれ以上何も口にしませんでした。
his visit this evening was far too short.	お月さまの今晩の訪問はごくみじかいものでした。
But I thought of the old woman in the narrow despised street.	でもわたしはあの狭いうらぶれた通りの老婦人に思いをはせました。
It would have cost her but a word, and a brilliant house would have arisen for her on the banks of the Thames	老婦人がたった一言でもいえば、テームズ川の川辺に素敵な家をたてることもできたでしょう。
- a word, and a villa would have been prepared in the Bay of Naples.	またナポリ湾にすてきな別荘を建てる事もできたでしょう。
"If I deserted the lowly house, where the fortunes of my sons first began to bloom, fortune would desert them!"	「もし私がこのみすぼらしい家を見捨てたら、そう、私の息子たちの富が最初に花咲いたこの家を見捨てたら、富は息子たちを見捨てるだろう！」
It was a superstition,	それは迷信に過ぎません。
but a superstition of such a class, that he who knows the story and has seen this picture, need have only two words placed under the picture to make him understand it;	でもそういった類の迷信は、お話を知っていてこの絵を見たものにとっては、理解するためにはたった二言あれば十分です。
and these two words are: "A mother."	そう「一人の母親」と。
TWENTY-FIFTH EVENING	第二十五夜
"It was yesterday, in the morning twiligh"t	「昨晩の黎明（れいめい）のことでした」
- these are the words the Moon told me -	これはお月さまがわたしに言ったことです。
"in the great city no chimney was yet smoking	「大都市でしたが、まだどの煙突からも煙はでていません。
- and it was just at the chimneys that I was looking.	私がみていたのは煙突そのものでした。
Suddenly a little head emerged from one of them,	突然そのうちの一つから小さな頭が姿をのぞかせました。
and then half a body, the arms resting on the rim of the chimney-pot.	それから体が半分、両腕を煙突のへりのところにもたれかからせています。
'Ya-hip! ya-hip!'	『やった、やった』
cried a voice.	と声がします。
It was the little chimney-sweeper,	それは煙突掃除の子供でした。
who had for the first time in his life crept through a chimney, and stuck out his head at the top.	うまれてはじめて煙突にもぐりこんで、てっぺんから頭をのぞかせたわけです。
'Ya-hip! ya-hip'	『やった、やった』
Yes, certainly that was a very different thing to creeping about in the dark narrow chimneys!	えぇ、確かに暗く狭い煙突にもぐりこむのはいままで体験したことのない出来事でした。
the air blew so fresh, and he could look over the whole city towards the green wood.	ふきぬける風は新鮮で、緑の森まで都市全体をみわたすことができました。
The sun was just rising.	ちょうど太陽がのぼってきます。
It shone round and great, just in his face,	朝日がその子の満面をてらします。
that beamed with triumph, though it was very prettily blacked with soot.	顔はとてもかわいらしい具合にすすけてましたが、なんとほこらしげだったことでしょう」
"'The whole town can see me now,'	「まち全部がぼくのことをみてるぞ」
he exclaimed,	その子はさけび、
'and the moon can see me now, and the sun too.	「お月さまも、お日さまもだ。
Ya-hip! ya-hip!'	やった、やった」
And he flourished his broom in triumph."	ほこらしさのあまり、ほうきをふりあげました。
TWENTY-SIXTH EVENING	第二十六夜
"Last night I looked down upon a town in China,"	「昨晩、私は中国のある町を見下ろしていました」
said the Moon.	お月さまは話しはじめます。
"My beams irradiated the naked walls that form the streets there.	「私の光は道をつくっているむきだしの塀をてらしていました。
Now and then, certainly, a door is seen;	ところどころには門がみてとれました。
but it is locked,	でもその門には鍵がかかっています。
for what does the Chinaman care about the outer world?	というのは、中国人は外の世界にはまったく注意を払っていないからでしょう。
Close wooden shutters covered the windows behind the walls of the houses;	家の塀のうしろにある窓には、木製のよろい戸がきちんと閉められています。
but through the windows of the temple a faint light glimmered.	ただお寺の窓をとおしてかすかな光がもれだしていました。
I looked in,	私は中をのぞきこみました。
and saw the quaint decorations within.	そして古風で趣がある内装を目にしました。
From the floor to the ceiling pictures are painted, in the most glaring colours, and richly gilt -  pictures representing the deeds of the gods here on earth.	床から天井に至るまで、まばゆいほどの色とあふれんばかりの金ぱくで絵がえがかれており、絵はこの世での神の行ないをうつしていました。
In each niche statues are placed, but they are almost entirely hidden by the coloured drapery and the banners that hang down.	あらゆる隙間には仏像がかざられ、ただそれらもいろとりどりの幕や旗でほとんど見えないくらいでした。
Before each idol (and they are all made of tin) stood a little altar of holy water, with flowers and burning wax lights on it.	それぞれの神像の前には（すべてすずでつくられたものでしたが）、小さな祭壇があり、聖水に花と炎のゆらめくろうそくがありました。
Above all the rest stood Fo, the chief deity, clad in a garment of yellow silk,	とりわけ最後には最高の神、仏陀が黄色のシルクを身にまとっています。
for yellow is here the sacred colour.	黄色は中国では聖なる色なのです。
At the foot of the altar sat a living being, a young priest.	祭壇の下には一人の人間、若い僧がすわっていました。
for his cheeks glowed and he held down his head.	そのほほには赤みがさし、頭をたれています。
Poor Soui-Hong!	かわいそうなソーホン。
Was he, perhaps, dreaming of working in the little flower garden behind the high street wall?	たぶん高い塀のむこうの小さな花壇で働いている夢でもみているのでしょう。
And did that occupation seem more agreeable to him than watching the wax lights in the temple?	そういった仕事のほうが、お寺でろうそくの火をみているより彼には合っているのでしょうか？
Or did he wish to sit at the rich feast, wiping his mouth with silver paper between each course?	それとも饗宴に座して、出されるもののたびに銀の紙で口をぬぐいたいとでもいうのでしょうか？
Or was his sin so great that, if he dared utter it, the Celestial Empire would punish it with death?	それとももし口にだしたら、天上界の神が死をもって罰するほど彼の罪は大きいのでしょうか？
Had his thoughts ventured to fly with the ships of the barbarians, to their homes in far distant England?	彼の想いは海賊の船にのって空高く舞い上がったのでしょうか、そう遠くはなれた海賊の故郷のイギリスまで？
No, his thoughts did not fly so far,	いいえ、彼の想いはそこまで至っていません。
and yet they were sinful,	それなのに彼の想いは十分罪深いものでした。
sinful as thoughts born of young hearts, sinful here in the temple, in the presence of Fo and the other holy gods.	若い心に浮かんだその想いは罪深く、とくにお寺で、仏陀や他の神聖な神々の前ではそうなのです」
"I know whither his thoughts had strayed.	「私は彼の想いがどこにあったのかを知っています。
At the farther end of the city, on the flat roof paved with porcelain, on which stood the handsome vases covered with painted flowers,	町のはるかはなれた外れに、タイルでおおわれた平らな床があり、そこには花が描かれたすてきな花瓶がありました。
sat the beauteous Pu, of the little roguish eyes, of the full lips, and of the tiny feet.	そしていたずらな目をして、ふっくらとした唇で、小さな足の美しいプーが座っていました。
The tight shoe pained her, but her heart pained her still more.	靴がきついのも彼女を苦しめていましたが、その心はもっと苦しんでいました。
She lifted her graceful round arm, and her satin dress rustled.	彼女がその優雅でまるみをおびた腕をもちあげると、繻子（しゅす）織りの着物が音をたてました。
Before her stood a glass bowl containing four gold-fish.	彼女の前には、金魚鉢にはいった四匹の金魚がいます。
She stirred the bowl carefully with a slender lacquered stick, very slowly,	彼女は金魚鉢を細い漆塗りの棒で、注意深くゆっくりゆっくりかきまぜました。
for she, too, was lost in thought.	というのも、彼女も想いにふけっていたからです。
Was she thinking, perchance, how the fishes were richly clothed in gold, how they lived calmly and peacefully in their crystal world, how they were regularly fed, and yet how much happier they might be if they were free?	ひょっとして彼女もこうした金魚たちが金で着飾ってどんな風かとか、鉢の中で平和で穏やかにくらしているとか、えさをちゃんともらってるかとか、もし自由になったらどれほど幸せになるだろうかと考えていたのでしょうか？
Yes, that she could well understand, the beautiful Pu.	えぇ、美しきプーにはよくわかっていました。
Her thoughts wandered away from her home, wandered to the temple,	彼女の想いも自分の家を遠く離れ、寺院へとさまよっていたのです。
but not for the sake of holy things.	ただ寺院の聖なるもののためではありません。
Poor Pu!	かわいそうなプー、
Poor Soui-hong!	そしてかわいそうなソーホン」
"Their earthly thoughts met, but my cold beam lay between the two, like the sword of the cherub."	「この世での二人の想いはめぐり会いましたが、私の冷たい光が天使の剣のようにその想いのあいだにあったのです」
TWENTY-SEVENTH EVENING	第二十七夜
"The air was calm,"	「ここちよい夜でした」
said the Moon;	お月さまはそう話をしました。
"the water was transparent as the purest ether through which I was gliding, and deep below the surface I could see the strange plants that stretched up their long arms towards me like the gigantic trees of the forest.	「水はすみきった大気のように透明で、そこを私はすべっていき、水面から深いところでは奇妙な植物が、その長い触手を私の方へまるで森の巨大な木のようにのばしていました。
The fishes swam to and fro above their tops.	魚たちがそのてっぺんをあちこち泳いでいます。
High in the air a flight of wild swans were winging their way,	空たかく白鳥の群れがとんでいました。
one of which sank lower and lower, with wearied pinions,	そのうちの一羽が疲れきって、だんだん落ちて行きます。
his eyes following the airy caravan, that melted farther and farther into the distance.	目は軽やかな仲間たちを追っているのですが、その姿はだんだん遠くになっていきます。
With outspread wings he sank slowly, as a soap bubble sinks in the still air, till he touched the water.	つばさを精一杯広げ、ゆっくりと白鳥は水面まで落ちて行きました。
At length his head lay back between his wings, and silently he lay there, like a white lotus flower upon the quiet lake.	とうとう白鳥の頭は羽のあいだにうもれ、しずまりかえった湖の蓮の白い花のように、白鳥はしずかによこたわりました。
And a gentle wind arose, and crisped the quiet surface,	そこにゆるやかな風がふき、しずまりかえった水面にさざなみが立ちました。
which gleamed like the clouds that poured along in great broad waves;	さざなみは大きな波のなかでただよう雲のように光りました。
and the swan raised his head, and the glowing water splashed like blue fire over his breast and back.	そして白鳥は頭をあげ、その胸と背中のまわりで水が青い炎のようにしぶきをあげました。
The morning dawn illuminated the red clouds,	朝焼けが雲を赤くそめています。
the swan rose strengthened, and flew towards the rising sun,	白鳥はすくっと姿勢をただし、朝日にむかって飛んでいきます。
towards the bluish coast whither the caravan had gone;	仲間たちが飛んで行った透明に近い青い色をした海岸の方へ。
but he flew alone, with a longing in his breast.	ただ一羽、胸にあこがれをいだき飛んで行きます。
Lonely he flew over the blue swelling billows."	青くうねる大海の上を一羽さびしく飛んで行きます」
TWENTY-EIGHTH EVENING	第二十八夜
"I will give you another picture of Sweden,"	「スウェーデンのようすをお話しましょう」
said the Moon.	とお月さまははじめました
"Among dark pine woods, near the melancholy banks of the Stoxen, lies the old convent church of Wreta.	「暗い松林から、ストックセンの憂鬱な土手の近くに、古いレタ修道院がありました。
My rays glided through the grating into the roomy vaults,	私の光は格子窓から埋葬室へとさしこみました。
where kings sleep tranquilly in great stone coffins.	そこには王たちが大きな石の棺のなかでしずかに眠りについていました。
On the wall, above the grave of each, is placed the emblem of earthly grandeur, a kingly crown;	壁にはそれぞれのお墓の上に、この世での偉大さを表す紋章、王族の冠がついていました。
but it is made only of wood, painted and gilt, and is hung on a wooden peg driven into the wall.	ただそれは木で作られ、金めっきされたもので、壁に打ちつけられた木の掛けくぎにぶらさげられているものでした。
The worms have gnawed the gilded wood, the spider has spun her web from the crown down to the sand, like a mourning banner, frail and transient as the grief of mortals.	虫たちが金めっきされた木をかじっており、クモが冠から地面までまるで半旗のように巣をはり、死の悲しみのようにもろくはかないようすでした。
How quietly they sleep!	なんと静かな眠りでしょう。
I can remember them quite plainly.	そのようすをありありと思い浮かべることができます。
I still see the bold smile on their lips, that so strongly and plainly expressed joy or grief.	かれらの唇にうかんだ不敵な笑み、喜びや悲しみをはっきりありありと示していました。
When the steamboat winds along like a magic snail over the lakes, a stranger often comes to the church, and visits the burial vault;	蒸気船が湖を魔法のかたつむりのようにわたるとき、旅行者が修道院にやってきて、埋葬室を訪れます。
he asks the names of the kings, and they have a dead and forgotten sound.	王たちの名をたずね、死者の忘れられた名前を耳にするのです。
He glances with a smile at the worm-eaten crowns, and if he happens to be a pious, thoughtful man, something of melancholy mingles with the smile.	虫食いのある王冠をみて微笑み、もしたまたま敬虔ぶかく思慮のある人なら、その笑みにどこか物悲しいようすが見られることでしょう。
Slumber on, ye dead ones!	眠れよ、死者たち。
The Moon thinks of you, the Moon at night sends down his rays into your silent kingdom, over which hangs the crown of pine wood."	月が見守り、夜の月がおまえたちの静かな王国に、松林の上を越えて光をなげかけると」
TWENTY-NINTH EVENING	第二十九夜
"Close by the high-road,"	「本街道の近くに」
said the Moon,	お月さまは物語をはじめました。
"is an inn, and opposite to it is a great waggon-shed,	「一軒の宿があり、その向かいには大きな馬車置き場がありました。
whose straw roof was just being re-thatched.	そのわらぶき屋根はちょうどふきなおされているところでした。
I looked down between the bare rafters and through the open loft into the comfortless space below.	私は小屋の枠組みのあいだから顔をのぞかせ、屋根裏部屋からその下のわびしい場所をながめました。
The turkey-cock slept on the beam, and the saddle rested in the empty crib.	梁では七面鳥が眠っており、からのかいば桶には鞍がおかれていました。
In the middle of the shed stood a travelling carriage;	小屋のまんなかには旅行馬車が一台とまっていました。
the proprietor was inside, fast asleep, while the horses were being watered.	その馬車の持ち主は中にいて、ぐっすり眠りについており、馬たちには水が与えられていました。
The coachman stretched himself, though I am very sure that he had been most comfortably asleep half the last stage.	御者は体をおもいっきりのばし、私が思うにはついさきほどの旅程の半分で気持ちよくうつらうつらとしていたに違いありません。
The door of the servants' room stood open, and the bed looked as if it had been turned over and over;	召使の部屋のドアは開けっぱなしで、ベッドは何度もひっくりかえったかのようで、
the candle stood on the floor, and had burnt deep down into the socket.	ろうそくは床に立っており、ずいぶん燃えていました。
The wind blew cold through the shed:	小屋を風がふきぬけ、
it was nearer to the dawn than to midnight.	夜分をすぎて夜明けが近くなっていました。
In the wooden frame on the ground slept a wandering family of musicians.	地面におかれた木のベッドでは音楽の巡業の一家が眠りについていました。
The father and mother seemed to be dreaming of the burning liquor that remained in the bottle.	両親はボトルにのこっていたきついお酒の夢をみているようでした。
The little pale daughter was dreaming too,	小さな青白い顔をした娘も夢をみていました。
for her eyes were wet with tears.	というのも彼女の目は涙にぬれていたからです。
The harp stood at their heads, and the dog lay stretched at their feet."	頭のところにはハープがあり、足元では犬がだらんと寝転がっていました」
THIRTIETH EVENING	第三十夜
"It was in a little provincial town,"	「それは小さな地方都市でのことでした」
the Moon said;	お月さまはそう口火をきりました。
"it certainly happened last year, but that has nothing to do with the matter.	「確かに昨年のことですが、とくに昨年ということに関係あるわけじゃありません。
I saw it quite plainly.	私はそれをはっきりと目にしました。
To-day I read about it in the papers, but there it was not half so clearly expressed.	今日新聞でそのことを読んだのですが、半分も物事は明らかになっていません。
In the taproom of the little inn sat the bear leader, eating his supper;	小さな宿屋のバーに、熊使いが腰を下ろして夕食をとっていました。
the bear was tied up outside, behind the wood pile	熊は外で木のくいにつながれています。
- poor Bruin,	かわいそうな熊のブルーイン。
who did nobody any harm, though he looked grim enough.	何の害も与えないのに、まぁ十分獰猛に見えたのはたしかですが。
Up in the garret three little children were playing by the light of my beams;	屋根裏部屋では三人の子供が私の光をあびて遊んでいました。
the eldest was perhaps six years old, the youngest certainly not more than two.	一番年上が六才で、一番小さいのがたぶんニ才くらいでしょう。
'Tramp, tramp'	『ドシン、ドシン』
- somebody was coming upstairs:	誰かが二階に上がってきました。
who might it be?	だれでしょう？
The door was thrust open	ドアが押されて開きました。
- it was Bruin, the great, shaggy Bruin!	ブルーインです、大きな毛むくじゃらのブルーイン。
He had got tired of waiting down in the courtyard, and had found his way to the stairs.	庭でまってるのにうんざりして、階段を上る道をみつけたのでした。
I saw it all,"	私はなにもかも見ていました」
said the Moon.	とお月さまは続けました。
"The children were very much frightened at first at the great shaggy animal;	「子供たちは最初は大きなけむくじゃらの動物をみて、びっくりぎょうてんして、
each of them crept into a corner,	三人とも隅の方で縮こまっていました。
but he found them all out, and smelt at them, but did them no harm.	だけど熊はすぐに子供たちをみつけだし、においをくんくんかぎましたが、なんら危害をくわえるようなことはしません。
'This must be a great dog,'	『これは大きな犬にちがいないよ』
they said, and began to stroke him.	子供たちは口々にいい、熊をなではじめました。
He lay down upon the ground, the youngest boy clambered on his back, and bending down a little head of golden curls, played at hiding in the beast's shaggy skin.	熊は床に横たわり、一番小さい子がその背中にのぼりって、その小さな金髪の頭を隠し、熊の毛むくじゃらの体の中に隠れて遊びました。
Presently the eldest boy took his drum, and beat upon it till it rattled again;	そのとき一番年上のこどもがたいこを持ち出してきて、ぼんぼこ叩きはじめました。
the bear rose upon his hind legs, and began to dance.	熊は後ろ足でたちあがり、踊りはじめました。
It was a charming sight to behold.	みているとすっかり楽しくなるような光景でした。
Each boy now took his gun, and the bear was obliged to have one too,	子供たちはみな銃を持ち、熊もひとつもたされました。
and he held it up quite properly.	熊は銃をちゃんともつことができました。
Here was a capital playmate they had found;	子供たちはすばらしい遊び友達をみつけたのです。
and they began marching - one, two; one, two.	みんなで行進をはじめました、おいっちに、おいっちに」
"Suddenly some one came to the door, which opened,	「とつぜん誰かがドアのところにやってきて、ドアを開けました。
and the mother of the children appeared.	子供たちの母親が姿をあらわしました。
You should have seen her in her dumb terror, with her face as white as chalk, her mouth half open, and her eyes fixed in a horrified stare.	すっかり口もきけないほどびっくりしてしまい、顔からさっと血の気がひき、口は半開きで、目はおそろしい光景を凝視しています。
But the youngest boy nodded to her in great glee, and called out in his infantile prattle,	でも一番ちいさな子供が大喜びでお母さんにうなづき、子供らしい口調ではなしかけました。
'We're playing at soldiers.'	『兵隊ごっこをやってるんだ』、
And then the bear leader came running up."	そして熊使いも階段をのぼってきました」
THIRTY-FIRST EVENING	第三十一夜
The wind blew stormy and cold,	風がびゅんびゅん冷たくふきました。
the clouds flew hurriedly past;	雲はすごい勢いで流れて行きました。
only for a moment now and then did the Moon become visible.	お月さまがその隙間から顔をのぞかせたときです。
He said,	こう切り出しました
