PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
and strange to say it was Hook who told them to belay their violence.	そして奇妙なことに海賊たちの暴力を制したのは、フックでした。
His lip was curled with malicious triumph.	悪意に満ちた勝利の笑みで、フックのくちびるはゆがんでいます。
While his dogs were merelyf sweating because every time they tried to pack the unhappy lad tight in one part he bulged out in another,	フックの手下どもが汗だくになっている間、というのもかわいそうなスライトリーはある所でぎゅっとしばると他の所がふくれるのでした。
Hook's master mind had gone far beneath Slightly's surface,	フックの興味を引いたのは、スライトリーの外見上の問題ではなく、もっと深いところの問題でした。
probing not for effects but for causes;	結果ではなく、原因をさぐっており、
and his exultation showed that he had found them.	フックの勝ち誇った様子からはその原因がわかったみたいでした。
Slightly, white to the gills, knew that Hook had surprised [discovered] his secret,	スライトリーはフックが自分の秘密を暴いたことを知り、すっかり真っ青になりました。
which was this,	その秘密とはこういうことです。
that no boy so blown out could use a tree wherein an average man need stick.	普通の人でも押し込むのに棒が必要な木なのに、こんなにふくれた男の子が入れるはずがないではありませんか。
Poor Slightly, most wretched of all the children now,	かわいそうなスライトリー、今やコドモ達みんなの中でも一番惨めな気持ちでいます。
for he was in a panic about Peter, bitterly regretted what he had done.	ピーターのことが心配でうろたえており、とにかく自分がしたことを深く反省したのでした。
Madly addicted to the drinking of water when he was hot, he had swelled in consequence to his present girth,	暑いときに狂ったように水を飲んだので、水ぶくれして今の寸法になってしまったのです。
and instead of reducing himself to fit his tree he had, unknown to the others, whittled his tree to make it fit him.	そしてスライトリーは自分の木にあうようにダイエットするかわりに、他の男の子たちには内緒で、木を削ったのでした。
Sufficient of this Hook guessed to persuade him	フックが考えるには、これで十分でした。
that Peter at last lay at his mercy,	ピーターをついに自分の思うようにすることができるのです。
but no word of the dark design that now formed in the subterranean caverns of his mind crossed his lips;	でも心の奥底に抱いた悪だくみを口には一言も出さず、
he merely signed that the captives were to be conveyed to the ship, and that he would be alone.	ただ捕虜を船まで運ぶように、そして自分を一人にするようにと命令しました。
How to convey them?	どうやって運んだものでしょう？
Hunched up in their ropes they might indeed be rolled down hill like barrels, but most of the way lay through a morass.	コドモ達はロープで縛り上げられていますから、樽みたいに丘を転がしてもいいところですが、道のりのほとんどは沼地でした。
Again Hook's genius surmounted difficulties.	再びフックのひらめきが問題を解決します。
He indicated that the little house must be used as a conveyance.	小さい家につめこんで運べるはずだと指示しました。
The children were flung into it, four stout pirates raised it on their shoulders, the others fell in behind,	コドモ達は家に放り込まれ、４人の頑丈な海賊が家を肩に担いで、他のものは後に続きます。
and singing the hateful pirate chorus the strange procession set off through the wood.	そして嫌な気分にさせる海賊の歌を歌いながら、奇妙な行列が森へと出発しました。
I don't know whether any of the children were crying;	コドモ達で泣いているものがいたかはわかりません。
if so, the singing drowned the sound;	でももし泣いていても、歌声がかき消してしまったでしょう。
but as the little house disappeared in the forest, a brave though tiny jet of smoke issued from its chimney as if defying Hook.	しかし小さな家が森に姿を消すときに、まるでフックをバカにするように、煙突から勇敢なほんのひとすじの煙を噴き出しました。
Hook saw it, and it did Peter a bad service.	ただフックがそれを見たのは、ピーターにとっては良くないことでした。
It dried up any trickle of pity for him that may have remained in the pirate's infuriated breast.	それは、フックの怒りが煮えたぎる胸の内に残っていたかもしれない哀れみの気持ちの一滴をもすっかり蒸発させたのです。
The first thing he did on finding himself alone in the fast falling night was to tiptoe to Slightly's tree,	すっかり暮れていく夕闇のなかで、一人きりのフックが最初にしたことは、スライトリーの木へ忍びよることでした。
and make sure that it provided him with a passage.	そして自分が通れるかどうか確かめ、
Then for long he remaine brooding;	それから長い間深く考えこみました。
his hat of ill omen on the sward, so that any gentle breeze which had arisen might play refreshingly through his hair.	縁起の悪い帽子を芝生の上におき、そよ風がフックの髪をさわやかに吹きぬけていきました。
Dark as were his thoughts his blue eyes were as soft as the periwinkle.	邪悪な考えに染まっていたにもかかわらず、フックの青い目ときたらタマキビ貝のような落ち着いた色合いでした。
Intently he listened for any sound from the nether world, but all was as silent below as above;	地下の家からなにか物音がしないかと聞き耳をたてましたが、地上と同じように地下も全く静かなものでした。
the house under the ground seemed to be but one more empty tenement in the void.	地下の家は、だれもいないまったくの空家みたいに思えました。
Was that boy asleep, or did he stand waiting at the foot of Slightly's tree, with his dagger in his hand?	あいつは寝てるんだろうか、それともスライトリーの木の下で手に短剣を握り締めて待ち構えているのだろうか？
There was no way of knowing, save by going down.	それを知るには、降りて行く他ありません。
Hook let his cloak slip softly to the ground,	フックは、マントを静かに脱ぐと地面に置きました。
and then biting his lips till a lewd blood stood on them, he stepped into the tree.	そして汚らわしい血がにじむほど強くくちびるをかみしめて、木の中に足を踏み入れたのです。
He was a brave man, but for a moment he had to stop there and wipe his brow, which was dripping like a candle.	フックは勇敢な男ですが、しばらくそこにとどまって、ろうそくのろうのように流れ落ちる額の汗をぬぐわなければなりません。
Then, silently, he let himself go into the unknown.	それから静かに未知の世界に足を踏み入れました。
He arrived unmolested at the foot of the shaft, and stood still again,	フックは労せず穴の下までたどり着き、ふたたび静かに立ちつくします。
biting at his breath, which had almost left him.	激しく息をして、ほとんど息も絶え絶えといったようすでした。
As his eyes became accustomed to the dim light various objects in the home under the trees took shape;	フックの目が薄暗い明かりに慣れてくると、地下の家のいろいろなモノの形がはっきりしてきました。
but the only one on which his greedy gaze rested, long sought for and found at last, was the great bed.	フックの目は、たったひとつのもの、長い間捜し求め、とうとう見つけた大きなベッドに釘付けです。
On the bed lay Peter fast asleep.	ベッドの上では、ピーターがぐっすり寝ていました。
Unaware of the tragedy being enacted above, Peter had continued, for a little time after the children left, to play gaily on his pipes:	地上で演じられていた悲劇には全く気づかず、ピーターは子供たちが行ってしまったあともしばらく愉快そうに笛を吹いていました。
no doubt rather a forlorn attempt to prove to himself that he did not care.	別に一人きりでも全然気にならないや、と自分に言い聞かせるみたいに笛を吹いたのです。
Then he decided not to take his medicine, so as to grieve Wendy.	それからウェンディをがっかりさせるために、薬は飲まないことにしました。
Then he lay down on the bed outside the coverlet, to vex her still more;	あとウェンディをもっといらいらさせるために、上布団をかけずにベッドに横になりました。
for she had always tucked them inside it,	ウェンディは、いつもみんなを上布団の中に押し込んだものでした。
because you never know that you may not grow chilly at the turn of the night.	みんなは知らないでしょうけど、夜になって寒くならないとも限らないからです。
Then he nearly cried;	それからピーターは、泣きそうになりましたが、
but it struck him how indignant she would be if he laughed instead;	その代わりに笑ったら、どんなにウェンディが腹をたてるかと考えついたので、
so he laughed a haughty laugh and fell asleep in the middle of it.	なまいきそうに笑って、笑いながら眠りに落ちました。
Sometimes, though not often, he had dreams,	時々、しばしばというわけではありませんが、ピーターは夢をみます。
and they were more painful than the dreams of other boys.	その夢は他の男の子の夢と比べると、苦痛に満ちたものでした。
For hours he could not be separated from these dreams, though he wailed piteously in them.	ピーターは夢の中でおいおい泣きますが、何時間も夢からさめないのです。
They had to do, I think, with the riddle of his existence.	わたしが思うに、その夢こそがピーターが存在する謎と関係があるのでしょう。
At such times it had been Wendy's custom to take him out of bed	そんな時には、ウェンディがピーターをベッドから起こします。
and sit with him on her lap, soothing him in dear ways of her own invention,	そして自分のひざの上で、ウェンディ独特のやさしいやり方でピーターを落ち着かせます。
and when he grew calmer to put him back to bed before he quite woke up,	そしてピーターが落ち着いてくると、すっかり目を覚ます前にベッドにもどすのでした。
so that he should not know of the indignity to which she had subjected him.	だからピーターは、ウェンディが彼にしてくれた恥ずかしいことは全く知らずにすみました。
But on this occasion he had fallen at once into a dreamless sleep	ただ、今回はピーターは夢を見るひまもなく、すぐに眠りに落ちました。
One arm dropped over the edge of the bed, one leg was arched, and the unfinished part of his laugh was stranded on his mouth, which was open, showing the little pearls.	片腕をベッドの端から垂らし、片足は立てひざで、口には笑いのあとがただよい、口が開いたままで真珠のような歯がみえていました。
Thus defenceless Hook found him.	フックは、この無防備なピーターを見つけたのです。
He stood silent at the foot of the tree looking across the chamber at his enemy.	フックは木の根元に立ちつくし、部屋の向こうにいる敵に目をやりました。
Did no feeling of compassion disturb his sombre breast?	哀れみの情がフックの暗い心を押しとどめなかったでしょうか？
The man was not wholly evil;	フックは根っからの悪人というわけではありません。
he loved flowers (I have been told) and sweet music (he was himself no mean performer on the harpsichord);	フックは花をそして美しい音楽を愛していました（花に関してはそう聞きましたし、フック自身、正真正銘のハープシコード奏者だったのです）。
and, let it be frankly admitted, the idyllic nature of the scene stirred him profoundly.	そして、正直に言えば、その場の幸せそうな雰囲気は、フックの心を深く揺り動かしました。
Mastered by his better self he would have returned reluctantly up the tree,	心の中の良い部分が勝利をおさめ、しぶしぶながら木を登ろうとしたのです。
but for one thing.	ただ一つ、それを押しとどめたものがありました。
What stayed him was Peter's impertinent appearance as he slept.	フックを押しとどめたのは、寝てる時でも生意気なピーターの姿でした。
The open mouth, the drooping arm, the arched knee:	口をあけて、手を垂らし、たてひざで、
they were such a personification of cockiness	なまいきを姿で表すとしたらこうなるというぐらいのものです。
as, taken together, will never again, one may hope, be presented to eyes so sensitive to their offensiveness.	全部がそろっているなんて、無礼な態度にうるさい人の目に入らないことを願うばかりです。
They steeled Hook's heart.	そんな態度が、フックの心を非情なものにしました。
If his rage had broken him into a hundred pieces every one of them would have disregarded the incident, and leapt at the sleeper.	もしフックの体が怒りのあまりいくつもの破片にばらばらになっても、そのひとつひとつがばらばらになったことなんて気にせずに、寝ているピーターに飛びかかったことでしょう。
Though a light from the one lamp shone dimly on the bed, Hook stood in darkness himself,	ただ一つのランプの明かりがベッドをぼんやり照らし、フックは暗闇に立ちつくしていました。
and at the first stealthy step forward he discovered an obstacle,	静かに最初の一歩を踏み出すと、障害物にぶつかりました。
the door of Slightly's tree.	スライトリーの木のドアです。
It did not entirely fill the aperture, and he had been looking over it.	そのドアにはわずかながらスキマがあったので、のぞくことができました。
Feeling for the catch, he found to his fury that it was low down, beyond his reach.	取っ手をさがしましたが、腹立たしいことに、手が届かないほど低い位置についています。
To his disordered brain it seemed then that the irritating quality in Peter's face and figure visibly increased,	怒りのあまり頭がくらくらして、ピーターの顔と姿がいよいよいらいらさせるように目に映ります。
and he rattled the door and flung himself against it.	フックはドアをガタガタさせると、体ごとドアにぶつかりました。
Was his enemy to escape him after all?	フックの宿敵は、結局逃げおおせたのでしょうか？
But what was that?	あれはなんだ？
The red in his eye had caught sight of Peter's medicine standing on a ledge within easy reach.	フックの燃えるような赤い目に、ピーターの薬がすぐ手に届く棚の上にあるのが映りました。
He fathomed what it was straightaway, and immediately knew that the sleeper was in his power.	フックはすぐにそれが何であるかがわかり、寝ているやつの命運が自分の手中にあることを悟ったのでした。
Lest he should be taken alive, Hook always carried about his person a dreadful drug,	生きながらとらわれの身にならないよう、フックは肌身はなさず毒薬をもっていました。
blended by himself of all the death- dealing rings that had come into his possession.	自分の手に入った致死量にいたるもの全てを、自分自身で混ぜ合わせたのでした。
These he had boiled down into a yellow liquid quite unknown to science, which was probably the most virulent poison in existence.	フックが黄色い液体に煮詰めた毒薬は、科学的にも不明なもので、たぶん存在するものの中で一番の猛毒だったでしょう。
Five drops of this he now added to Peter's cup.	これを５滴、ピーターのコップに垂らしました。
His hand shook, but it was in exultation rather than in shame.	手は震えましたが、恥ずかしさのためというよりは喜びのあまりです。
As he did it he avoided glancing at the sleeper,	毒薬を垂らしたとき、寝ているやつの方は見ませんでした。
but not lest pity should unnerve him; merely to avoid spilling.	それも同情のあまり心が痛むからというよりは、単に毒薬をこぼさないようにといった理由からです。
Then one long gloating look he cast upon his victim, and turning, wormed his way with difficulty up the tree.	それから満足していけにえにじっくり目をやると、きびすをかえし、手探りでやっとのことで木を登りました。
As he emerged at the top he looked the very spirit of evil breaking from its hole.	木の上から姿をあらわしたフックは、まるで悪魔の霊が住んでる穴から姿をあらわしたかのようでした。
Donning his hat at its most rakish angle, he wound his cloak around him, holding one end in front as if to conceal his person from the night,	しゃれて斜めに帽子をかぶると、マントをはおり、夜から姿を隠すようにマントの端を前でおさえました。
of which it was the blackest part, and muttering strangely to himself, stole away through the trees.	夜の闇のなかでもフックがひときわ暗くて、なにやらつぶやきながら木々の間に姿を消しました。
Peter slept on.	ピーターはぐっすり寝ていました。
The light guttered [burned to edges] and went out, leaving the tenement in darkness;	明かりが燃え尽きて消え、部屋は真っ暗になりました。
but still he slept.	でもピーターは目を覚ましません。
It must have been not less than ten o'clock by the crocodile,	ワニの時刻によれば、１０時にはなっていたでしょう。
when he suddenly sat up in his bed, wakened by he knew not what.	ピーターはなにかに起こされて、突然ベッドに座りなおしました。
It was a soft cautious tapping on the door of his tree.	ピーターを起こしたのは、ピーターの木のドアを静かに慎重に叩く音でした。
Soft and cautious, but in that stillness it was sinister.	静かにそして慎重に、でも静まりかえっていたので不吉な感じがしました。
Peter felt for his dagger till his hand gripped it.	ピーターは、短剣を握り締めるまであたりをさぐり、
Then he spoke.	それから口を開きました。
"Who is that?"	「だれだ？」
For long there was no answer:	しばらく答えがありません、
then again the knock.	それから再びノックが響きました。
"Who are you?"	「だれだい？」
No answer.	答えはありません。
He was thrilled,	ピーターはスリルを感じました。
and he loved being thrilled.	スリルを感じるのがなにより好きなのでした。
In two strides he reached the door.	大また２歩でドアまで行きます。
Unlike Slightly's door, it filled the aperture [opening], so that he could not see beyond it,	スライトリーのドアとは違って、ピーターのドアには隙間はありませんから、向こうは見えません。
nor could the one knocking see him.	もちろんノックしている相手にもピーターの姿は見えませんでした。
"I won't open unless you speak,"	「口をきかない限り入れないよ」
Peter cried.	ピーターは叫びました。
Then at last the visitor spoke,	それからとうとう訪問者は口を開きました。
in a lovely bell-like voice.	鈴がひびくような美しい声でした。
"Let me in, Peter."	「入れてちょうだい、ピーター」
It was Tink, and quickly he unbarred to her.	ティンクだったので急いでドアを開けてやると、
She flew in excitedly,	ティンクは興奮して飛びこんできました。
her face flushed and her dress stained with mud.	その顔は紅潮しており、着てるものときたら泥だらけでした。
"What is it?"	「何事だい？」
"Oh, you could never guess!"	「わかりゃしないでしょうね！」
she cried, and offered him three guesses.	といって、三回であててごらんなさいなんて言いました。
"Out with it!"	「話せ！」
he shouted, and in one ungrammatical sentence, as long as the ribbons that conjurers [magicians] pull from their mouths, she told of the capture of Wendy and the boys.	ピーターが声を荒げると、ティンク文法的にはめちゃくちゃで、手品師が口からだすリボンのようにとりとめなく延々と、ウェンディと男の子たちがつかまったてんまつを話したのでした。
Peter's heart bobbed up and down as he listened.	聞いていて、ピーターの心は上下に波打ちました。
Wendy bound, and on the pirate ship;	ウェンディが縛られて、海賊船に乗せられてるだって。
she who loved everything to be just so!	あんなに全てがきちんとしているのが好きなウェンディが！
"I'll rescue her!"	「助けなきゃ！」
he cried, leaping at his weapons.	ピーターは叫んで武器を手にしました。
As he leapt he thought of something he could do to please her.	武器を手にして、ふとウェンディを喜ばせることができると思いつきました。
He could take his medicine.	薬をのめばいいんです。
His hand closed on the fatal draught.	ピーターの手は、運命を決めるコップを握りしめました。
"No!"	「だめ！」
shrieked Tinker Bell,	ティンカーベルは悲鳴をあげました。
who had heard Hook mutter about his deed as he sped through the forest.	ティンクは、フックが森を駆け抜けている時に自分がやったことをつぶやいている声を聞いていたのです。
"Why not?"	「どうしたんだい？」
"It is poisoned."	「毒が入っているのよ」
"Poisoned?	「毒だって？
Who could have poisoned it?"	一体誰が入れるんだい？」
"Hook."	「フックよ」
"Don't be silly.	「バカ言うな、
How could Hook have got down here?"	どうやってフックがここまで降りてくるんだ？」
Alas, Tinker Bell could not explain this,	あぁ、ティンカーベルにはどうやって降りてきたかは説明できませんでした。
for even she did not know the dark secret of Slightly's tree.	スライトリーの木に隠された秘密までは知りませんでしたから。
Nevertheless Hook's words had left no room for doubt.	でもフックの言葉は確かでした。
The cup was poisoned.	コップには毒がはいっているのです。
"Besides," said Peter, quite believing himself "I never fell asleep."	「だいたい、僕が寝てたとでもいうのかい」
He raised the cup.	ピーターがコップを持ち上げると、
No time for words now;	もうあれこれ言ってるひまはありません、
time for deeds;	行動するのみです。
and with one of her lightning movements Tink got between his lips and the draught, and drained it to the dregs.	電光石火の動きでティンクはピーターのくちびるとコップの間に割り込むと、薬を全部飲みほしたのでした。
"Why, Tink, how dare you drink my medicine?"	「なぜ、ティンク、わざわざ僕の薬を飲んだりするんだい？」
But she did not answer.	ティンクは答えません。
Already she was reeling in the air.	すでに空中でよろめいていました。
"What is the matter with you?"	「どうしたんだい？」
cried Peter, suddenly afraid.	ピーターは突然恐ろしくなって声を荒げました。
"It was poisoned, Peter,"	「毒なのよ、ピーター」
she told him softly;	ティンクはやさしく言いました。
"and now I am going to be dead."	「私は死ぬわ」
"O Tink, did you drink it to save me?"	「ティンク、僕を助けるために飲んだんだね」
"Yes."	「ええ」
"But why, Tink?"	「でもどうして、ティンク」
Her wings would scarcely carry her now, but in reply she alighted on his shoulder and gave his nose a loving bite.	羽はティンクを支えていられません、でも答えるためにピーターの肩に止まると、ピーターの鼻を軽くかみ、
She whispered in his ear	耳元でこうささやきました。
"You silly ass,"	「すっとっこ、ばか」
and then, tottering to her chamber, lay down on the bed.	そしてよろよろ自分の部屋まで行くと、ベッドに倒れこみました。
His head almost filled the fourth wall of her little room as he knelt near her in distress.	ピーターが悲しみのあまりティンクの側でひざまずくと、小さな部屋の入り口はピーターの頭ですっかりふさがれてしまいました。
Every moment her light was growing fainter;	刻一刻とティンクの光は力を失っていき、
and he knew that if it went out she would be no more.	ピーターは光が消えた時がティンクも死ぬ時だとわかりました。
She liked his tears so much that she put out her beautiful finger and let them run over it.	ティンクはピーターの涙が大好きだったので、そのキレイな指を伸ばして、その上を涙が流れるままにしたのでした。
Her voice was so low that at first he could not make out what she said.	ティンクの声は力なく、最初なにを言っているのか分かりませんでした。
Then he made it out.	でもやっと聞き取ったところでは、
She was saying that she thought she could get well again if children believed in fairies.	もしコドモ達が妖精がいることを信じてくれるなら、また元気になるかもしれない、と言うのです。
Peter flung out his arms.	ピーターは両手を差し伸べました。
There were no children there,	ここにはコドモは一人もいません。
and it was night time;	でも夜だったので、
but he addressed all who might be dreaming of the Neverland,	ネバーランドの夢をみているかもしれないみんなに語りかけたのでした。
and who were therefore nearer to him than you think:	ネバーランドの夢を見てるってことは、あなたが思うより、ずっとピーターの近くにいるものなのです。
boys and girls in their nighties, and naked papooses in their baskets hung from trees.	ねまきを着た男の子たち、女の子たち、木につるされたバスケットの中のすっぽんぽんのあかんぼうたちに語りかけたのです。
"Do you believe?"	「信じるかい？」
he cried.	ピーターは大声でいいました。
Tink sat up in bed almost briskly to listen to her fate.	ティンクはベッドに座りなおすと、きびきびといってもいいくらいの様子で運命に耳を傾けました。
She fancied she heard answers in the affirmative, and then again she wasn't sure.	ティンクの耳には「はい」という返事が聞こえたような気もしたのですが、確信はもてませんでした。
"What do you think?"	「どう？」
she asked Peter.	ティンクは、ピーターにたずねました。
"If you believe," he shouted to them, "clap your hands; don't let Tink die."	「もし信じてるなら、手をたたいて。
Many clapped.	たくさんの拍手です。
Some didn't.	何人かはしてません。
A few beasts hissed.	「しーっ」なんてひどいことまで言うコドモもいました。
The clapping stopped suddenly;	拍手は突然なり止みました。
as if countless mothers had rushed to their nurseries to see what on earth was happening;	まるで大勢の母親が、いったい何事かとばかりにコドモ部屋に駆けつけたみたいでした。
but already Tink was saved.	でもティンクの命は救われました。
First her voice grew strong, then she popped out of bed, then she was flashing through the room more merry and impudent than ever.	最初に声が力を取り戻し、ベッドから跳ね起きると、いつもより一段とうきうきして小生意気そうに部屋をこうこうと照らしました。
She never thought of thanking those who believed, but she would have like to get at the ones who had hissed.	ティンクは、信じてるって拍手をしてくれたコドモ達への感謝の気持ちなんて全然なかったのですが、「しーっ」と言ったコドモ達へは何か仕返ししなきゃと思っていました。
"And now to rescue Wendy!"	「さあ、ウェンディを助けなきゃ！」
The moon was riding in a cloudy heaven when Peter rose from his tree,	ピーターが木から地上へ出た時、曇り空に月が浮かんでいました。
begirt [belted] with weapons and wearing little else, to set out upon his perilous quest.	ピーターはベルトに武器をつけた以外には、ほとんど武器をもたずに、危険な旅へと出発しました。
It was not such a night as he would have chosen.	本当なら出発するような夜ではありません。
He had hoped to fly, keeping not far from the ground so that nothing unwonted should escape his eyes;	ピーターは飛んで行きたい、つまり地面すれすれに飛んで、普通でないものを全て見ておきたかったのです。
but in that fitful light to have flown low would have meant trailing his shadow through the trees, thus disturbing birds and acquainting a watchful foe that he was astir.	ただこんな明るくなったり暗くなったりする明かりのもとで低く飛べば、ピーターの影が木々にかかることになり、鳥たちをざわつかせ、警戒している敵にピーターがきたことを知らせてやるようなものです。
He regretted now that he had given the birds of the island such strange names	ピーターは、いまさらながらこの島の鳥たちにあんな変な名前をつけたことを後悔しました。
that they are very wild and difficult of approach.	おかげで鳥たちは全然人に慣れなくて、近づくことさえ難しいありさまです。
There was no other course but to press forward in redskin fashion,	インディアンみたいにして、進んで行くしかありません。
at which happily he was an adept [expert].	でも都合がいいことに、ピーターはその達人でした。
But in what direction,	でもどちらにいけばいいのでしょうか？
for he could not be sure that the children had been taken to the ship?	ピーターには、コドモ達が海賊船につれて行かれたと確信はできませんでした。
A light fall of snow had obliterated all footmarks;	少し降った雪が、足跡をすっかり消してしまいましたし、
and a deathly silence pervaded the island,	全ての生き物が死んでしまったように、島中がしーんと静まり返っています。
as if for a space Nature stood still in horror of the recent carnage.	まるで大自然がさっきの大虐殺に恐れをなして立ちすくんでいるみたいです。
He had taught the children something of the forest lore that he had himself learned from Tiger Lily and Tinker Bell, and knew that in their dire hour they were not likely to forget it.	ピーターはコドモ達にタイガーリリーやティンカーベルから教わった森でのしきたりを教え込んでいたので、こんな危機迫った状況でも、コドモ達がそれを忘れているハズがないと思いました。
Slightly, if he had an opportunity, would blaze [cut a mark in] the trees, for instance, Curly would drop seeds,	例えばスライトリーは、チャンスを見つければ木にしるしをつけますし、カーリーは種を落として行くでしょう。
and Wendy would leave her handkerchief at some important place.	ウェンディは、ここという場所にハンカチをおとしていくことでしょう。
The morning was needed to search for such guidance,	でもその目印をさがすためには、朝を待たなければなりません。
and he could not wait.	ピーターに待てるわけがありません。
The upper world had called him, but would give no help.	天空に向かって呼びかけもしましたが、助けは得られませんでした。
The crocodile passed him, but not another living thing, not a sound, not a movement;	ワニがわきを通り過ぎて行きましたが、他の生き物は、物音ひとつ、身動きひとつしませんでした。
and yet he knew well that sudden death might be at the next tree, or stalking him from behind.	ピーターにはよくわかっていましたが、次の木の所で後からこっそり忍び寄られ、突然殺されるかもしれないのです。
He swore this terrible oath:	ピーターは誓いを立てました。
"Hook or me this time."	「今度こそ、フックか僕かだ」
Now he crawled forward like a snake, and again erect, he darted across a space on which the moonlight played,	そして蛇みたいに前進したかとおもえば、立ちあがって、月明かりの照らすなかを駆けぬけます。
one finger on his lip and his dagger at the ready.	しーっとでもいうように指を一本くちびるにあて、いつでもこいといった具合に剣をぬいて。
He was frightfully happy.	ピーターは、うれしくてうれしくてたまらないのでした。
Chapter  14       THE PIRATE SHIP	14章　海賊船
One green light squinting over Kidd's Creek, which is near the mouth of the pirate river, marked where the brig, the JOLLY ROGER, lay, low in the water;	海賊川の河口近く、キッド入り江に斜めに射しこむ緑の明かりひとすじが、横帆の２本マストの船、ジョリーロジャース号が停泊している位置を示しています。
a rakish-looking [speedy-looking] craft foul to the hull, every beam in her detestable,	スピードの出そうな船でしたが、船体には海草などがこびりついており、横梁ときたら全部あれほうだいです。
like ground strewn with mangled feathers.	まるで羽がばらばらになって、地面に散らばっているかのようです。
She was the cannibal of the seas, and scarce needed that watchful eye,	この船は、いろいろな海で人食い船として知れ渡り、見張りもいらないくらいでした。
for she floated immune in the horror of her name.	というのもその名をみんなが恐れて、停船しても誰も近づくものはありません。
She was wrapped in the blanket of night, through which no sound from her could have reached the shore.	船は夜のとばりにおおわれて、船からは岸までなにも聞こえてきません。
There was little sound, and none agreeable save the whir of the ship's sewing machine	そもそも音がほとんどしませんでしたし、スメーが向かっているミシンのぶーんという音をのぞけば、耳に心地いいといえるような音は、一切しなかったのでした。
at which Smee sat, ever industrious and obliging, the essence of the commonplace, pathetic Smee.	いつも仕事熱心で、親切で、平凡中の平凡な男、哀れなスメーが、ミシンを動かしていました。
I know not why he was so infinitely pathetic,	わたしにはどうしてスメーがこんなにも哀れなのかわかりません。
unless it were because he was so pathetically unaware of it;	スメー自身が、哀れなほどそのことに気づいてないからでしょうか？
but even strong men had to turn hastily from looking at him,	でも屈強な男たちでさえ、スメーを見ると急いで目をそらしてしまうのです。
and more than once on summer evenings he had touched the fount of Hook's tears and made it flow.	夏の夕べには、一度ならずとフックの涙腺にふれ、涙を流させたことさえありました。
Of this, as of almost everything else, Smee was quite unconscious.	こんなことにも、その他何でもですが、スメーときたら全く気づいていないのです。
A few of the pirates leant over the bulwarks, drinking in the miasma [putrid mist] of the night;	海賊たちの幾人かは、夜の毒気を吸い込み、手すりにもたれかかっていました。
others sprawled by barrels over games of dice and cards;	他のものは、樽のそばに横になって、サイコロ遊びやカード遊びにうつつをぬかしています。
and the exhausted four who had carried the little house lay prone on the deck,	あの小さい家を担いできた４人は疲れ果て、甲板でうつぶせになって寝ています。
where even in their sleep they rolled skillfully to this side or that out of Hook's reach,	その時でさえ、フックの腕の届かないところへと、あちらこちらへ上手に寝返りをうちました。
lest he should claw them mechanically in passing.	もちろんフックが通りがかるとき、何気なく引っかかれたりしないようにです。
Hook trod the deck in thought.	フックは物思いにふけって、甲板をうろうろしていました。
O man unfathomable.	全く想像もつかない男です。
It was his hour of triumph.	いまこそ、フックが勝利の味をかみしめている時でした。
Peter had been removed for ever from his path, and all the other boys were in the brig, about to walk the plank.	ピーターはもう永遠にフックを邪魔することはないし、他の男の子達は全員船に囚われの身で、後はただ板を歩いてもらうばかりです。
It was his grimmest deed since the days when he had brought Barbecue to heel;	こんなにむごい仕打ちをしたのは、バーベキューをひざまづかせた日々以来のことでした。
and knowing as we do how vain a tabernacle is man, could we be surprised had he now paced the deck unsteadily, bellied out by the winds of his success?	でもわたしたちがそうであるように、成功の順風で帆をふくらませるのは、どんなにむなしいものか知っていますから、フックが今甲板ですっかり落ち着きをなくして歩いていても、わたしたちは格別驚きやしません。
But there was no elation in his gait,	でもフックの足どりからは、うれしさはみじんも感じられません。
which kept pace with the action of his sombre mind.	その足どりはフック自身の暗い胸の内と同じで、
Hook was profoundly dejected.	実のところフックは憂鬱な気分だったのでした。
He was often thus when communing with himself on board ship in the quietude of the night.	フックは、静かな夜に船の甲板で深く考え込むと決まっていつもこういう風でした。
It was because he was so terribly alone.	なぜかといえば、フックは孤独だったからです。
This inscrutable man never felt more alone than when surrounded by his dogs.	この謎めいた男は、手下どもに囲まれている時ほどいっそう孤独を感じるのでした。
They were socially inferior to him.	そもそも手下どもとは身分が違いすぎたのです。
Hook was not his true name.	フックというのは、本当の名前ではありません。
To reveal who he really was would even at this date set the country in a blaze;	たとえ今日でも、フックの本名を明かせば国中大騒ぎになることでしょう。
but as those who read between the lines must already have guessed, he had been at a famous public school;	行間を読む方なら既におわかりでしょうが、フックは名門のパブリックスクールの出身なのです。
and its traditions still clung to him like garments,	そしてそのときの習慣が、衣服に見られるようにきちんと身についています。
with which indeed they are largely concerned.	もちろん習慣それ自体、衣服にまつわるものが多かったのです。
Thus it was offensive to him even now to board a ship in the same dress in which he grappled [attacked] her,	今もフックにとって腹立たしいのは、船を略奪した時と同じ服装で乗船していることだったりします
and he still adhered in his walk to the school's distinguished slouch.	そしていまだに歩く時にはかたくなに、その学校独特の前かがみの姿勢なのでした。
But above all he retained the passion for good form.	でもなによりもまずフックは、礼儀作法を重んじる心を持ちつづけていたのです。
Good form!	礼儀作法！
However much he may have degenerated, he still knew that this is all that really matters.	どんなにフックが堕落の道を歩んできたかもしれませんが、まだ礼儀作法がカンジンだってことは分かっていました。
