ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
Suddenly, with a plunge, as of the swimmer who leaves the bank, she hurried across the road, and we heard the sharp clang of the bell.	突然彼女は、岸を離れるスイマーのように、道路に飛び込んで急いで横切り、私たちは鋭いベルの音を聞いた。
"I have seen those symptoms before,"	「あの症状は前に見たことがある」
said Holmes, throwing his cigarette into the fire.	とホームズは火に煙草を投げ込んで言った。
"Oscillation upon the pavement always means an affaire de coeur.	「路上でためらっている時は必ず恋愛問題だ。
She would like advice, but is not sure that the matter is not too delicate for communication.	助言は欲しいが、話すには問題がデリケートすぎるんじゃないかと思っている。
And yet even here we may discriminate.	といっても、ここにも違いが見分けられよう。
When a woman has been seriously wronged by a man she no longer oscillates, and the usual symptom is a broken bell wire.	男にひどい目に合わされた女はもうためらったりしないし、通常ベルの針金を引きちぎるのがその症状だ。
Here we may take it that there is a love matter, but that the maiden is not so much angry as perplexed, or grieved.	そこで僕たちは、ここには愛情の問題があるが、乙女は困っているか悲しんでいるかしているもののそれほど怒っていないと理解していいね。
But here she comes in person to resolve our doubts."	だがここに彼女本人が来て疑問を解決してくれるよ。」
As he spoke there was a tap at the door, and the boy in buttons entered to announce Miss Mary Sutherland,	彼がそう言った時ドアを叩く音がして、制服のボーイが入ってきてミス・メアリー・サザーランドを取り次いだ。
while the lady herself loomed behind his small black figure like a full-sailed merchant-man behind a tiny pilot boat.	婦人その人はボーイの小柄な黒い姿の後ろに、小さな水先案内船の後ろにすべての帆を広げた商船のようにしてぼんやりと現れた。
Sherlock Holmes welcomed her with the easy courtesy for which he was remarkable, and, having closed the door and bowed her into an armchair, he looked her over in the minute and yet abstracted fashion which was peculiar to him.	シャーロック・ホームズは得意とする気さくで礼儀正しい態度で彼女を迎え入れ、ドアを閉めて彼女を肘掛け椅子に案内しながら、彼特有の綿密ながらも放心したようなやり方で彼女を見回した。
"Do you not find," he said, "that with your short sight it is a little trying to do so much typewriting?"	「あなたのその近眼ではそんなにたくさんタイプライターを打つのはちょっと辛くありませんか？」
"I did at first,"	「最初はそうでした、」
she answered,	彼女は答えた、
"but now I know where the letters are without looking."	「でも今では見なくても文字がどこにあるかわかりますので。」
Then, suddenly realising the full purport of his words, she gave a violent start and looked up, with fear and astonishment upon her broad, good-humoured face.	そこで、突然彼の言葉の意味をすっかり理解し、彼女はひどくはっとして、その幅の広い、愛想のいい顔に恐怖と驚きを浮かべて目を上げた。
"You've heard about me, Mr. Holmes,"	「私のことをお聞きになったことがあるんですの、ホームズさん、」
she cried,	彼女は叫んだ、
"else how could you know all that?"	「でなければどうしてそれがすっかりわかったんでしょう？」
"Never mind,"	「まあ気になさらずに」
said Holmes, laughing;	とホームズは笑いながら言った。
"it is my business to know things.	「ものを知るのが僕の仕事ですから。
Perhaps I have trained myself to see what others overlook.	あるいは僕はほかの人が見逃すようなものを見る訓練を積んできてるんでしょう。
If not, why should you come to consult me?"	そうでなければ、どうしてあなたは僕の意見を聞きに来るんでしょう？」
"I came to you, sir, because I heard of you from Mrs. Etherege,	「私が参りましたのはエサリッジ夫人にあなたのことを伺ったからですわ。
whose husband you found so easy when the police and everyone had given him up for dead.	警察も誰も彼も死んだものとあきらめたご主人をあなたがいとも簡単に見つけた人です。
Oh, Mr. Holmes, I wish you would do as much for me.	ああ、ホームズさん、私にも同じことをしてくださいませんか。
I'm not rich, but still I have a hundred a year in my own right, besides the little that I make by the machine,	私は金持ちではありませんが、それでもタイプの仕事で得るわずかなもののほかに、年に百は自分の権利として持っています。
and I would give it all to know what has become of Mr. Hosmer Angel."	ホズマー・エンジェルさんがどうなったのか知るためならそれをすべて差し出します。」
"Why did you come away to consult me in such a hurry?"	「なぜあなたはそんなに急いで僕に相談しに来たんですか？」
asked Sherlock Holmes, with his finger-tips together and his eyes to the ceiling.	とホームズは指先をあわせ、目を天井に向けて尋ねた。
Again a startled look came over the somewhat vacuous face of Miss Mary Sutherland.	再び驚きの色がミス・メアリー・サザーランドのいくぶん間のびした顔に現れた。
"Yes, I did bang out of the house,"	「ええ、私はバタバタと家を出てきましたわ、」
she said,	彼女は言った、
"for it made me angry to see the easy way in which Mr. Windibank--that is, my father--took it all.	「ウィンディバンクさん−つまり、私の父ですが−がまったくのんきに考えるのを見て腹が立ったからです。
He would not go to the police, and he would not go to you, and so at last, as he would do nothing and kept on saying that there was no harm done, it made me mad, and I just on with my things and came right away to you."	あの人は警察へ行こうとしない、あなたの所へ行こうとしない、それでとうとう、だってあの人は何もしようとしないで、何も害はなかったんだからって言い続けているんですもの、私かんかんになって、ちょうど服を着て出るところでしたのでまっすぐにこちらへ来ましたの。」
"Your father,"	「あなたのお父さんは、」
said Holmes,	ホームズが言った、
"your stepfather, surely, since the name is different."	「義理のお父さんですね、きっと、名前が違いますから。」
"Yes, my stepfather.	「ええ、義父です。
I call him father, though it sounds funny, too,	父と呼んでますけど、それもおかしいんです。
for he is only five years and two months older than myself."	だって私より五年と二ヶ月上なだけですもの。」
"And your mother is alive?"	「で、お母さんはご健在ですか？」
"Oh, yes, mother is alive and well.	「ああ、ええ、母は生きてますし元気です。
I wasn't best pleased, Mr. Holmes, when she married again so soon after father's death, and a man who was nearly fifteen years younger than herself.	私はそれほど嬉しくありませんでしたわ、ホームズさん、父が死んでそれこそすぐにまた結婚するし、自分より十五歳近くも若い男なんですもの。
Father was a plumber in the Tottenham Court Road, and he left a tidy business behind him, which mother carried on with Mr. Hardy, the foreman;	父はトットナム・コート街で配管業をやってましたが、死んでかなりの事業を残し、それを母は職工長のハーディさんと続けてました。
but when Mr. Windibank came he made her sell the business,	でもウィンディバンクさんが現れて母に事業を売却させました。
for he was very superior, being a traveller in wines.	あの人はワインのセールスマンで相当やり手ですから。
They got 4700 pounds for the goodwill and interest, which wasn't near as much as father could have got if he had been alive."	有形無形の資産の代わりに4700ポンド手にしましたが、それでも父が生きていたら手にしたはずのものには程遠いものでした。」
I had expected to see Sherlock Holmes impatient under this rambling and inconsequential narrative, but, on the contrary, he had listened with the greatest concentration of attention.	私はシャーロック・ホームズがこの散漫なくだらない話に短気を起こすだろうと予期していたが、どうして彼は非常に注意を集中して聞いていた。
"Your own little income," he asked, "does it come out of the business?"	「あなた自身のちょっとした収入はその事業から生じるのですか？」
"Oh, no, sir.	「ああ、いいええ。
It is quite separate and was left me by my uncle Ned in Auckland.	それはまったく別でオークランドの叔父のネッドが私に遺したんです。
It is in New Zealand stock, paying 4 1/2 per cent.	ニュージーランドの株で4.5%つきます。
Two thousand five hundred pounds was the amount, but I can only touch the interest."	総額2500ポンドですが、私が手をつけられるのは利息だけです。」
"You interest me extremely,"	「非常におもしろいお話です」
said Holmes.	とホームズは言った。
"And since you draw so large a sum as a hundred a year, with what you earn into the bargain, you no doubt travel a little and indulge yourself in every way.	「それとあなたは年に百もの大金を受け取り、そのうえご自分で稼ぐものもあるのですから、おそらくちょっとは旅行したり、あらゆる面で気ままにしたりしてるんでしょうね。
I believe that a single lady can get on very nicely upon an income of about 60 pounds."	独身女性は六十ポンドも収入があればかなり快適に暮らせるでしょう。」
"I could do with much less than that, Mr. Holmes, but you understand that as long as I live at home I don't wish to be a burden to them, and so they have the use of the money just while I am staying with them.	「私はそれよりずっと少なくても済ませられますわ、ホームズさん、でもおわかりでしょう、家で暮らす限り私はあの人たちの負担になりたくないし、私が厄介になっている間はあの人たちもあのお金を使う権利があるわけですわ。
Of course, that is only just for the time.	もちろん当座だけのことですけど。
Mr. Windibank draws my interest every quarter and pays it over to mother, and I find that I can do pretty well with what I earn at typewriting.	ウィンディバンクさんは四半期ごとに私の利息を引き出して、母にそれを渡していますが、私はタイピストの稼ぎでかなりうまくやっていけることがわかりました。
It brings me twopence a sheet, and I can often do from fifteen to twenty sheets in a day."	一枚二ペンスになるんですが、日に十五から二十枚できることもよくあるんです。」
"You have made your position very clear to me,"	「あなたの立場はとてもよくわかりました」
said Holmes.	とホームズは言った。
"This is my friend, Dr. Watson, before whom you can speak as freely as before myself.	「こちらは友人のワトソン博士ですが、この人の前では僕に対するのと同じように遠慮なく話してかまいません。
Kindly tell us now all about your connection with Mr. Hosmer Angel."	どうか今度はあなたとホズマー・エンジェルさんの関係をすっかりお話しください。」
A flush stole over Miss Sutherland's face, and she picked nervously at the fringe of her jacket.	ミス・サザーランドの顔を赤らみがおおい、彼女は上着の房飾りを神経質にいじった。
"I met him first at the gasfitters' ball,"	「初めて彼に会ったのはガス取り付け業者の舞踏会でした」
she said.	と彼女は言った。
"They used to send father tickets when he was alive, and then afterwards they remembered us, and sent them to mother.	「父が生きていた頃はいつも父にチケットを送ってくれたものですが、その後も私たちを忘れなかったのですね、母に送られてきました。
Mr. Windibank did not wish us to go.	ウィンディバンクさんは私たちが行くのを嫌がりました。
He never did wish us to go anywhere.	あの人は私たちをどこへも行かせたくないんです。
He would get quite mad if I wanted so much as to join a Sunday-school treat.	私が日曜学校のお楽しみに参加したいというだけでもう、かんかんに怒るんですから。
But this time I was set on going, and I would go;	でも今回は私、行くと決心して、無理にも出かけましたわ。
for what right had he to prevent?	だってどんな権利があってあの人が止めるんですの？
He said the folk were not fit for us to know, when all father's friends were to be there.	あの人はそこの人たちは私たちの知り合いとしてふさわしくないとか言いますが、父の友達がみんな来るんですからねえ。
And he said that I had nothing fit to wear, when I had my purple plush that I had never so much as taken out of the drawer.	それから私にはふさわしい服がないなんて言ったんです、私にはたんすから取り出したこともない紫のビロードのがあるのに。
At last, when nothing else would do, he went off to France upon the business of the firm, but we went, mother and I, with Mr. Hardy, who used to be our foreman, and it was there I met Mr. Hosmer Angel."	結局、どうしようもないとなると、あの人は会社の仕事でフランスに行きましたが、私たち、母と私と、前にうちの職工長だったハーディさんとで出かけましたら、そこでホズマー・エンジェルさんに出会ったんです。」
"I suppose,"	「きっと、」
said Holmes,	ホームズが言った、
"that when Mr. Windibank came back from France he was very annoyed at your having gone to the ball."	「フランスから戻ったウィンディバンクさんはあなた方が舞踏会へ行ったことでずいぶん怒ったでしょうね。」
"Oh, well, he was very good about it.	「ああ、それがね、とても物分りがよくって。
He laughed, I remember, and shrugged his shoulders, and said there was no use denying anything to a woman, for she would have her way."	あの人は笑って、そうでしたわ、それから肩をすくめて、女にだめだなんて言っても何にもならない、どうせ好きなようにするんだから、と言いました。」
"I see.	「なるほど。
Then at the gasfitters' ball you met, as I understand, a gentleman called Mr. Hosmer Angel."	それでガス取り付け業者の舞踏会であなたはホズマー・エンジェルさんという紳士に出会ったということですね。」
"Yes, sir.	「そうですわ。
I met him that night, and he called next day to ask if we had got home all safe, and after that we met him--that is to say, Mr. Holmes, I met him twice for walks, but after that father came back again, and Mr. Hosmer Angel could not come to the house any more."	私はその晩彼に会って、翌日彼が立ち寄って私たちが無事に帰ったかと訊いて、その後私たちは彼に会いました−−つまりね、ホームズさん、私は二度彼に会って散歩したんですが、その後父がまた帰ってきて、ホズマー・エンジェルさんはもう家へ来るわけにはいかなくなったんです。」
"No?"	「いけませんか？」
"Well, you know father didn't like anything of the sort.	「そうですわね、なにしろ父がそういうことは一切嫌いですし。
He wouldn't have any visitors if he could help it, and he used to say that a woman should be happy in her own family circle.	父はなるべくならお客がないようにしてますし、よく言ってますわ、女は自分の家族に囲まれてこそ幸せだと。
But then, as I used to say to mother, a woman wants her own circle to begin with, and I had not got mine yet."	そう言いますけどねえ、私も母によく言いましたわ、女にはまず自分の家族が必要だと、ところが私のはまだないんですから。」
"But how about Mr. Hosmer Angel?	「しかしホズマー・エンジェルさんはどうなんですか？
Did he make no attempt to see you?"	あなたに会おうとしなかったんですか？」
"Well, father was going off to France again in a week, and Hosmer wrote and said that it would be safer and better not to see each other until he had gone.	「それがね、父がまた一週間以内にフランスへ出かけることになって、ホズマーが手紙で言ってきたんです、父が行くまでお互い会わない方が安全だしよかろうって。
We could write in the meantime, and he used to write every day.	それまでは私たち手紙を書くことができましたし、彼も毎日手紙をくれたものでした。
I took the letters in in the morning, so there was no need for father to know."	私は朝のうちに手紙を取りに行って、そうすれば父に知られずにすみますから。」
"Were you engaged to the gentleman at this time?"	「この時点であなたはその紳士と婚約していましたか？」
"Oh, yes, Mr. Holmes.	「ああ、ええ、ホームズさん。
We were engaged after the first walk that we took.	私たちは最初にした散歩の後婚約しました。
Hosmer--Mr. Angel--was a cashier in an office in Leadenhall Street--and--"	ホズマー−−エンジェルさん−−はレドゥンホール街の会社の出納係で、それから−−」
"What office?"	「何という会社？」
"That's the worst of it, Mr. Holmes, I don't know."	「そこがいちばんまずいんですがホームズさん、私知らないんです。」
"Where did he live, then?"	「ではどこに彼は住んでました？」
"He slept on the premises."	「その建物に泊まってましたわ、」
"And you don't know his address?"	「それで彼の住所を知らないんですね？」
"No--except that it was Leadenhall Street."	「ええ−−レドゥンホール街だということ以外は。」
"Where did you address your letters, then?"	「では手紙のあて先はどこにしたんですか？」
"To the Leadenhall Street Post Office, to be left till called for.	「レドゥンホール街郵便局です、局留めで。
He said that if they were sent to the office he would be chaffed by all the other clerks about having letters from a lady, so I offered to typewrite them, like he did his, but he wouldn't have that, for he said that when I wrote them they seemed to come from me, but when they were typewritten he always felt that the machine had come between us.	会社宛に出すと婦人から手紙をもらったと言ってほかの事務員がみんなで冷やかすからと彼が言いますし、それで私タイプで打とうかと言ったんです、彼が自分のをそうしてますようにね、でもそれじゃあ彼いらないって、だって私が書いたものなら私から来たと感じられるけれども、タイプしたものではいつも機械が私たちの邪魔をするような気がすると彼は言いますの。
That will just show you how fond he was of me, Mr. Holmes, and the little things that he would think of."	これはまさしく彼がどのくらい私のことを好きかを示してますわ、ホームズさん、それと小さなことに彼が気がつくことも。」
"It was most suggestive,"	「それはとても示唆に富むことでした」
said Holmes.	とホームズは言った。
"It has long been an axiom of mine that the little things are infinitely the most important.	「長年僕の原理としてきたことですが、小さなことは何よりもきわめて重要なんです。
Can you remember any other little things about Mr. Hosmer Angel?"	ホズマー・エンジェルさんに関してほかに何か小さなことを覚えていませんか？」
"He was a very shy man, Mr. Holmes.	「とても恥ずかしがりでしたわ、ホームズさん。
He would rather walk with me in the evening than in the daylight, for he said that he hated to be conspicuous.	私と歩くのも日中よりも夕方でした、彼が人目につくのがいやだと言って。
Very retiring and gentlemanly he was.	とても遠慮がちで紳士的な人でしたわ。
Even his voice was gentle.	声まで穏やかでした。
He'd had the quinsy and swollen glands when he was young, he told me, and it had left him with a weak throat, and a hesitating, whispering fashion of speech.	若い頃、扁桃腺を腫らしたことがあって、それでのどが弱くなって、口ごもるような、ささやくような話し方になった、と彼は言いました。
He was always well dressed, very neat and plain, but his eyes were weak, just as mine are, and he wore tinted glasses against the glare."	いつも立派な身なりで、とてもきちんとして地味で、ですが目が弱くて、ちょうど私と同じように、それでまぶしくないようにサングラスをかけてましたわ。」
"Well, and what happened when Mr. Windibank, your stepfather, returned to France?"	「さて、それでどうなりました、あなたの義理のお父さんのウィンディバンクさんがフランスへ戻った時？」
"Mr. Hosmer Angel came to the house again and proposed that we should marry before father came back.	「ホズマー・エンジェルさんがまた家へ来て、父が帰る前に結婚しようと提案しました。
He was in dreadful earnest and made me swear, with my hands on the Testament, that whatever happened I would always be true to him.	彼は恐ろしく真剣で、私に誓わせるんです、私の手を聖書にのせ、何があろうと私がいつまでも彼に忠実であるように、と。
Mother said he was quite right to make me swear, and that it was a sign of his passion.	母は言いましたわ、彼が私に誓いを立てさせるのは全く正しいし、それは愛情のしるしだと。
Mother was all in his favour from the first and was even fonder of him than I was.	母は最初から彼の味方で、私よりもっと彼を気に入ってるくらいでした。
Then, when they talked of marrying within the week, I began to ask about father; but they both said never to mind about father, but just to tell him afterwards, and mother said she would make it all right with him.	それから、二人が一週間以内に結婚するような話をするので、私が父のことを尋ねかけると、二人とも父のことは心配するな、ただ後から言えばいいと言い、母は自分が父のことはうまくやると言いました。
I didn't quite like that, Mr. Holmes.	私はそれがあまり気に入りませんでしたわ、ホームズさん。
It seemed funny that I should ask his leave, as he was only a few years older than me;	歳がいくつも上でもない人に許可を求めなければならないなんておかしいようですもの。
but I didn't want to do anything on the sly, so I wrote to father at Bordeaux, where the company has its French offices, but the letter came back to me on the very morning of the wedding."	でも私は何にしろこそこそやりたくなかったので、ボルドーの父に、あ、そこに会社のフランスでの事務所のあるんですけど、手紙を書きましたが、その手紙は結婚式当日の朝、私の所に戻ってきました。」
"It missed him, then?"	「ではお父さんと行き違ったんですね？」
"Yes, sir;	「ええ。
for he had started to England just before it arrived."	それが届く直前にイギリスへ発ったからです。」
"Ha!	「ほう！
that was unfortunate.	それは残念でした。
Your wedding was arranged, then, for the Friday.	それで、あなた方の結婚式はその金曜日に決められた。
Was it to be in church?"	教会でやる予定でしたか？」
"Yes, sir, but very quietly.	「ええ、でもごく簡素に。
It was to be at St. Saviour's, near King's Cross, and we were to have breakfast afterwards at the St. Pancras Hotel.	キングスクロスの近くのセント・セイヴャーズで挙げて、その後セント・パンクラスホテルで披露宴をする予定でした。
Hosmer came for us in a hansom, but as there were two of us he put us both into it and stepped himself into a four-wheeler,	ホズマーは二人乗りで私たちを迎えに来ましたが、私たち二人いましたので、彼は私たち二人をそれに押し込んで、自分は四輪馬車に乗り込みました。
which happened to be the only other cab in the street.	たまたま通りにはほかに馬車がいなかったのです。
We got to the church first, and when the four-wheeler drove up we waited for him to step out, but he never did,	私たちが先に教会に着き、それから四輪馬車がやってきて、私たちは彼が出てくるのを待ちましたが、彼は出てきませんでした。
and when the cabman got down from the box and looked there was no one there!	御者が席から降りてきて見ると、そこには誰もいなかったのです！
The cabman said that he could not imagine what had become of him, for he had seen him get in with his own eyes.	御者は、自分の目で彼が乗り込むのを見たのだから、彼がどうなってしまったか想像もつかないと言いました。
That was last Friday, Mr. Holmes, and I have never seen or heard anything since then to throw any light upon what became of him."	それが先週の金曜日です、ホームズさん、それ以来、彼がどうなったかについて光明を投ずるようなことを何一つ見も聞きもしないのです。」
"It seems to me that you have been very shamefully treated,"	「僕にはあなたがずいぶんけしからん扱いを受けたように思えますが」
said Holmes.	とホームズが言った。
"Oh, no, sir!	「おお、いいえ！
He was too good and kind to leave me so.	彼は優しい、いい人ですからそんなふうに私を捨てるはずがありません。
Why, all the morning he was saying to me that, whatever happened, I was to be true; and that even if something quite unforeseen occurred to separate us, I was always to remember that I was pledged to him, and that he would claim his pledge sooner or later.	ええ、あの朝も彼は私にずっと言ってましたわ、何があろうと、私は忠実でなければならない、そして何かまったく予期せぬことが起こって私たちを引き離しても、私が彼に誓ったこと、そしていつかは彼が自分の誓いの正当性を主張することを私はいつまでも忘れてはいけないと。
It seemed strange talk for a wedding-morning, but what has happened since gives a meaning to it."	結婚式の朝にしては妙な話ですけど、その後起こったことを見ればそれが意味を持ってきますわ。」
"Most certainly it does.	「間違いなくそうですね。
Your own opinion is, then, that some unforeseen catastrophe has occurred to him?"	すると、あなたご自身の考えでは、彼に予期せぬ災難が降りかかったと？」
"Yes, sir.	「そうですわ。
I believe that he foresaw some danger, or else he would not have talked so.	私、彼が何か危険を予期していたと信じます、でなければあんな話はしなかったでしょう。
And then I think that what he foresaw happened."	そこへ彼の予期したことが起こったんですわ。」
"But you have no notion as to what it could have been?"	「しかしどんなことが起こったかについては何も考えはないんですね？」
"None."	「何にも。」
"One more question.	「もう一問。
How did your mother take the matter?"	お母さんはこの事をどう見ました？」
"She was angry, and said that I was never to speak of the matter again."	「母は腹を立てて、この問題は二度と口にしちゃいけないと言いました。」
"And your father?	「それでお父さんは？
Did you tell him?"	お父さんには話しましたか？」
"Yes;	「ええ。
and he seemed to think, with me, that something had happened, and that I should hear of Hosmer again.	父は私に賛成して、何事かが起こったと、だからまたホズマーの消息は聞けるだろうと思ったようです。
As he said, what interest could anyone have in bringing me to the doors of the church, and then leaving me?	父の言うように、誰にしろ私を教会の玄関まで連れていってそこで私を放り出して何の得があるんです？
Now, if he had borrowed my money, or if he had married me and got my money settled on him, there might be some reason, but Hosmer was very independent about money and never would look at a shilling of mine.	そこですわ、彼が私からお金を借りていたとか、結婚して私のお金を彼に分与させたとかいうならわからなくもないですけど、ホズマーはお金のことでは全く誰に頼る必要もありませんでしたし、私のお金なんかちっとも問題にしませんでした。
And yet, what could have happened?	それなのに、いったいどうしちゃったんでしょう？
And why could he not write?	それにどうして手紙も出せないの？
Oh, it drives me half-mad to think of it, and I can't sleep a wink at night."	ああ、そう考えると私、おかしくなりそうで、夜も一睡もできないんです。」
She pulled a little handkerchief out of her muff and began to sob heavily into it.	彼女は小さなハンカチをマフから引っ張り出し、激しいすすり泣きを始めた。
"I shall glance into the case for you,"	「あなたの事件をちょっと調べてみましょう、」
said Holmes, rising,	ホームズは立ち上がりながら言った、
"and I have no doubt that we shall reach some definite result.	「間違いなく明確な結果が得られると思います。
Let the weight of the matter rest upon me now, and do not let your mind dwell upon it further.	もう今回の事の重荷は僕に預けて、これ以上そのことを考えないことです。
Above all, try to let Mr. Hosmer Angel vanish from your memory, as he has done from your life."	とりわけ、ホズマー・エンジェルさんをあなたの記憶から消し去るようにすることですね、彼があなたの人生から消えてしまったのと同じように。」
"Then you don't think I'll see him again?"	「それでは私はもう彼には会えないとお思いですの？」
"I fear not."	「ではないかと思います。」
"Then what has happened to him?"	「それでは彼に何があったんでしょう？」
"You will leave that question in my hands.	「その問題は僕に任せてください。
I should like an accurate description of him and any letters of his which you can spare."	彼の正確な人相書きとできれば手紙があれば欲しいんですが。」
"I advertised for him in last Saturday's Chronicle,"	「先週土曜日のクロニクルに尋ね人広告を出しました」
said she.	と彼女は言った。
"Here is the slip and here are four letters from him."	「これが切り抜きで、それと彼からの手紙が四通あります。」
"Thank you.	「ありがとう。
And your address?"	それであなたの住所は？」
"No. 31 Lyon Place, Camberwell."	「キャンバーウェル、ライオン・プレイス31番地です。」
"Mr. Angel's address you never had, I understand.	「エンジェル氏の住所はなかったんでしたね。
Where is your father's place of business?"	ではどこでお父さんは仕事をしていますか？」
"He travels for Westhouse & Marbank, the great claret importers of Fenchurch Street."	「父はウェストハウスアンドマーバンクのセールスをしてますが、フェンチャーチ街にある大きなクラレットの輸入会社ですわ。」
"Thank you.	「ありがとう。
You have made your statement very clearly.	あなたのお話はきわめて明瞭です。
You will leave the papers here, and remember the advice which I have given you.	手紙と切り抜きは置いていってくれますね、それから僕の差し上げた忠告を忘れないように。
Let the whole incident be a sealed book, and do not allow it to affect your life."	出来事すべてを封印して、それがあなたの人生に影響を与えないようにすることです。」
"You are very kind, Mr. Holmes, but I cannot do that.	「ご親切にありがとうございます、ホームズさん、でもそうはできませんわ。
I shall be true to Hosmer.	私はホズマーに忠実であろうと思います。
He shall find me ready when he comes back."	彼が戻ってきた時にいつでも迎えられるように。」
For all the preposterous hat and the vacuous face, there was something noble in the simple faith of our visitor which compelled our respect.	ばかげた帽子、間のびした顔にもかかわらず、尊敬しないわけにはいかない訪問者の純真な信念には何か崇高なものがあった。
She laid her little bundle of papers upon the table and went her way, with a promise to come again whenever she might be summoned.	彼女は手紙などの小さな束をテーブルに置き、呼ばれればいつでもまた来ることを約束して帰っていった。
Sherlock Holmes sat silent for a few minutes with his fingertips still pressed together, his legs stretched out in front of him, and his gaze directed upward to the ceiling.	シャーロック・ホームズは両手の指先を押し合わせたまま、足を前方に伸ばし、視線をじっと天井に向け、数分間黙って座っていた。
Then he took down from the rack the old and oily clay pipe, which was to him as a counsellor, and, having lit it, he leaned back in his chair, with the thick blue cloud-wreaths spinning up from him, and a look of infinite languor in his face.	それから彼は上の棚から彼にとって相談相手でもある、古い、やにのしみこんだ陶製のパイプを取り、それに火をつけ、濃い渦を巻く紫煙を立ち昇らせ、顔に無量のけだるさを浮かべて椅子の背にもたれた。
"Quite an interesting study, that maiden,"	「きわめて興味深い研究対象だね、あの娘さんは」
he observed.	と彼は言った。
"I found her more interesting than her little problem,	「彼女自身の方がおもしろいと思ったね。
which, by the way, is rather a trite one.	あのちょっとした問題の方は、ついでだが、かなり使い古されたやつさ。
You will find parallel cases, if you consult my index, in Andover in '77, and there was something of the sort at The Hague last year.	僕の索引を調べれば、77年のアンドーバーで類似の例が見つかるだろうし、去年ハーグでもその種のことがあったよ。
Old as is the idea, however, there were one or two details which were new to me.	だが古いアイデアとはいえ、細部に一つ、二つ僕にも目新しいものがあったな。
But the maiden herself was most instructive."	しかしいちばん勉強になったのはあの娘さん本人だね。」
"You appeared to read a good deal upon her which was quite invisible to me,"	「僕に全く見えなかったものをたくさん君は彼女から読み取ったらしいね」
I remarked.	と私は言った。
"Not invisible but unnoticed, Watson.	「見えないのではなくて気がつかないんだよ、ワトソン。
You did not know where to look, and so you missed all that was important.	君はどこを見るべきかわからなかった、それで重要なことをすべて見逃したんだ。
I can never bring you to realise the importance of sleeves, the suggestiveness of thumb-nails, or the great issues that may hang from a boot-lace.	君にはいまだにわかってもらえないねえ、袖の重要性も、親指の爪が示唆に富んでいることも、靴の紐に重大な問題が付随しているかもしれないことも。
Now, what did you gather from that woman's appearance?	さあ、あの女性の外観から何がわかる？
Describe it."	言ってみたまえ。」
"Well, she had a slate-coloured, broad-brimmed straw hat, with a feather of a brickish red.	「そうだね、彼女はねずみ色のつば広の麦わら帽子に赤レンガ色の羽をつけていた。
Her jacket was black, with black beads sewn upon it, and a fringe of little black jet ornaments.	ジャケットは黒で、黒いビーズが縫い付けられ、小さな黒玉の装飾の房飾りがあった。
Her dress was brown, rather darker than coffee colour, with a little purple plush at the neck and sleeves.	ドレスは茶色だがコーヒーの色より濃く、小さな紫色のプラシ天が首と袖についていた。
Her gloves were greyish and were worn through at the right forefinger.	手袋は灰色がかっていて、右の人差し指のところが擦り切れていた。
Her boots I didn't observe.	靴は観察しなかった。
She had small round, hanging gold earrings, and a general air of being fairly well-to-do in a vulgar, comfortable, easy-going way."	小さな丸い金のイヤリングを下げていて、全般的にはかなり裕福で、庶民的だが気楽でのんきにやっている。」
Sherlock Holmes clapped his hands softly together and chuckled.	シャーロック・ホームズは静かに手を叩き、くすくす笑った。
"'Pon my word, Watson, you are coming along wonderfully.	「驚いたね、ワトソン、すばらしいできじゃないか。
You have really done very well indeed.	ほんとに実にうまくやってのけたもんだ。
It is true that you have missed everything of importance, but you have hit upon the method, and you have a quick eye for colour.	なるほど君は大事なことはみんな見逃したが、それでも君は方法に思い至ったし、それに君は色には目ざといね。
Never trust to general impressions, my boy, but concentrate yourself upon details.	全般的な印象は決して当てにせずに、細部に集中することだ。
My first glance is always at a woman's sleeve.	僕は常に最初に女性の袖口に目をやる。
In a man it is perhaps better first to take the knee of the trouser.	男の場合はズボンの膝を最初に確かめる方がいいかもしれない。
As you observe, this woman had plush upon her sleeves, which is a most useful material for showing traces.	君も気がついたように、あの女性の袖口にはプラシ天がついていたが、これは痕跡を見るにはとても役に立つ生地だ。
The double line a little above the wrist, where the typewritist presses against the table, was beautifully defined.	タイピストがテーブルに押し付けてできる手首の少し上の二重線が見事にくっきりと見えていた。
The sewing-machine, of the hand type, leaves a similar mark, but only on the left arm, and on the side of it farthest from the thumb, instead of being right across the broadest part, as this was.	手回しミシンでも同じような痕が残るが、左腕だけであり、それも親指から遠い側で、今のように広い部分に渡ることはない。
I then glanced at her face, and, observing the dint of a pince-nez at either side of her nose, I ventured a remark upon short sight and typewriting, which seemed to surprise her."	それから僕は彼女の顔を見て、彼女の鼻の両側に鼻眼鏡のくぼみを見つけて、思い切って近視とタイプライターのことを言ってみたんだが彼女を驚かせたようだね。」
"It surprised me."	「私も驚いたよ。」
