The Bolted Door	『閉ざされたドア』
< 28 > He saw that from that moment McCarren's professional zeal would be fanned by emotional curiosity; 	このときからグラニスには、マッカランの好奇心を感情の側から満たしてやれば、仕事にもいっそう熱を入れることがわかった。
and he profited by the fact to propose that they should dine together, and go on afterward to some music-hall or theatre.	そのうえ一緒に食事をしてからミュージックホールか劇場へ行くというおまけまで手に入れたのである。
It was becoming necessary to Granice to feel himself an object of pre-occupation, to find himself in another mind.	自分が相手の関心の対象であると感じること、相手の心の中に映った自分の姿を確認することが、グラニスにとって必要になっていた。
He took a kind of gray penumbral pleasure in riveting McCarren's attention on his case;	マッカランの注意を事件に釘付けにすることに、後ろめたい喜びを感じていたのである。
and to feign the grimaces of moral anguish became a passionately engrossing game.	さも道徳的に苦しんでいるかのような、苦悶の表情を浮かべてみせるのは、胸躍るゲームのようなところがあった。
He had not entered a theatre for months;	もう何ヶ月も劇場には足を踏み入れていない。
but he sat out the meaningless performance in rigid tolerance, sustained by the sense of the reporter's observation.	だが、マッカランの視線の先にいたいという気持ちに支えられて、なんの意味も感じられない舞台を前に、しかつめらしく寛大な態度で最後まですわっていたのだった。
Between the acts, McCarren amused him with anecdotes about the audience:	幕間にマッカランはグラニスを楽しませようと、観客の逸話を聞かせた。
he knew every one by sight, and could lift the curtain from every physiognomy.	観客全員を知っていて、その外観に隠された秘密を教えてくれる。
Granice listened indulgently.	グラニスは辛抱強く耳を傾けていた。
He had lost all interest in his kind, but he knew that he was himself the real centre of McCarren's attention, and that every word the latter spoke had an indirect bearing on his own problem.	その種のことにはとうに興味はなくしていたが、マッカランの興味の中心にはグラニスがおり、どんな話も間接的に自分に関係してくることを知っていたのだ。
"See that fellow over there	「向こうの人を見てください
-- the little dried-up man in the third row, pulling his moustache?	――三列目に小さくて干からびた感じの人がいるでしょう、口ひげを引っ張っている。
His memoirs would be worth publishing,"	あの人の回想録は、出版する価値があるでしょうね」
McCarren said suddenly in the last entr'acte.	マッカランは最後の幕間で急に言い出した。
Granice, following his glance, recognized the detective from Allonby's office.	視線の先を追ったグラニスは、それがアーロンビーのオフィスからやってきた刑事であることに気がついた。
For a moment he had the thrilling sense that he was being shadowed.	一瞬、目の前が真っ暗になるような、ゾッとするような感覚に襲われた。
"Caesar, if he could talk -- !"	「“シーザー、もし彼が話すことができたなら――”」
McCarren continued.	マッカランは語調を変えた。
"Know who he is, of course?	「どなたかもちろんご存じですよね、
Dr. John B. Stell,	ジョン・Ｂ・ステル博士です。
the biggest alienist in the country --"	国内でも最大の精神鑑定医だ」
Granice, with a start, bent again between the heads in front of him.	グラニスはハッとして、目の前に並ぶ頭の間から、もういちどよく見ようと身を乗り出した。
That man -- the fourth from the aisle?	「その男というのは――通路から四番目の？
You're mistaken.	それはちがうんじゃないかな。
That's not Dr. Stell."	あれはステル博士じゃないだろう」
McCarren laughed.	マッカランは声をあげて笑った。
"Well, I guess I've been in court enough to know Stell when I see him.	「そりゃ法廷で何度も見てるんですから、顔を見ればわかります。
He testifies in nearly all the big cases where they plead insanity."	精神鑑定が必要な大きな事件ともなると、ほとんどあの人が証言してるんですから」
A cold shiver ran down Granice's spine, but he repeated obstinately:	身震いするような冷たいものがグラニスの背筋を伝ったが、グラニスは頑固に繰り返すばかりだ。
"That's not Dr. Stell."	「あれはステル博士なんかじゃない」
"Not Stell?	「博士じゃないって？
Why, man, I know him.	おやおや、ぼくは知ってるって言ってるのに。
Look -- here he comes.	こっちに来ますよ。
If it isn't Stell, he won't speak to me."	もし博士じゃなかったら、ぼくなんかと話したりしないから」
The little dried-up man was moving slowly up the aisle.	小柄な干からびた男はゆっくりと通路をこちらに向かってやってきた。
As he neared McCarren he made a slight gesture of recognition.	マッカランの側まで来ると、軽く目礼する。
"How'do, Doctor Stell?	「こんにちは、ステル先生。
Pretty slim show, ain't it?"	相変わらずガリガリですねぇ」
the reporter cheerfully flung out at him.	マッカランは明るい調子で悪態をついた。
And Mr. J. B. Hewson, with a nod of amicable assent, passed on.	Ｊ・Ｂ・ヒュースンは笑顔でそれに応え、歩み去った。
< 29 > Granice sat benumbed.	グラニスは痺れたようにすわっていた。
He knew he had not been mistaken	まちがえようがない。
-- the man who had just passed was the same man whom Allonby had sent to see him:	アーロンビーが自分のところに寄越した男だ。
a physician disguised as a detective.	精神科医が刑事に化けていたのだ。
Allonby, then, had thought him insane,	では、アーロンビーも正気を疑っていたのだ
like the others -- had regarded his confession as the maundering of a maniac.	――自分の告白を狂人の繰り言と受け取ったほかの人間と同じように。
The discovery froze Granice with horror	これを知ったグラニスは、心底怖ろしくなった。
-- he seemed to see the mad-house gaping for him.	精神病院が大口を開けて、自分を待ちかまえているのが見えるような気がした。
"Isn't there a man a good deal like him	「あの人にたいそう似ている人間を知っているんだが
-- a detective named J. B. Hewson?"	――Ｊ・Ｂ・ヒュースンという名の刑事だよ」
But he knew in advance what McCarren's answer would be.	だが聞く前からマッカランの答えはわかっていた。
"Hewson?	「ヒュースンですって？
J. B. Hewson?	Ｊ・Ｂ・ヒュースン？
Never heard of him.	そんな名前の人間は聞いたことがないなあ。
But that was J. B. Stell fast enough	だけどあれはＪ・Ｂ・ステルでしたよ、
-- I guess he can be trusted to know himself, and you saw he answered to his name."	名前を聞いてすぐに自分のことだとわかったし、それに応えたのをあなただって見たでしょう」
Some days passed before Granice could obtain a word with the District Attorney:	グラニスが地方検事の口から直接事情を聞くことができるまで、数日を要した。
he began to think that Allonby avoided him.	アーロンビーに避けられているのか、と思いかけたところだった。
But when they were face to face Allonby's jovial countenance showed no sign of embarrassment.	だが、実際に顔を合わせてみると、いささかも困惑している様子のない明るい表情をしている。
He waved his visitor to a chair, and leaned across his desk with the encouraging smile of a consulting physician.	椅子を勧めると、机から身を乗り出して、顧問医師が患者を励ますような笑みを浮かべた。
Granice broke out at once:	すぐさまグラニスはまくしたてた。
"That detective you sent me the other day --"	「先日あなたが寄越した刑事は……」
Allonby raised a deprecating hand.	アーロンビーは手をあげてなだめようとする。
" -- I know:	「……わかってるんですよ。
it was Stell the alienist.	精神鑑定医のステルだ。
Why did you do that, Allonby?"	どうしてそんなことをしたんです、アーロンビー」
The other's face did not lose its composure.	相手は動じない。
"Because I looked up your story first	「まず最初にあなたの話を調べてみました
-- and there's nothing in it."	――ところが何も出てこない」
"Nothing in it?"	「ほんとうに何も？」
Granice furiously interposed.	グラニスは乱暴にことばをはさんだ。
"Absolutely nothing.	「まったく何も。
If there is, why the deuce don't you bring me proofs?	もし証拠があるんだったら、いったいどうしてそれを持ってきてくれないんです。
I know you've been talking to Peter Ascham,	あなたがピーター・アスカムに話をしていたのも知っています。
and to Denver, and to that little ferret McCarren of the Explorer.	デンヴァーにも、それから『エクスプローラー』の小僧っ子、マッカランにもね。
Have any of them been able to make out a case for you?	だれか事件を立証してくれる人がいましたか？
No.	だれもいない。
Well, what am I to do?"	となると、わたしはどうしたらいいんでしょう」
Granice's lips began to tremble.	グラニスのくちびるは震え始めた。
"Why did you play me that trick?"	「それでもなんであんな、私をぺてんにかけるようなまねをしたんです」
"About Stell?	「ステルのことを言ってるんですね？
I had to, my dear fellow:	そうする必要があったんです。
it's part of my business.	それも私の仕事の内でね。
Stell is a detective, if you come to that	それに、ステルは刑事でもあるんですよ、もしそのことをおっしゃっているのなら。
-- every doctor is."	鑑定医はみんな」
The trembling of Granice's lips increased, communicating itself in a long quiver to his facial muscles.	くちびるの震えは一層激しくなり、その震えが顔全体に拡がって、あごががくがくとわなないた。
He forced a laugh through his dry throat.	乾いた喉の奥から、むりやり笑い声を押し出す。
"Well	「ほほう
-- and what did he detect?"	……で、やつはいったい何を嗅ぎつけたんです」
"In you?	「あなたから？
Oh, he thinks it's overwork	ステルはオーバーワークだって言ってましたよ
-- overwork and too much smoking.	――過労と過度の喫煙。
If you look in on him some day at his office he'll show you the record of hundreds of cases like yours,	いつか博士のオフィスをちょっとのぞいてごらんになったら、あなたのような症例の記録を何百と見せてくれるでしょうね。
and advise you what treatment to follow.	それにどういった治療が必要か、アドヴァイスもしてくれるでしょう。
It's one of the commonest forms of hallucination.	幻覚症状のもっともありふれたもののひとつですよ。
Have a cigar, all the same."	まあそうはいっても、おひとつ葉巻でもどうぞ」
< 30 > "But, Allonby, I killed that man!"	「だが、アーロンビー、私はほんとうにあの男を殺したんだ！」
The District Attorney's large hand, outstretched on his desk, had an almost imperceptible gesture,	机に広げていた地方検事の大きな手が、ほとんど気がつかないくらいに微かに動いた。
and a moment later, as if an answer to the call of an electric bell, a clerk looked in from the outer office.	するとその直後、呼び鈴に応えたかのように事務員が顔をのぞかせる。
"Sorry, my dear fellow	「失礼、グラニスさん。
-- lot of people waiting.	人を大勢待たせてるんです。
Drop in on Stell some morning,"	いつかの午前中、ステルのところへ行ってください」
Allonby said, shaking hands.	アーロンビーはそう言って、握手をした。
McCarren had to own himself beaten:	マッカランは自分には手に負えなくなった、と認めないわけにはいかなかった。
there was absolutely no flaw in the alibi.	アリバイに何の穴も見つけることができなかったのだ。
And since his duty to his journal obviously forbade his wasting time on insoluble mysteries, he ceased to frequent Granice,	雑誌の仕事が忙しくて、これ以上解決しようのない謎にかかずらわって時間を無駄にすることはできないと、グラニスを訪れるのもやめてしまった。
who dropped back into a deeper isolation.	こうしてグラニスは深い孤独のなかに落ち込んだのである。
For a day or two after his visit to Allonby he continued to live in dread of Dr. Stell.	アーロンビーのところへ行ったあと一日、二日は、ステル博士の影に怯えていた。
Why might not Allonby have deceived him as to the alienist's diagnosis?	精神鑑定医の診断を、アーロンビーが偽らなかったとどうして言えるだろう？
What if he were really being shadowed, not by a police agent but by a mad-doctor?	もし自分がほんとうは刑事ではなく、精神科の医者に尾行されていたとしたら。
To have the truth out, he suddenly determined to call on Dr. Stell.	真相を確かめるために、ただちにステル博士を訪ねる決心をした。
The physician received him kindly, and reverted without embarrassment to the conditions of their previous meeting.	博士はグラニスを親切に迎え入れ、前回の会見を悪びれる風もなく振り返った。
"We have to do that occasionally, Mr. Granice;	「そういうことが必要な場合もあるのですよ、グラニスさん。
it's one of our methods.	手段のひとつとして。
And you had given Allonby a fright."	で、あなたはアーロンビーを脅かしたそうですね」
Granice was silent.	グラニスは何も言わなかった。
He would have liked to reaffirm his guilt, to produce the fresh arguments which had occurred to him since his last talk with the physician;	彼としては自分の罪をもういちど言明した上で、以前ステルと話したあとに考えたことも含めて、新たに話し合ってみたかったのだ。
but he feared his eagerness might be taken for a symptom of derangement, and he affected to smile away Dr. Stell's allusion.	だが、あまりにしつこく言って発狂の徴候と受け取られでもしたら大変だ、と思って、ステルがそれとなく言ったことを、笑顔で受け容れるふりをした。
"You think, then, it's a case of brain-fag	「では先生は、精神疲労であるとお考えなんですね
-- nothing more?"	――それ以上のものではない、と」
"Nothing more.	「そうです。
And I should advise you to knock off tobacco.	そのうえで、タバコをお止めになったほうがよろしいでしょう。
You smoke a good deal, don't you?"	相当にお吸いですね」
He developed his treatment,	ステルは治療法を説明し始めた。
recommending massage, gymnastics, travel, or any form of diversion	マッサージや体操、旅行、そのほかさまざまな種類の気分転換を推奨し、
that did not	……しないと、
-- that in short --	……が不足すると……。
Granice interrupted him impatiently.	辛抱しかねたグラニスが遮った。
"Oh, I loathe all that	「そんなもの、どれも大嫌いだ。
-- and I'm sick of travelling."	旅行なんてうんざりです」
"H'm.	「ふむ。
Then some larger interest	なら、もう少しスケールの大きな趣味はどうでしょう。
-- politics, reform, philanthropy?	政治とか、社会改革や慈善活動に携わられては。
Something to take you out of yourself."	なんでもいい、ご自身の外に関心を向けられることです」
"Yes.	「はいはい、
I understand,"	わかりましたよ」
said Granice wearily.	グラニスはうんざりしてきた。
"Above all, don't lose heart.	「なによりも、意欲を失わないことです。
I see hundreds of cases like yours,"	あなたのような症例は何百と見てきたんですから」
the doctor added cheerfully from the threshold.	ステルは敷居のところまでくると、明るくことばを添えた。
On the doorstep Granice stood still and laughed.	戸口の階段に立ち止まってグラニスは笑った。
Hundreds of cases like his	自分のような症例を何百も、か。
-- the case of a man who had committed a murder, who confessed his guilt, and whom no one would believe!	殺人を犯した男、罪を告白した男、そしてだれにもそれを信じてもらえない男の症例を。
Why, there had never been a case like it in the world.	世界中探したって、一例だってあるわけがなかろう。
What a good figure Stell would have made in a play:	芝居のなかで使えば、さぞやおもしろい象徴になるだろう。
the great alienist who couldn't read a man's mind any better than that!	人間の良心を理解できない、偉大なる精神鑑定医！
< 31 > Granice saw huge comic opportunities in the type.	グラニスはそのタイプの人間から、喜劇が生まれる多大な可能性を感じた。
But as he walked away, his fears dispelled, the sense of listlessness returned on him.	そこから歩いていくうちに、感じていた恐怖も氷解し、やがて、ものうい感覚が戻ってくる。
For the first time since his avowal to Peter Ascham he found himself without an occupation,	ピーター・アスカムに告白して以来、初めてやることがなくなってしまった。
and understood that he had been carried through the past weeks only by the necessity of constant action.	この数週間というもの、必要に迫られて休むことなく行動を続け、ここまで来た。
Now his life had once more become a stagnant backwater,	そうして自分の生活はふたたび淀み、沈滞する。
and as he stood on the street corner watching the tides of traffic sweep by, he asked himself despairingly how much longer he could endure to float about in the sluggish circle of his consciousness.	街角にたたずみ、通り過ぎる人並みを見つめながら、緩慢な意識を抱えて、自分はどのくらいの間、耐えていられるのだろうか、と打ちひしがれた思いで自問してみた。
The thought of self-destruction recurred to him;	ふたたび、自分で自分に片をつける、という考えがよみがえる。
but again his flesh recoiled.	だが、グラニスの肉体は、そうした考えを受けつけようとしないのだ。
He yearned for death from other hands, but he could never take it from his own.	他人の手による死を願ったのに、その願いもかなえられない。
And, aside from his insuperable physical reluctance, another motive restrained him.	自分の肉体が一線をどうしても乗り越えられないばかりでなく、グラニスを踏みとどまらせているのには、もうひとつの理由があった。
He was possessed by the dogged desire to establish the truth of his story.	自分の話が正しいことをなんとしても証明しなくては、という激しい情熱に取り憑かれていたのである。
He refused to be swept aside as an irresponsible dreamer	いいかげんな話をする夢想家として片付けられたくはない。
-- even if he had to kill himself in the end,	たとえその結果、自分を殺すことになったとしても。
he would not do so before proving to society that he had deserved death from it.	自分が死に値する人間だということを、社会に証明するまでは、死ねないのだ。
He began to write long letters to the papers;	新聞社宛に長い手紙を書いた。
but after the first had been published and commented on, public curiosity was quelled by a brief statement from the District Attorney's office, and the rest of his communications remained unprinted.	だが、第一回が掲載されて解説が載ったあと、検事局から短い声明が出されると、世間の関心も霧散し、手紙の残りが印刷されることもなかった。
Ascham came to see him, and begged him to travel.	アスカムが、後生だから海外にでも行ってください、と言いに来た。
Robert Denver dropped in, and tried to joke him out of his delusion;	ロバート・デンヴァーも立ち寄って、冗談を言ってはグラニスを妄想から解き放とうと試みた。
till Granice, mistrustful of their motives, began to dread the reappearance of Dr. Stell, and set a guard on his lips.	だが、彼らのもくろみがほかにあるのでは、と疑うグラニスは、ステル博士がふたたびやってくることを警戒して、自分の口を固く閉ざすのだった。
But the words he kept back engendered others and still others in his brain.	外に出ることを禁じられたことばは、頭のなかでつぎつぎと新しいことばを生み出していき、まだいくらでも出てきそうだった。
His inner self became a humming factory of arguments, and he spent long hours reciting and writing down elaborate statements of his crime,	彼の「内なる自我」は活発な議論が生まれる場所となり、長時間に渡って、自分の犯行をもとに練り上げた声明を、声に出して言ってみては、書きつけた。
which he constantly retouched and developed.	休むことなく声明に加筆を続け、練り上げていったのだ。
Then gradually his activity languished under the lack of an audience, the sense of being buried beneath deepening drifts of indifference.	だが、こうした活動も、聞く者もいないところでは、無視され、忘却の淵に沈められてしまうような感覚が生じるのはいかんともしがたく、徐々に停滞していった。
In a passion of resentment he swore that he would prove himself a murderer, even if he had to commit another crime to do it;	憤慨のあまり、たとえ別の犯罪を犯すことになったとしても、自分が殺人者であることを証明してみせる、と誓った日もあった。
and for a sleepless night or two the thought flamed red on his darkness.	眠れぬ夜、その思いは、自身の暗闇のなかで赤く燃えた。
But daylight dispelled it.	だが、日の光はその思いを溶かしてしまう。
The determining impulse was lacking and he hated too promiscuously to choose his victim. . .	実行するには衝動に欠け、だれでもいいから殺す、という考えは、あまりにおぞましい……。
So he was thrown back on the unavailing struggle to impose the truth of his story.	結局、自分の話に真実味を持たせるためにあがく試みは、また振り出しに戻ったのである。
As fast as one channel closed on him he tried to pierce another through the sliding sands of incredulity.	ひとつの水路が閉ざされるやいなや、別の水路を求めて、サラサラと流れ落ちる砂のような人間の猜疑心に孔をうがとうとした。
But every issue seemed blocked, and the whole human race leagued together to cheat one man of the right to die.	だが、あらゆる出口は塞がれて、人類全体が、ひとりの人間から死ぬ権利をだましとるために、一致団結しているように思えたのだった。
< 32 > Thus viewed, the situation became so monstrous that he lost his last shred of self-restraint in contemplating it.	こうして情況が手に負えないものになったために、グラニスは自制心の最後の一片を失った。
What if he were really the victim of some mocking experiment,	ほんとうは自分が、ひとを笑い者にするための実験の犠牲者だとしたら。
the centre of a ring of holiday-makers jeering at a poor creature in its blind dashes against the solid walls of consciousness?	見物人に取り囲まれて笑われている、まんなかの哀れな生き物が自分で、意識という固い壁に向かって盲目的に突進を繰り返しているのだとしたら。
But, no	いや、そんなことはない。
-- men were not so uniformly cruel:	人間はそこまで一様に残酷ではない。
there were flaws in the close surface of their indifference, cracks of weakness and pity here and there. . .	無関心という滑らかな表面にはひびが入っているし、弱さや同情という割れ目がそこかしこにある……。
Granice began to think that his mistake lay in having appealed to persons more or less familiar with his past,	自分の失敗は、多少なりとも自分の過去に繋がりがある人々に訴えたことだ、とグラニスは考えるようになった。
and to whom the visible conformities of his life seemed a final disproof of its one fierce secret deviation.	そういう人が見る自分の生き方と、秘めた、道を外れた行いとは決して一致しない、そのことが最終的な反証となったのだ、と。
The general tendency was to take for the whole of life the slit seen between the blinders of habit:	一般的な傾向として、習慣という目隠しの細い隙間から見える光景が、その人の生活のすべてだと思いがちである。
and in his walk down that narrow vista Granice cut a correct enough figure.	自分の行動をその狭い隙間から見ると、おおよそ穏当な人物の姿が浮かび上がるのだ。
To a vision free to follow his whole orbit his story would be more intelligible:	自分のどんな経験をも受け容れられる、自由なものの見方をする人間のほうが、話を理解しやすいだろう。
it would be easier to convince a chance idler in the street than the trained intelligence hampered by a sense of his antecedents.	通りでぼんやりチャンスを待っている人間のほうが、前例に足を取られがちな訓練を積んだ知性のもちぬしより、説得するのが簡単ではなかろうか。
This idea shot up in him with the tropic luxuriance of each new seed of thought,	グラニスの中に芽生えたこの思いつきは、南洋の植物のように、つぎつぎと新しい考えの種を生んだ。
and he began to walk the streets, and to frequent out-of-the-way chop-houses and bars in his search for the impartial stranger to whom he should disclose himself.	そうして通りを歩き、辺鄙な場所にある肉料理屋やバーに出かけては、自分の秘密を打ち明けられそうな、公平で見知らぬ人間を探したのだった。
At first every face looked encouragement;	最初はだれもが話を聞きたがっているように見えた。
but at the crucial moment he always held back.	だが肝心なところにくると、どうしても躊躇してしまう。
So much was at stake, and it was so essential that his first choice should be decisive.	危険はあまりに大きく、おまけに最初の人選が、決定的に重要なのだった。
He dreaded stupidity, timidity, intolerance.	頭の悪そうな人間、臆病そうな人間、寛容さに欠けそうな人間はだめだ。
The imaginative eye, the furrowed brow, were what he sought.	求めたのは、想像力豊かな目、皺の寄った額だった。
He must reveal himself only to a heart versed in the tortuous motions of the human will;	自分が打ち明けていいのは、人間の意志がもつれにもつれて行くさまを熟知している相手だけなのだ。
and he began to hate the dull benevolence of the average face.	並みの人間が見せる、鈍い、おためごかしの表情にはうんざりし始めていた。
Once or twice, obscurely, allusively, he made a beginning	一度か二度、漠然と、それとなく、話し始めたこともある
-- once sitting down at a man's side in a basement chop-house,	――あるときは地下の肉料理屋で、隣にすわっていた男に。
another day approaching a lounger on an east-side wharf.	またあるときは、イーストサイドの波止場でブラブラしている男に近づいていって。
But in both cases the premonition of failure checked him on the brink of avowal.	だが、いずれの場合も失敗の予感に襲われ、話し始める寸前に止めてしまったのだ。
His dread of being taken for a man in the clutch of a fixed idea gave him an unnatural keenness in reading the expression of his interlocutors, and he had provided himself in advance with a series of verbal alternatives, trap-doors of evasion from the first dart of ridicule or suspicion.	人にかつがれるのではないか、と怖れる一念から、いざというとき、話し相手の表情を読むことに、異常なまでに鋭くなり、また、あらかじめ代わりにしゃべる一連のことばを用意して、冷笑したり、疑われたりするような気配が見えるやいなや、舞台のせりからいつでも退くことができるようにしておいたのだった。
< 33 > He passed the greater part of the day in the streets, coming home at irregular hours, dreading the silence and orderliness of his apartment, and the critical scrutiny of Flint.	グラニスは一日のほとんどを通りで過ごし、夜遅くなってから、自分のアパートメントの静けさと秩序正しさ、物言いたげなフリントの視線を疎ましく思いつつ家路につくようになった。
His real life was spent in a world so remote from this familiar setting that he sometimes had the mysterious sense of a living metempsychosis,	住み慣れた場所とはひどく隔たった世界で生活していると、ときどき、輪廻転生を生きているような不思議な感覚が襲う。
a furtive passage from one identity to another	ひとつのアイデンティティから別のアイデンティティへと人目を忍んで渡り歩いているような
-- yet the other as unescapably himself!	――さらに、逃れることのできない自分自身がもうひとり！
One humiliation he was spared:	生き永らえる人間が味わう屈辱。
the desire to live never revived in him.	生きる情熱など、金輪際よみがえることはない。
Not for a moment was he tempted to a shabby pact with existing conditions.	現状と惨めったらしく折り合いをつけていくことなど、ほんの一瞬たりとも考えることはなかった。
He wanted to die,	死にたかった。
wanted it with the fixed unwavering desire	死を願う気持ちは変わらず、揺るぎもしない。
which alone attains its end.	死、それ自体のために死を求めていたのだ。
And still the end eluded him!	だが、いまだにそれは、自分の手から逃げおおせている。
It would not always, of course -- he had full faith in the dark star of his destiny.	もちろんいつも、運命の暗黒星に全面的に身を委ねていたわけではない。
And he could prove it best by repeating his story, persistently and indefatigably, pouring it into indifferent ears, hammering it into dull brains, till at last it kindled a spark, and some one of the careless millions paused, listened, believed. . .	それが証拠に、いつか小さな火花が起こるまで、数百万の無関心な人のなかでだれかひとりが立ち止まり、耳を傾け、信じてくれるまで、グラニスは自分の話を頑固に、疲れを知らぬように繰り返し、無関心な耳に注ぎ、鈍い脳に叩き込んできたのである……。
It was a mild March day,	ある穏やかな三月の日だった。
and he had been loitering on the westside docks, looking at faces.	グラニスはウエストサイドの桟橋を、人の顔を見ながらぶらぶら歩いていた。
He was becoming an expert in physiognomies:	もはや人相を見るのも専門家の域に達している。
his eagerness no longer made rash darts and awkward recoils.	無分別に突進したり、怖じ気づいて後ずさるようなこともない。
He knew now the face he needed, as clearly as if it had come to him in a vision;	いまでは求める顔も、幻となって表れるほどはっきりとわかっていた。
and not till he found it would he speak.	その顔が見つかるまで、話しかけるつもりはない。
As he walked eastward through the shabby reeking streets he had a premonition that he should find it that morning.	みすぼらしい、悪臭の漂う通りを東に向かって歩きながら、今朝がその日だ、という予感めいたものを感じていた。
Perhaps it was the promise of spring in the air	もしかするとその期待も、あたりに漂う春の気配から生まれたのかもしれない
-- certainly he felt calmer than for many days. . .	――ただ、これまでにくらべて、穏やかな気持ちでいられたのは確かだった。
He turned into Washington Square, struck across it obliquely, and walked up University Place.	ワシントンスクエアに入り、そこをななめに横切って、ユニバーシティ・プレイスを北に向かう。
Its heterogeneous passers always allured him	その通りにいるよそとは異質の通行人には、いつも引きつけられてきた。
-- they were less hurried than in Broadway, less enclosed and classified than in Fifth Avenue.	ブロードウェイを行く人のように慌ただしくないし、五番街を歩く人ほど閉鎖的で秘密めいたふうもない。
He walked slowly, watching for his face.	グラニスはここでも人の顔をみながらゆっくり歩いた。
At Union Square he felt a sudden relapse into discouragement,	ユニオン・スクエアまで来ると、突然また憂鬱な気分がぶり返してきた。
like a votary who has watched too long for a sign from the altar.	教会で祭壇から神のお告げが下るのを、あまりに長い間待ちわびている信者のように。
Perhaps, after all, he should never find his face. . .	もしかしたら、最後までそんな顔は見つけられないのではないか……。
The air was languid, and he felt tired.	予感は薄れていき、疲労感を覚えた。
He walked between the bald grass-plots and the twisted trees, making for an empty seat.	はげた芝生と曲がった木の間を進んで、空いた席を探す。
Presently he passed a bench on which a girl sat alone, and something as definite as the twitch of a cord made him stop before her.	少女がひとりすわっているベンチの横を通りかかった瞬間、ひもでぐいっとひっぱられでもしたかのように、グラニスは少女の前で立ち止まった。
He had never dreamed of telling his story to a girl,	少女に話をすることなど、夢にも思ったことはない。
had hardly looked at the women's faces as they passed.	だから通り過ぎる女の顔など、これまでほとんど見たこともなかったのだ。
His case was man's work:	自分の事件は、男の犯行だ。
how could a woman help him?	女性が助けになるだろうか？
But this girl's face was extraordinary	だが、この少女の顔はたぐいまれなものだ
-- quiet and wide as a clear evening sky.	――穏やかで懐の広い、澄み切った夜空を思わせる。
It suggested a hundred images of space, distance, mystery,	宇宙、距離、神秘のイメージが百ほども浮かんでくる。
like ships he had seen, as a boy, quietly berthed by a familiar wharf,	たとえば、少年のころ見たことのある船が、見慣れた埠頭に停泊している。
but with the breath of far seas and strange harbours in their shrouds. . .	だが船の汽笛は遠くの海のささやき、マストから張った索の向こうに見えるのは、見知らぬ港……。
Certainly this girl would understand.	確かに、この少女ならわかってくれる。
He went up to her quietly, lifting his hat, observing the forms	グラニスは静かに近づいていき、帽子を取って、身なりを改めた
-- wishing her to see at once that he was "a gentleman."	――少女が一目で「紳士」と思ってくれるように。
< 34 > "I am a stranger to you,"	「これまでお目にかかったことはありませんが」
he began, sitting down beside her,	とグラニスは隣にすわると、こう切り出した。
"but your face is so extremely intelligent that I feel. . .	「お嬢さんの顔は、たいそう知的でいらっしゃる……
I feel it is the face I've waited for . . .	私がずっと探していたのは、お嬢さんのような顔なんです……
looked for everywhere;	どこもかも探して歩きました。
and I want to tell you --"	つまり私が言いたいのは……」
The girl's eyes widened:	目を丸くした少女は、
she rose to her feet. She was escaping him!	ひどく驚いて逃げ出そうとした。
In his dismay he ran a few steps after her, and caught her roughly by the arm.	狼狽したグラニスは、数歩遅れて走り出すと、乱暴に腕をつかんだ。
"Here	「お願いです
-- wait	――ちょっと待って
-- listen!	――聞いてください。
Oh, don't scream, you fool!"	ああ、悲鳴なんてあげないで、頼むから」
he shouted out.	つい彼も怒鳴ってしまう。
He felt a hand on his own arm;	グラニスの腕に手がかかる。
turned and confronted a policeman.	振り返るとそこに警官がいた。
Instantly he understood that he was being arrested, and something hard within him was loosened and ran to tears.	即座に自分が逮捕されることがわかり、内部で強ばっていたものが溶け出してきて、涙があふれた。
"Ah, you know	「そうなんです
-- you know I'm guilty!"	――私は罪人なんです！」
He was conscious that a crowd was forming, and that the girl's frightened face had disappeared.	野次馬が集まってきて、少女の怯えた顔が人波に消えたのがわかった。
But what did he care about her face?	だが、自分は少女の顔のどこがそんなに気になったのだろう。
It was the policeman who had really understood him.	自分をほんとうに理解してくれるのは、この警官だ。
He turned and followed, the crowd at his heels. . .	彼はおとなしく警官に従い、野次馬があとをついていった。
VII In the charming place in which he found himself	気がつくと、グラニスはすばらしい場所にいた。
there were so many sympathetic faces that he felt more than ever convinced of the certainty of making himself heard.	同情に満ちた多くの顔が自分に向けられていて、自分の話を聞かせるのはここしかない、という思いはかつてないほど強くなってくる。
It was a bad blow, at first, to find that he had not been arrested for murder;	最初、自分が殺人で逮捕されたわけではないとわかったときには少なからぬショックを受けたが、
but Ascham, who had come to him at once, explained that he needed rest, and the time to "review" his statements;	駆けつけたアスカムが、彼には休息が必要なんです、それから自分の声明を「再検討する」ための時間も、と説明してくれた。
it appeared that reiteration had made them a little confused and contradictory.	話を繰り返していると、ちょっとした混乱と矛盾が生じてくる。
To this end he had willingly acquiesced in his removal to a large quiet establishment, with an open space and trees about it,	そのため、グラニスは広くて静かな建物、空き地もあって、周囲には木も植えてある場所に移ることを喜んで同意した。
where he had found a number of intelligent companions, some, like himself, engaged in preparing or reviewing statements of their cases, and others ready to lend an interested ear to his own recital.	そこには自分のように知的な話し相手がたくさんいて、同じように自分の事件に対する声明を用意したり、書き直したりしている者もおれば、グラニスが読み上げるのを、興味を持って聞く用意がある人々もいる。
